SMILES,drug_id,Tanimoto,cluster
CN(CCOC(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)[C@@H]1CCCCC1C(=O)O,P2RX3_311,0.0,688
Cc1cn2cc(C(=O)N3CCCC3)cc2c(C#Cc2ccsc2)n1,P2RX3_11,0.0,984
CCCN(CCCCN1CCCCC1)C1COc2cccc(OC)c2C1,P2RX3_331,0.0,668
CCN(CC)CC(c1ccccc1F)N1CCN(C(=O)C(Cc2ccc(Cl)cc2)NC(=O)CC2NCCc3ccccc32)CC1,P2RX3_233,0.0,765
COc1ccc(C)cc1S(=O)(=O)N[C@H]1CC[C@@H](N2CCN(c3ccccc3OC(C)C)CC2)CC1,P2RX3_820,0.0,181
Cc1nn(C)c2nnc(Nc3ccc(S(=O)(=O)N4CCCCC4)cc3)nc12,P2RX3_732,0.0,269
CC#CCOc1ccc(S(=O)(=O)CC2(C(O)=NO)CCN(S(=O)(=O)C(C)C)CC2)cc1,P2RX3_53,0.0,942
O=c1ccc2ccc(CCc3ccccc3)cc2o1,P2RX3_122,0.0,874
CN1CCN(Cc2ccc(-c3cn4c5nc(ncc35)NCCCCCCNC(=O)C(N)CCCC4)cc2)CC1,P2RX3_618,0.0,382
COc1ccc2cc(S(=O)(=O)NN(Cc3cccc(C(N)=NO)c3)C(=O)N3CCCCC3C)ccc2c1,P2RX3_187,0.0,811
Nc1ccccc1NC(=O)c1ccc2nccnc2c1,P2RX3_162,0.0,835
N=C(NCCSC(c1ccccc1)c1ccccc1)NCCc1c[nH]cn1,P2RX3_819,0.0,182
CCc1ccc(C2C3=C(CC(C)(C)CC3=O)N(c3ccc(C(=O)Nc4nnc(S(N)(=O)=O)s4)cc3)C3=C2C(=O)CC(C)(C)C3)cc1,P2RX3_647,0.0,354
O=C(Nc1nc2ccccc2s1)c1ccc(N2CCCCC2)c([N+](=O)[O-])c1,P2RX3_826,0.0,175
Cc1nn(C)cc1N[S+](=O)([O-])c1ccc(Br)cc1,P2RX3_629,0.0,372
CCCCNc1ncc(-c2ccccn2)c(NC2CCNCC2)n1,P2RX3_8,0.0,987
COc1ccc2c(n1)CCN(C(=O)C1CC(CC(=O)O)C1)C2C(=O)Nc1cc(F)c2c(c1)CCC2(C)C,P2RX3_995,0.0,8
NC(=O)C1CCCN1C(=O)C(Cc1ccccc1)NC(=O)C1CSCN1C(=O)C(N)Cc1ccc(O)cc1,P2RX3_683,0.0,318
CC1(C)OC(=O)c2ccc(Nc3ncc(-c4nnc(C5CC5)o4)c(N[C@H](CO)c4ccccc4)n3)cc21,P2RX3_814,0.0,187
CCCC/C(=C\c1cc(OCc2ccc3nc(C(F)(F)F)cc(OC)c3c2)ccc1OCc1ccc(OC(F)F)cc1)C(=O)O,P2RX3_551,0.0,449
COc1cc(N2CCNCC2)ccc1Nc1ncc(C(F)(F)F)c(Nc2ccccc2NS(C)(=O)=O)n1,P2RX3_153,0.0,843
CC1CCN(C[C@H](C)Oc2ccc(Cl)cc2)CC1,P2RX3_811,0.0,190
O=CNc1nc(C(CCN2CCC(c3ccccc3)CC2)C(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)cs1,P2RX3_206,0.0,792
CN1CCN(C(=O)Cn2cc(Nc3nc4c(N5CC6CCC(C5)N6C(=O)c5ccccc5C#N)cccn4n3)cn2)CC1,P2RX3_739,0.0,262
O=C(Nc1ccccc1-c1cn2c(CN3CC[C@@H](O)C3)csc2n1)c1ccc2ccccc2c1,P2RX3_277,0.0,721
CN(Cc1ccc(-c2ccc(CN(C)C3CCCCC3)cc2)cc1)C1CCCCC1,P2RX3_390,0.0,609
O=C(NC1Cc2ccccc2N(CC(CO)CO)C1=O)c1cc2sc(Cl)c(Cl)c2[nH]1,P2RX3_359,0.0,640
Cn1c(SCCCN2CC[C@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3)C2)nnc1-c1cccs1,P2RX3_760,0.0,241
CCCSc1nnc(-c2cc(C(C)C)c(O)c(C(C)C)c2)s1,P2RX3_173,0.0,824
Nc1nc2cc3c(cc2s1)CCN(Cc1ccccn1)CC3,P2RX3_960,0.0,43
Cc1cc2nc(N[C@@H](C)c3cccnc3)nc(C(=O)N3CC[C@@H](O)C3)c2s1,P2RX3_977,0.0,26
N=C(NCCCc1c[nH]cn1)NCCC(c1cccc([N+](=O)[O-])c1)c1ccccn1,P2RX3_839,0.0,162
N#Cc1c(N)ncnc1N1CCC(N)(CNC(=O)c2ccc(F)cc2F)C1,P2RX3_276,0.0,722
COC(=O)NC(C(=O)N1CCC[C@H]1c1nc(-c2ccc(-c3ccc(-c4ccc5[nH]c([C@@H]6CC7CC7N6C(=O)C(NC(=O)OC)C(C)C)nc(=O)c5c4)c4c3CC3(CCN(C)CC3)C4)cc2)c[nH]1)C(C)C,P2RX3_283,0.0,715
CCC(=N)C(Cl)C(=N)C(=O)Nc1ccc([C@@H]2O[C@H]3CN[C@@H]2C3)cc1,P2RX3_37,0.0,958
O=c1[nH]c2ncccc2c(O)c1-c1nc2ccccc2[nH]1,P2RX3_718,0.0,283
O=S(=O)(NCCO)c1ccc(-c2ccnc3[nH]c(C(F)(F)F)cc23)cc1,P2RX3_596,0.0,404
NS(=O)(=O)c1ccc(NC(=O)c2cccc(C(=O)O)n2)c(Cl)c1,P2RX3_583,0.0,417
C[S+](C)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,P2RX3_742,0.0,259
Cc1ncc(-c2c(C(F)F)ccc(Cl)c2F)nc1C(=O)Nc1cnn(C(CO)c2ccc(N3CC4CC4C3=O)nc2)c1,P2RX3_812,0.0,189
