SMILES,drug_id,Tanimoto,cluster
Cc1cc[n+]([O-])cc1N1C(=O)c2c(Cl)ccc(NS(=O)(=O)c3ccc(C(C)(C)C)cc3)c2C1=O,CCR9_83,0.0,8
CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2-c2nccc(C(N)=O)c2O)cc1,CCR9_53,0.0,73
Cc1ccc2cc(C(=O)O)n(Cc3ccc(C(C)(C)C)cc3)c2c1,CCR9_6,0.0,14
CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)c3c2C(=O)N(Cc2cccc[n+]2[O-])C3=O)cc1,CCR9_132,0.0,52
Cc1cccc(N2C(=O)c3c(Cl)ccc(NS(=O)(=O)c4ccc(C(C)(C)C)cc4)c3C2=O)n1,CCR9_32,0.0,21
CCOc1cc(N2C(=O)c3c(Cl)ccc(NS(=O)(=O)c4ccc(C(C)(C)C)cc4)c3C2=O)c[n+]([O-])c1,CCR9_166,0.0,27
CC1(c2ccc(Cn3c(C(=O)O)cc4ncc(Cl)cc43)cc2)CCOCC1,CCR9_148,0.0,47
CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)c3c2C(=O)N(Cc2cncc(C#N)c2)C3=O)cc1,CCR9_10,0.0,16
COc1ccc2cc(C(=O)O)n(Cc3ccc(C(C)(C)C)cc3)c2c1,CCR9_131,0.0,53
CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)c3c2C(=O)N(Cc2ccc[nH]c2=O)C3=O)cc1,CCR9_39,0.0,76
O=C1c2c(Cl)ccc(NS(=O)(=O)c3ccc(C(F)(F)F)cc3)c2C(=O)N1c1cccnc1,CCR9_28,0.0,13
CN(C)c1ncnc(-c2cc(Cl)ccc2NS(=O)(=O)c2ccc(C(C)(C)C)cc2)c1O,CCR9_56,0.0,72
N#Cc1cccc(CN2C(=O)c3c(Cl)ccc(NS(=O)(=O)c4ccc(F)c(C(F)(F)F)c4)c3C2=O)c1,CCR9_155,0.0,45
CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2-c2nc(Cl)cnc2NCCO)cc1,CCR9_92,0.0,61
CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)c3c2C(=O)N(c2ccsc2C#N)C3=O)cc1,CCR9_25,0.0,31
CC(C)(C)c1ccc(S(=O)(=O)Nc2cccc3c2C(=O)N(c2cccnc2)C3=O)cc1,CCR9_123,0.0,55
