SMILES,drug_id,Tanimoto,cluster
CC1=CC[C@@]2(CO)CO[C@@H](c3cc(C)c(O)c(C)c3)[C@@H]1C2,ESR1_693,0.0,345
C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2ccc(OCCN3CC(CF)C3)cc2)N1CC(C)(C)F,ESR1_883,0.0,241
C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2ccc(OCCN3CC(CF)C3)cc2F)N1S(C)(=O)=O,ESR1_646,0.0,374
Cc1ccccc1-c1cc(-c2ccc(O)cc2)nc(N(C)CCc2ccccc2)c1,ESR1_261,0.0,590
C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2c(F)cc(OC3CN(C[C@H]4C[C@@H]4F)C3)cc2F)N1CC(C)(C)F,ESR1_913,0.0,225
O=C(O)/C=C/c1ccc(Oc2c(-c3ccc(F)cc3CN3CCCC3=O)sc3cc(O)ccc23)cc1,ESR1_37,0.0,715
Cc1n[nH]c(C=Cc2ccc(Oc3c(-c4ccccc4C(C)C)sc4cc(O)ccc34)cc2)n1,ESR1_28,0.0,721
O=C(c1ccc(OCCN2CC(CF)C2)cc1)c1c(-c2cccc(C(F)(F)F)c2F)cnc2cc(O)ccc12,ESR1_987,0.0,174
CC(C)=C(C)c1ccc2c(c1)c(-c1ccc(OCCN3CCCCC3)cc1)cc1cc(O)cc(C)c12,ESR1_4,0.0,117
Nc1ccc(CNc2nc(Cl)nc3scc(-c4ccccc4)c23)cc1,ESR1_67,0.0,104
CC(=O)/C=C/c1ccc(Oc2c(-c3ccc(C(F)(F)F)cc3)sc3cc(O)ccc23)cc1,ESR1_32,0.0,718
Oc1ccc2c(c1)CCN(c1ccccc1)C2c1ccc(OCCN2CCCC2)cc1,ESR1_102,0.0,683
Oc1ccc2c(c1)=CCCC(c1ccc(OC(F)F)cc1F)C=2c1ccc(O[C@H]2CCN(CCCF)C2)cc1,ESR1_476,0.0,63
C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2c(F)cc(OC3CN(CCCF)C3)cc2F)N1CC(C)(C)F,ESR1_512,0.0,61
C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2cnc(NCCNCCCF)cc2F)N1CC1(F)COC1,ESR1_50,0.0,23
CCCCc1cc2ccccc2c(Oc2ccc(/C=C/C(=O)O)cc2)c1-c1ccc(F)cc1,ESR1_0,0.0,162
Cc1cc(O)ccc1-c1nc2cc(O)cc(Br)c2o1,ESR1_813,0.0,279
Cc1cc(F)cc(C)c1C(=O)c1sc2cc(O)ccc2c1Oc1ccc(/C=C/C(=O)O)cc1,ESR1_937,0.0,209
Oc1ccc2c(-c3nc4cc(F)c(O)cc4o3)cccc2c1,ESR1_804,0.0,284
O=C(O)/C=C/c1ccc(Oc2c(-c3ccccc3OC(F)(F)F)sc3cc(O)ccc23)cc1,ESR1_863,0.0,251
O=c1c2c(O)cc(O)cc2c(Cl)cn1-c1ccc(O)cc1,ESR1_404,0.0,509
COc1cc(NC2CN(CCCF)C2)c(F)cc1[C@@H]1c2ccc3[nH]ncc3c2C[C@@H](C)N1CC1(F)CC1,ESR1_677,0.0,357
ON=Cc1ccc(-c2ccccc2)c(-c2ccccc2)c1,ESR1_162,0.0,649
CC1=C(c2ccc(O)cc2)C(=O)c2cc(O)ccc21,ESR1_682,0.0,354
Cc1ccccc1N=C(c1ccc(O)cc1)c1ccc(O)cc1,ESR1_708,0.0,336
C[C@@H]1Cc2c(ccc3[nH]ncc23)[C@@H](c2ccc(NCCNCCCF)cn2)N1CC1(F)CC1,ESR1_209,0.0,621
COCC(F)(F)CN1[C@H](c2ccc(NC3CN(CCCF)C3)cn2)c2ccc3[nH]ncc3c2C[C@H]1C,ESR1_669,0.0,114
Cc1c(-c2ccc(OC(C)C)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12,ESR1_811,0.0,9
O=C(N1CCc2cc(O)ccc2[C@H]1c1ccc(O)cc1)C(F)(F)F,ESR1_337,0.0,549
CCCC(CCC)(c1ccc(O)c(C)c1)c1ccc(OCCN(C)C)c(C)c1,ESR1_815,0.0,90
C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2c(F)cc(OCCCCCN3CCN(c4ccc5c(c4)CN(C4CCC(=O)NC4=O)C5=O)CC3)cc2F)N1CC(C)(C)F,ESR1_238,0.0,602
C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2c(F)cc(-c3ccc(C(N)=O)cc3)cc2F)N1CC(C)(C)F,ESR1_814,0.0,278
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,ESR1_18,0.0,165
N#CCc1ccccc1-c1sc2cc(O)ccc2c1Oc1ccc(/C=C/C(=O)O)cc1,ESR1_629,0.0,75
C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2c(F)cc(OCCN3CC(CF)C3)cc2F)N1S(C)(=O)=O,ESR1_703,0.0,340
C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2nccc(OCCNCCCF)c2F)N1CC(F)(F)CO,ESR1_61,0.0,12
CCCN(Cc1ccccn1)c1cc(-c2ccccc2)cc(-c2ccc(O)c(C)c2)n1,ESR1_865,0.0,250
C#C[C@]1(O)CC[C@H]2C3=C(C4=C(CC3)CC(=O)CC4)C(c3ccc(N(C)C(C)=O)cc3)C[C@@]21C,ESR1_150,0.0,656
Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(N3CCCNCC3)cc2)cc1,ESR1_132,0.0,667
CC(CN1CCCC2CCCNC21)OCC(=O)N1Nc2cc(O)ccc2C2COc3cc(O)ccc3C21,ESR1_740,0.0,318
O=C(OCC(=O)N1CCN(C(=O)c2ccco2)CC1)c1cc(-c2ccco2)nc2ccccc12,ESR1_675,0.0,359
Cc1c(OCCNCCCF)ccc(F)c1[C@@H]1c2[nH]c3ccc(F)cc3c2C[C@@H](C)N1CC(C)C(=O)O,ESR1_959,0.0,193
O=c1oc2cc(O)ccc2c(-c2ccc(O)cc2)c1-c1ccc(O)cc1,ESR1_100,0.0,684
C[C@@H]1Cc2c(ccc3[nH]ncc23)[C@@H](c2c(F)cc(/C=C/C(=O)O)cc2F)N1CC(C)(C)F,ESR1_181,0.0,124
C[C@H](COc1ccc([C@@H]2c3[nH]c4ccccc4c3C[C@@H](C)N2CC2(F)COC2)cc1)NCCCF,ESR1_651,0.0,369
CCC(CC)=C(c1ccc(O)cc1)c1ccc(OCCN)cc1,ESR1_460,0.0,476
CCN1CCN(c2ccc(C3c4ccc(O)cc4CCN3c3ccccc3)cc2)CC1C,ESR1_613,0.0,391
COc1ccc(-c2sc3cc(O)ccc3c2Oc2ccc(/C=C/C(=O)O)cc2)c(C(F)(F)F)n1,ESR1_859,0.0,255
CC(F)(F)c1ccc(C2=C(c3ccc(O[C@H]4CCN(CCCF)C4)cc3)c3ccc(O)cc3CCC2)cc1,ESR1_182,0.0,636
CC(C)(F)CN1CCc2cc(O)ccc2C1c1ccc(OCCCOc2ccc(C(O)=NO)cc2)cc1,ESR1_539,0.0,432
O=C1CCC2(Cc3ccc(Cl)cc3)C=c3cc(O)ccc3=C2C1c1ccc(OCCN2CCCCC2)cc1,ESR1_65,0.0,701
C[C@@H]1Cc2c(ccc3[nH]ncc23)[C@@H](c2ccc(OCCN3CC(CF)C3)cc2)N1CC1(F)COC1,ESR1_58,0.0,703
C[C@@H]1Cc2cc(O)ccc2[C@@H](c2ccc(/C=C/C(=O)O)cc2)N1c1ccc(OC(F)(F)F)cc1,ESR1_627,0.0,380
Cc1cc(N2Nc3c(c(=O)oc4cc(O)ccc34)-c3ccc(O)cc32)ccc1OCCN1CCC=C(C(=O)O)C1,ESR1_49,0.0,709
