SMILES,drug_id,Tanimoto,cluster
Cc1cccc2cc(CNCC3(N4CCCC4)COC3)c(Cl)nc12,FTO_10,0.0,25
c1cc2c(cc1CNCC1(N3CCCC3)COC1)OCCO2,FTO_8,0.0,27
Fc1ccc2[nH]cc(CNCC3(N4CCCC4)COC3)c2c1,FTO_0,0.0,1
Cc1n[nH]c(C)c1-c1cc(Cl)c(Nc2ccccc2C(=O)O)c(Cl)c1,FTO_5,0.0,29
COc1cccc2c(CNCC3(N4CCCC4)COC3)c[nH]c12,FTO_7,0.0,28
c1ccc(C2CCC(CNCC3(N4CCCC4)COC3)S2)cc1,FTO_35,0.0,4
Cc1noc(C)c1-c1cc(Cl)c(Nc2ccccc2C(=O)O)c(Cl)c1,FTO_2,0.0,0
O=C(O)c1ccccc1Nc1c(Cl)cc(-c2nn[nH]n2)cc1Cl,FTO_14,0.0,21
c1cc2cc(CNCC3(N4CCCC4)COC3)ccc2[nH]1,FTO_4,0.0,30
Cc1[nH]ncc1-c1cc(Cl)c(Nc2ccccc2C(=O)O)c(Cl)c1,FTO_36,0.0,3
O=C(NC1CCCCC1)c1cnc2ccccc2n1,FTO_20,0.0,16
COc1cccc2c1C1CN(CCCCn3c(=O)[nH]c4c(sc5ncc(-c6ccccc6)nc54)c3=O)CC1CO2,FTO_17,0.0,18
CCOc1nc2ccccc2nc1C(=O)NCCN(CC)CC,FTO_22,0.0,15
c1ccc(-c2ccc(CNCC3(N4CCCC4)COC3)o2)cc1,FTO_1,0.0,31
O=C(O)C=CC(=O)NNC(=O)c1cnccc1Cc1ccccc1,FTO_27,0.0,11
O=C(O)c1ccccc1Nc1c(Cl)cc(-c2c[nH]nn2)cc1Cl,FTO_19,0.0,17
Cc1noc(C)c1-c1cc(Cl)c(Nc2ccccc2-c2nn[nH]n2)c(Cl)c1,FTO_15,0.0,20
O=C(O)CNC(=O)c1nc(Nc2ccc([N+](=O)[O-])cc2)ccc1O,FTO_34,0.0,5
CN(C)c1nc(N)c(C(=O)N=C(N)N)nc1Cl,FTO_28,0.0,10
NC(CCCCCP(=O)(O)O)C(=O)O,FTO_24,0.0,14
FC(F)(F)Sc1ccc(CNCC2(N3CCCC3)COC2)cc1,FTO_9,0.0,26
O=C(O)C=CC(=O)NNC(=O)c1cnccc1Nc1cc(Cl)c(Nc2ccccc2[N+](=O)[O-])c(Cl)c1,FTO_30,0.0,8
Cc1c(Nc2ccncc2C(=O)N=NC(=O)CCC(=O)O)cc(Cl)c(Nc2ccccc2[N+](=O)[O-])c1Cl,FTO_33,0.0,6
O=C(O)c1c(CN2CCCOCC2)cccc1Nc1c(Cl)cc(-c2nn[nH]n2)cc1Cl,FTO_11,0.0,24
Cc1cccc2cc(CNCC3(N4CCCC4)COC3)cnc12,FTO_29,0.0,9
Fc1ccc2c(CNCC3(N4CCC(F)C4)COC3)c[nH]c2c1,FTO_3,0.0,2
Cc1ccc(CNCC2(N3CCCC3)COC2)cc1C,FTO_26,0.0,12
c1ccc(-c2ccc(CNCC3(N4CCCC4)COC3)s2)cc1,FTO_25,0.0,13
c1ccc(C2CCC(CNCC3(N4CCCC4)COC3)O2)cc1,FTO_31,0.0,7
Cc1noc(C)c1-c1cc(Cl)c(Nc2ccccc2C(=O)O)c(Cl)n1,FTO_13,0.0,22
CCOc1nc2ccccc2nc1C(=O)Nc1cccnc1,FTO_12,0.0,23
CNC(=O)c1ccc(Nc2ccc(O)c(C(=O)NCC(=O)O)n2)cc1,FTO_16,0.0,19
