SMILES,drug_id,Tanimoto,cluster
O=C(O)c1ccccc1S[C@H]1CC[C@H]2CNC(C(=O)O)C[C@H]2C1,GRIK1_38,0.0,76
CCC(CC)=C(CC(N)C(=O)O)C(=O)O,GRIK1_70,0.0,51
CC(C)(C)c1s[nH]c(=O)c1CC(N)C(=O)O,GRIK1_5,0.0,95
O=C(O)Cn1c(=O)c(=O)[nH]c2cc([N+](=O)[O-])c(-n3ccc(CNCCCc4ccccc4)c3)cc21,GRIK1_109,0.0,26
O=C(O)c1ccc(-c2ccccc2)cc1O[C@H]1CC[C@H]2CNC(C(=O)O)C[C@H]2C1,GRIK1_51,0.0,65
COc1cccc(/C=C/CC(CC(N)C(=O)O)C(=O)O)c1,GRIK1_36,0.0,77
NC(CC(C/C=C/c1c(Cl)cccc1Cl)C(=O)O)C(=O)O,GRIK1_99,0.0,30
NC(CC(CC#Cc1ccccc1)C(=O)O)C(=O)O,GRIK1_82,0.0,41
O=C(O)C1C[C@H]2C[C@@H](Oc3cc(Cc4ccccc4)ccc3-c3nn[nH]n3)CC[C@H]2CN1,GRIK1_20,0.0,5
NC(CC(C(=O)O)=C1CCCC1)C(=O)O,GRIK1_83,0.0,10
Cc1ccc(C(=O)O)cc1-c1ccc2[nH]c(=O)c(=O)[nH]c2c1,GRIK1_104,0.0,28
O=C(O)C1C[C@H]2C[C@@H](CN3CC(F)(F)CC3C(=O)O)CC[C@H]2CN1,GRIK1_94,0.0,34
CC/C=C(/CC(N)C(=O)O)C(=O)O,GRIK1_47,0.0,68
CN(Cc1ccccc1)Cc1ccn(-c2cc3c(cc2[N+](=O)[O-])[nH]c(=O)c(=O)n3CCC(=O)O)c1,GRIK1_57,0.0,62
NC(C/C(=C\C1CCCC1)C(=O)O)C(=O)O,GRIK1_56,0.0,63
O=C(O)Cn1c(=O)c(=O)[nH]c2cc(C(F)(F)F)c(-n3ccc(CNC(=O)Nc4ccc([N+](=O)[O-])cc4)c3)cc21,GRIK1_61,0.0,58
CN[C@H]1[C@H]2O[C@@](CC(N)C(=O)O)(C(=O)O)C[C@H]2OC[C@H]1O,GRIK1_9,0.0,91
C/C=C(/CC(N)C(=O)O)C(=O)O,GRIK1_85,0.0,39
NC(CC(C/C=C/c1ccccc1)C(=O)O)C(=O)O,GRIK1_87,0.0,7
NC(Cn1c(=O)[nH]c(=O)c2sccc21)C(=O)O,GRIK1_120,0.0,20
O=C(O)C1C[C@H]2C[C@@H](Oc3cc(-c4cccs4)ccc3-c3nn[nH]n3)CC[C@H]2CN1,GRIK1_30,0.0,12
NC(CC(C/C=C/c1ccc(C(F)(F)F)cc1)C(=O)O)C(=O)O,GRIK1_69,0.0,52
COc1ccccc1/C=C/CC(CC(N)C(=O)O)C(=O)O,GRIK1_44,0.0,70
NC(CC(C/C=C/c1ccc2ccccc2c1)C(=O)O)C(=O)O,GRIK1_34,0.0,79
N#Cc1ccc(/C=C/CC(CC(N)C(=O)O)C(=O)O)cc1,GRIK1_105,0.0,27
NC(Cn1ccc(=O)n(Cc2ccsc2C(=O)O)c1=O)C(=O)O,GRIK1_42,0.0,72
Cc1o[nH]c(=O)c1CC(N)C(=O)O,GRIK1_58,0.0,61
CC(C)/C=C(\CC(N)C(=O)O)C(=O)O,GRIK1_26,0.0,9
NC(CC(C/C=C/c1ccc([N+](=O)[O-])cc1)C(=O)O)C(=O)O,GRIK1_43,0.0,71
CC(C)=CCC(CC(N)C(=O)O)C(=O)O,GRIK1_95,0.0,33
O=C(Nn1c(=O)c(=O)[nH]c2cc(C(F)(F)F)c(F)cc21)c1ccccc1O,GRIK1_76,0.0,46
C=C(CC(N)C(=O)O)C(=O)O,GRIK1_10,0.0,90
NC(CC(CCCc1ccccc1)C(=O)O)C(=O)O,GRIK1_28,0.0,81
NC(CC(C/C=C/c1cccc(Cl)c1)C(=O)O)C(=O)O,GRIK1_17,0.0,86
NC(CC(C/C=C/c1ccc(OC(F)(F)F)cc1)C(=O)O)C(=O)O,GRIK1_80,0.0,43
COc1ccc(/C=C/CC(CC(N)C(=O)O)C(=O)O)cc1,GRIK1_75,0.0,47
Cc1cccc(C(=O)NC23CCCC(C(=O)Nc4ccnc(C)n4)(CC2)C3)n1,GRIK1_77,0.0,45
CCCC(CC(N)C(=O)O)C(=O)O,GRIK1_45,0.0,69
Cc1ccc(/C=C/CC(CC(N)C(=O)O)C(=O)O)cc1,GRIK1_0,0.0,0
O=C(O)c1ccccc1C=Cc1ccc2[nH]c(=O)c(=O)[nH]c2c1,GRIK1_67,0.0,53
