SMILES,drug_id,Tanimoto,cluster
Cc1ccc(-n2nccn2)c(C(=O)N2CCC[C@H]2c2noc(-c3cnc4sccn34)n2)c1,HCRTR1_514,0.0,448
Cc1nc(C(=O)N2CC[C@H](C)[C@H]2c2nc3c(C)cc(Cl)cc3[nH]2)c(-c2cc(F)cc(F)c2)s1,HCRTR1_476,0.0,471
CSc1cccc2[nH]c([C@@H]3CCCN3C(=O)c3nc(C)sc3-c3cccc(Cl)c3)nc12,HCRTR1_67,0.0,8
Cc1n[nH]c(C)c1[C@H](C)NC(=O)COc1cc(C(F)(F)F)c2c(-c3ccccc3)nn(C)c2n1,HCRTR1_746,0.0,306
Cc1cc(C)nc(N2CC3CN(C(=O)c4ccc(F)cc4-c4[nH]ncc4F)CC3C2)n1,HCRTR1_975,0.0,176
COc1cc(C(=O)N2CC[C@H]2c2nc(-c3cccc(Cl)c3C)no2)c(-n2nccn2)cc1C,HCRTR1_377,0.0,123
Cc1ccc(-c2ccccc2C(=O)N2CC[C@H](C)[C@H]2c2nc3c(C)c(Cl)ccc3[nH]2)cc1,HCRTR1_890,0.0,222
C[C@@H]1CC[C@@H](c2nc(CN(C)C)c(-c3ccccc3)o2)CN1C(=O)c1ccccc1-n1nccn1,HCRTR1_196,0.0,650
Cc1nc(C(=O)N2C[C@@H]3CCCC[C@@H]3[C@H]2CNC(=O)c2cccc3cccnc23)c(-c2ccccc2)s1,HCRTR1_277,0.0,595
Cc1ccc(C(=O)N2CCOC[C@H]2Cc2cc(F)cc(-n3nccn3)c2)c(-n2nccn2)c1,HCRTR1_37,0.0,2
C=C1C[C@@H](c2nc3c(OC)ccc(OC)c3[nH]2)N(C(=O)c2nc(C)sc2-c2ccc(C)c(C)c2)C1,HCRTR1_48,0.0,742
O=C(c1ccccc1-n1cccc1)N1CC2CN(c3nccc(-c4ccccc4)n3)CC2C1,HCRTR1_447,0.0,489
Cc1ccc(-c2ncccn2)c(C(=O)N2CCC[C@@]2(C)c2nc3cc(OC(F)(F)F)ccc3[nH]2)c1,HCRTR1_4,0.0,768
Cc1sc([C@@H]2CC[C@@H](C)N(C(=O)c3ccsc3-n3nccn3)C2)nc1C(C)(C)O,HCRTR1_190,0.0,655
O=C(c1ccccc1-c1ncccn1)N1CC2CC(Nc3ncc(C(F)(F)F)cn3)C1C2,HCRTR1_56,0.0,152
Cc1ccc(-n2nccn2)c(C(=O)N2C[C@@H](COc3ccc(F)c(C)c3)CC[C@H]2C)c1,HCRTR1_0,0.0,88
O=C(NCC1CC[C@@H](F)CN1C(=O)c1ccccc1-c1ccccc1)c1cccc2cccnc12,HCRTR1_143,0.0,7
COc1ccc(CNC(=O)c2nc(-c3cncc(C)c3)ccc2-c2ccccc2)nc1OC,HCRTR1_470,0.0,477
Cc1ccc(-n2nccn2)c(C(=O)N2CCC[C@@H](COc3ccccn3)[C@@H]2C)c1,HCRTR1_435,0.0,498
CC1C2CC(Oc3cnc(C(F)(F)F)cn3)C(C2)N1C(=O)c1ccccc1-n1nccn1,HCRTR1_34,0.0,19
CCOc1ccccc1C(=O)N1CCC[C@@H](Nc2cnc3ccccc3n2)[C@@H]1C,HCRTR1_469,0.0,478
Cc1ccc(C(=O)N2CCOC[C@H]2Cc2cc(-c3ncon3)ccc2F)c(-n2nccn2)c1C,HCRTR1_284,0.0,591
COc1ccc(NC2CC3CC2N(C(=O)c2ccccc2-n2nccn2)C3)nc1,HCRTR1_249,0.0,612
CC1C2CC(Nc3ccc(C(F)(F)F)cn3)C(C2)N1C(=O)c1ncccc1-n1nccn1,HCRTR1_32,0.0,750
CCC1C[C@@H](c2c(OC)cccc2OC)N(Cc2ccc(OC(F)(F)F)cc2)C1=O,HCRTR1_262,0.0,99
O=C1N(Cc2ccccc2-c2ccco2)CCCC12CCN(c1cnc3ccccc3n1)CC2,HCRTR1_873,0.0,232
Cc1c(Cl)cccc1-c1noc([C@@H]2CCCN2C(=O)c2[nH]cnc2-c2ccccc2)n1,HCRTR1_625,0.0,377
CO[C@H]1CN(C(=O)c2nc(C)sc2-c2cccc(Cl)c2)C(C)(c2nc3c(C)cccc3[nH]2)C1,HCRTR1_147,0.0,34
Cc1cc(C)nc(N2CCC3(CCCN(Cc4[nH]ncc4-c4ccccc4)C3=O)CC2)n1,HCRTR1_21,0.0,757
Cc1ccc(-n2nccn2)c(C(=O)N2CCC[C@@H](C)[C@H]2CNc2nc3cc(Cl)ccc3o2)c1,HCRTR1_245,0.0,615
COc1ccc2nc(C)oc2c1C1CCCC(=O)N1Cc1cccc(-c2ccccc2)c1,HCRTR1_440,0.0,495
C[C@@H]1CCCN(C(=O)c2cc(F)c(F)cc2-c2ncccn2)[C@@H]1CNc1ncc(C(F)(F)F)cn1,HCRTR1_176,0.0,664
Cc1ccc(-c2nc(C)sc2C(=O)N2CC[C@H](C)[C@H]2c2nc3cc(C)c(C)cc3[nH]2)cc1,HCRTR1_839,0.0,250
COc1cccc(OC)c1C1CCCC(=O)N1Cc1cc2ccccc2s1,HCRTR1_766,0.0,293
C=C1C[C@@H](c2nc3c(C)cccc3[nH]2)N(C(=O)c2cc(Cl)ccc2-n2nccn2)C1,HCRTR1_28,0.0,154
Cc1ccc(-n2nccn2)c(C(=O)N2CCC[C@@]2(C)c2nc3cc(C(C)(C)C)ccc3[nH]2)c1,HCRTR1_229,0.0,626
Cc1ccc(-c2ccc(C)cc2C(=O)N2CCC[C@@H](C)[C@H]2CNc2ccc(C(F)(F)F)cn2)nc1,HCRTR1_275,0.0,35
COc1cccc(OC)c1C1CCCCC(=O)N1Cc1cccc(-c2ccccc2)n1,HCRTR1_992,0.0,165
Cc1ccc(-n2nccn2)c(C(=O)N2CCC[C@H]2c2nc(-c3ccccc3Cl)no2)c1,HCRTR1_253,0.0,1
O=C(c1ccc(Cl)cc1-n1nccn1)N1CCOC[C@H]1Cc1cc(-n2nccn2)ccc1Cl,HCRTR1_59,0.0,734
COc1cncc(OC)c1C1CCCCC(=O)N1Cc1cccc(-c2csc(C)n2)c1,HCRTR1_562,0.0,421
