SMILES,drug_id,Tanimoto,cluster
COCC(C)(C)c1onc(-c2c(Cl)cc(Cl)cc2Cl)c1C(=O)n1ccc2c(/C=C/C(=O)O)cccc21,IDH1_192,0.0,563
CC(C)O[C@H]1CCC(C(=O)N2Cc3cc(F)cnc3Nc3cc(F)c(N4CC5CCC4CO5)cc32)OC1,IDH1_828,0.0,294
COC(=O)CCc1ccc2c(c1)nc(Nc1ccc(C(C)C)cc1)n2[C@H]1CCCC(C)(C)C1,IDH1_18,0.0,212
CC1(C)CC(n2c(Nc3ccc(OC(F)(F)F)cc3)nc3ccc(OC4CCC4)cc32)CC(C)(C)C1,IDH1_14,0.0,641
O=C(C1CCN(CC(F)(F)F)CC1)N1Cc2cccnc2Nc2cc(F)c(N3[C@@H]4CO[C@H]5[C@@H]4OC[C@H]53)cc21,IDH1_180,0.0,572
CC(C)(C)c1onc(-c2c(Cl)cc(Cl)cc2Cl)c1C(=O)N1CCc2c(/C=C/C(=O)O)cccc21,IDH1_936,0.0,247
CC(C)OC1CCC(C(=O)N2Cc3cccnc3N=c3ccc(=C4CCC(O)CC4)cc32)CC1,IDH1_338,0.0,494
O=C(C1CCN(CC(F)(F)F)CC1)N1Cc2cc(F)cnc2Nc2cc(F)c(-c3cc[nH]n3)cc21,IDH1_351,0.0,488
CCC1CN(c2ccc3c(c2)N(C(=O)C2CCC(OC)CC2)Cc2cccnc2N3)CCO1,IDH1_706,0.0,347
C[C@@H]1C[C@H](n2c(-c3ccc(OC(F)(F)F)cc3)nc3cc(C(=O)O)ccc32)CC(C)(C)C1,IDH1_252,0.0,532
CC1(C)Cc2c(C#N)c(N3CCN(C(=O)CC4COC4)[C@H](C4CC4)C3)nc(C3CC3)c2CO1,IDH1_837,0.0,291
CC(C)(C)c1onc(-c2c(Cl)cccc2Cl)c1C(=O)n1ccc2c(/C=C/C(=O)O)cccc21,IDH1_67,0.0,122
FC1(F)CCC(Nc2nc(NC3CC4(C3)CC(F)(F)C4)nc(-c3cccc(C(F)(F)F)n3)n2)C1,IDH1_28,0.0,22
O=C1OCCN1c1ccnc(NC2(c3cc4cc(Cl)ccc4[nH]c3=O)CC2)n1,IDH1_629,0.0,373
CC[C@@H]1CN(c2nc(C(C)C)c3c(c2C#N)CC(C)(C)OC3)CCN1C(=O)c1ccoc1C,IDH1_0,0.0,59
CS(=O)(=O)N1CCc2c(C#N)c(N3CCN(C(=O)C4CC4)[C@H](C4CC4)C3)nc(C3CC3)c2C1,IDH1_409,0.0,467
CC(Nc1nc(NC(C)C(F)(F)F)nc(-n2ccc(C(F)(F)F)n2)n1)C(F)(F)F,IDH1_311,0.0,506
C[C@@H](Nc1nc(NC(=O)c2ccccc2)nc(-c2cccc(C(F)(F)F)n2)n1)C1CC1,IDH1_572,0.0,403
O=C(C1CCN(C2(C(F)(F)F)CCC2)CC1)N1Cc2cccnc2Nc2ccc(N3CC4CCC3CO4)cc21,IDH1_175,0.0,575
Cn1c(C#N)ccc(NCc2cc3cc(Cl)ccc3[nH]c2=O)c1=O,IDH1_181,0.0,571
COC1CCC(C(=O)N2Cc3cccnc3Nc3ccc(-c4ccnnc4)cc32)CC1,IDH1_11,0.0,642
C[C@H](Nc1nccc(-c2cccn2C)c1F)c1cc2cc(Cl)ccc2[nH]c1=O,IDH1_449,0.0,457
CC(C)Cc1c(C#N)c(N2CCN(C(=O)CCOc3ccccc3)[C@H](C(C)C)C2)nc(C2CC2)c1CO,IDH1_591,0.0,391
Cc1cn(-c2ccnc(N[C@@H](C)c3cc4cc(Cl)ccc4[nH]c3=O)n2)cn1,IDH1_689,0.0,351
COc1cc2c(cc1C(=O)O)nc(Cc1ccc(OC(F)(F)F)cc1)n2[C@@H]1C[C@H](C)CC(C)(C)C1,IDH1_691,0.0,46
N#Cc1ccc(NCc2cc3cc(Cl)ccc3[nH]c2=O)cc1F,IDH1_420,0.0,464
Cc1cc(C)c2nc(Nc3ccc(OC(C)C)cc3)n([C@@H]3C[C@H](C)CC(C)(C)C3)c2c1,IDH1_909,0.0,261
CC(C)O[C@@H]1CCC(C(=O)N2Cc3cccnc3Nc3ccc(N4CCOCC4)cc32)C1,IDH1_114,0.0,213
CC(C)OC1CCC(C(=O)N2Cc3cccnc3Nc3ccc(N4CC5CC(C4)O5)cc32)CC1,IDH1_958,0.0,236
COc1cc2c(cc1CC(=O)O)nc(Nc1ccc(OC(F)(F)F)cc1)n2C1CC(C)CC(C)(C)C1,IDH1_686,0.0,164
Cc1cc(F)c2nc(Nc3ccc(OC(F)(F)F)cc3)n(C3CC(C)(C)CC(C)(C)C3)c2c1,IDH1_894,0.0,265
N=C1COCC(CF)(c2cccc(NC(=O)c3ccc(Cl)cn3)n2)N1,IDH1_186,0.0,567
O=C(C1CCCCC1)N1Cc2cccnc2Nc2ccc(N3CCOCC3)cc21,IDH1_275,0.0,203
FC1(F)CCC(Nc2nc(NC3CCN(c4ccccc4)C3)nc(-c3cccc(C(F)(F)F)n3)n2)C1,IDH1_218,0.0,138
C[C@H](Nc1ncc(F)c(N2C(=O)OC[C@@H]2[C@@H](C)O)n1)c1cccc(OC(F)F)c1,IDH1_303,0.0,110
CC(C)O[C@H]1CCC(C(=O)N2Cc3cccnc3Nc3ccc(C4CC(F)CO4)cc32)OC1,IDH1_248,0.0,533
CC(C)[C@@H]1CN(c2nc(C3CC3)c3c(c2C#N)CC(C)(C)OC3)CCN1C(=O)CCC(=O)OCCO,IDH1_268,0.0,13
CC(=O)N(c1ccnc(N[C@@H](C)c2cc3cc(Cl)ccc3[nH]c2=O)n1)C1CC1,IDH1_172,0.0,145
Cc1nc(C(C)Nc2nccc(N3C(=O)OC[C@@H]3[C@@H](C)OC(C)(C)C)n2)oc1-c1ccc(Cl)cc1,IDH1_836,0.0,292
