SMILES,drug_id,Tanimoto,cluster
C[C@](O)(c1ccc(Nc2nn([C@H]3CCCC[C@@H]3C#N)cc2C(N)=O)cn1)C(F)F,JAK1_548,0.0,451
CCC(CC)n1cc(-c2nc(-c3cnn(C4CC(C(=O)NCCO)C4)c3)cn3nccc23)cn1,JAK1_158,0.0,761
N#CCC1(n2cc(C(N)=O)c(Nc3ccnc(F)c3)n2)CCN(C(=O)CCC(F)(F)F)CC1,JAK1_472,0.0,505
CN1CCC(CCNC(=O)c2ccc(Nc3nc4c(C5=CCN(C(=O)CCC(F)(F)F)CC5)cccn4n3)cc2)CC1,JAK1_59,0.0,2
COC(=O)Nc1nn(C2(CC#N)CCN(Cc3ccc(-c4ccc(C)o4)c(O)c3)CC2F)cc1C(N)=O,JAK1_562,0.0,43
Cc1cc(Nc2cc3nc(CN4CCOCC4)ccc3c(N[C@@H]3C[C@H]4CCC[C@@H](C3)N4S(=O)(=O)N3CCC3)n2)[nH]n1,JAK1_267,0.0,668
N#CCC1(n2cc(C(N)=O)c(Nc3ccccc3)n2)CN(C(=O)OCCCc2cccnc2)C1,JAK1_123,0.0,786
CNC(=O)C1CCCN1CC1CCN(C(=O)Cn2cc(NC(=O)c3cnn4cccnc34)c(-c3cc(Cl)ccc3OC(F)F)n2)CC1,JAK1_224,0.0,707
CN1CCC(N(C)C(=O)c2ccc(Nc3nc4c(Oc5ccc6oc(=O)n(Cc7ccccc7)c6c5)cccn4n3)cc2)CC1,JAK1_49,0.0,837
CCOC(=O)N1CC=C(c2cccn3nc(Nc4ccc(C(=O)N5CCN(CCN6CCOCC6)CC5)cc4)nc23)CC1,JAK1_61,0.0,827
C=CC(=O)N1CC(CCn2c(=O)ccc3cnc(Nc4ccc(N5CCN(C(C)=O)C[C@@H]5C)cc4)nc32)C1,JAK1_878,0.0,194
CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CC(C(=O)N3CCN(C)C[C@@H]3C)N(C)C4)[nH]nc2c1,JAK1_522,0.0,469
N#CCC1(n2cc(C(N)=O)c(Nc3ccccc3)n2)CCN(CC2CCCCC2)CC1,JAK1_307,0.0,634
N#CCN1CCC(n2cc(-c3cc(NC(=O)C4CC4)nc4[nH]ccc34)cn2)CC1,JAK1_767,0.0,276
CN1CCC2CN(C(=O)Cn3cc(NC(=O)c4cnn5cccnc45)c(-c4cc(Cl)ccc4OC(F)F)n3)CCC21,JAK1_427,0.0,3
CS(=O)(=O)NCc1nc2cnc3[nH]ccc3c2n1C1CC2CCC1O2,JAK1_181,0.0,743
C[C@H](NC(=O)c1cc(F)c(N2CC(CC#N)(n3cc(-c4ncnc5[nH]ccc45)cn3)C2)cc1F)C(F)(F)F,JAK1_718,0.0,311
COCCS(=O)(=O)N1[C@@H]2CCC[C@H]1C[C@H](Nc1nc(Nc3cc(C)[nH]n3)cc3ncccc13)C2,JAK1_787,0.0,262
CC(C)OC(=O)C1CC[C@@](CC#N)(n2nc(Nc3ccc4c(c3)CN(C(C)(C)C)S4(=O)=O)c3c(=O)[nH]ccc32)CO1,JAK1_476,0.0,502
CN1CCN(C(=O)Cn2cc(Nc3nc4c(N5CC6CCC(C5)N6S(=O)(=O)c5cccc(C(F)(F)F)c5)cccn4n3)cn2)CC1,JAK1_156,0.0,762
O[C@]12C[C@H]3C[C@H](C[C@H](C1)[C@@H]3Nc1c(-c3cn[nH]c3)cnc3[nH]ccc13)C2,JAK1_479,0.0,499
O=C(CCC(F)(F)F)N1CC=C(c2cccn3nc(Nc4ccc(C(=O)N5CCN(c6cccnc6)CC5)cc4)nc23)CC1,JAK1_865,0.0,203
N#CCN[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1,JAK1_407,0.0,554
Cc1cnc(Nc2ccc(C(=O)Nc3ccccc3N)cc2)nc1Nc1ccc(Cl)c(NS(=O)(=O)C(C)(C)C)c1,JAK1_192,0.0,732
C[C@@H](OC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccnc(F)c3)n2)CC1)C1CC1,JAK1_349,0.0,597
O=C1NOCC1NC[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1,JAK1_342,0.0,603
CN(C)S(=O)(=O)c1ccc(Nc2nn(C3(CC#N)CCN(C(=O)Cc4ccc(C(F)(F)F)cc4)CC3)c3cc[nH]c(=O)c23)cc1,JAK1_506,0.0,80
CN(c1ncc(Br)cn1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,JAK1_549,0.0,450
O=C(Nc1cc[nH]c(=O)c1)c1c(Cl)cccc1Cl,JAK1_152,0.0,766
Cc1cnc(NC(=O)C2CC2)nc1-c1c[nH]c2c(NC(=O)C(C)N3CCN(C)CC3)cccc12,JAK1_681,0.0,343
O=C(N[C@@H](CO)[C@H](O)c1ccc(F)cc1)C1CCN(c2ncnc3[nH]ccc23)CC12CC2,JAK1_331,0.0,10
C[C@H](Nc1c(C(N)=O)cnn2cccc12)C(C)(C)C,JAK1_626,0.0,60
COc1nn(C)cc1Nc1nccc(-c2c[nH]c3c(NC(=O)C(C)N4CCN(C)CC4)cccc23)n1,JAK1_65,0.0,825
CNC(=O)C(=N)c1c(N)cc(-c2cc(F)c(O)cc2CC(F)(F)F)nc1NCc1c(F)cccc1N(C)S(C)(=O)=O,JAK1_651,0.0,370
Cc1cnc(Nc2ccc3c(c2)CCN3S(=O)(=O)c2ccc(C(F)(F)F)cc2)nc1-c1cnn(C2CCC2)c1,JAK1_432,0.0,534
N#CCC1(n2cc(C(N)=O)c(Nc3ccccc3)n2)CN(C(=O)OCCc2ccccc2)C1,JAK1_0,0.0,873
Cc1nc(-c2cc(Cl)ccc2OC(F)F)c(NC(=O)c2cnn3cccnc23)[nH]1,JAK1_804,0.0,250
N#CC[C@]1(n2cc(-c3nc(-c4cn[nH]c4)cn4nccc34)cn2)C[C@@H](C#N)C1,JAK1_348,0.0,598
Cn1cc(Nc2nccc(N3C[C@H]4CC[C@@H](C3)N4C(=O)C3CC(F)(F)C3)n2)cn1,JAK1_185,0.0,739
CN1CCN(C(=O)Cn2cc(Nc3nc4c(N5CC6CCCC(C5)N6C(=O)C5CSC5)cccn4n3)cn2)CC1,JAK1_573,0.0,42
c1cc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)[nH]n1,JAK1_957,0.0,136
CN(c1ncnc2[nH]ccc12)[C@@H]1CCN(c2ccc(C(=O)Nc3nccs3)cn2)C1,JAK1_863,0.0,205
CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](CS(=O)(=O)N2CCC(C(F)(F)F)CC2)C1,JAK1_848,0.0,213
