SMILES,drug_id,Tanimoto,cluster
CN1CCN(c2ccc(Nc3c4ccccc4nc4ccccc34)cc2)CC1,KDM1A_195,0.0,117
Cc1c(C(=O)N2CCC3(CNC3)C2)nc(-c2ccc(C#N)c(F)c2)n1-c1ccc2nn(C)cc2c1,KDM1A_908,0.0,193
COc1ccc(/C=N/NC2N=C(SCC(C)C)NC(c3ccc(OC)cc3)=C2C#N)cc1,KDM1A_847,0.0,240
Cn1cc(-c2ccc(S(=O)(=O)n3ccc(/C=C/C(=O)Nc4ccccc4N)c3)cc2)cn1,KDM1A_694,0.0,348
COc1ccc2nc(-c3nc(C4(CN[C@H]5CC5c5ccccc5)CCC4)no3)sc2c1,KDM1A_958,0.0,154
COc1ccc(-c2c(-c3ccc([N+]#N)c(F)c3)nc(N3CCC(N)CC3)n(CC(=O)O)c2=O)cc1,KDM1A_426,0.0,548
O=C(c1cc(CN[C@@H]2C[C@H]2c2ccc(F)cc2)nc(-c2ccc(N3CCOCC3)cc2)n1)N1CCC(F)(F)CC1,KDM1A_697,0.0,346
CCCSc1nc(Sc2ccccn2)c2nnn(Cc3ccco3)c2n1,KDM1A_918,0.0,183
COCCN1CCC[C@@H](COc2cc(-c3ccc(C#N)cc3)c(-c3cc(C)c(CO)c(F)c3)n3cncc23)C1,KDM1A_369,0.0,106
CN(C)C(=O)CN1CC(CC#N)(N2CCC(N[C@@H]3CC3c3ccccc3)CC2)C1,KDM1A_402,0.0,564
COCCc1ccc(-c2ccc(C(=O)N3CC4(CNCCO4)C3)cc2-c2ccc(C#N)c(F)c2)c(F)c1,KDM1A_216,0.0,694
COc1ccc(CN(CC(=O)N2CCC(F)(CN)CC2)c2ccc(C#N)cc2)cc1F,KDM1A_671,0.0,366
O=C(NC1CC(F)(F)C1)c1cccc(C2CC2NC2CCC(F)(F)CC2)c1,KDM1A_926,0.0,178
CN(C)c1ncc(-c2cnc(N3CCC(N)CC3)nc2-c2ccc(C#N)c(F)c2)cn1,KDM1A_602,0.0,421
CC(=O)N1CCC(N[C@@H]2C[C@H]2c2cc(C(=O)NC3CCC(F)(F)CC3)cs2)CC1,KDM1A_670,0.0,367
CC(C)(O)Cc1ccc(-c2c(-c3ccc(C#N)c(F)c3)nc3c(N4CCC[C@@H](N)C4)nccn23)c(F)c1,KDM1A_707,0.0,341
Cc1ccc(-c2ncc3c(ccn3CC3CCNCC3)c2-c2ccc(C#N)cc2)cc1C,KDM1A_601,0.0,422
CNC(=O)c1ccc(-c2c(-c3ccc(C#N)cc3)nc(N3CCC(N(C)C)CC3)c3cncn23)cn1,KDM1A_572,0.0,443
CC(C)(O)Cn1ccc2cc(-c3ccc(C(=O)N4CC5CNCC5C4)cc3-c3ccc(C#N)c(F)c3)c(F)c(F)c21,KDM1A_636,0.0,394
O=C(c1cccc(CN[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c1)N1CCN(c2ccccc2)CC1,KDM1A_2,0.0,830
c1ccc([C@@H]2C[C@H]2NC2CCN(CCOc3ncnc4ccccc34)CC2)cc1,KDM1A_877,0.0,216
Cc1ccc(-c2c(-c3ccc(C#N)cc3)nc(C(=O)NCC3CNC3)c3nccn23)cc1,KDM1A_564,0.0,447
COc1ccc(-n2c(-c3ccc(C#N)c(F)c3)nc(C(=O)N[C@@H]3CCCNC3)c2Cl)cc1F,KDM1A_598,0.0,424
Cc1nc2cc(-c3cnc(N4CCC(N)CC4)nc3-c3ccc(C#N)c(F)c3)ccc2n1C,KDM1A_874,0.0,219
Cn1cc(NC(=O)c2ccc(F)c(C3CC3NC3CCC3)c2)cn1,KDM1A_268,0.0,666
