SMILES,drug_id,Tanimoto,cluster
Cc1ccc2oc3cc(NCCCN(C)C)c4c(=O)c5ccccc5c(=O)c4c3[nH]c2c1,NR4A1_1,0.0,18
CCN(CC)CCCNC(=O)c1cc2cc(Nc3nccc(-c4sc(NC)nc4C)n3)ccc2[nH]1,NR4A1_17,0.0,7
Cn1cc([C+](c2ccc(C(F)(F)F)cc2)c2c[nH]c3ccccc23)c2ccccc21,NR4A1_23,0.0,2
CC(C)(C)c1ccc(COc2cccc(C(=O)O)c2)cc1,NR4A1_6,0.0,13
Cc1ccc(C)n1-c1ccc(Cl)cc1C(=O)O,NR4A1_0,0.0,19
Cc1ccc(C)n1-c1ccccc1C(=O)O,NR4A1_4,0.0,15
Cc1ccc(C)n1C(Cc1ccccc1)C(=O)O,NR4A1_2,0.0,17
C=c1c(O)c(O)cc2c1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@](C)(C(=O)NCCC)CC[C@]3(C)CC[C@]12C,NR4A1_27,0.0,1
O=C(O)c1cccc(OCc2ccc(Cl)cc2Cl)c1,NR4A1_10,0.0,11
Cc1ccc(C)n1-c1sccc1C(=O)O,NR4A1_22,0.0,4
Cc1cc(N)ccc1N1CCCC1,NR4A1_7,0.0,12
CN(C)CCCNC(=O)c1cc2ccc(Nc3nccc(-c4cccnc4)n3)cc2[nH]1,NR4A1_16,0.0,3
C=c1c(O)c(O)cc2c1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@](C)(C(=O)OCC)CC[C@]3(C)CC[C@]12C,NR4A1_8,0.0,0
O=C(Nc1ccc2nc(-c3ccco3)c(-c3ccco3)nc2c1)N1CCCCCC1,NR4A1_5,0.0,14
CCOc1ccc(C(=O)Nc2ccc(N3CCN(C)CC3)cc2)cc1Br,NR4A1_11,0.0,10
CCCCCCCC(=O)c1c(O)cc(O)cc1CC(=O)OCC,NR4A1_20,0.0,5
COc1cc(-c2nnc(SCc3cc(=O)oc4cc(O)c(O)cc34)o2)cc(OC)c1OC,NR4A1_3,0.0,16
Cc1c(O)c(O)cc2c1C=CC1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@](C)(C(=O)O)CC[C@]3(C)CC[C@]12C,NR4A1_13,0.0,8
FC(F)(F)c1ccc([C+](c2c[nH]c3ccccc23)c2c[nH]c3ccccc23)cc1,NR4A1_12,0.0,9
Cc1ccc(C)n1-c1cc(C(=O)O)cc(C(=O)O)c1,NR4A1_19,0.0,6
