SMILES,drug_id,Tanimoto,cluster
COC(=O)N1CCO[C@@H](Cc2c(-c3c(F)cc(-c4ccn(C(F)F)n4)cc3F)nc3cc(C)ccn23)C1,P2RX3_0,0.0,696
CCc1oc2ccc(Nc3ncc(NC(=O)C4CCOCC4)c(=O)n3Cc3ccc(Cl)c(Cl)c3)cc2c1C,P2RX3_524,0.0,439
Cc1ccc(N2CCc3ncnc(N[C@H](C)c4ccc(Cl)cc4)c3C2)nc1,P2RX3_602,0.0,56
COC(=O)C[C@@H](C)n1c(=O)nc(Nc2ccc(OC(C)C)c(C)c2)n(Cc2ccc(Cl)cc2)c1=O,P2RX3_635,0.0,152
CC(C)c1[nH]nc2c1C(c1ccccn1)N(c1ccc(-c3ccsc3)cc1)C2=O,P2RX3_470,0.0,462
Cc1ccc(Cn2c(Nc3cccc(C4=CCCCC4)c3)nc(=O)n(CC(C)C(=O)O)c2=O)cc1,P2RX3_497,0.0,452
CCn1c(=O)nc(Nc2ccc(Oc3ccsc3C(=O)OC)cc2)n(Cc2ccc(Cl)cc2)c1=O,P2RX3_178,0.0,623
NC(=O)c1cnc(Nc2ccc(Oc3ncccc3F)cc2)n(Cc2ccc(Cl)cc2)c1=O,P2RX3_32,0.0,117
CCOC(=O)c1ccc(N2C(=O)C(=O)C(C(=NO)c3ccc(OC)cc3)C2c2ccccc2)cc1,P2RX3_489,0.0,454
CCCOc1ccc(Nc2nc(=O)n(C(C)(C)CC(=O)O)c(=O)n2Cc2ccc(Cl)cc2)cc1,P2RX3_933,0.0,246
Cc1nc(-c2ccc(N3C(=O)C(=O)C(C(=O)CC(C)C)C3c3ccccc3OCCCO)cc2)no1,P2RX3_4,0.0,694
Cc1ccc(Cc2c(Nc3ccc(OC(C)C)cc3)[nH]c(=O)n(Cc3ccccc3)c2=O)cc1,P2RX3_402,0.0,504
CCc1cnc(-c2cc(OC3CCOCC3)cc(C(=O)N[C@H](C)c3cnc(C(F)(F)F)nc3)c2)s1,P2RX3_262,0.0,579
CC(C)Oc1ccccc1C1C(C(=O)C2CCCC2)C(=O)C(=O)N1c1ccc(-c2ccon2)cc1,P2RX3_682,0.0,356
COC(=O)CC1(Cn2c(=O)nc(Nc3ccc(OC(C)C)c(C)c3)n(Cc3ccc(Cl)cc3)c2=O)CC1,P2RX3_95,0.0,177
CCc1[nH]c2ccc(Nc3nc(=O)n([C@@H](C)C(C)C(=O)O)c(=O)n3Cc3ccc(Cl)cc3)cc2c1C,P2RX3_580,0.0,407
CC(C)(C)C(=O)C1C(=O)C(=O)N(c2ccc(-c3ccon3)cc2)C1c1ccccc1OCC#N,P2RX3_65,0.0,197
CCc1oc2ccc(Nc3ncc(CC(=O)O)c(=O)n3Cc3ccc(Cl)cc3)cc2c1C,P2RX3_952,0.0,97
CC[C@@H](CO)Nc1nc(N)ncc1Oc1cc(Br)ncc1C(C)C,P2RX3_74,0.0,140
CCC(Nc1ncnc2c1CN(c1ccc(C)cn1)CC2)c1ccccc1,P2RX3_209,0.0,601
Cc1cc(-c2ccc(N3C(=O)C(=O)C(C(=O)C(C)C)C3c3ccccc3CC(=O)N3CCCC3)cc2)cs1,P2RX3_59,0.0,670
CC(C)(C)c1[nH]nc2c1C(c1ccccc1OCC(=O)O)N(c1ccc(-c3ccon3)cc1)C2=O,P2RX3_541,0.0,429
CC(Cn1c(=O)nc(Nc2ccc(N3CCCCC3)c(F)c2)n(Cc2ccc(Cl)cc2)c1=O)C(=O)O,P2RX3_925,0.0,251
Cc1nsc(Oc2ccc(Nc3ncc(NC(=O)C4CCOCC4)c(=O)n3Cc3ccc(Cl)cc3)cc2)n1,P2RX3_28,0.0,204
CC(C)Oc1ccc(Nc2nc(=O)n(CCCN=C(N)N)c(=O)n2Cc2ccc(Cl)cc2)cc1F,P2RX3_504,0.0,169
COC(=O)N1CCO[C@@H](Cc2c(-c3c(F)cc(-n4ccnc4)cc3F)nc3cc(F)ccn23)C1,P2RX3_843,0.0,284
COCCOc1ccc(Nc2nc(=O)n(CC(C)C(=O)O)c(=O)n2Cc2ccc(Cl)cc2)cc1Cl,P2RX3_335,0.0,534
CC(C)n1ccc(Nc2ccc(Oc3cccc(C(=O)O)n3)cc2)c(Cc2ccc(Cl)cc2)c1=O,P2RX3_301,0.0,551
CC#CCOc1cc(C(=O)N[C@H](C)c2ccc(C)nn2)cc(-c2ncc(C)s2)c1,P2RX3_731,0.0,333
