SMILES,Tanimoto,drug_id,cluster
CC#Cc1ccccc1Oc1ccc(C(=O)O)c(NCC(C)C(O)c2ccccc2O)c1,0.3852,CCR9_4,10
Cc1cc2cnc3ccccc3c2cc1C(=O)OCC(C)C,0.3384,CCR9_191,25
CC(=O)C1=NCc2ccc(-c3ccccc3)cc2N1,0.3252,CCR9_57,29
O=C(O)c1cc2ccccc2cc1O,0.2043,CCR9_184,105
CC=C1CCC=C(C=CC(=O)O)C(=O)n2cccc21,0.3759,CCR9_129,92
CCc1c(F)cc(CN2CC=Cc3c(C)cc(CC(=O)O)cc32)c(O)c1O,0.4788,CCR9_162,19
O=C(O)CCC12CCc3ccccc3C1=C(CC=CC1=Cc3ccccc3NC1)CNC2=O,0.4975,CCR9_276,26
COc1ccc(C(O)c2cc(O)ccc2OC2=Cc3ncccc3CCCC2)cc1,0.4232,CCR9_164,58
CC#Cc1ccccc1Oc1ccc(C(=O)O)c(NCCCC2CCCC2)c1,0.3382,CCR9_10,159
CC=CC=C(C(=O)O)c1ccc2c(c1)CNC(=O)COC2,0.3229,CCR9_43,38
Cc1cc2c(cc1O)C(O)(c1cc(C(=O)O)c(O)c(C(=O)O)c1O)CC2,0.4359,CCR9_167,59
CCCC(C)c1cc(CC)cc(CC2CC3CCCCC3C(O)O2)c1CO,0.3194,CCR9_72,53
CC1OC(CC=Cc2ccccc2)Nc2ccccc21,0.321,CCR9_208,144
CCc1cc(O)cc2c1C(=O)N(Cc1cc(F)c(Cl)c(O)c1O)CC2,0.4586,CCR9_264,66
CC(C)(O)Cc1ccc(COC(=O)c2ccccc2)cc1,0.2029,CCR9_118,150
CCc1cccc(C(=O)NC(O)c2cc(OC)cc(O)c2Oc2cccc(O)c2)c1,0.3978,CCR9_212,132
Cc1cc(-c2ccccc2)cc2c1C=CCN2Cc1ccc(Cl)c(O)c1O,0.4585,CCR9_76,95
CC(C)CC1=NC(C2CCC(C)(C)CC2)N=C1NC(=O)c1ccccc1O,0.3755,CCR9_6,97
COc1ccc2c(c1)C(=CC(O)c1cc3ccccc3cc1O)Oc1ccc(O)cc1C2O,0.4793,CCR9_17,112
CC1=CCC2CC(CCC(C)(C)C)Nc3c(C(N)=O)cccc3C2=C1,0.4635,CCR9_3,74
CC1=CC(=O)C(O)=C2C=C(COCC(C)(C)C)C(C(=O)O)=CC12,0.2946,CCR9_96,88
CC#Cc1cccc(O)c1Oc1ccc(C(=O)O)c(NCCC(CO)OC)c1,0.3812,CCR9_154,111
Cc1cc(O)c(C(=O)O)cc1Cl,0.2233,CCR9_48,87
CCCCCC(Cc1cc(F)c(OC)cc1C)c1cccc(C(=O)O)c1,0.3278,CCR9_7,160
CC12CCCCC1NCC(C=CCC1=C3c4ccccc4CCC3(CCC(=O)O)C(=O)NC1)C2,0.4603,CCR9_147,89
CC#Cc1cccc(O)c1Oc1ccc(C(=O)O)c(NCCCC(C)(C)C)c1,0.3722,CCR9_277,106
CC#Cc1cccc(O)c1Oc1ccc(C(=O)O)c(NCC(C)CC(C)(C)C)c1,0.3759,CCR9_230,32
CC#Cc1ccccc1Oc1ccc(C(=O)O)c(NCC(C)CC2CCCC2)c1,0.3447,CCR9_25,110
CC=CCCc1cc(C(C)O)c(CCC2(C)CCCN2)cc1C(=O)O,0.3101,CCR9_227,140
C=CCC(C)=CN=Cc1cc2cnc3c(c2cc1C(=O)OCC(C)C)CCC(C)C3,0.425,CCR9_278,68
CC(O)CC1CCC2N=CC=C2COC(=O)c2cc3c4c(ncc3cc2C=NC1)CC(C)CC4,0.496,CCR9_299,135
COc1ccc2c(c1)C(=CC(=O)O)Oc1ccc(O)cc1C2O,0.4287,CCR9_252,18
NC(=O)C(=O)Oc1ccccc1,0.1358,CCR9_163,101
CC=CCCc1cc(C(C)=O)c(CCC2(C)CCCN2)cc1C(=O)O,0.3035,CCR9_84,152
CC(O)CC1=NC(C2=CCCCCCC=CC2)N=C1NC(=O)c1ccccc1O,0.4288,CCR9_283,21
COCc1cc(C(=O)N2Cc3ccc(O)cc3Oc3c(O)cc(OC)cc3C2O)ccc1O,0.4506,CCR9_226,2
O=C(O)CCC12CC=Cc3ccc(O)c(c31)NC2=O,0.4941,CCR9_178,73
Cc1cc(C)c(C(=O)N2CC3CC(=O)NC3C2=O)cc1O,0.4527,CCR9_34,27
COc1cc(O)cc(C(=O)O)c1,0.1698,CCR9_285,36
COc1ccc(C(O)c2cc(O)ccc2OC2=CC3(C)CCCC3CCC2)cc1,0.3349,CCR9_180,64
CC=C(C)COC(=O)c1cc2c3c(ncc2cc1C=NCCCCC)CC(C)CC3,0.4252,CCR9_135,57
CC1=CC(=O)C(O)=C2C=C(COCCC(C)O)C(C(O)O)=CC12,0.291,CCR9_296,136
CCC1CC(O)C(C(=O)O)(c2ccc3cc(O)ccc3c2)c2ccccc21,0.4341,CCR9_201,52
Cc1cc(C(=O)CO)cc2c1C=CCN2Cc1ccc(Cl)c(O)c1O,0.4652,CCR9_151,7
COc1cccc(C=CC(=O)O)c1,0.1561,CCR9_275,138
OCc1ccc2ccccc2c1,0.1243,CCR9_253,40
COc1ccc(C(O)=C2CC(C)CCC3C4CC(=O)c5ccccc5CCCC4CN3C2=O)cc1,0.4441,CCR9_221,76
CCC(c1cccc(OC(=O)c2ccccc2O)c1)C(O)C=CCC(N)=O,0.3204,CCR9_288,41
COc1cc(O)c2c(c1)CN1C(O)C1c1ccc(O)cc1O2,0.3886,CCR9_143,8
CCc1cccc2c1C(=O)N(Cc1ccc(Cl)c(O)c1O)C(C)O2,0.4533,CCR9_148,149
CC=C(C)COC(=O)c1cc2c(cnc3ccccc32)cc1C,0.3323,CCR9_176,67
C=CC=C1CC(O)=CC=C1CCNC(C)=O,0.1802,CCR9_211,142
CCCC(C)=CCc1cc(C2(O)CCc3cc(C)c(O)cc32)c(O)c(C(=O)O)c1O,0.4516,CCR9_303,15
CC1CC(O)CC1CCC(=O)CC(=O)n1ccc(=O)cc1,0.1972,CCR9_146,13
CCc1ccc(O)cc1NC(=O)c1cc(F)c(C(C)C)cc1O,0.4081,CCR9_53,14
Cc1cccc(C=CCC2=C3c4ccccc4CCC3(CCC(=O)O)C(=O)NC2)c1,0.448,CCR9_38,5
COc1ccc(C2C(=O)Nc3nc(C)nc(=O)n32)cc1,0.4534,CCR9_79,154
CCCCC(C=CCC1=C2c3ccccc3CCC2(CCC(=O)O)C(=O)NC1)CO,0.4449,CCR9_181,96
COc1cc(O)c2c(c1)CN1CC1c1ccc(O)cc1O2,0.3524,CCR9_15,103
CC1=CCC2COC(C(=O)O)CC2=C1,0.2109,CCR9_287,84
NC(=O)c1cccc(C2=CCC=CC2=O)c1N,0.3667,CCR9_20,94
CC=CCCC(Cc1ccc(CC)c(O)c1C)c1cccc(C(=O)O)c1,0.2976,CCR9_301,71
