SMILES,Tanimoto,drug_id,cluster
CC1=CNc2ccc(CC(=O)O)cc2C1=Cc1ccccc1-c1ccc2c(O)c(O)ccc2c1,0.4992,ESR1_210,59
CCCCC1=CC(CC=C(CC=O)CC2OC(C)(C)c3c(OC)cccc32)=CC(=CC(=O)O)CC1,0.4995,ESR1_141,26
CC(=O)Nc1cccc(C(C)CCc2cc(O)ccc2-c2ccc(O)cc2)c1,0.4522,ESR1_359,3
Oc1cccc(Nc2ccc3c(c2)NC=CC3=Cc2ccccc2-c2ccc3c(O)c(O)ccc3c2)c1,0.4485,ESR1_261,25
C=C1C(=O)CCC2=C1CC(c1ccc(OCC)c(Cc3ccc(CCO)cc3)c1C)CC2,0.4925,ESR1_199,60
CC1=C2C=CC(C)CC2=C(c2ccc(O)c(C)c2)C1C,0.4845,ESR1_69,63
CC1CCC(O)C1,0.1556,ESR1_235,49
CCC1=CC2=CCc3c(C(=O)O)cccc3C2C(O)C1,0.4843,ESR1_18,52
CC(=O)Nc1cccc(C(CCc2cc(O)ccc2-c2ccc(O)cc2)=NO)c1,0.43,ESR1_45,31
COc1cc2ccccc2cc1-c1ccc(Cc2cccc3ccc(CC(C)C)cc23)c(O)c1,0.4977,ESR1_61,22
O=C(NC(=O)c1ccccc1O)c1ccc(C(O)c2ccccc2Oc2cccc(O)c2)cc1,0.3912,ESR1_105,4
CC(O)=CC1OC(C)(C)C(C)=C1c1ccc(O)c(C)c1,0.4646,ESR1_342,36
CCNC(=O)c1ccc(-c2ccc(Cc3cccc4ccc(CC(C)C)cc34)c(O)c2)c(OC)c1,0.4576,ESR1_343,23
Cc1ccc(C)c(NC(=O)c2ccc(F)c(-c3c(C)cccc3Cc3c(O)cccc3F)c2)c1O,0.4946,ESR1_288,20
Cc1ccc(C2C=Cc3c(O)cccc32)cc1,0.4408,ESR1_121,13
CC(O)=CC1OC(C)(C)C(C)=C1c1ccc(O)cc1,0.4403,ESR1_243,47
Cc1cc(-c2ccc3c(c2)CCOC3)ccc1O,0.4789,ESR1_42,64
O=C(NC(=O)c1ccc(C(O)c2ccccc2Oc2cccc(O)c2)cc1)C1=CCC=C1O,0.4199,ESR1_428,53
O=C(O)CCNC(=O)c1ccc(CC=CC(C(=O)O)=C2C=C[SH]=C2)c(C(F)(F)F)c1,0.4067,ESR1_84,62
CC1=CNc2c(O)cccc2C1=Cc1ccccc1-c1ccc2c(O)c(O)ccc2c1,0.4995,ESR1_215,41
O=C(O)C1=CC(C(=O)NC(=O)c2ccc(C(O)c3ccccc3Oc3cccc(O)c3)cc2)=CC1,0.446,ESR1_422,54
COc1ccc(C=C2C=CC(C3=C(c4ccc(O)c(C)c4)CC4=C3CCCC4)CC2)cc1,0.4834,ESR1_152,1
OC1=CNc2ccccc2C1=Cc1ccccc1-c1ccc2c(O)c(O)ccc2c1,0.4553,ESR1_339,7
Cc1c(OC(=O)C=C2CC3C(c4ccc(O)cc4)CCC4CCCC(C2C)C43)cccc1-c1ccc(O)c(O)c1,0.4727,ESR1_259,44
CC1=NCC=C1CNC(=O)c1ccc(C2(O)OC(CCC(=O)O)Cc3ccccc32)cc1,0.4905,ESR1_20,24
O=C(O)Cc1cc(Cl)ccc1-c1ccc(O)c(O)c1,0.3994,ESR1_384,12
CC(O)OCC1C(c2ccc(O)cc2)=CCc2cocc21,0.4935,ESR1_249,58
O=C(O)c1cccc2c1CC=C1C=CC(CO)=C(O)C12,0.4829,ESR1_366,10
COc1cccc(F)c1CCC1=CC(=Cc2cccc(C)c2-c2ccc3c(O)c(O)ccc3c2)C=C(O)C1,0.4759,ESR1_119,14
OC=CC(=Cc1ccccc1-c1ccc2c(O)c(O)ccc2c1)C1=C=c2cc3cccc(O)c3cc2=C1,0.4514,ESR1_64,0
