SMILES,Tanimoto,drug_id,cluster
COCC1(c2cccc(Oc3ccccc3O)c2)Cc2ccccc2C(=O)N1,0.4517,FTO_229,128
Cc1ccc2cccc(C(C)(C)CCC(=O)OO)c2c1,0.2388,FTO_350,155
Cn1c(=O)c2ccccc2c2c(Oc3ccc(C(=O)CC(=O)O)cc3)c(F)ccc21,0.4553,FTO_347,143
Cc1cccc(Cc2ccnc3ccccc23)c1,0.3479,FTO_82,198
O=C(O)CCc1ccc(-c2cc3c(O)c(O)ccc3c3ccccc23)cc1,0.2328,FTO_219,46
CC=C1C=CC(C)=C2C3=CC=CC4CC(Cc5cc(O)cc(C(=O)O)c5)CC(=C34)C12C,0.3646,FTO_66,204
O=C(O)CNC(=O)C=CC=Cc1ccccc1,0.171,FTO_225,127
COc1c(O)ccc2c1Cc1c(cc(-c3ccc(CCC(=O)O)cc3)c3c1CCCC3)CC2,0.4296,FTO_135,151
CC1=C=C2C(=C3CCOC(=O)C=C13)CC(C)c1ccccc12,0.4741,FTO_361,168
CC1CC(OC(=O)CN(C)C(=O)c2ccc(F)c(Oc3ccc(C(=O)CC(=O)O)cc3)c2)CN(C)C1,0.4067,FTO_6,52
COc1ccc(F)cc1Cc1cc(CNCC2=CCC(F)=CC2)cc2ccccc12,0.3225,FTO_305,119
O=C(O)CC(=O)c1ccc(Oc2cc(C(=O)N3CCc4cc(OCC(F)(F)F)ccc4C3)ccc2F)cc1,0.4144,FTO_34,6
CC(c1ccccc1)c1cccc(C(=O)NCCO)c1,0.2788,FTO_70,203
O=c1cc(Cc2ccccc2)c2ccc(Oc3ccc(O)cc3O)cc2[nH]1,0.3556,FTO_8,81
O=C(Nc1cccc(C(=O)O)c1O)C1=Cc2cccc3cccc(c23)C1,0.4,FTO_356,61
Cc1cc(=O)oc2ccc(C3=CC=CC3CC(=O)O)cc12,0.341,FTO_331,173
Cc1cc(C23CCCC(CC2)C3)ccc1CCCCC(=O)O,0.2304,FTO_364,72
CC1CCC2C(=O)C3=C(OC12)C(C)(c1ccccc1)CC=C3,0.4746,FTO_213,148
CC1Cc2cnc(N)nc2Cc2cc(C(=O)N3CCOCC3)cc(C=CC=CC(=O)CC(=O)O)c2C1,0.4598,FTO_268,112
COc1ccc(Cc2cnnc3c(O)cc(-c4ccc(C=NOCCN)cc4)cc23)cc1C,0.4021,FTO_180,23
CC(c1ccccc1)c1ccc(C(=O)C(=O)O)cc1,0.2151,FTO_249,66
Cc1csc(C)c1C=Cc1cc(C=CC=CC(=O)CC(=O)O)cc(C(=O)N2CCCCC2)c1,0.319,FTO_7,208
CC(CO)C(=O)O,0.1198,FTO_336,97
Fc1cccc2ccccc12,0.1318,FTO_277,108
Cc1cccc2c1CCN(C(=O)c1ccc(F)c(Oc3ccc(C(=O)CC(=O)O)cc3)c1)C2,0.3916,FTO_161,158
Cc1ccc(O)c(CNC(=O)C2CC(C(=O)NCCOC(C)(C)C)N(C(=O)c3ccccc3)C2)c1O,0.4415,FTO_218,186
