SMILES,Tanimoto,drug_id,cluster
COc1ccc2c(c1)CC(CC(=O)O)N1CCCC(CC(=O)O)C21,0.3975,GRIK1_58,32
CCCCCOC1OC(=O)C(O)C2=NC3OCC(CO)C3=C=C21,0.4273,GRIK1_76,128
CC12C3CCC4CC(O)C(=O)C(CCC1C(C(=O)O)C3)C42,0.3196,GRIK1_140,105
NCC1CN(C(=O)O)CC1C(C(=O)O)c1ccoc1,0.3333,GRIK1_7,68
O=C1CC2CNCC3C(c4ccc(O)c(O)c4)OC(C(=O)O)(C1)C23,0.4364,GRIK1_211,86
C1=CN=CC1,0.0688,GRIK1_152,100
CCc1ccccc1COC(=O)CC(N)C(=O)O,0.2865,GRIK1_113,114
NCC1C(c2ccc(O)c(O)c2)OC(CO)(C(=O)O)C1O,0.3837,GRIK1_190,64
O=C(O)CCC1CN(CCO)C(=O)COC1=O,0.2801,GRIK1_162,23
CCC1=C(C(O)C(CO)CO)C(O)CC(NCC(=O)O)C1,0.3356,GRIK1_173,96
COc1ccc2c(c1)C1CC(O)CC1(C)N1CCCC(CC(=O)O)C21,0.4557,GRIK1_201,62
O=C(O)C1=CC2=NCSC2=C(C(=O)O)C1O,0.327,GRIK1_142,45
NC1C(C(=O)O)CC(=O)CC1c1ccccc1N1CCCNC1=O,0.4148,GRIK1_12,41
C=CCC1(C)C(O)C(O)C(O)C1CCC(N)C(=O)O,0.3348,GRIK1_182,93
O=C1C=C(NO)NC2C(=O)C(O)C(C(O)C(CO)CO)CC12,0.3738,GRIK1_6,142
CC12CC(CO)C3NCC(C(=O)O)CC3C1C(C)(O)C(O)C2=O,0.3862,GRIK1_153,58
O=C1N=C(NO)NC2C(=O)C(O)C(C(O)C(CO)CO)CC12,0.3621,GRIK1_112,115
CNC(O)CC1CCCN2C(CC(=O)O)Cc3cc(OC)ccc3C12,0.3992,GRIK1_206,49
COc1cccc2[nH]c(=O)[nH]c3cc(O)ccc3ncc12,0.3308,GRIK1_127,34
O=C1CC2N=C(C(=O)O)CC(=O)N3CC(O)CC4C(=O)CC5(N1)C2C5C43,0.4025,GRIK1_4,15
CC1=C2C(CC1)OC=NC(=O)C2C1CN(C(=O)O)CC1CN,0.3848,GRIK1_65,37
CC1C2C3=NC(=O)CC(=N3)N=C(C(=O)O)CC(=O)N3CCC1(C)C31CC21,0.4217,GRIK1_114,113
C=C(C(=O)O)C(O)COC(C(=O)NCCC(N)=O)C(=O)OC,0.3082,GRIK1_145,63
CN(C(=O)C1=CCN=C1)C1CC2CC=CC3(CO1)C(O)=CC(=O)CC23,0.3668,GRIK1_39,60
O=C1CC2N=C(C(=O)O)C3C(=O)N4CC(O)CC(C(=O)O)C4C45C(N1)C24C35,0.4646,GRIK1_202,81
c1cn[nH]c1,0.0282,GRIK1_146,103
COc1ccc2c(c1)CC(C)(C(=O)O)N1CCCC(CC(=O)O)C21,0.4297,GRIK1_198,69
O=C1OC2CCC3CC=C4COC5N=C(C1O)C2C3=C45,0.4533,GRIK1_191,77
CC1(C(O)CO)C(O)C(O)C(O)C1CCC(N)C(=O)O,0.3438,GRIK1_200,55
CC12Cc3cscc3CC(=O)NC1CC(C(=O)O)C2O,0.3935,GRIK1_139,106
CC12CNC(=O)NCC(=O)NC1CC(C(=O)O)C2O,0.3488,GRIK1_136,50
CC12CCN3C(=O)C4C(C(=O)O)=NC5CC(=O)N(CCC1=O)CC5C4C32,0.4196,GRIK1_154,99
COc1ccc2c(c1)CC(O)N1CCCC(CC(=O)N(C)O)C21,0.4073,GRIK1_11,19
CC12COCCNC(=O)C(=O)NC1CC(C(=O)O)C2O,0.4025,GRIK1_14,0
CCNC1C(CC(O)OCC(=O)O)CC(CO)C1O,0.3628,GRIK1_155,98
CC12C(C=O)CC(C(=O)O)C1CCC1C(=O)CCCCC12,0.3675,GRIK1_170,44
CC12Cc3cnccc3CC(CCN)NC1CC(C(=O)O)C2O,0.3999,GRIK1_210,82
COC(C(CCN)C(=O)O)C(CCC(=O)O)C(=O)O,0.4378,GRIK1_24,138
O=C1CC2N=C(C(=O)O)C3CC2C2C(CCC4CC(O)CN(C3=O)C42)N1,0.3867,GRIK1_151,80
O=C1CC(CCO)C2=CC(CN2)CC(C(=O)O)NCCC(CO)N1,0.424,GRIK1_59,70
COC,0.0192,GRIK1_44,11
COc1ccc2c(c1)CC(CC(=O)O)N1CCCC(Cc3cc(O)no3)C21,0.4428,GRIK1_185,91
CC1(O)C(O)C(O)C2CCC3NCC(C(=O)O)CC3C21,0.3811,GRIK1_28,43
O=C(O)C1Cc2c(F)ccc(-c3ccccc3)c2CN1,0.3696,GRIK1_48,75
NC1c2c(F)ccc(-c3ccccc3)c2CNC1C(=O)O,0.4198,GRIK1_71,20
Cc1ccc(OC2OC(=O)C(O)C3=NC4OCC(C)C4=C=C32)c(C=O)c1,0.4997,GRIK1_124,110
CN1CC2OCCC3NCC(CCC(N)C(=O)O)C(C1)C32,0.42,GRIK1_156,57
CC1CC2C(N)C3CNC(C(=O)O)CC3CN2C1=O,0.4761,GRIK1_125,109
