SMILES,Tanimoto,drug_id,cluster
CC=CCNC(=O)CNC(=O)c1cccc(C)c1,0.3236,HCRTR1_285,15
Cc1ccc2c(C)c1Cc1ccccc1C=NC(=O)C(C=CC(=O)O)=Cc1c(F)ccc(C(=O)c3ccccc3)c1C2,0.4532,HCRTR1_52,1
Cc1cc(-c2cccc(O)c2)c(CC(C)C)cc1OCc1c(C)cccc1O,0.3936,HCRTR1_82,68
CCC1CCOc2cc(c(-c3ccccc3)cc2C)CC(C)CCCNC(=O)CC1,0.4573,HCRTR1_191,14
COC(=O)C1=C2CC(N)CCC2CCC2=CCCC21C,0.3441,HCRTR1_261,61
CC12CCC=C1CCC1CCCC3CC1=C2C(=O)OCCC3O,0.3408,HCRTR1_453,53
Cc1ccc(OCC(=O)O)cc1COc1cc(CC(C)CCNC(N)=O)c(-c2ccccc2)cc1C,0.4194,HCRTR1_167,65
OCc1ccc(C2OC(CO)CC2O)cc1CC1CCCC1C1CCC=CCC1,0.3855,HCRTR1_146,6
COC(=O)c1cc(OCCO)cc(F)c1C,0.3221,HCRTR1_253,22
COc1c(O)cc(Cc2cc(F)ccc2C(=O)c2ccccc2)c2c1OC(CC=C(O)C(C)C)=CCC=C(O)O2,0.481,HCRTR1_164,35
CCCCOc1c(OC)ccc(Cc2cc(F)ccc2C(=O)c2ccccc2)c1OCC,0.3787,HCRTR1_449,54
CCc1ccc(O)c(OC(c2ccc(C)s2)C(CC)COC(CC(C)CC(N)=O)C(=O)O)c1,0.4725,HCRTR1_327,37
CC(C)CNCc1ccc(Oc2cccc(F)c2F)cc1,0.2906,HCRTR1_275,60
CCCC1CCCCCCCC2(C)CCCC2CC(=O)c2cccc(c2)C(=O)NCC2CCCN(C1)C2=O,0.4319,HCRTR1_1,2
CC(CCC1CCCCC1C)CCC1(C(=O)CCC(=O)O)CCC(C)C2C(O)COC21,0.2435,HCRTR1_313,43
Cc1ccc(Cc2c(C)ccc(Cc3cc(F)ccc3C(=O)c3ccccc3)c2C)c(F)c1,0.2697,HCRTR1_400,19
CC1(C)CCC(C)(C)C(O)C1O,0.1207,HCRTR1_443,27
CC=CN=CC1NC(=CC(=O)O)C=C1Cc1c(C)ccc(Cc2cc(F)ccc2C(=O)c2ccccc2)c1C,0.4817,HCRTR1_403,21
CCCc1cc(CN(C(=O)CC)c2cc(C)c(C)c(C(N)=O)c2)c(-c2ccc(F)cc2)cc1C,0.4909,HCRTR1_233,34
CCOC(=O)c1cc(OCC(O)C(O)C(O)C(O)OC(C)(C)C)cc(F)c1C,0.393,HCRTR1_57,70
CCc1c(C)cc(OC)cc1COc1cc(CC(C)C)c(-c2ccccc2)cc1C,0.3953,HCRTR1_305,58
CCC1CC2=CNC(=O)C3CC(CCC4=CCNC4=O)C(C=C23)C(=O)N(C(C)C)CCNC(=O)C2C=C1C(C)=C2F,0.4693,HCRTR1_225,16
CC=C(C)C1(CCC(C)CCC(C)(C(=O)CCC)C2OCC(C)C2C)CCCC1,0.2407,HCRTR1_481,50
Cc1ccc(NC(=O)C(C)(O)c2ccc(C(C)C)c(=O)[nH]2)cc1,0.4227,HCRTR1_184,63
CC(C)c1ccc(C(C)(O)C(=O)Nc2ccc(Cl)cc2)[nH]c1=O,0.429,HCRTR1_380,56
Cc1ccc(F)c(Oc2ccc(CNC3CCCC3C)cc2)c1,0.333,HCRTR1_413,44
CCCn1cc(C=NC=CC(=O)O)c(Cc2c(C)ccc(Cc3cc(F)ccc3C(=O)c3ccccc3)c2C)c1,0.3776,HCRTR1_303,0
CC1CCCC(C)C(C)CC(=O)NC(C)OC(=O)C2CCC3(C)C(=CC(C(=O)CCC(=O)O)(CC1)C1OCCC13)C2,0.4176,HCRTR1_122,33
CCC1(C)CC2CC(C)C(=O)c3ccc(F)cc3C2c2cc(C(N)=O)ccc21,0.4828,HCRTR1_192,9
