SMILES,Tanimoto,drug_id,cluster
O=C1OC2c3ccccc3OC2C(O)C(O)C1O,0.4804,IDH1_103,9
NC(=O)C=CCC1CCN(CCCCO)c2ccccc21,0.4099,IDH1_8,25
O=C1NCCC(O)C2=C1N(c1cccc3ccccc13)CC2O,0.4894,IDH1_84,63
Oc1nccc2c(F)c(Cc3ccccc3F)ccc12,0.309,IDH1_145,46
NC(Nc1cc(OC(F)(F)F)ccc1-c1ccccc1)=C1C=CC=CN1,0.3437,IDH1_111,58
CN1CCN(Cc2ccccc2CNC(=O)C2CCCC2)CC1,0.2656,IDH1_132,55
Cc1cncc(NC(=O)C2(C)CCC3CCCCC32)c1CC(=O)O,0.4247,IDH1_15,79
Cc1cc2c3cc1CCCNC(=O)NC(=O)CNCc1cc-3c3c(cccc3c1)O2,0.4432,IDH1_68,30
CNC(=O)c1c(CC(C)(C)C2CCCC2C)cc(-c2ccccc2)c(O)c1O,0.4305,IDH1_127,37
CCc1cc(C)c2ccc3c(=O)n4c5c(cccc5c3c2c1)C=CC4,0.4603,IDH1_105,47
CCCCC,0.0162,IDH1_85,38
CCNC1N=C(OC)C(c2cccc(C)c2)C(C(O)=C2C=CC=C2)=N1,0.4755,IDH1_110,26
OCCCCN1CCC(CCC2CCCCC2)c2ccccc21,0.4048,IDH1_130,1
CC(O)=CCc1cc(O)c(F)c(-c2ccccc2)c1C,0.3631,IDH1_125,33
O=C1CC(O)CC2C(c3ccc4ccccc4c3)CCN12,0.3928,IDH1_71,23
Cc1cc(-c2c(C)cc(CC(=O)O)cc2-c2cccc3ccccc23)cs1,0.3532,IDH1_67,32
CCNC1N=C(OC)C(c2cccc(C)c2)C(c2cccc(OC)c2)=N1,0.4498,IDH1_60,70
O=C(O)c1n[nH]cc1-c1ccc2c(c1)-c1cccc3cccc(c13)O2,0.4151,IDH1_78,66
Fc1ccccc1Cc1ccc2c(c1F)CC=CN2,0.3134,IDH1_17,49
C=CC1CCN(Cc2ccccc2CNC(=O)c2cc(N)ncc2F)C1,0.3906,IDH1_31,75
NC(=O)c1ccc2c(c1)-c1cccc3cccc(c13)O2,0.3404,IDH1_75,68
CC(COc1ccnc2ccccc12)N(CC(N)=O)Cc1ccccc1,0.4123,IDH1_54,50
Cc1ccc2c(c1)CC(=O)C(C#N)=C2,0.2768,IDH1_28,39
NC(=O)c1ccc(-c2ccccc2)cc1,0.1905,IDH1_98,41
CCc1cc(C)c2ccc3cc4ccccc4cc3c2c1,0.1652,IDH1_91,18
CC(O)(CCCCCC1CCCC1)CC(N)=O,0.1212,IDH1_50,7
Cc1c(-c2ccc3c(c2)-c2cccc4cccc(c24)O3)c(C(N)=O)nn1C,0.4787,IDH1_94,45
CCc1cc(C)c2cccc(-c3cccc(C(N)=O)c3)c2c1,0.2822,IDH1_79,65
Nc1ccc(N2CCCCC2)cc1,0.1838,IDH1_56,71
Nc1nc2c(-c3ccccc3)c(F)ccc2c(=O)[nH]1,0.4043,IDH1_106,53
CCc1cc(C)c2ccc3ccc(-c4cnn(C)c4)cc3c2c1,0.3028,IDH1_42,73
Cc1cc(O)cc(-c2c(C)cc(CC(=O)O)cc2-c2cccc3ccccc23)c1,0.3242,IDH1_2,12
CCc1cc(C)c2ccc3c4c2c1CCc1ccc2cccc(c2c1-4)C3,0.4011,IDH1_80,6
CN1CCN(Cc2ccccc2CNC(=O)C2C=CCC2)CC1,0.2916,IDH1_100,15
Cc1ccc(F)c(-c2ccncc2NC(=O)C2(C)CCC3CCCCC32)c1,0.425,IDH1_119,56
NC(=O)N1Cc2cccc3cccc(c23)C(C2C=CCCCC2)C1=O,0.4791,IDH1_9,81
Cc1cc2c(cc1CCCNCCCO)-c1cccc3cccc(c13)O2,0.3783,IDH1_72,3
NC(=O)c1cc(F)cc(-n2c(=O)c(-c3ccccc3)cc3ccccc32)c1,0.481,IDH1_36,42
C1=c2ccncc2=CN(C2CCOc3ccccc32)C1,0.4391,IDH1_53,5
CC1=CC(c2c(C)cc(CC(=O)O)cc2-c2cccc3ccccc23)CNC1C,0.4381,IDH1_23,14
Cc1ccc2cc3cc(c2c1)C(C)(O)OCCOCOCC=CCC(=O)N=C3,0.3211,IDH1_117,36
Cc1nccc2cc(N=CN)ccc12,0.2529,IDH1_86,35
CCCN1CCC2CC(CO)OC2C(O)C1=O,0.3129,IDH1_151,16
CNCCOc1nc2ccccc2c2cccc(OC)c12,0.372,IDH1_7,48
Cc1cc(CCC(C)(C)C)cc(C(C)CNC(=O)CN)c1,0.2125,IDH1_66,69
Fc1ccccc1Cc1ccc2c(c1F)CC=CC2,0.2584,IDH1_153,44
Cc1ccc2c(c1)C(C)C1CC3=CCC=CC3=CC1=C2,0.4058,IDH1_20,11
O=C(NC(=O)c1cccc(F)c1)NC1CCN(C(=O)c2cccs2)CC1,0.3722,IDH1_136,17
Cc1cccc(-c2ccc3c(ccc4ccccc43)c2OCCCO)c1,0.2871,IDH1_123,4
C=C(C)c1cc(Oc2ccccc2)cc(C(=O)NCC)c1,0.3092,IDH1_33,74
NC(=O)c1cnc(-c2ccccc2)nc1,0.2572,IDH1_143,29
O=C(O)Cc1cc2c(cc1O)[nH]c(=O)c1cc3ccccc3c(O)c12,0.4839,IDH1_141,40
Cc1ccc2cc3cc(c2c1)C(C)(O)OCCOCOC=CCCC(=O)N=C3,0.3252,IDH1_4,20
Cc1cc2c3cc1CCCNC(=O)NCCC=CC=Cc1cc-3c3c(cccc3c1)O2,0.4355,IDH1_96,28
COc1cc(CNC(C)=O)c2c(c1OC)Oc1cccc(C(=O)O)c1C2,0.4497,IDH1_146,34
CC1(C(=O)Nc2cnccc2-c2ccccc2)CCC2CCCCC21,0.3716,IDH1_24,78
CC1CC2CC(=O)CC1C2,0.0883,IDH1_10,80
O=C(O)c1cccc(C=C2C=C3C=CCC=C3N(C=NCCO)C2)c1,0.3837,IDH1_55,72
Cc1cccc2cc3ncccc3cc12,0.2843,IDH1_101,61
CCCC(CC)C(=O)NCc1ccccc1CN1CCCC(C)C1,0.2551,IDH1_131,8
CC1CCCN(Cc2ccccc2CNC(=O)c2ccccc2)C1,0.2793,IDH1_47,21
Oc1cccc(-c2cc3c(cc2O)Oc2cccc4cccc-3c24)c1,0.2901,IDH1_61,2
Cc1cc2c3cc1CCCNC(=O)NC(=O)CCNc1cc-3c3c(cccc3c1)O2,0.4654,IDH1_144,31
CCc1cccc(-c2cccc3c(C)cc(CC)cc23)c1,0.2531,IDH1_52,0
C=C(C)c1cc(Oc2cc(O)c(F)cc2F)cc(C(=O)NCCC)c1,0.3454,IDH1_90,62
O=C(O)C1CCC2CC3(CCC4CCCCC43)C(=O)N2C1,0.3242,IDH1_5,83
COc1ccc(O)c(-c2ccc3c4c(nccc24)CC(CO)N3)c1O,0.4746,IDH1_43,19
CC1CN(c2cccc3ccccc23)c2c1cc[nH]c2=O,0.4438,IDH1_32,22
Cc1ccccc1-c1ccncc1NC(=O)C1(C)CCC2CCCCC21,0.3962,IDH1_48,51
O=C1N2CC3CCCC3CC2CC12CCC1CCCCC12,0.2994,IDH1_30,76
C=CCc1c(C)cncc1NC(=O)C1(C)CCC2CCCCC21,0.4035,IDH1_21,52
CN1C2CN3C(c4ccccc4)CCC(=O)C3C21,0.4332,IDH1_82,64
NC(=O)c1cnc(-c2ccccc2)nc1N,0.3034,IDH1_88,10
CC(C)(C)C(=O)NCc1ccccc1CN1CCC(O)C(=O)C1,0.2739,IDH1_6,82
CC(C)c1ccc2c(c1)-c1cccc3cccc(c13)O2,0.3237,IDH1_13,27
Cc1ccc2cc3cc(c2c1)C(C)(O)OCCOCOC#CCCC(=O)N=C3,0.3255,IDH1_108,60
CC1=CC(c2c(C)cc(CC(=O)O)cc2-c2cccc3ccccc23)=CC1=O,0.4444,IDH1_109,59
CC1Nc2ccc(-c3ccc(O)cc3)cc2C2=Nc3ccccc3CC21,0.4932,IDH1_76,67
Cc1cc(O)ccc1-c1ccncc1NC(=O)C1(C)CCC2CCCCC21,0.4149,IDH1_118,57
O=C(NC(=O)c1ccccc1O)NC1CCN(C(=O)c2cccs2)CC1,0.3845,IDH1_64,43
OCC1Cc2nccc3c(-c4c(O)ccc(O)c4O)ccc(c23)N1,0.4564,IDH1_40,24
Cc1ccc2c(c1)C(C)C1CC3=CC(O)=CC(=O)C3=CC1=C2,0.4801,IDH1_92,13
CNC(=O)c1c(CC(C)(C)C2CCCC2C)cc2c(c1O)OCOc1ccccc1-2,0.4918,IDH1_137,54
C1CCCCC1,0.0202,IDH1_25,77
