SMILES,Tanimoto,drug_id,cluster
O=C(O)C1CC2CCC(C3NCCc4cnccc43)CC2C1,0.3941,JAK1_124,38
O=c1[nH]c2ccc(C3CCC(CO)N3CC(O)C(O)CO)cc2c2cccnc12,0.48,JAK1_184,36
CC1=NCN(CCNCc2cc(C)c(O)c3ccccc23)C1=O,0.3301,JAK1_8,7
Nc1nnc2ccccn12,0.2919,JAK1_241,24
NC(=O)C1CCCC(C2NCCc3cnccc32)C1,0.3853,JAK1_121,26
Cc1cc(N=C(N)C(=O)Nc2cnc(N)c3cc(O)ccc23)cc2c1CCCC2,0.4423,JAK1_358,8
O=C1NCC(C(=O)O)Cc2ccccc21,0.333,JAK1_422,29
CC(F)c1cc(F)cc(C(=O)NCc2cncnc2)c1,0.3643,JAK1_42,41
CCCc1cc(F)cc(C(=O)NC2CN=Cn3nc(N)nc32)c1,0.4807,JAK1_242,18
CC1=NC(=O)N=C1c1cc(NCCNC(=O)c2cccc(F)c2)ncn1,0.4818,JAK1_13,25
Cc1cnccc1-c1cccn(C(C(N)=O)C(=O)O)c1=O,0.4649,JAK1_65,17
Nc1cc2sc(CCCO)nc2cn1,0.3431,JAK1_44,16
CCNC(=O)c1ccccc1COCc1ccc(C(N)=O)cc1,0.3172,JAK1_69,40
CCC(c1nc(C)n[nH]1)C1NCCc2cnccc21,0.4394,JAK1_388,30
O=C(O)c1ccc2c(c1)Oc1cc3c(cc1O2)C(NC(=O)c1ccc(NO)cc1)CO3,0.4579,JAK1_372,4
CCNC(=O)c1ccccc1COCc1cc(C)c(C)c(C)c1,0.3165,JAK1_82,39
Clc1ccc2ccccc2c1,0.1217,JAK1_289,33
NS(=O)(=O)c1ccc(F)cc1,0.2152,JAK1_362,31
CC(=O)NC(C)c1ccccc1COc1ccc2ccnc(N)c2c1,0.4435,JAK1_18,42
NC(=O)c1cccnc1,0.2622,JAK1_323,13
CNC(=O)NC1=C(C)N2CCC(OCC(O)CO)N(C(=O)c3ccccc3)C2N1,0.4818,JAK1_103,3
COc1coc(-c2ccccc2)c1,0.2511,JAK1_266,11
NC1CC2CCC(C3NCCc4cnccc43)CC2C1,0.3876,JAK1_212,21
CC(F)c1cc(F)cc(C(=O)NCc2cnncn2)c1,0.3795,JAK1_211,35
Cn1cc(-c2ccc(CCC(=O)O)cc2)c2cccnc2c1=O,0.4629,JAK1_188,27
CC(=O)NCCc1ccc(O)c2ccccc12,0.2454,JAK1_407,9
Cn1cc(-c2ccc(C3CCNC3)cc2)c2cccnc2c1=O,0.4762,JAK1_141,37
CCC(c1ccccc1)N(c1nccc(=O)[nH]1)C1CNCCO1,0.4429,JAK1_383,5
CCC1CC(N)CC1(C)n1cccc(-c2ccncc2C)c1=O,0.4726,JAK1_414,10
CCc1cc(F)cc(C(=O)NC2=C(c3ccc(O)c(CO)c3)C(N)N=C2N)c1,0.4989,JAK1_189,2
CC1(N)CCC(C2CC3C(=CN=C4NC=NC43)C=N2)CC1,0.3724,JAK1_379,0
Cc1cc2c(ncc3ccc(N4C=CN=CC4)cc32)[nH]1,0.4096,JAK1_353,32
CC1CC2Oc3cc4c(cc3C2O1)Oc1ccc(CN)cc1O4,0.4703,JAK1_71,28
CCCc1cnc(N)c2cc(OCc3ccccc3C(C)NC(C)=O)ccc12,0.4622,JAK1_350,22
CC1N=NN=C1C(=O)NC(=O)CNCc1ccc(O)c2ccccc12,0.3387,JAK1_224,1
CS(=N)(=O)c1ccccc1,0.1529,JAK1_234,34
NC(O)CCN1C(CO)CCC1c1ccc2[nH]c(=O)c3ncccc3c2c1,0.4627,JAK1_221,19
Cn1cc(-c2ccc(Cl)cc2)c2cccnc2c1=O,0.4388,JAK1_41,20
N=C(C(N)=O)C(=O)NC(=O)CNCc1ccc(O)c2ccccc12,0.2933,JAK1_365,6
CCN1CC2CC3C(NCCN3c3nc4cccnc4c(=O)[nH]3)C2C1,0.4934,JAK1_223,14
OCC(O)C(O)c1cc2nc3c(cnn3-c3ncc[nH]3)cc2cc1O,0.4886,JAK1_269,23
NCCCC1CC2N(CCCN2c2nc3cccnc3c(=O)[nH]2)C1,0.484,JAK1_122,12
C1=C2CCC(C3NCCc4cnccc43)CC2CCC1,0.387,JAK1_179,15
