SMILES,Tanimoto,drug_id,cluster
CNCCCOc1cc2c(C=C3c4ccccc4C=Cc4cccc(O)c43)cccc2cc1O,0.3858,KDM1A_169,2
Cc1cc(C(=O)O)ccc1-c1ccccc1,0.3017,KDM1A_259,14
O=C(O)c1cc(C(=O)O)c(O)c(-c2cccc(Oc3ccc(-c4ccccc4)cc3)c2)c1O,0.3787,KDM1A_413,80
COc1cccc(-n2nc(OC)c3ccccc32)c1C,0.4514,KDM1A_400,26
Cc1cc(Oc2cccc3c2OC(=O)CN(C)C3=O)ccc1-c1ccccc1,0.4544,KDM1A_211,103
Cc1cccc(C(=O)N(C)Cc2ccccc2-c2ccc3c(c2)Oc2ccccc2CO3)c1,0.4391,KDM1A_356,92
O=C1C(O)Cc2c(cc(C(F)(F)F)c3ccccc23)N1c1cccc(-c2ccccc2)c1,0.4975,KDM1A_103,22
CCCCC(=Cc1cccc2cc(O)c(OCCCNC)cc12)c1cccc(O)c1O,0.3917,KDM1A_35,66
O=C1CC(C(=O)O)N(C(OC(=O)O)c2ccccc2)C1,0.3806,KDM1A_54,78
CNCCCOc1cc2c(C=C(C(=O)O)c3c(C(=O)O)ccc(O)c3C)cccc2cc1O,0.4755,KDM1A_263,25
COc1ccc(C(=O)O)c(Oc2cc(C(=O)c3ccc4cc(C(=O)O)cc5c4c3OCO5)ccc2F)c1,0.4345,KDM1A_287,40
O=C1OCCCCc2ccccc2C1c1cccc(Oc2ccc(-c3ccccc3)cc2)c1,0.4056,KDM1A_52,12
Cc1cc2ccc(O)cc2cc1-c1ccccc1,0.3264,KDM1A_435,81
CCC1=C=C2CC(=C1)Cc1ccc(cc1)CCCNC(=O)c1cccc(c1)-c1cccc(c1)C=NC2=C(C)C,0.4554,KDM1A_125,59
CCCC1N2c3cc(C(C)=O)ccc3CCC2C(O)C1(C)C,0.4848,KDM1A_140,110
CCC(=Cc1cccc2cc(O)c(OCCCNC)cc12)c1c(C)ccc2ccc(OC)cc12,0.4039,KDM1A_220,102
CNCCCOc1cc2c(C=C(CC(=O)O)C(C)=CC(C)=O)cccc2cc1O,0.3383,KDM1A_151,11
CCc1cc2cc(c1)N(C)N=Cc1cccc(c1)-c1cccc(c1)C(=O)NCCCc1ccc(cc1)C2,0.4379,KDM1A_155,108
CC(O)C1CCCN(Cc2ccccc2-c2ccc3c(c2)Oc2ccccc2CO3)C1=O,0.4824,KDM1A_288,28
CCc1cccc(C)c1C(=Cc1cccc2cc(O)c(OCCCNC)cc12)C(=O)OC,0.4217,KDM1A_316,43
CC(=O)Cc1cc2c(c3ccccc13)CC(O)C(=O)N2c1cccc(-c2ccccc2)c1,0.4914,KDM1A_440,29
CNCCc1cc(-c2cccc(Oc3ccc(F)c4c3OCCO4)c2)ccc1F,0.448,KDM1A_364,47
CCC1C=C2Cc3ccc(cc3)CCCNC(=O)c3cccc(c3)-c3cccc(c3)C=NC3=CC=CC(C1)C3C2,0.4453,KDM1A_462,61
CCCC1N2c3cc(C)ccc3C(O)CC2C(O)C1(C)C,0.4939,KDM1A_365,51
COc1cc(C(=O)O)cc(-n2nc(OC)c3ccccc32)c1C,0.4923,KDM1A_39,120
Cc1cccc(C2=C=CC=C2c2cccc(CN(C)C)c2)c1O,0.3476,KDM1A_135,71
CNCCCOc1cc2c(C=C(c3cccc(O)c3)c3ccccc3O)cccc2cc1O,0.3864,KDM1A_283,15
CC(CO)Oc1cc2ccc(=O)n(-c3cccc(-c4ccccc4)c3)c2cc1C(F)(F)F,0.4993,KDM1A_141,109
COc1ccc2c(c1OC)C(c1cc(F)ccc1O)C(=O)N(C)C2,0.4997,KDM1A_81,116
O=c1oc2cccc3cc(-c4ccccc4)cc(c1=CCCCCC(O)O)c32,0.361,KDM1A_387,21
COC(=O)c1cc(C(=O)c2ccc(F)c3c2CC(C)c2ccc(O)c(C)c2O3)ccc1O,0.4982,KDM1A_383,27
Cc1c(O)ccc(C(N)O)c1Oc1cc(C(=O)c2ccc3cc(C(=O)O)cc4c3c2OCO4)ccc1F,0.4741,KDM1A_246,8
Cc1ccc(C2C=NC(N)=C2)cc1,0.2486,KDM1A_225,45
CC1CCN(C(=O)CCO)C(CCc2ccccc2O)C1,0.4259,KDM1A_235,79
CCc1cc(O)c2c(c1)Cc1ccc(cc1)CCCNC(=O)c1cccc(c1)-c1cccc(c1)C(=NC(C)=O)C=C2,0.4714,KDM1A_65,5
Cc1cccc(-c2ccc(O)c(C(=O)Nc3c(C)cccc3C)n2)c1,0.4542,KDM1A_199,105
CCC(=Cc1cccc2cc(O)c(OCCCNC)cc12)c1cccc2c1CCC=C2,0.3929,KDM1A_137,111
CCOc1ccc2c(c1)-c1cc(Cc3cccc(C4CCCC4)c3)ccc1C2,0.4291,KDM1A_185,106
O=C(O)C1=CCCN(Cc2ccccc2-c2ccc3c(c2)Oc2ccccc2CO3)C1=O,0.4836,KDM1A_380,90
CNCCCOc1cc2c(C=C(C(=O)O)c3cc(C)cc(O)c3O)cccc2cc1O,0.4257,KDM1A_93,83
Cc1cc(Cc2ccc(OCC(=O)O)c(CO)c2)ccc1-c1ccccc1,0.3427,KDM1A_136,63
CNCCCOc1cc2c(C=C(C)c3ccccc3OC)cccc2cc1O,0.3759,KDM1A_31,82
O=C1CCCOc2c(Oc3ccc(-c4ccccc4)cc3)cccc21,0.3944,KDM1A_248,100
COc1ccc(C(=O)O)c(O)c1-c1cccc(Oc2ccc(-c3ccccc3)cc2)c1,0.4384,KDM1A_193,50
CC=COC(=O)C(c1ccccc1)c1cccc(Oc2ccc(-c3ccccc3)cc2)c1,0.3252,KDM1A_124,113
CCc1cc2cc(c1)C(=C(C)C)C1CCC(=N1)c1cccc(c1)-c1cccc(c1)C(=O)NCCCc1ccc(cc1)C2,0.4868,KDM1A_178,68
CCc1cc2cc(c1)CC1CCC(=NC1)c1cccc(c1)-c1cccc(c1)C(=O)NCCCc1ccc(cc1)C2,0.4623,KDM1A_414,55
CCOC(=O)c1cc(O)c(C)c(-c2ccc3c(c2)Oc2ccccc2O3)c1,0.3884,KDM1A_271,99
COC(=O)c1cc(C(=O)c2ccc(F)c(Oc3cccc(O)c3C=O)c2)ccc1O,0.357,KDM1A_276,16
CC(=O)N(C)Cc1cc(-c2cccc3c2CC(=O)c2cc(F)ccc2O3)ccc1F,0.4579,KDM1A_447,44
O=C(O)CC1CCCC2=C1C(=O)C(O)=CC2c1cccc(C(=O)O)c1,0.418,KDM1A_97,57
CNCCCOc1cc2c(C=C(C(C)=O)c3ccccc3C)cccc2cc1O,0.3919,KDM1A_359,3
CC1=C(C)C(C=Cc2ccc(C)c(-c3ccc4c(c3)Oc3ccccc3O4)c2)COC1=O,0.3823,KDM1A_147,30
CCOC(=O)C(c1cccc(Oc2ccc(-c3ccccc3)cc2)c1)c1cc(O)ccc1C,0.411,KDM1A_75,117
CCCN(CCC)C(=O)C1=C=C(c2cccc3c2C=CC(O)O3)C=N1,0.4683,KDM1A_320,96
NC(O)c1cccc(CO)c1Oc1cc(C(=O)c2ccc3cc(C(=O)O)cc4c3c2OCO4)ccc1F,0.4592,KDM1A_293,32
O=C1NCCCc2ccc(cc2)Cc2cccc(c2)Cn2ncc(n2)-c2cccc(c2)-c2cccc1c2,0.4646,KDM1A_315,76
O=C(O)c1cccc(C2=CC(O)C(=O)c3c(C(=O)O)cccc32)c1,0.4147,KDM1A_210,104
COc1ccc(-c2ccccc2)cc1,0.341,KDM1A_240,67
Cc1cc(Cc2cc3c(cc2O)OC(CO)CC3O)ccc1-c1ccccc1,0.4529,KDM1A_372,24
O=C(O)CC1CC(=O)CN1C(OC(=O)O)c1ccccc1,0.3666,KDM1A_234,101
CNCCc1cc(-c2cccc(Oc3ccc(F)c4c3OCCC4)c2)ccc1F,0.4378,KDM1A_206,18
O=C(O)CCCCC=c1c(=O)oc2cccc3cc(-c4ccccc4)cc1c32,0.3561,KDM1A_9,123
Cc1cccc(C2=C=CC=C2c2cccc(CN3CCCC3)c2)c1O,0.3681,KDM1A_473,39
Cc1ccc(-c2coc(-c3ccccc3)c2CCC(=O)O)c(O)c1,0.3965,KDM1A_427,74
CC1(CC(=O)O)CC(=O)CN1C(OC(=O)O)c1ccccc1,0.3857,KDM1A_223,60
CC=C1NC(=O)C2NC1=CC(C)C=Cc1cccc(c1)CCCNC(=O)c1cccc(c1)-c1cc(O)cc2c1,0.4923,KDM1A_183,58
CCC=C1NC(=O)C2NC1=CCC=Cc1cccc(c1)CCCNC(=O)c1cccc(c1)-c1cc(O)cc2c1,0.4849,KDM1A_468,42
CCc1cc2cc(c1)CC(C)(C)N=Cc1cccc(c1)-c1cccc(c1)C(=O)NCCCc1ccc(cc1)C2,0.4732,KDM1A_85,64
CCc1cc2cc(c1)CC1(C)N=CC(=N1)c1cccc(c1)-c1cccc(c1)C(=O)NCCCc1ccc(cc1)C2,0.4482,KDM1A_164,62
CCc1cc2cc(c1)C(=O)C(C)N=Cc1cccc(c1)-c1cccc(c1)C(=O)NCCCc1ccc(cc1)C2,0.4572,KDM1A_300,72
CCc1c(OC)ccc(O)c1NC(=O)c1ccccc1,0.4579,KDM1A_420,86
COC1COC(CNC(=O)c2ccc3c(c2)Oc2ccccc2O3)O1,0.3973,KDM1A_348,9
CCc1cc2cc(c1)Cc1ccc(cc1)CCCNC(=O)c1cccc(c1)-c1cccc(c1)C=NC(=O)C(C)=C2,0.4619,KDM1A_243,13
CNC(=O)C1CCc2ccc(C3=CC(C(=O)O)=CC3O)cc2O1,0.4644,KDM1A_395,87
O=C1CCOC2Oc3c(Oc4cccc(O)c4)cc(O)cc3OC12,0.4191,KDM1A_139,54
Cc1cccc2c(=O)n(Cc3ccccc3-c3ccc4c(c3)Oc3ccccc3CO4)ccc12,0.4795,KDM1A_474,36
Oc1ccc2c(c1)Oc1ccc(-c3ccccc3)cc1C2,0.326,KDM1A_55,119
c1ccc(-c2ccc(Oc3cccc4c3OCCNC4)cc2)cc1,0.4934,KDM1A_460,35
CN(C(=O)c1ccccc1)C1CCCC1O,0.4737,KDM1A_374,48
CNCCCOc1cc2c(C=C(c3ccccc3)c3ccccc3C(=O)O)cccc2cc1O,0.4009,KDM1A_84,114
CC12CCC3Oc4ccc(cc4)CCCNC(=O)c4cccc(c4)-c4cccc(c4)C(C1)NC32,0.496,KDM1A_19,122
CCC=Cc1cccc(CCCNC(=O)c2cccc(-c3cc(O)cc(C4Nc5ccccc5NC4=O)c3)c2)c1,0.49,KDM1A_205,73
O=C1C(O)=CC(c2cccc(C(=O)O)c2)C2=C1C1CCC=C1CC2,0.4292,KDM1A_68,118
CC(=O)Oc1ccc(Cc2ccc(-c3ccccc3)c(C)c2)cc1CO,0.3471,KDM1A_465,84
