SMILES,Tanimoto,drug_id,cluster
Cc1cccc(CNC(N)=O)c1,0.1511,P2RX3_53,3
Cc1nc(-n2c(C(=O)O)ccnc2=O)nc2ccccc12,0.4086,P2RX3_95,16
Cc1cc(C(=O)NC2CN(O)CCC2C(=O)C(=O)O)ccc1O,0.3886,P2RX3_9,96
COc1ccc(C(=O)OCC(=O)O)cc1OC,0.3017,P2RX3_140,84
CN=Cc1cc(N2C(=O)OC(C)=CC2CC(=O)O)cc2ccccc12,0.4719,P2RX3_69,71
CCC1C=C(c2cccc(Oc3ccccc3O)c2O)c2ccccc2O1,0.3787,P2RX3_52,17
Cc1cccc(C23COC(O)C(CCC2C)C3)c1,0.31,P2RX3_130,9
Cc1cccc(C(=O)N(C)CC(=O)O)c1,0.2811,P2RX3_109,68
COc1ccc(O)c(-c2cnn(C)c2OCCO)c1,0.3691,P2RX3_32,14
CN=C(N)NCC(=O)NC(=O)c1cc(C(=O)O)ccc1O,0.3666,P2RX3_111,46
Cc1ccc2c(c1)OC(C(=O)O)=CO2,0.3008,P2RX3_135,27
O=c1c2ccccc2oc2c(OC3CC(O)COC3COP(=O)(O)O)cc(F)cc12,0.4542,P2RX3_124,86
COC(O)C(OP(=O)(O)OP(=O)(O)O)C1CC(O)C(CO)O1,0.3607,P2RX3_66,37
O=c1nc(-c2cccc3c2OC=CO3)cn[nH]1,0.3696,P2RX3_73,92
CCN(C(C(=O)O)=C1CC=C(O)O1)c1cc2ccccc2c2cnc(C)cc12,0.4796,P2RX3_72,78
Cc1ncc2c(n1)c(NC(C(=O)O)C(=O)O)cc1ccccc12,0.3653,P2RX3_80,30
Cc1cc2c(N(C)c3cc(C(=O)O)cc(O)c3O)cc3ccccc3c2cn1,0.4264,P2RX3_16,36
CC1(O)CC(C=O)(C(=O)O)c2ccccc2C1=O,0.4122,P2RX3_113,62
CN=Cc1cc(N2CC(O)C(O)COC2=O)cc2ccccc12,0.3972,P2RX3_116,40
Oc1cccc(C2C=CN=N2)c1O,0.2868,P2RX3_148,83
O=P(O)(O)OCC1OCC(O)CC1Oc1cc(F)ccc1OC1=CCCC1,0.3678,P2RX3_47,4
COc1cccc(C2=NC(=O)NC2=O)c1O,0.3741,P2RX3_92,11
O=P(O)(O)OCC1OCC(O)CC1OC1OC(Cc2cc(F)cc(O)c2F)C=C(O)C1CO,0.4711,P2RX3_62,54
O=C(O)c1cc(C2C(=O)OCC(O)C2C(=O)O)cc2ccccc12,0.4138,P2RX3_50,13
COc1cccc2cc(O)c(OCC(=O)O)cc12,0.2173,P2RX3_139,70
COc1cccc(-c2cnn(C)n2)c1O,0.3026,P2RX3_60,65
NC(=O)c1cc(Oc2cc(C(=O)O)cc(O)c2C(=O)O)ccc1O,0.3757,P2RX3_74,28
Cc1ncc2c(n1)c(NC(C(=O)O)C(O)O)cc1ccccc12,0.3679,P2RX3_40,57
O=C(O)Cn1cc(C(=O)Oc2ccc(F)cc2)cc(O)c1=O,0.4402,P2RX3_61,19
CC1(C)CC(CO)(C(=O)O)c2ccccc2C1=O,0.3787,P2RX3_125,73
O=C(O)c1cc(C2C(=O)OCCC2C(=O)O)cc2ccccc12,0.3752,P2RX3_102,20
CCCc1ccc(O)cc1Oc1cc(C(=O)O)cc(O)c1C(=O)O,0.4115,P2RX3_17,39
C=C(Oc1cccc(C2=CC(CC)Oc3ccccc32)c1O)C(=O)O,0.4088,P2RX3_42,60
Cn1nnc(-c2cccc3c2OC=CO3)n1,0.3002,P2RX3_27,7
c1ccc2c(c1)Cc1scnc1C2N1CCCCC1,0.4618,P2RX3_107,52
O=P(O)(O)OCC1OCC(O)CC1OC1OC(CO)C=C(O)C1CO,0.392,P2RX3_101,88
COc1ccc(-c2cnn(C)c2OCO)cc1,0.3342,P2RX3_104,87
O=C(O)C(O)C(CO)OP(=O)(O)OP(=O)(O)O,0.2681,P2RX3_63,79
Cc1cccc(C(=O)O)c1Oc1cc(C(=O)O)cc(O)c1C(=O)O,0.3819,P2RX3_0,76
Cc1cc(CC(=O)O)nc(-c2ccccc2)n1,0.2705,P2RX3_89,15
CC1(C)CC(C(=O)N2CC(C(=O)O)CC2=O)c2ccccc2O1,0.4799,P2RX3_108,66
CC=Cc1cc(C)cc(C=CCOC)c1,0.1407,P2RX3_88,32
CNC(=O)C(OP(=O)(O)O)c1cccc(C)c1,0.2751,P2RX3_54,80
O=C(O)C=CCn1c(C(=O)O)cc2ccccc2c1=O,0.4237,P2RX3_119,69
O=P(O)(O)OP(=O)(O)OCC1OCOc2ccccc21,0.3597,P2RX3_11,50
CCN1C(=O)c2cccc3cc(C)cc(c23)C1C(=O)O,0.453,P2RX3_87,31
Cc1cc2c3c(cc(OC(=O)C=N)c(O)c3c1)OCCOC2,0.3357,P2RX3_36,26
O=P(O)(O)OCC1OCC(O)CC1Oc1cc(F)cc2c1OC1=CC=CC1CO2,0.4233,P2RX3_49,35
Cc1cc(C(=O)N(C)CC(=O)O)c2ccncc2c1,0.3278,P2RX3_68,72
O=C(O)CC1CC(C(=O)N2CC=CC2C(=O)O)c2ccccc2O1,0.4871,P2RX3_24,63
COc1cccc2ccc(Oc3cccc4c3OP(=O)(O)OC4=O)cc12,0.4186,P2RX3_126,61
Cc1nc(-n2c(CO)cncc2=O)nc2ccccc12,0.3668,P2RX3_96,42
Cc1cccc(C23CC4C(O)OC(C2=O)C4CC3C(=O)O)c1,0.4794,P2RX3_70,53
Cc1ccc2ccccc2c1,0.1522,P2RX3_112,5
NC(=O)NC(c1ccccc1)c1nccc(NC(=O)O)n1,0.3498,P2RX3_7,24
COc1cccc(C2=NC(C)=NC2)c1O,0.3245,P2RX3_129,2
CCN=Cc1cc(N2C(=O)CC(C)(C)C2C(=O)O)cc2ccccc12,0.4975,P2RX3_57,38
O=P(O)(O)OCC1OCC(O)CC1Oc1cc(F)cc2c1OC1=CC=CCC1=CO2,0.4635,P2RX3_155,82
O=C(C=CO)Oc1ccccc1Nc1cc(C(=O)O)cc(O)c1C(=O)O,0.4567,P2RX3_20,8
O=P(O)(O)OCC1OCC(O)CC1Oc1cc(F)cc2c1Oc1cccc(O)c1CC2,0.4603,P2RX3_143,23
O=C(COP(=O)(O)O)Oc1cnc(C(=O)O)c2ccccc12,0.3741,P2RX3_122,49
O=C(OP(=O)(O)O)c1nc2ccccc2cc1CCCC(O)O,0.4164,P2RX3_35,34
O=C(O)c1cc(O)c(C(=O)O)c(Oc2cccc(O)c2C(=O)O)c1,0.3684,P2RX3_118,67
CC1(C(=O)O)C=C(O)C(=O)c2ccccc21,0.3737,P2RX3_141,22
COc1cc(Oc2ccncc2O)c(O)c2cc(C)cc(C)c12,0.3872,P2RX3_2,48
COc1ccc(O)c(C(=O)NC(=O)C(=O)O)c1,0.3612,P2RX3_86,74
Cc1ccc(O)c(C(=O)O)c1Oc1cc(C(=O)O)cc(O)c1C(=O)O,0.3797,P2RX3_25,59
CC=C(C)CC1C=C(c2cccc(C(=O)NO)c2)c2ccccc2O1,0.4057,P2RX3_146,6
O=C(O)COC1=C=CC(=O)c2ccc(F)cc21,0.35,P2RX3_13,58
O=C(O)c1cc(-c2ccccc2)cc([N+](=O)[O-])c1,0.348,P2RX3_51,29
CC1=CC(Oc2cc3ccccc3c(=O)n2CC(=O)O)C=N1,0.4293,P2RX3_91,21
Cc1cc2c(N(C)C(=O)C(=O)O)cc3ccccc3c2cn1,0.3636,P2RX3_142,33
COc1cc2ccccc2c(=O)n1CC(=O)O,0.4198,P2RX3_48,41
Cc1cccc(C23CCC(CC2C(=O)O)OC3=O)c1,0.4156,P2RX3_78,90
CCc1ccc(OC)cc1Cc1cc(O)c(=O)n(C(CO)C(=O)O)c1,0.4758,P2RX3_4,55
O=C1OCC(O)C(O)CN1c1cc2ccccc2c2cnccc12,0.3988,P2RX3_115,10
Cc1cc2c(c(C3=CC(=O)N=C3)c1)OC=CO2,0.3978,P2RX3_41,47
CNCC(=O)NC(=O)c1cc(C(=O)O)ccc1O,0.3559,P2RX3_33,94
O=P(O)(O)OCC1OCC(O)CC1OC1OC(Cc2c(O)cccc2F)C=C(O)C1CO,0.4634,P2RX3_43,51
Cc1cc2c(N3C(=O)CC(C(=O)O)C3=O)cc3ccccc3c2cn1,0.4793,P2RX3_29,43
COC1CC(C(N)=O)CN(c2cc(C(=O)O)cc(O)c2C(=O)O)C1,0.4808,P2RX3_22,95
CNC(=O)c1ccccc1,0.1827,P2RX3_71,56
CC(=O)Oc1cc2ccc(F)cc2cc1CO,0.2821,P2RX3_153,77
Cc1cc2c(N(CCO)C(=CO)C(=O)O)cc3ccccc3c2cn1,0.3816,P2RX3_76,91
CCC1C=C(c2ccc(O)c(C(N)=O)c2)c2ccccc2O1,0.3983,P2RX3_5,64
O=P(O)(O)OCC1OCC(O)CC1Oc1cc(F)cc2c1Oc1c(O)cccc1CO2,0.4534,P2RX3_15,1
COc1cccc2ccc(Oc3c(O)ccc(C(=O)O)c3C(=O)O)cc12,0.4177,P2RX3_98,0
O=P(O)(O)OCC1OCC(O)CC1Oc1cc(F)cc(O)c1Oc1ccccc1,0.368,P2RX3_100,18
O=C(O)Cc1cc2cc(F)ccc2c(=O)[nH]1,0.3154,P2RX3_132,85
O=C(O)CCn1ccc2ccccc2c1=O,0.3631,P2RX3_67,44
O=C1CC2C3C4CC2(CC43)c2ccccc21,0.3457,P2RX3_106,81
Cc1c[nH]c(=O)c2cccc(Oc3cc(C(=O)O)cc(O)c3C(=O)O)c12,0.4157,P2RX3_55,93
CC(=O)N(CC(=O)O)c1cc(-c2nccs2)c2ccccc2c1,0.4067,P2RX3_38,25
CC(=O)OCCc1cc(C)nc(-c2ccccc2)n1,0.277,P2RX3_84,89
O=C(O)CC1CC(C(=O)N2CCCC2C(=O)O)c2ccccc2O1,0.4786,P2RX3_145,45
COc1cc2c(c(-c3nc(O)c(O)[nH]c3=O)c1)OC=CO2,0.4425,P2RX3_117,75
CC1(C)CC(C(=O)N2CC(O)C(O)CC2=O)c2ccccc2O1,0.4668,P2RX3_26,12
