SMILES,Tanimoto,drug_id,cluster
Cc1ccc2c(n1)N(C=O)C(CNC(=O)c1cc(Oc3ccc(O)cc3)ccc1O)O2,0.4994,RIOK1_142,18
CC(C)CNC(=O)C1=CN(C(=O)c2ccccc2)C=C=C1,0.3009,RIOK1_92,72
COc1c2cc(C(=O)O)ccc2c(C)c2oc3ccccc3c12,0.3245,RIOK1_179,17
OCC(O)COc1c(O)ccc2c(-c3cccc(O)c3)ccnc12,0.3989,RIOK1_369,34
CNC(=O)c1c(Oc2cccc(F)c2)ccc2c1cc(OC)c1c3ccccc3oc21,0.4213,RIOK1_202,43
CC(NC(=O)C1C(=O)N(C(C)C)N=C1Nc1ccccc1)C(=O)O,0.3427,RIOK1_291,63
Cc1ccc(O)c(-c2ccc3cc(C(=O)O)cc4c3c2-c2ccc(O)cc2O4)c1,0.3713,RIOK1_271,65
O=C(NCc1cc(F)ccc1O)c1cc(-c2c(O)cccc2OCOc2ccc(O)cc2)cc2c1Oc1cccc3cccc-2c13,0.4586,RIOK1_140,3
Cc1cc2c(-c3cccc(O)c3)ccc3c2c(c1O)NCC(C)O3,0.393,RIOK1_15,77
c1ccccc1,0.0187,RIOK1_385,6
O=C(CCO)NC(=O)Nc1cc(-c2cccc(O)c2)ccc1C(=O)O,0.323,RIOK1_35,20
O=c1[nH]c(=O)n(Cc2ccccc2)c2nccc(OC3C(O)C(O)C(O)C3O)c12,0.4611,RIOK1_405,58
NC(=O)N1C(CNC(=O)c2cc(Oc3ccc(O)cc3)ccc2O)OC2CCOC21,0.4615,RIOK1_106,57
CCc1cccc(Cc2cn(Cc3nnc(-c4ccc(O)cc4)[nH]3)nn2)c1,0.356,RIOK1_347,46
COc1ccc(CC(=O)O)cc1C(=O)NCc1cc(F)ccc1O,0.2947,RIOK1_183,42
O=C(c1ccc(O)cc1)N1CC(O)NC(C2CCCCC2)C1,0.3882,RIOK1_127,8
O=C(NCc1cc(F)ccc1O)c1cc(C[N+](=O)[O-])cc2c1Oc1ccccc1C2,0.3727,RIOK1_86,74
COC1OCCOCC12OC(N1C=NC3C(=O)N=CN=C31)CC2O,0.4908,RIOK1_325,16
C=c1cc2c3cc(F)ccc3c3cc(OC)cc4[nH]c5c(OC)c(O)nc1c5n2c43,0.4491,RIOK1_233,4
Nc1cc2c3c(cccc3c1)-c1cc(C(=O)O)cc(C(=O)NCc3cc(F)ccc3O)c1O2,0.4738,RIOK1_244,15
COc1cc(-c2cc(C(N)=O)ccc2O)cc2[nH]c3ccc(F)cc3c12,0.4048,RIOK1_396,59
CN1CC(C2CN(C(=O)c3ccc(O)cc3)CC(=O)N2)c2ccccc21,0.4651,RIOK1_0,80
OCCOc1cc(Nc2cccc(O)c2)ccc1-c1ccc(O)cc1,0.2647,RIOK1_281,64
Cc1nc(Nc2ccccc2)c2c(=O)[nH]c(=O)[nH]c2c1O,0.4452,RIOK1_182,68
Cc1c(O)c2c(NCC(C)C)ccnc2n1Cc1ccccc1,0.4821,RIOK1_185,36
COC(=O)c1ccc(-c2cccc(O)c2)cc1NC(=O)NO,0.318,RIOK1_282,13
