SMILES,Tanimoto,drug_id,cluster
CC1CCN(Cc2ccc(-c3cc(C(N)=O)nc4cc(O)ccc34)cc2)C(=O)C1,0.399,SPIN1_491,84
CC1CC23CN(c4cccc(C(=O)N5CCCc6ccccc65)c4)CCN2CCN1C3,0.4542,SPIN1_13,136
Cc1ccccc1C1=CCNC(c2cc(C(=O)NCCNC(=O)c3cc(CC(C)C)ccc3F)c(O)cc2O)=N1,0.4413,SPIN1_64,21
Cc1cc2cc(NC3=NCNc4ccccc43)ccc2cc1-c1cnc2c3c(cc(F)cc13)C=C(Cc1ccccc1)N2,0.4813,SPIN1_162,64
CCCc1c[nH]c(-c2cccc(C(C)N3Cc4ccc(-c5cn(C)c(=O)cc5F)cc4NC3=O)c2)n1,0.4923,SPIN1_465,154
COc1cc(O)cc(C)c1C1=CCNC(c2cc(C(=O)NCCNC(=O)c3cc(-c4cccc5ccccc45)ccc3F)c(O)cc2O)=N1,0.4876,SPIN1_50,8
NCc1ccc(NCCCN2CCCCC2)cc1,0.2312,SPIN1_294,119
COC(=O)c1cccc(N(C(C)=O)C(=O)CC2CCCC2)c1,0.3064,SPIN1_420,163
CCc1ccccc1C1=CCNC(c2cc(C(=O)NCCNC(=O)c3cccc(-c4cccnn4)c3)c(O)cc2O)=N1,0.4609,SPIN1_366,38
CC(C)N(C)C(=O)C(C)(O)C(=O)Nc1cccc(C(=O)N2CCNCC2)c1,0.3551,SPIN1_7,232
Cc1cccc(C(=O)NCC2(C)CCC(C)(NC=NCc3cc4c(cc3O)OCCC4C)C(=O)N2)c1C,0.474,SPIN1_118,88
COC1=CC(O)C2C(=O)NCc3cccc(N)c3NCC(C)OC2=C1,0.4404,SPIN1_296,188
COC(=O)c1cccc(N(C(C)=O)C(=O)Cc2cccn2C)c1,0.3615,SPIN1_172,206
CC(=O)CC1=CCNC(c2cc(C(=O)NCCNC(=O)c3cc(Cl)ccc3F)c(O)cc2O)=N1,0.4148,SPIN1_321,182
CC(=O)NC(=O)c1cccc(C(C)N2Cc3ccc(-c4ccncc4)cc3NC2=O)c1,0.4248,SPIN1_218,201
Cc1ccccc1C1=CCNC(c2cc(C(=O)NCCNC(=O)c3cc(-c4cccc(C(=O)N5CCCCC5)c4)ccc3F)c(O)cc2O)=N1,0.4697,SPIN1_496,12
COc1cccc(C)c1C1=CCNC(c2cc(C(=O)NCCNC(=O)c3cc(Cl)ccc3F)c(O)cc2O)=N1,0.4696,SPIN1_256,5
CC1=C(C)OC(CCCCN2CCCCC2)CC1,0.1511,SPIN1_464,155
CN(C)C(=O)C1C2=CC=NC(=O)C2C2CN(C(O)CC3=CC=CC3)CCN12,0.4208,SPIN1_452,59
Oc1ccc(-c2ccc3c(F)cc(F)cc3c2)cc1,0.1343,SPIN1_306,73
O=C1C=CC(CNC(=O)Cc2cc(O)c3ccccc3c2)C(=O)N1,0.2829,SPIN1_61,79
CCC1C(c2ccc3c(c2)CC(F)CN2CCCNC2=NNC3)=Nc2ccc(C(=O)NC(C)C)cc21,0.4974,SPIN1_402,71
COc1ccc2c(c1)C=C1OC(=O)C=C3N=CCC(C)=C3CCCNC(=O)C1C2,0.4866,SPIN1_369,172
CC(=CC(=O)O)NC(=O)c1ccc2ccc(-c3ccccc3)cc2c1,0.2436,SPIN1_77,144
Cc1cc(O)ccc1C1=CCNC(c2cc(C(=O)NCCNC(=O)c3cc(Cl)ccc3F)c(O)cc2O)=N1,0.4433,SPIN1_222,34
O=C(O)c1cccc(-n2cc(-c3ccc(Cl)cc3)c(O)cc2=O)c1,0.3466,SPIN1_358,75
COc1ccc(CC(=O)NCC2C=CC(=O)NC2=O)cc1O,0.3238,SPIN1_342,118
CC=C(C)NC(=O)c1ccc(OC2=CC(Oc3cccc(N4CCCCC4)c3)=CC(O)C2C(=O)NCCC)cc1,0.4924,SPIN1_223,117
CCCCCC=Cc1ccc2c(c1)C1CCC=C(N3CC(C(C)(C)C)CC3=O)C1O2,0.4868,SPIN1_120,123
CN(C)CCCCNCC(=O)NCc1ccc2c(c1)SCC(C(=O)O)=C2,0.331,SPIN1_347,124
CCCCCCC(CCC)C(=O)NCC(=O)O,0.1247,SPIN1_131,211
CCCC(=O)Nc1ccc2cnc(C(=O)N3CCN(C)C(C(=O)OC)C3)cc2c1,0.4008,SPIN1_277,195
Cc1ccc(Cl)cc1C(=O)NCCNC(=O)c1cc(-c2nccc(-c3cccc(C)c3Cl)n2)c(O)cc1O,0.4221,SPIN1_15,10
NC(=O)c1cc(-c2ccc(C3=CC(=NO)C=C3)nn2)cn(-c2cccc(C(=O)O)c2)c1=O,0.4735,SPIN1_35,126
CC(C)NC(=O)c1ccc2c(c1)C(C)C(c1ccc3c(c1)Cc1ccccc1C(=NO)C3=N)=N2,0.4713,SPIN1_46,89
CC1(C)CCN(CC(O)C(=O)NCc2ccccc2)C1,0.2382,SPIN1_233,122
CC12CCOC1C=CN(c1cccc(C(=O)N3CCCc4ccccc43)c1)C2,0.4423,SPIN1_207,41
CN1C(=O)c2nc3cc4ccccc4cc3c(=O)n2CC1C(=O)O,0.4365,SPIN1_407,105
OCc1cccc(Nc2ccc(F)cc2)c1,0.142,SPIN1_270,54
CN1CCN(C(N)=O)CC1,0.0708,SPIN1_146,37
O=C(O)c1cccc(-n2cc(C3CCCNC3)ccc2=O)c1,0.3451,SPIN1_281,193
O=C(O)NCCN1CCCC1,0.1084,SPIN1_359,30
COc1cccc(C)c1-c1cccc2cc(-c3cnc4c5c(cc(F)cc35)C=C(Cc3ccccc3)N4)c(C)cc12,0.4556,SPIN1_275,55
O=C(NCCNC(=O)c1cc(C2=NC3=CC(CC=CC3)CN2)c(O)cc1O)c1cccc(-c2cccc3cnncc23)c1,0.4702,SPIN1_379,36
O=C(CNCCC1CCCC1)NCc1ccc2c(c1)SCC(C(=O)O)=C2,0.3432,SPIN1_488,112
C=C(C)Cc1c(NC)ccc2cc(-c3cnc4c5c(cc(F)cc35)C=C(Cc3ccccc3)N4)c(C)cc12,0.4695,SPIN1_304,145
O=C(O)CN1Cc2ccccc2C1=O,0.3217,SPIN1_26,96
CCCNC(=O)C1C(Oc2ccccc2)=CC(Oc2cccc3c2OCC(C)(C)O3)=CC1O,0.4232,SPIN1_91,133
O=C(CCCCCCN1CCCCC1)N1CCCC1,0.1382,SPIN1_493,150
CCCCC1CCN(c2cc(C=N)cc(C=CC(=O)O)c2)C1,0.2762,SPIN1_137,210
CNC(=O)C1Cc2c(O)cccc2C=C1Oc1ccc2c(c1)Cc1cccc(C3=CCC(C)=C3)c1C2,0.4777,SPIN1_11,231
Cc1ccccc1-c1cccc2cc(-c3cnc4c5c(cc(F)cc35)C=C(Cc3cc(O)cc5c3OCCO5)N4)c(C)cc12,0.4983,SPIN1_240,128
Cc1ccc(C(C)(C)C)cc1C(=O)NCCNC(=O)c1cc(-c2nccc(-c3ccncc3C)n2)c(O)cc1O,0.4378,SPIN1_436,143
OC(CN1CCCC1)Nc1ccc2ccccc2c1,0.1909,SPIN1_119,106
COC(=O)c1cccc(N(C(C)=O)C(=O)Cc2ccc(Cl)cc2)c1,0.3199,SPIN1_53,44
Cc1ccc(-c2ccccc2C)cc1C(=O)NCCNC(=O)c1cc(-c2nccc(-c3ccncc3C)n2)c(O)cc1O,0.4228,SPIN1_128,1
NC(=O)c1cc(-c2ccc(C3=C4CC=CN=C4C=C3)nn2)cn(-c2cccc(C(=O)O)c2)c1=O,0.4984,SPIN1_483,63
O=C(Nc1cccc(F)c1)c1ccc2ccc(-c3ccccc3)cc2c1,0.2279,SPIN1_59,108
CC(O)CC1=CCNC(c2cc(C(=O)NCCNC(=O)c3cccc(CN(C)C)c3)c(O)cc2O)=N1,0.3905,SPIN1_224,48
CCC1=NC(=O)C(CNC(=O)Cc2ccc(C3=NN=C(CC)C3)c(O)c2)C=C1,0.3912,SPIN1_194,24
Cc1ccc(-c2cccnc2)cc1C(=O)NCCNC(=O)c1cc(-c2nccc(-c3cscc3C)n2)c(O)cc1O,0.4322,SPIN1_447,94
Cc1ccc(Cl)cc1C(=O)NCCNC(=O)c1cc(-c2nccc(-c3c(C)ccc4c3CN(C)C=N4)n2)c(O)cc1O,0.4907,SPIN1_356,175
CC1CCC2C=CCCN12,0.1538,SPIN1_192,204
Cc1ccc(C2=CCNC(c3cc(C(=O)NCCNC(=O)c4cc(C=NCN)ccc4F)c(O)cc3O)=N2)c(C)c1,0.4274,SPIN1_21,25
COc1cccc(C)c1C1=CCNC(c2cc(C(=O)NCCNC(=O)c3cc(-c4cccc(C(=O)O)c4)ccc3F)c(O)cc2O)=N1,0.4807,SPIN1_145,22
Cc1nn(Cc2cccc(C(=O)NCCNC(=O)c3cc(-c4nccc(CC5CCNC5)n4)c(O)cc3O)c2)cc(O)c1=O,0.4656,SPIN1_451,157
CCCCNc1cccc(CNCCO)c1,0.2275,SPIN1_166,138
CCC1CCN(CC(O)C(=O)NCc2ccccc2)C1,0.2349,SPIN1_298,187
CCc1nc(Cc2nc3c(N)cc(Cl)cc3[nH]2)ccc1-c1ccccc1,0.356,SPIN1_163,207
COc1cc(O)ccc1CC1=Cc2cc(F)cc3c(-c4cc5cccc(-c6c(C)cccc6O)c5cc4C)cnc(c23)N1,0.4677,SPIN1_124,11
COC1=CC(O)C(C(=O)Nc2ccccc2)C(OC(C)=O)=C1,0.3581,SPIN1_24,227
CN(C)C(=O)NC1CCC(C)(CNC(=O)N2CCCC2)NC1=O,0.2377,SPIN1_318,183
CCCCCN1CCN2C(C(=O)N(C)C)C3=CC=NC(=O)C3C2C1,0.3929,SPIN1_427,132
COC(=CC=C1c2nc3cc4ccccc4cc3c(=O)n2CC(=O)N1C)c1csc(C)c1,0.4751,SPIN1_394,18
Cc1ccc(-c2cccc(C(=O)O)c2)cc1C(=O)NCCNC(=O)c1cc(-c2nccc(-c3cccc(C)c3Cl)n2)c(O)cc1O,0.4375,SPIN1_331,181
O=C(CCCCO)NCc1ccc(C(F)(F)F)cc1,0.2297,SPIN1_147,70
CN1CCN2CCCC2C1,0.1237,SPIN1_381,169
CCc1cccc(CN=CNC2(C)CCC(C)(CNC(=O)c3ccccc3C)NC2=O)c1,0.3742,SPIN1_122,4
COC1CCN(C(=O)c2ccc(C(=O)NCCO)cc2)C1,0.27,SPIN1_99,141
CCCc1nnc(-c2ccc(CC(=O)NCC3C=CC(CC)=NC3=O)cc2O)[nH]1,0.3912,SPIN1_19,229
COc1ccccc1CC1=Cc2cc(F)cc3c(-c4cc5cccc(-c6c(O)ccc(C)c6C)c5cc4C)cnc(c23)N1,0.4678,SPIN1_345,15
CCc1ccccc1-c1ccnc(-c2cc(C(=O)NCCNC(=O)c3ccccc3C)c(O)cc2O)n1,0.4137,SPIN1_133,20
C=C1CC(C)=CCN1c1ccc2c(c1)NC(=O)N(C(C)c1cccc(-c3nc(CCC)c[nH]3)c1)C2,0.4799,SPIN1_23,228
CCc1ccc(C)c(CN=CNC2(C)CCC(C)(CNC(=O)c3cccc(C)c3C)NC2=O)c1,0.3897,SPIN1_198,17
CN(C)Cc1cccc(C(=O)NCCNC(=O)c2cc(-c3nccc(CC4CCNC4)n3)c(O)cc2O)c1,0.4148,SPIN1_168,40
CCC1=NC(=O)C(CNC(=O)Cc2ccc(-c3n[nH]c(=O)[nH]3)c(O)c2)C=C1,0.3744,SPIN1_229,98
Cc1ccccc1-c1cccc(C(=O)NCCNC(=O)c2cc(C3=NC4=CC(CC=CC4)CN3)c(O)cc2O)c1,0.4447,SPIN1_477,110
O=C(Cc1cc(O)c2c(ccc3ccc(-c4ccccc4)nc32)c1)NCC1C=Cc2ccnn2C1=O,0.4647,SPIN1_55,146
CCCc1cccc(C2=Nc3ccc(C(=O)NC(C)C)cc3C2C)c1,0.4267,SPIN1_196,203
O=C(O)c1cccc(-c2cn(-c3cccc(C(=O)O)c3)c(=O)cc2O)c1,0.3646,SPIN1_440,67
CC1CCN2C(C1)C1C(=O)NC(C)CC1C2C(=O)N(C)C,0.2977,SPIN1_473,153
CN(CC(C)(C)C)C(=O)C(C)(O)C(=O)Nc1cccc(C(=O)N2CCNCC2)c1,0.3635,SPIN1_412,164
COC(=CC=C1c2nc3cc4ccccc4cc3c(=O)n2CC(=O)N1C)c1ccccc1,0.4722,SPIN1_38,16
CCCc1ccnc(-c2cc(C(=O)NCCNC(=O)c3ccccc3)c(O)cc2O)n1,0.3653,SPIN1_170,127
CC(C)Cc1ccnc(-c2cc(C(=O)NCCNC(=O)c3cccc(-c4ccc(F)cc4)c3)c(O)cc2O)n1,0.3932,SPIN1_241,135
Cn1cnnc1-c1cccc(C(=O)NCCNC(=O)c2cc(-c3nccc(CC4CCNC4)n3)c(O)cc2O)c1,0.4308,SPIN1_73,220
CCc1nc(Cc2nc3c(N)nc(C(C)(F)F)cc3[nH]2)ccc1-c1ccccc1,0.4049,SPIN1_335,180
CCNC1CCN(c2ccc3ccccc3c2)C1,0.205,SPIN1_14,82
O=C1CCCC2CCCCN12,0.1443,SPIN1_324,114
O=C(NCCNC(=O)c1cc(-c2nccc(CC3=CC=CC3)n2)c(O)cc1O)c1cccc(Cl)c1,0.402,SPIN1_5,92
