SMILES,Tanimoto
CC=CCC1CN2c3c(ccc(C(=O)O)c3NC3CC(CC(C)C)CC32)O1,0.5112
CCN(Cc1ccc(C(C)(C)C)cc1O)c1cc(C)cc(-c2cccnc2)c1,0.3780
CCC1CC(O)C(=CCCC2=CCC(C)CC2)c2ccccc21,0.3359
CC1=CCC2CC(CCC(C)(C)C)Nc3c(C(N)=O)cccc3C2=C1,0.4635
CC#Cc1ccccc1Oc1ccc(C(=O)O)c(NCC(C)C(O)c2ccccc2O)c1,0.3852
Cc1cc(C(=O)O)c2c(c1)N(C(=O)C(C)c1ccc(C)o1)C(O)(C(F)(F)c1ccccc1)C(=O)N2,0.6544
CC(C)CC1=NC(C2CCC(C)(C)CC2)N=C1NC(=O)c1ccccc1O,0.3755
CCCCCC(Cc1cc(F)c(OC)cc1C)c1cccc(C(=O)O)c1,0.3278
CCc1cc2cccc(CN3c4cc(C)cc(C(=O)O)c4NC(=O)C3(O)C(F)(F)c3ccccc3)c2o1,0.6536
CC#Cc1ccccc1Oc1ccc(C(=O)O)c(NCC(C)C(O)c2ccccc2)c1,0.3679
CC#Cc1ccccc1Oc1ccc(C(=O)O)c(NCCCC2CCCC2)c1,0.3382
CCC(C)=CCc1cc(C2(O)CCc3cc(C)c(O)cc32)c2c(c1O)C(O)CC(C)O2,0.4949
Cc1cc(C(=O)O)c2c(c1)N(C(=O)C1C=CCC3=C1OC(C)C3)C(O)(C(F)(F)c1ccccc1)C(=O)N2,0.6568
Cc1ccc(C=CCC2=C3c4ccccc4CCC3(CCC(=O)O)C(=O)NC2=O)c(O)c1,0.4921
CC1=C(F)CC(F)=C(C2N=C(CC(C)C)C(NC(=O)c3ccccc3O)=N2)C(=O)O1,0.5064
COc1cc(O)c2c(c1)CN1CC1c1ccc(O)cc1O2,0.3524
Cc1cc(C(=O)O)c2c(c1)N(C(=O)C1C=CCC3=C1OC(C)(C)C3)C(O)(C(F)(F)c1cccc(Cl)c1)C(=O)N2,0.6660
COc1ccc2c(c1)C(=CC(O)c1cc3ccccc3cc1O)Oc1ccc(O)cc1C2O,0.4793
CC(C)=Cc1ccc(O)cc1NC(=O)c1cc(F)c(C(C)C)cc1O,0.4233
Cc1cc(C(=O)O)c2c(c1)N(Cc1cccc3c1oc1c(C)cc(C)cc13)C(O)(C(F)(F)C1CC(C)(C)CCO1)C(=O)N2,0.6644
NC(=O)c1cccc(C2=CCC=CC2=O)c1N,0.3667
Cc1cc(C(=O)O)c2c(c1)N(Cc1cccc3c1OC1=C(C3)OCC1)C(O)(C(F)(F)c1ccccc1)C(=O)N2,0.6622
Cc1cc(-c2cnc(=O)[nH]c2O)cc2c1C=CCN2Cc1ccc(CCO)c(O)c1O,0.5043
Cc1cc(C(=O)O)c2c(c1)N(Cc1cccc3c1OC1CCCCC31)C(O)(C(F)(F)c1ccccc1F)C(=O)N2,0.6723
Cc1cccc(C(F)(F)C2(O)C(=O)Nc3c(C(=O)O)cc(C)cc3N2Cc2cccc3c2Oc2ccsc2O3)c1,0.6631
CC#Cc1ccccc1Oc1ccc(C(=O)O)c(NCC(C)CC2CCCC2)c1,0.3447
Cc1cc(C2C=NN=C2)cc2c1C=CCN2Cc1ccc(Cl)c(O)c1O,0.4711
CC=C1Cc2cccc(CN3c4cc(C)cc(C(=O)O)c4NC(=O)C3(O)C(F)(F)CCC(C)(C)C)c2O1,0.6477
Cc1cc(C(=O)O)c2c(c1)N(C(=O)C1CC(=O)CC=C1OCCO)C(O)(C(F)(F)c1cccc(Cl)c1)C(=O)N2,0.6636
CCN(Cc1ccc(C(C)C)cc1O)c1cc(C)cc(-c2cccnc2)c1,0.3720
COc1cc(O)c(Oc2cccc(O)c2)c(C(O)NCC(C)=C2CCCCC2)c1,0.3510
CC1=COC(=O)CC(C2(C)CCCC(C)C2)Nc2nc(cc(=O)[nH]2)CCCC(C)=CC=C1,0.3548
CCc1ccc(CN2CC=Cc3c(C)cc(-c4c(O)ccnc4C)cc32)c(O)c1O,0.5017
Cc1cccc(C(F)(F)C2(O)C(=O)Nc3c(C(=O)O)cc(C)cc3N2C(=O)C2C=CC=CC2)c1,0.6423
Cc1cc(C)c(C(=O)N2CC3CC(=O)NC3C2=O)cc1O,0.4527
CC=CC=C(C(=O)O)c1ccc2c(c1)CC(O)C(CO)OC2,0.3335
CC1=COc2c(cccc2C(=O)N2c3cc(C)cc(C(=O)O)c3NC(=O)C2(O)C(F)(F)c2ccccc2)O1,0.6658
CCc1c(F)cc(CN2CC=Cc3c(C)cc(C4=CC(=O)N=C4)cc32)c(O)c1O,0.5052
Cc1cccc(C=CCC2=C3c4ccccc4CCC3(CCC(=O)O)C(=O)NC2)c1,0.4480
Cc1cc(C)c(C(=O)N2CC3CC(c4ccccc4F)NC34C=C(C(=O)O)C=CC24)cc1O,0.5714
CC1(C)C=Cc2cc(O)c(C(=O)O)cc2C1,0.2855
COc1ccc(C)c(C=CCC2=C3c4ccccc4CCC3(CCC(=O)O)C(=O)NC2=O)c1,0.4970
Cc1cccc(C(F)(F)C2(O)C(=O)Nc3c(C(=O)O)cc(C)cc3N2C(=O)C2C=CCc3cc(C)oc32)c1,0.6768
CC=CC=C(C(=O)O)c1ccc2c(c1)CNC(=O)COC2,0.3229
CC1=COc2ccc(C)cc2CCCc2cc(=O)[nH]c(n2)NC(C2(C)CCCCC2)CC(=O)O1,0.4289
COc1cc(O)c2c(c1)CCC1C3CC4CC3CC21C4,0.3357
Cc1coc(C(F)(F)C2(O)C(=O)Nc3c(C(=O)O)cc(C)cc3N2Cc2ccccc2)c1,0.6480
C=C(O)c1cc(O)c(Nc2cccc(OCC)c2)c(N2CNC(CCC)C2C)c1,0.4391
Cc1cc(O)c(C(=O)O)cc1Cl,0.2233
Cc1cc(C(=O)O)c2c(c1)N(Cc1cccc3c1Oc1cccc(F)c1N3)C(O)(C(F)(F)C(=O)OCC(=O)O)C(=O)N2,0.6593
CCC1OCC(C=CCC2=C3c4ccccc4CCC3(CCC(=O)O)C(=O)NC2=O)C(O)C1O,0.5211
CCc1ccc(CN2CC=Cc3c(C)cc(-c4cccc(O)c4O)cc32)c(O)c1O,0.4700
Cc1cc(C(=O)O)c2c(c1)N(Cc1ccccc1)C(O)(C(F)(F)c1cc(F)co1)C(=O)N2,0.6454
CCc1ccc(O)cc1NC(=O)c1cc(F)c(C(C)C)cc1O,0.4081
CC=CCC1CN2c3c(ccc(C(=O)O)c3NC3C(O)C(C(C)(C)O)CC32)O1,0.5430
CCC(CC)CNC(=O)c1cccc(C(C)(C)c2cc(C)cc(OC)c2)c1,0.3250
CCC(C)(O)CC=COC(=O)CC1=CC(CC(=O)O)=CC(C)(C)O1,0.2390
CC(=O)C1=NCc2ccc(-c3ccccc3)cc2N1,0.3252
CCCCCc1cc(=O)[nH]c(NC(CC(=O)O)C2(C)CCCCC2)n1,0.3044
Cc1cc(C(=O)O)c2c(c1)N(C(=O)C1C=CCc3cc(C)oc31)C(O)(C(F)(F)c1cccc(F)c1)C(=O)N2,0.6806
Cc1cc(C(=O)O)c2c(c1)N(Cc1cccc3c1Oc1ccccc1O3)C(O)(C(F)(F)C(=O)OCC(=O)O)C(=O)N2,0.6571
CCc1ccc(CN2CC=Cc3c(C)cc(-c4ccccc4)cc32)c(O)c1O,0.4481
