SMILES,Tanimoto
C=C(C=CCc1ccccc1-c1ccc2cc(O)ccc2c1)CC=Cc1cccc(O)c1,0.5499
CC1c2ccc(-c3ccc4c(c3)-c3cccnc3OC4)cc2CC2=C(CCCCC(=O)O)CCC21C,0.5929
CC1(C)CC(C=C2C(=O)C=CC=C2O)=CC2Oc3cc(Cc4ccc(O)c(C(O)CO)c4)cc(F)c3C(=O)N21,0.7131
CCc1ccc2c(Cc3cc(F)c4c(c3)OC3(C)CC(CCCCCO)CCC43)c(O)ccc2c1,0.5308
CC=CC(=C1CCC(=O)CC(C)C1=O)c1ccc(O)cc1,0.5271
COc1cc(C)cc(NC(=O)c2ccc3c(c2)CC24c5c6cc(O)c(O)c5CC35CCC(CCC2CCC6)C54)c1,0.5644
O=C(O)c1ccc(Oc2ccc(-c3c(C4=CCCCC4)oc4ccccc34)cc2C(F)(F)F)cc1,0.5768
CC12COCC3CCC(C(c4ccc(O)c(O)c4)C1)C32C,0.6493
CCC1CC(c2ccc(O)c(O)c2)C2CCCC(C)C12,0.6223
CCc1ccc2c(Cc3cc(F)c4c(c3)OC3(C)CC(=CC=C5C=CC=C(O)C5=O)CCC43)c(O)ccc2c1,0.6126
CC1=CNc2nc(NC3=CCC=C3)ccc2C1=Cc1ccccc1-c1ccc2c(O)c(O)ccc2c1,0.5649
Cc1cc(C2=C(C3C=Cc4c(ccc(Oc5c(C)cccc5CO)c4O)C3)c3ccccc3C2)ccc1O,0.6227
CC=CC(=C1CCC(=O)CCC1=O)c1ccc(O)cc1,0.5051
CC12CCCC(CCO)(C1)C(c1ccc(O)cc1)CC2=O,0.5624
CC1=C2C(=CC=CC2O)Oc2c(Oc3ccc4c(c3O)C=CC(C3=C(c5ccc(O)c(C)c5)Cc5ccccc53)C4)cc(C)cc21,0.7051
Cc1cc(C2=C(C3C=Cc4c(cc5c(c4O)OC(c4cccc6c4OCCO6)=CC(O)O5)C3)c3ccccc3C2)ccc1O,0.6538
Cc1ccc2c(c1)C(Oc1ccc3c(c1O)C=CC(C1=C(c4ccc(O)c(C)c4)Cc4ccccc41)C3)=C1C=CC=C(CO)C1O2,0.7118
CC1=C2C(O)=CCC(C(=O)O)=C2Oc2c(Oc3ccc4c(c3O)C=CC(C3=C(c5ccc(O)c(C)c5)Cc5ccccc53)C4)cccc21,0.7221
CCC1=CC2=CCc3c(C(=O)O)cccc3C2C(O)C1,0.4843
Cc1cccc2c1Oc1c(cc(F)c(F)c1CCC1=CC(=Cc3cccc(C)c3-c3ccc4c(O)c(O)ccc4c3)C=C(O)C1)O2,0.5567
CC1=NCC=C1CNC(=O)c1ccc(C2(O)OC(CCC(=O)O)Cc3ccccc32)cc1,0.4905
COc1ccc(F)c(NC(=O)c2c(O)cc3c(c2C)Oc2c(CC(C)C(C)O)ccc4cccc(c24)C3)c1O,0.5979
CN=CC1=NCN(c2ccc3c(n2)NC=C(C)C3=Cc2ccccc2-c2ccc3c(O)c(O)ccc3c2)c2ccccc21,0.6961
Cc1cccc(C=C2C=C(O)CC(CCc3c(F)cc(O)c(O)c3O)=C2)c1-c1ccc2c(O)c(O)ccc2c1,0.4905
Cc1cc(C(=O)O)cn(-c2ccc3c(c2)NC=CC3=Cc2ccccc2-c2ccc3c(O)c(O)ccc3c2)c1=O,0.5930
CC1=C2C=C(O)CC=C2Oc2c(Oc3ccc4c(c3O)C=CC(C3=C(c5ccc(O)c(C)c5)Cc5ccccc53)C4)cccc21,0.6758
Cc1cc(C2=C(C3C=Cc4c(ccc(Oc5cccc6c5OC5=CCC=C7C(=O)NCC6=C57)c4O)C3)c3ccccc3C2)ccc1O,0.7583
CCc1ccccc1Nc1ccc2c(n1)NC=C(C)C2=Cc1ccccc1-c1ccc2c(O)c(O)ccc2c1,0.5879
Cc1cc(C2=C(C3C=Cc4cc(C(=O)N5CC=CC6CCCC65)ccc4C3)c3ccccc3C2)ccc1O,0.5887
COC1=C2Oc3c(O)cc(C(=O)O)cc3C(Oc3ccc4c(c3O)C=CC(C3=C(c5ccc(O)c(C)c5)Cc5ccccc53)C4)=C2C=CC1,0.7490
Cc1cc(C2=C(C3C=Cc4c(ccc(Oc5c(CO)ccc6ccc7c(c56)OC(=O)CO7)c4O)C3)c3ccccc3C2)ccc1O,0.6323
CC1=CC(=CCO)Oc2c(Oc3ccc4c(c3O)C=CC(C3=C(c5ccc(O)c(C)c5)Cc5ccccc53)C4)cccc21,0.6174
Oc1ccc2c(c1)OC(O)(c1ccc(-c3cnc4ccc5nc6c(cc5c4c3)C=CCC=C6)cc1)c1ccccc1-2,0.6689
CC1=CNc2nc(Cc3cccc4c3OC=CO4)ccc2C1=Cc1ccccc1-c1ccc2c(O)c(O)ccc2c1,0.6353
CC(O)c1cc2c3c4c(cc2cc1O)OCCC4=CCC3c1ccc2cc(-c3cnc4ccccc4c3)oc(=O)c2c1,0.6811
Nc1nc2nc3c(cc2c2cc(-c4ccc(C5(O)Oc6cc(O)ccc6-c6ccccc65)cc4)cnc12)C=CCC=C3,0.6699
O=C(O)c1cc2cc3c(cc2cc1O)C(=Cc1ccccc1-c1ccc2c(O)c(O)ccc2c1)C=C3O,0.4593
Cc1cc(C2=C(C3C=Cc4c(cc5c(c4O)OC(c4ccc(O)c6c4Oc4ccccc4O6)=CC(O)=C5)C3)c3ccccc3C2)ccc1O,0.6891
CC1=CNc2nc(Nc3ccccc3CC(N)=O)ccc2C1=Cc1ccccc1-c1ccc2c(O)c(O)ccc2c1,0.6054
Cc1ccc(C(N)=O)c(-c2cc3ccc(C4CC=C5CCOc6cc7cc(O)c(C(C)O)cc7c4c65)cc3c(=O)o2)c1,0.6967
Cc1cc(C2=C(C3C=Cc4c(ccc(Oc5cccc6c7ccc8cccc9c(=O)cc(oc56)-c7c89)c4O)C3)c3ccccc3C2)ccc1O,0.6856
CC=CC(=CC(=O)CCC)c1ccc(O)cc1,0.5068
Cc1cc(-c2ccc3c(c2)CCOC3)ccc1O,0.4789
CC1=C2CC=CC=C2Oc2c(Oc3ccc4c(c3O)C=CC(C3=C(c5ccc(O)c(C)c5)Cc5ccccc53)C4)cccc21,0.6767
Oc1ccc(-c2ccc(Cl)cc2)cc1,0.5728
CC(=O)Nc1cccc(C(CCc2cc(O)ccc2-c2ccc(O)cc2)=NO)c1,0.4300
Oc1cccc(-c2ccc(Oc3ccc(-c4c(-c5ccccc5)oc5ccccc45)cc3C(F)(F)F)cc2)c1,0.5171
C#Cc1cc(-c2ccc(Oc3ccc(-c4c(-c5ccccc5)oc5ccccc45)cc3C(F)(F)F)cc2)cc(O)n1,0.5279
CC1=CC(=CC=O)Oc2c(Oc3ccc4c(c3O)C=CC(C3=C(c5ccc(O)c(C)c5)Cc5ccccc53)C4)cccc21,0.6180
Cc1ccc(C)c(NC(=O)c2ccc(F)c(-c3c(C)cccc3Cc3c(F)ccc(O)c3O)c2)c1O,0.5086
CC1=CC2=C3C(C)=CC=C3c3ccc(O)c4c3C2C(=C1)C1CC41,0.6318
Cc1cc2c(c(C)c1CO)CC13CCC(=O)C1C2Cc1cc(C(=O)NCC2=CC=NC2=O)ccc13,0.5487
Cc1cc(C2=C(C3C=Cc4c(ccc(Oc5cccc6c5OC5=C(O)CC(O)=C7OC=CC6=C75)c4O)C3)c3ccccc3C2)ccc1O,0.7491
COc1cc(O)cc(NC(=O)c2ccc3c(c2)CC24C5=CCC6CCC3(Cc3c(O)cc(O)c(c32)C=C5)C64)c1,0.6860
O=C1CCC2C(O1)C1c3ccccc3C(O)(c3ccc(-c4c5n(c6ccccc46)C(=O)CC=C5)cc3)OC21,0.7624
CC1=C2Oc3c(Oc4ccc5c(c4O)C=CC(C4=C(c6ccc(O)c(C)c6)Cc6ccccc64)C5)cccc3C(C)=C2C(O)=C=C1,0.7047
CCc1ccc2c(Cc3cc(F)c4c(c3)OC3(C)C5CC(c6cccc(O)c6)CC=C5CCC43)c(O)ccc2c1,0.6316
O=C(C1=CC=CC1)c1ccc(CC2COc3c(-c4ccc(O)c(O)c4)cc4c(c3O2)CCCC4)cc1,0.5572
CC(=Cc1cc(C)c2c(c1)C1(C(O)c3ccc(O)cc3)CCCCC1O2)C1=CN=NC1=O,0.6217
Cc1cc(-c2cc3ccc(C4CC=C5CCOc6cc7cc(O)c(C(C)O)cc7c4c65)cc3c(=O)o2)ccc1O,0.6476
CCc1ccc2c(Cc3cc(F)c4c(c3)OC3(C)CC(=CC=C5C=CCC(O)=C5)CCC43)c(O)ccc2c1,0.5876
COc1cc2ccccc2cc1-c1ccc(Cc2cccc3ccc(CC(C)C)cc23)c(O)c1,0.4977
CC1=C2CC(=NO)C(=O)C=C2Oc2c(Oc3ccc4c(c3O)C=CC(C3=C(c5ccc(O)c(C)c5)Cc5ccccc53)C4)cc(C)cc21,0.7342
O=C(C=CC=C1CCC(C2C(c3ccc(O)cc3)=Cc3ccccc32)c2conc21)c1ccsc1,0.6401
OC=CC(=Cc1ccccc1-c1ccc2c(O)c(O)ccc2c1)C1=C=c2cc3cccc(O)c3cc2=C1,0.4514
Cc1cccc2c1ccc1cc3c(cc12)CCCO3,0.4669
Cc1ccc2c(c1)Oc1c(cc(F)c(F)c1CCC1=CC(=Cc3cccc(C)c3-c3ccc4c(O)c(O)ccc4c3)C=C(O)C1)O2,0.5609
CC1=CC2=C(Oc3ccc4c(c3O)C=CC(C3=C(c5ccc(O)c(C)c5)Cc5ccccc53)C4)c3cc(C)ccc3OC2C(O)=C1,0.7267
COc1cc(NC(=O)c2ccc3c(c2)CC24C5=CCC6CCC3(Cc3c(O)c(O)c(O)c(c32)CC5)C64)cc(OC)c1,0.6505
CC1=C2C=CC(C)CC2=C(c2ccc(O)c(C)c2)C1C,0.4845
CC1(O)CCC23CC4C=C(C(=O)O)C(=O)C=C4C(Cc4cc(C(=O)NC(=O)c5cccc(O)c5O)ccc42)C13,0.5927
O=C(O)c1cccc2c1CC=C1C=C(CO)C=C(O)C12,0.4765
CC1=CC=C(O)C(=CC2=CC3Oc4cc(Cc5ccc(O)c(C(O)CO)c5)cc(F)c4C(=O)N3C(C)(C)C2)C1=O,0.7212
CCc1ccc2c(Cc3cc(F)c4c(c3)OC3(C)CC(=CC=C5C=CC=C(O)C5)CCC43)c(O)ccc2c1,0.5871
Cc1cccc(Cc2cccc(O)c2O)c1-c1cc(C(=O)Nc2ccc(O)c3c2OCC3)ccc1F,0.5349
COC1=NCC=C1CNC(=O)c1ccc2c(c1)CC1c3c(C)cc(C)c(C)c3CC23CCCC13,0.5052
Cc1cc(C2=C(C3C=Cc4c(ccc(OC(=CC(=O)O)c5cccc6c5OC=CO6)c4O)C3)c3ccccc3C2)ccc1O,0.6131
Cc1cc(C2=C(C3C=Cc4c(cc5c(c4O)OC(c4ccc(O)c6c4OC=CO6)=CC(O)C5)C3)c3ccccc3C2)ccc1O,0.6722
Cc1cc(C=C2CC=C3C=C=CC(O)=C32)cc2c1OC1CCCCC21C(O)c1ccc(O)cc1,0.6491
CC1=CNc2nc(Cc3c(C(=O)O)cnc4c(C)c(O)ccc34)ccc2C1=Cc1ccccc1-c1ccc2c(O)c(O)ccc2c1,0.7131
O=C(NCc1ccccc1O)c1ccc(C2(O)Oc3cc(CO)cc(O)c3-c3ccccc32)cc1,0.6084
C=C1C=CCN1C(=O)c1ccc(C2=CC=C3C=C4CCOc5cc6cc(O)c(CO)cc6c(c54)C3C2)cc1,0.6610
O=C(O)c1cccc2c1CC=C1C=C(CO)CC(O)C12,0.4865
Cc1cc(C2=C(C3C=Cc4c(ccc(Oc5cccc6c5OC5=CC=CC7CCCC6=C57)c4O)C3)c3ccccc3C2)ccc1O,0.7217
O=C(O)CCNC(=O)c1ccc(CC=CC(C(=O)O)=C2C=C[SH]=C2)c(C(F)(F)F)c1,0.4067
