SMILES,Tanimoto
C=C1OC2=C3C(=CC2c2cc(CC(=O)O)ncc21)C1=CC=C(COc2ccccc2OC)OC1=CC3(O)c1ccccc1,0.6759
COC(=O)C=Cc1ccc2c(c1-c1ccc3oc(=O)cc(C)c3c1)C=Nc1c(n[nH]c1C(=O)O)O2,0.5761
O=C(O)CC(=O)C=CC=Cc1cc(C(=O)N2CCOCC2)cc(C2=C=CN=C2c2ccccc2O)c1,0.4374
COc1cc2c(cn1)Cc1sc(COCC(=O)O)c(C(=O)O)c1C(c1ccccc1)C(=O)O2,0.5957
CCc1cc(Cc2ccccc2OC)ccc1-c1ccc(CCC(=O)O)cc1,0.2762
C=C1OC2=C3C(=CC2C(C(=O)O)C1=O)C1=CC(=O)C(C(=O)OC(C)=O)OC1=CC3(O)c1ccccc1,0.6117
CC1CC(OC(=O)CN(C)C(=O)c2ccc(F)c(Oc3ccc(C(=O)CC(=O)O)cc3)c2)CN(C)C1,0.4067
Cc1csc(C)c1C=Cc1cc(C=CC=CC(=O)CC(=O)O)cc(C(=O)N2CCCCC2)c1,0.3190
O=c1cc(Cc2ccccc2)c2ccc(Oc3ccc(O)cc3O)cc2[nH]1,0.3556
COc1ccc(Oc2ccccc2C(=O)O)c(F)c1,0.2522
CC1=Cc2cc(C=CC=CC(=O)CC(=O)O)cc(c2)C(=O)N2CCOC(CCCCc3ccc(C)c(O)c31)C2,0.4511
C=C1Oc2c(Oc3c(O)ccc4ccccc34)c(C)cc3c2C(=C1O)OCC3,0.5489
CCCc1cc(CNC(=O)C2CC(C(=O)NCC(=O)Oc3ccc(N)cc3)N(C(=O)c3ccccc3)C2)ccn1,0.4703
COc1cc2cc3c1OC(=O)C(C)(C=C3)Oc1c(cccc1C(=O)O)OCC(=O)N2C,0.5063
Cc1cc(O)c(C)c(-c2n[nH]c(C3(C)CCOc4ccccc43)n2)c1,0.5305
C=C1OC2=C3C(=CC2C(C(=O)O)C1=O)C1=CC(=O)C(C(=O)OCC)OC1=CC3(O)c1ccccc1,0.6079
C=CC1CN(C)CC(OC(=O)CN(C)C(=O)c2ccc(F)c(Oc3ccc(C(=O)CC(=O)O)cc3)c2)O1,0.4025
Cc1cc(O)c(OC(=O)C=Cc2ccc3c(c2-c2ccc4oc(=O)cc(C)c4c2)C=NC(CCC(=O)O)C(=O)O3)cc1C(=O)O,0.5742
O=C(O)C(CNC(=O)c1ccc2cc(O)ccc2c1)=C1C=C(F)C=CC1,0.3190
COCC1CCN(C(=O)c2ccc3ccccc3c2)C1,0.3854
Cc1ccc(C(=O)O)cc1OC(=O)C=Cc1ccc2c(c1-c1ccc3oc(=O)cc(C)c3c1)C=NC(CCC(=O)O)C(=O)O2,0.5589
COc1ccc2c(c1)OC(=O)C(c1ccccc1)C1=C(C2=O)[SH]2C=C(C(=O)O)OCC2=C1C(=O)O,0.6637
CC1(C)Oc2ccc(C(=O)NCCC(O)O)cc2-c2ccccc21,0.4138
COc1ccc(C=CC=O)c(Oc2ccc(C(=O)CC(=O)O)cc2)c1,0.2725
CC=C(C)C12COC(=O)C=CC1=C(Cc1cccc(-c3nnc[nH]3)c1)c1cc(C(N)=O)ccc12,0.6023
COc1ccc(Cc2cnnc3c(O)cc(C4=NC=CC4)cc23)cc1C,0.4240
Cc1cc(=O)oc2ccc(-c3cnccc3C(=O)NC(=O)c3ccccc3)cc12,0.4161
Cc1cncc(Oc2ccc3c(Cc4ccccc4)cc(=O)[nH]c3c2)c1,0.3816
CNC(=O)C1C=Cc2c(Oc3ccc(C(=O)CC(=O)O)cc3)cc(OC)cc2O1,0.4040
O=C(O)CC(=O)C=CC=Cc1cc2cc(c1)-c1cccnc1-c1cccc(O)c1OCCC=C1CN(CCO1)C2=O,0.5285
CC1CCc2c(ccc3c2CCN(C(=O)c2ccc(F)c(Oc4ccc(C(=O)CC(=O)O)cc4)c2)C3)O1,0.5011
Cc1ccc(O)c(CNC(=O)C2CC(C(=O)NCC(=O)Oc3ccc(N)cc3)N(C(=O)c3ccccc3)C2)c1O,0.4700
