SMILES,Tanimoto
NC(=O)C1COC2N=C3C(=C=C21)C(Oc1cccc2[nH]c(=O)ccc12)OC(=O)C3O,0.5365
NC1=NC(c2c[nH]c(=O)[nH]c2=O)C(CCO)CNC1,0.3687
C=C1CCNC(=O)CC2N=C(C(=O)O)C3C(=O)N4CCC1(C)C4CC23,0.4029
CC1(O)C(O)C(O)C2(C)C(O)CC3=NCC(C(=O)O)CC3C12,0.3257
O=C1CC2N=C(C(=O)O)CC(=O)N3CC(O)CC4C(=O)CC5(N1)C2C5C43,0.4025
O=C1N=CC2(O)CCc3c(cc(O)c(C(=O)O)c3O)C2C(=O)N1,0.4975
O=C1C=C(NO)NC2C(=O)C(O)C(C(O)C(CO)CO)CC12,0.3738
NCC1CN(C(=O)O)CC1C(C(=O)O)c1ccoc1,0.3333
CC12CCN3C(=O)C4C(C(=O)O)=NC5CC(=O)N(CNC1=O)OC5C4C32,0.5124
Nc1ccncn1,0.0856
COc1ccc2c(c1)CC(O)N1CCCC(CC(N)O)C21,0.3974
COc1ccc2c(c1)CC(O)N1CCCC(CC(=O)N(C)O)C21,0.4073
NC1C(C(=O)O)CC(=O)CC1c1ccccc1N1CCCNC1=O,0.4148
CC1=C2C(CC1)OCNC(=O)C2C1CN(C(=O)O)CC1CN,0.3575
CC12COCCNC(=O)C(=O)NC1CC(C(=O)O)C2O,0.4025
O=C1CCN(CC2COc3nc4c(cc32)COC(=O)C4O)C=C1CO,0.5023
O=C(O)C12Cc3c(ccc(O)c3O)C3CC4C(O)=CC([N+](=O)[O-])=CC(C4N31)C2O,0.5647
CCC(=O)N(CC(=O)NO)CC1CCC(C)C1,0.2396
CCC1=C(C(C)C2CN(C(=O)O)CC2CN)C(C)(O)CC1,0.3102
O=C1COC2=C(N1)NC(O)C1CC3c4ccc(O)c(O)c4CC4(C(=O)O)C(O)C2C1N34,0.5920
O=C(O)C12Cc3c(ccc(O)c3O)C3CC4C(O)NC5=C(NNN5)C(C4N31)C2O,0.5874
CC1CC2=NC(=O)CC3N=C(C(=O)O)C4C(=O)N5CCC1(C)C5C4=C23,0.5144
CC(=O)C=Cc1cc(O)ccc1OC1OC(=O)C(O)C2=NC3OCC(C(=O)O)C3=C=C21,0.5243
CC1=C2C(N=C3C(O)C(=O)CCC31)OCC2C(=O)O,0.4038
COC(C(CCN)C(=O)O)C(CCC(=O)O)C(=O)O,0.4378
CC1CCCN2C(=O)C3(O)OC(C(O)CC3C(=O)O)C12,0.5158
COc1ccc2c(c1)CC(C)(CO)N1CCCC(Cc3onc(O)c3N)C21,0.4683
NC1Cc2[nH]nc(O)c2C2C3C1CC1c4ccc(O)c(O)c4CC(C(=O)O)(C2O)N13,0.5953
CC1(O)C(O)C(O)C2CCC3NCC(C(=O)O)CC3C21,0.3811
CC12C=CC(=O)NCC(=O)NC1CC(C(=O)O)C2O,0.3777
O=C(O)C12Cc3c(ccc(O)c3O)C3CC4C(O)Nc5cnoc5C(C4N31)C2O,0.6043
CCC1CC2(CO)C(=CC1(C)C)C(N)C(C(=O)O)C2O,0.3617
CC1(C(=O)O)OC(c2ccc(O)c(O)c2)C(CCO)C1=O,0.3748
C1=CN=NC1,0.0597
O=C1CC2N=C(C(=O)O)C3C(=O)N4CC(O)CC5CC(O)C(N1)C(C23)C54,0.4083
O=C(O)C1CNc2c(-c3ccccc3)ccc(F)c2C1,0.3585
CC1=NC(=O)C(C2CN(C(=O)O)CC2CN)C2=C(C)CCC2O1,0.4086
CN1C(CC(N)=O)CC(O)C1C1OC(O)CC(C(=O)O)C1N,0.4986
O=C(O)C12Cc3c(ccc(O)c3O)C3CC4C(O)=CC5=C(OCCO5)C(C4N31)C2O,0.5817
CN(C(=O)C1=CCN=C1)C1CC2CC=CC3(CO1)C(O)=CC(=O)CC23,0.3668
CC1(O)CCN2C(=O)CC(C(=O)O)=NCCC(N)=CC#CC2C1,0.3103
NC1=CC=C(C(=O)O)C2C3C1CC1c4ccc(O)c(O)c4CC(C(=O)O)(C2O)N13,0.5654
NC1C(C(=O)O)CC2C1C1C(=O)NCCN1C2O,0.4043
CCN1C(=O)C2C(C(=O)O)=NC3=C4C(=NC(=O)C3)CNC(=O)C(C)C1C42,0.5101
COC,0.0192
Cc1cncc(N)c1,0.1225
Cc1ccc(OC2OC(=O)C(O)C3=NC4OCC(C(=O)O)C4=C=C32)c(C=CC(=O)O)c1,0.5180
CN1C2OCCOC2C(O)C1C1OC(O)CC(C(=O)O)C1N,0.5212
O=C(O)C1Cc2c(F)ccc(-c3ccccc3)c2CN1,0.3696
CN1C(CC(=O)O)C(O)C(O)C1C1OC(O)CC(C(=O)O)C1N,0.5286
O=C1CCC2COC3N=C4C(=C=C23)C(OC(=O)C4O)Oc2cc(F)c1c(O)c2O,0.5565
COc1ccc2c(c1)CC1(C)C(O)CC3CCC(CC(=O)N(C)O)C2N31,0.4503
O=Cc1cc(O)ccc1OC1OC(=O)C(O)C2=NC3OCC(CO)C3=C=C21,0.5061
NC1C(C(=O)O)CCC2CCC(=O)N3C(=O)CCC3CC21,0.4101
NCC1C(O)COC1c1c[nH]c(=O)[nH]c1=O,0.3161
COc1ccc2c(c1)CC(C)(C(=O)O)N1CCCC(Cc3onc(O)c3C)C21,0.4807
Cc1ccc(OC2OC(=O)C(O)C3=NC4OCC(C(N)=O)C4=C=C32)c(C=O)c1,0.5239
NC1=NC2=C(CNNN2O)C2C3C1CC1c4ccc(O)c(O)c4CC(C(=O)O)(C2O)N13,0.6070
COc1ccc2c(c1)CC(CC(=O)O)N1CCCC(CC(=O)O)C21,0.3975
O=C1CC(CCO)C2=CC(CN2)CC(C(=O)O)NCCC(CO)N1,0.4240
CCC1COC2N=C3C(=C=C12)C(Oc1cc(F)cc(F)c1O)OC(=O)C3O,0.5025
CCNC1C(O)C(O)C(O)C1CCC(N)C(=O)O,0.4111
O=C(O)C12Cc3c(ccc(O)c3O)C3CC4C(O)=Cc5nnoc5C(C4N31)C2O,0.6080
O=C(O)C1CC2c3ccc(O)c(O)c3CC3(C(=O)O)C(O)CC1N23,0.5202
O=C(O)C12Cc3c(ccc(O)c3O)C3CC4C(O)NC5=C(NNC5O)C(C4N31)C2O,0.5807
CC1=C2C(CC1)OC=NC(=O)C2C1CN(C(=O)O)CC1CN,0.3848
NC1C(C(=O)O)CC(=O)CC1c1cc(F)cc(F)c1N1CCCNC1=O,0.4514
O=C(O)C(O)Cc1cc(-c2ccccc2)ccc1F,0.2668
CC12COC(=O)NC1C1COC3NCc4cc(F)c(F)c(c4C31)C2,0.5190
CC12CCC3C(C(=O)O)CC4CCNC(=O)C(CC(O)C1)C2CC43,0.3731
NC1=NC2=C(C=NNN2O)C2C3C1CC1c4ccc(O)c(O)c4CC(C(=O)O)(C2O)N13,0.6056
NC1c2c(F)ccc(-c3ccccc3)c2CNC1C(=O)O,0.4198
NC(CCC1CNC2CCOC3CNCC1C23)C(=O)O,0.4152
CC1CCN(C)CC(c2ccc(O)c(O)c2)NC1=O,0.3031
NC1=NC2=C(ONC(=O)N2)C2C3C1CC1c4ccc(O)c(O)c4CC(C(=O)O)(C2O)N13,0.6079
NC1C(C(=O)O)CNCC1c1cc(F)ccc1N1CCCCC1=O,0.3972
CCCCCOC1OC(=O)C(O)C2=NC3OCC(CO)C3=C=C21,0.4273
CNC(=O)CC(CCO)C1=CC(CC(N)C(=O)O)CN1,0.3854
NC(=O)C(O)C1C=C(C(O)C(CO)CO)C(O)C(O)C1,0.3170
O=C1NOC2Cc3c(F)c(F)cc4c3C3C(NC4)OCC3C2N1,0.5382
O=C1C=CCCOCC2COC3N=C4C(=C=C23)C(OCC1)OC(=O)C4O,0.4431
NC1=NC2=C(C(O)NN2)C2C3C1CC1c4ccc(O)c(O)c4CC(C(=O)O)(C2O)N13,0.6051
CC1(O)C(CN)=CC2(CO)C(=C1O)C(N)C(C(=O)O)C2O,0.4047
NC1=NC2=C(CN=N2)C2C3C1CC1c4ccc(O)c(O)c4CC(C(=O)O)(C2O)N13,0.5934
CN(C(=O)C1=CCN=C1)C1CC2C3CC(=O)C=C(O)C3(C=CC2(C)F)CO1,0.3988
CCC1CCCN2C(=O)C3(O)OC(C(O)CC3C(N)=O)C12,0.4920
NC1=NC=C(C(=O)O)C2C3C1CC1c4ccc(O)c(O)c4CC(C(=O)O)(C2O)N13,0.5846
O=C(O)C12Cc3c(ccc(O)c3O)C3CC4C(O)=CC(OO)=C(O)C(C4N31)C2O,0.5683
NC(O)C1CC(CO)(C(=O)O)OC1c1ccc(O)c(O)c1,0.3776
O=C1CC2N=C(C(=O)O)C3C(=O)N4CCOC(O)C4C45C(N1)C24C35,0.4692
O=C1CC2N=C(C(=O)O)C3C(=O)N4CC(O)CC5C(=O)NC(N1)C(C23)C54,0.4342
CC1CC2CN(C(=O)C3=NNC(O)=NC3)CCC2C1O,0.2982
O=C(O)N1CCc2c(-c3ccccc3)ccc(F)c2C1,0.3615
O=C1OC(Oc2cccc3ccccc23)C2=C=C3C(N=C2C1O)OCC3C(=O)O,0.4972
O=c1[nH]cc(C2OCC(O)C2O)c(=O)[nH]1,0.3002
NC1=NC=C(C=O)C2C3C1CC1c4ccc(O)c(O)c4CC(C(=O)O)(C2O)N13,0.5775
