SMILES,Tanimoto
CCCCc1cc(Oc2c(CCO)ccc(O)c2O)cc2c1OCCC21CC2=C(CCCC=C2C)O1,0.6529
CCCC1CCCCCCCC2(C)CCCC2CC(=O)c2cccc(c2)C(=O)NCC2CCCN(C1)C2=O,0.4319
COc1cc(COc2cc(CC(C)C)c(-c3ccccc3)cc2C)c(C)c2c1CCCC2,0.4461
CC1=CC2C(=C1)c1cc(F)cc3c1C1C2CC(C)C(=O)N1CC1CCc2cccc(c21)C(=O)N3,0.7477
COC1C(C)C2OC3C4=C(OC5CC(O)C(N6CCOCC6C(=O)O)C(=O)N53)c3ccccc3CC4CCOC2C1O,0.7571
CCC(=O)N1CCc2ccccc2C(=O)Nc2cccc3c2C1(C(=O)N(O)Cc1ccccc1C(=O)O)CCC3=CCCO,0.7684
Cc1ccccc1C1=CSCC1N(C)C(=O)C(CCCCC(=O)O)c1cccc(Oc2ccccc2)c1,0.5260
CC(=CCO)C=C1CC2OC(C)C(=O)N3CCc4ccccc4C(=O)Oc4cc(F)cc1c4C23O,0.8053
CC=C(COC(=O)C(O)C(Cc1cc(F)ccc1O)Oc1cc2c(c3c1CC(C)CC3)OCCC21CC2=C(CCCC=C2C)O1)OC,0.7245
CC(C)N1CCNC(=O)c2c(O)ccc3c2C=C2C4=C5C(=CNC(=O)C5CC(CCC5=CCNC5=O)C4C1=O)C2C3,0.6925
CCCc1cccc(OC)c1Oc1cc(CCCC(=O)O)c2c(c1)C1(CCO2)CC2=C(CCCC=C2C)O1,0.6486
Cc1ccccc1-c1c(O)c(C)cc2c(N3c4ccccc4C(=O)N(C)CC3OC(C)CO)cc(C(C)(C)N)cc12,0.6338
COC1C(O)C2OCCC3Cc4ccccc4C4=C3C(OC2C1O)N1C(=O)C(N(C)C2COC(CO)C2O)C(O)CC1O4,0.7491
COC1C(C)C2OC3C4=C(OC5CC(O)C(N6CCCCC6C(=O)O)C(=O)N53)c3ccccc3CC4CCOC2C1O,0.7573
CC1CC(O)C2C(c3cccc(-c4ccccc4)c3C(C(=O)NCCCC=CC(C)(C)O)N2CCO)N1C(=O)O,0.6895
CCCCCOC1C2=C(OCN1C(=O)C(C(C)O)C(C)O)c1ccccc1CC2C,0.6119
C=C1CCCC1OC(=O)C(O)C(Cc1ccccc1O)Oc1cc2c(c3c1CC(=CC)CC3)OCCC21CC2=C(CCCC=C2C)O1,0.7317
COC1C(C)C2OC3C4=C(OC5CC(O)C(N6C=NCC(O)C6CO)C(=O)N53)c3ccccc3CC4CCOC2C1O,0.7712
C=C(CCOC1C2=C(OCN1C(=O)C1C(O)C(O)C(O)C1O)c1ccccc1CC2C)C(C)=CC,0.6651
