SMILES,Tanimoto
Cc1ncc(C)c(-c2ccc(-c3c(-n4c(=O)c(-c5ccccc5)cc5ccccc54)cc(F)c(N)c3C(=O)O)cc2)n1,0.6526
COc1ccccc1Cn1ccc2c1C(OCCO)=NCc1ccc(Oc3cccc(C)c3)cc1-2,0.5774
Cc1cc(O)cc(-c2c(C)cc(CC(=O)O)cc2-c2cccc3ccccc23)c1,0.3242
Cc1ncc(O)c(-c2ccc(-c3c(-n4c(=O)c(-c5ccccc5)cc5ccccc54)cc(F)c(N)c3C(=O)O)cc2)n1,0.6543
Cc1ccc2cc3cc(c2c1)C(C)(O)OCCOCOC=CCCC(=O)N=C3,0.3252
O=C(O)C1CCC2CC3(CCC4CCCCC43)C(=O)N2C1,0.3242
CC(C)(C)C(=O)NCc1ccccc1CN1CCC(O)C(=O)C1,0.2739
CNCCOc1nc2ccccc2c2cccc(OC)c12,0.3720
NC(=O)C=CCC1CCN(CCCCO)c2ccccc21,0.4099
NC(=O)N1Cc2cccc3cccc(c23)C(C2C=CCCCC2)C1=O,0.4791
CC1CC2CC(=O)CC1C2,0.0883
COc1cccc(-c2ccc3c4c2C=CN2C5c6ccccc6OCC5NC(CO3)C42)c1,0.6341
Nc1c(F)cc(-n2c(=O)c(-c3ccccc3)cc3ccccc32)c(-c2ccc(CN3CC=NCC3)cc2)c1C(=O)O,0.6314
CC(C)c1ccc2c(c1)-c1cccc3cccc(c13)O2,0.3237
CC1C=C2CN(C(N)=O)C(=O)C(C3C=CCCCC3)c3cccc1c32,0.5437
Cc1cncc(NC(=O)C2(C)CCC3CCCCC32)c1CC(=O)O,0.4247
Cc1c(N)c(F)cc(-n2c(=O)c(-c3ccccc3)cc3ccccc32)c1-c1ccc(C(=O)O)c(F)c1,0.5967
Fc1ccccc1Cc1ccc2c(c1F)CC=CN2,0.3134
CCCN1c2nccc3c2C(C=C(c2cccc(F)c2C)C3)NC(=O)C1c1ccccc1,0.7058
Cn1ccc(-c2ccc(-c3c(-n4c(=O)c(-c5ccccc5)cc5ccccc54)cc(F)c(N)c3C(=O)O)cc2)n1,0.6405
Cc1ccc2c(c1)C(C)C1CC3=CCC=CC3=CC1=C2,0.4058
C=CCc1c(C)cncc1NC(=O)C1(C)CCC2CCCCC21,0.4035
O=C(CCCCF)Nc1cc(=O)nc2n1CC(c1ccccc1)NC2,0.5165
CC1=CC(c2c(C)cc(CC(=O)O)cc2-c2cccc3ccccc23)CNC1C,0.4381
CC1(C(=O)Nc2cnccc2-c2ccccc2)CCC2CCCCC21,0.3716
C1CCCCC1,0.0202
CCCC1CC2=NC(=O)C(CC)N2C(c2ccccc2)C(=O)N1,0.5304
O=C1NC2COc3ccccc3C2N2C=Cc3c(-c4cccc(O)c4)cccc3C12,0.6389
Cc1ccc2c(c1)CC(=O)C(C#N)=C2,0.2768
CCCNCc1c2c(c(O)c3c1Cc1c(cccc1C(=O)O)O3)OCCC2,0.5097
O=C1N2CC3CCCC3CC2CC12CCC1CCCCC12,0.2994
C=CC1CCN(Cc2ccccc2CNC(=O)c2cc(N)ncc2F)C1,0.3906
CC1CN(c2cccc3ccccc23)c2c1cc[nH]c2=O,0.4438
C=C(C)c1cc(Oc2ccccc2)cc(C(=O)NCC)c1,0.3092
Nc1c(F)cc(-n2c(=O)c(-c3ccccc3)cc3ccccc32)c(-c2ccc(-c3nncs3)cc2)c1C(=O)O,0.6432
COc1ccccc1Cn1ccc2c1C(OCCO)=NCc1ccc(Oc3c(C)cccc3F)cc1-2,0.5972
NC(=O)c1cc(F)cc(-n2c(=O)c(-c3ccccc3)cc3ccccc32)c1,0.4810
Cc1cncc2c1-c1ccn3c1C(=NC2)OCCCOCCOc1ccccc1C3,0.5782
COc1c2c(c(CC3=NC=CC3)c3ccc(=O)oc13)Cc1c(cccc1C(=O)O)O2,0.5922
Oc1cn2c3c1Oc1ccc(C4=CN(O)NC4)c4c1C3N(C=C4)C1c3ccccc3OCC12,0.7633
OCC1Cc2nccc3c(-c4c(O)ccc(O)c4O)ccc(c23)N1,0.4564
COc1cccc(-c2ccc3c4c2C=CN2C4c4c(c(O)cn4C4COc5ccccc5C42)O3)c1,0.7635
CCc1cc(C)c2ccc3ccc(-c4cnn(C)c4)cc3c2c1,0.3028
COc1ccc(O)c(-c2ccc3c4c(nccc24)CC(CO)N3)c1O,0.4746
Cc1ccc(F)c2c1CC1C(=N2)c2cc(-c3ccc(O)cc3)ccc2NC1CO,0.5803
Cc1c(O)ccc2c1-c1ccn3c1C(=NC2)OCCOCCCCOc1ccccc1C3,0.5878
O=c1nc2n(c3cccc(O)c13)CC1CC(O)CCN1C(c1ccccc1)C2,0.5925
CC1CCCN(Cc2ccccc2CNC(=O)c2ccccc2)C1,0.2793
Cc1ccccc1-c1ccncc1NC(=O)C1(C)CCC2CCCCC21,0.3962
Cn1cc(-c2ccc3c4c2C=CN2C4c4c(c(O)cn4C4COc5ccccc5C42)O3)c(=O)[nH]1,0.7794
CC(O)(CCCCCC1CCCC1)CC(N)=O,0.1212
Nc1c(F)cc(-n2c(=O)c(-c3ccccc3)cc3ccccc32)c(-c2ccc(-c3ccncn3)cc2)c1C(=O)O,0.6312
CCc1cccc(-c2cccc3c(C)cc(CC)cc23)c1,0.2531
C1=c2ccncc2=CN(C2CCOc3ccccc32)C1,0.4391
CC(COc1ccnc2ccccc12)N(CC(N)=O)Cc1ccccc1,0.4123
O=C(O)c1cccc(C=C2C=C3C=CCC=C3N(C=NCCO)C2)c1,0.3837
Nc1ccc(N2CCCCC2)cc1,0.1838
Cc1c(N)c(F)cc(-n2c(=O)c(-c3ccccc3)cc3ccccc32)c1-c1ccc(S(N)(=O)=O)cc1,0.5806
Nc1c(F)cc(-n2c(=O)c(-c3ccccc3)cc3ccccc32)c2c1C(O)OCc1ccccc1-2,0.6208
Cc1cnc(-c2ccc(-c3c(-n4c(=O)c(-c5ccccc5)cc5ccccc54)cc(F)c(N)c3C(=O)O)cc2)c(C)c1,0.6452
CCNC1N=C(OC)C(c2cccc(C)c2)C(c2cccc(OC)c2)=N1,0.4498
Oc1cccc(-c2cc3c(cc2O)Oc2cccc4cccc-3c24)c1,0.2901
C1=CN2C3c4ccccc4OCC3NC3COc4ccc(-c5ccccc5)c1c4C32,0.6268
