SMILES,Tanimoto
O=c1c2cnn(-c3ncc(-c4ccccc4)[nH]3)c2nc2c3c(O)cc4ccccc4c3ccn12,0.5492
CCc1cc(N2CC3C(=O)NCC(NC)C3C2)nc2c1cnn2-c1ncc[nH]1,0.5848
CCC=Cc1cc(C2OC(CO)CC2O)c(C)c2nc3c(cnn3-c3ncc(-c4ccc(OC)cc4)[nH]3)c(=O)n12,0.6920
O=C(O)c1cc2nc3c1cnn3-c1nc3cc4cccc(c4cc3[nH]1)-c1cc(O)c(O)c(c1)OC1CC3C(CO1)C1=NC=CCC1C3N2,0.7064
CCc1cc(F)cc(C(=O)NC2=C(c3ccc[nH]c3=O)C(N)N=C2N)c1,0.5592
Nc1ncc(N2CC3OC(=O)c4c(O)cc(CCO)cc4C3C2=O)c2c1Nc1ccc(C(=O)O)cc1N2,0.6883
Nc1nc2c3cc4cc(C(=O)O)c5c6c4c4c3cc3c2n1Cc1nccc(c1-3)OCc1ccnc2c3c(oc12)C4c1c(ccc(c1-6)CC5)O3,0.7728
CCc1cc(F)cc(C(=O)Nc2c(O)c(C)nc3ncc(C(N)=O)cc23)c1,0.5429
CC1=NCN(CCNCc2cc(C)c(O)c3ccccc23)C1=O,0.3301
CC(=O)N1CC(NC(=O)c2cccnc2Nc2cncc(C(=O)Nc3cc(F)ccc3F)c2)CC(N2CCCC2)C1,0.5414
Cc1c(CN2CCCCC2)cccc1-c1nc2c(cnn2-c2ncc[nH]2)c(=O)[nH]1,0.5444
CCCC1CN(c2cc(C)c3cnn(-c4ncc[nH]4)c3n2)CC1C(=O)NCC,0.5558
N=C(N)C1=CNC(N)=c2c1cn1c2=NCCC1c1ccc(F)cc1,0.6305
CC1=NC(=O)N=C1c1cc(NCCNC(=O)c2cccc(F)c2)ncn1,0.4818
COc1cc2cc3cnn(-c4ncc[nH]4)c3nc2cc1C1OCC(N2CC(=O)NC(c3cccc(O)c3)C2=O)C(O)C1C,0.6953
O=C(NCC1CC2C(CCC(O)C2O)O1)c1cccnc1Nc1cncc2cc(O)ccc12,0.5375
CC1=NCC2C(=N1)C1COC3CC1C2Nc1cc(C(=O)O)c2cnn(c2n1)-c1nc2cc4cccc(c4cc2[nH]1)-c1cc(O)c(O)c(c1)O3,0.7133
COc1cc(C2=C3Nc4c(C(N)=O)ccnc4C(=O)N3CC(C(=O)O)=C2)ccc1OCCC(=O)O,0.6743
CC(=O)NC(C)c1ccccc1COc1ccc2ccnc(N)c2c1,0.4435
CC(=O)NCC1C(=O)c2cnn(-c3nc4ccccc4[nH]3)c2N=C1Nc1cccc(NC(C)O)c1,0.5901
COc1ccc(-c2cnc(-n3ncc4c(=O)n5c(nc43)c(C)c(C3OC(CC(O)CN)C(O)C3O)c3ccc(C)cc35)[nH]2)cc1,0.7047
C=CCOc1ccc2c(c1)N1C(=O)C3=C(C(=O)NC3)C3C=CCC(=C31)C2C(=O)NCC1C=CC=C1,0.6873
Cc1cccc(F)c1-c1ccn2c(=O)c3cnn4c3nc2c1CNC1=Nc2c(cc(=O)n(C)c2CN1CC(=O)O)-c1cnc-4[nH]1,0.7457
CCCCN1CCc2cc(OCCO)cc3c2C(C1=O)C1=C2C(C=CC1)C1=C(CNC1=O)C(=O)N23,0.7161
Cn1c2c3c(cc1=O)-c1cnc([nH]1)-n1ncc4c(=O)n5ccc6c(c5nc41)CN1C=C4C5=C(CC=C5Cc5ccnc(c54)CC6)N(C2)C1=N3,0.7882
COc1cc2cc3cnn(-c4ncc[nH]4)c3nc2cc1C1OCC(N2CNC(C)C2=O)C(O)C1C,0.6579
COc1cc2cc3cnn(-c4ncc[nH]4)c3nc2cc1C1OCC(N2CC=NC(c3ccccc3)C2=O)C(O)C1C,0.6808
CC1=CC2C(=N1)C1COC3CC1C2Nc1cc(C(=O)O)c2cnn(c2n1)-c1nc2cc4cccc5c4c(c2[nH]1)Nc1c-5cc(O)c(O)c1O3,0.7646
Nc1nc2c3cc4cc(C(=O)O)cc5c4c4c3cc3c2n1Cc1nccc(c1-3)OCc1cc(O)cc(c1)C1CC4c2c(ccc(O)c2-5)O1,0.7307
Cn1c2c3c(cc1=O)-c1cnc([nH]1)-n1ncc4c(=O)n5ccc6c(c5nc41)CN1C=c4c(cccc4=C(N)N(C2)C1=N3)C(=N)CC6,0.7692
Nc1nc2c3cc4cc(C(=O)O)cc5c6cccc7c6c6c(c3cc3c2n1Cc1nccc(c1-3)OCc1cccc(c1)C(N=6)O7)c45,0.6708
O=C(O)c1ccc2[nH]c(-n3ncc4c(C(=O)O)cc(N5CCC6C(C(=O)O)CCC65)nc43)nc2c1,0.6338
COc1ccc(-c2cnc(-n3ncc4c(=O)n5c(nc43)c(C)c(C3OC(N)C(O)C3O)c3sc(C(=O)O)cc35)[nH]2)cc1,0.7494
COc1ccc(-c2cnc(-n3ncc4c(=O)n5c(nc43)c(C)c(C3OC(CO)CC3O)c3sc(C(=O)O)cc35)[nH]2)cc1,0.7360
Nc1nc2c3cc4cc(C(=O)O)cc5c4c(c3cc3c2n1Cc1nccc(OCc2cn[nH]c2)c1-3)Cc1c(O)cccc1-5,0.6739
NCCCNC(=O)C1=CNC2=NCC=C(CNCc3cc(Cl)c(O)c4ccccc34)N2C1=O,0.5179
O=C1NCC2=C1C1C=CCC3=C1N(C2=O)c1cc(OCCO)cc2c1C3C(=O)N(C(CO)CO)CC2,0.7207
O=C(O)c1cc2nc3c1cnn3-c1nc3cc4cccc(c4cc3[nH]1)-c1cc(O)cc(c1)NC1CC3C(CO1)c1ncncc1C3N2,0.7330
O=C(O)c1cc2nc3c1cnn3-c1nc3cc4ccc(O)c5c(=O)n6c(c(c3[nH]1)c45)=CC(=C1OCC3C4=NC=NCC4C(N2)C3C1=O)C6,0.7712
COc1cc(C2=C3Nc4cccnc4C(=O)N3CC(C(=O)O)=C2)cc(Oc2cc(C)cc(O)c2O)c1OC,0.6620
CCc1cc(F)cc(C(=O)Nc2c(NCCNC3CNCC3O)cnc3nnc4ccn(C)c(=O)c4c23)c1,0.6079
Cn1cc(-c2ccc(Cl)cc2)c2cccnc2c1=O,0.4388
CC(F)c1cc(F)cc(C(=O)NCc2cncnc2)c1,0.3643
COc1cc2c3c4c5cc6c7c(nc(N)n7Cc7nccc(c7-6)CCC6=C(CC=C6)NC(=O)C4c4c(O)cccc4-2)c5cc3c1,0.7162
Nc1cc2sc(CCCO)nc2cn1,0.3431
Nc1ncc(N2CC3OC(=O)c4c(O)cc(CCO)cc4C3C2=O)c2c1Nc1ccc(CO)cc1N2,0.6870
O=C(O)C1=CC(c2cc3c(c(Oc4ccccc4)c2)Oc2cc(O)ccc2CO3)=C2Nc3cccnc3C(=O)N2C1,0.6856
CCNC1=NC2=C3CCNC(C(=O)NC(C)=O)C3=CC=C3c4cc(N)ncc4C=C1C32,0.6725
CNCc1ccc2nc(-n3ncc4c(C(=O)O)cc(NC5C(C)CC6CC(N)C(O)CC65)nc43)[nH]c2c1,0.6013
Nc1nc2c3cc4cc(C(=O)O)cc5c4c4c3cc3c2n1Cc1nccc(c1-3)OCc1ccnc2c3c(oc12)C4c1c-5csc1O3,0.7708
Nc1nc2c3cc4cc(C(=O)O)cc5c6c(O)ccc7c6c6c(c3cc3c2n1Cc1nccc(c1-3)OCc1cc(O)cc(c1)C(C=6)O7)c45,0.6667
Cn1c2c3c(cc1=O)-c1cnc([nH]1)-n1ncc4c(=O)n5ccc6c(c5nc41)CN(C=CC1C(=O)NN=C1CC6)C(=N3)NC2,0.7554
CCc1cc(F)cc(C(=O)NC2=C(c3ccc(F)c(C(=O)O)c3)C(N)N=C2N)c1,0.5053
Nc1nc2c3cc4cc(C(=O)O)cc5c4c4c3c3c6c2n1Cc1nccc(c1-6)OCc1cccc2c1C3N1C4c3c(cccc3-5)ON21,0.7878
CNCc1ccc2nc(-n3ncc4c(C(=O)O)cc(NC5CC(C(=O)O)C6CC(N)CCC56)nc43)[nH]c2c1,0.6098
CC1=NC2C(=N1)C1COC3Cc4cc(O)cc(c4)-c4cccc5cc6nc([nH]c6cc45)-n4ncc5c(C(=O)O)cc(nc54)NC2C1C3,0.7119
CC(Oc1cc(C2=C3Nc4cccnc4C(=O)N3CC(C(=O)O)=C2)cc2c1OC1=CC=C(C(=O)O)C1CO2)C(F)(F)F,0.6984
Cc1c(CN2CCC(C(N)=O)C2)cccc1-c1nc2c(cnn2-c2ncc[nH]2)c(=O)[nH]1,0.5662
O=C(O)c1cc2nc3c1cnn3-c1nc3cc4cccc(c4cc3[nH]1)-c1cc(O)c(O)c(c1)OC1CC3C(CO1)C1=NC=CC(O)C1C3N2,0.7108
CC(CO)Oc1cc(C2=C3Nc4cccnc4C(=O)N3CC(C(=O)O)=C2)cc2c1OCCCO2,0.6559
CCNC1=NC2=C3CC4CCC(=O)N4C(C(=O)O)C3=CC=C3c4cc(N)ncc4C=C1C32,0.7015
CNCc1ccc2nc(-n3ncc4c(C(=O)O)cc(NC5CC(N)C6CNCCC56)nc43)[nH]c2c1,0.6015
O=C(O)c1cc(NC2C3CC=CN=C3C3COCCC32)nc2c1cnn2-c1nc2cc3cccc(-c4cccc(O)c4)c3cc2[nH]1,0.6601
O=C1OC2CN(c3cnc(O)c4c3Nc3cc(CO)ccc3N4)C(=O)C2c2cccc(O)c21,0.6832
Cn1c2nc3c(cccc31)C1NCCC(CC3CC(CC3N)Oc3cc4c(cnc(N)c4cc3O)NC2=O)O1,0.6403
Cc1cnccc1-c1cccn(C(C(N)=O)C(=O)O)c1=O,0.4649
C=CCOc1ccc2c(c1)N1C(=O)C3=C(C(=O)NC3)C3C=CCC(=C31)C2C(=O)NCCC(C)O,0.6880
CCc1cc(F)cc(C(=O)Nc2c(NCCNc3nnccc3C)cnc3ncnc(C(=O)N4C=CC(C)=CC4)c23)c1,0.6433
Cn1c(C(=O)Nc2cnc(N)c3cc(O)ccc23)nc2c(C3NCC4NCC(CCN)C(O)C4O3)cccc21,0.6639
CCNC(=O)c1ccccc1COCc1ccc(C(N)=O)cc1,0.3172
NCC1CCC=C(NC2=Nc3c(cnn3-c3nc4ccccc4[nH]3)C(=O)C2CNC(N)=O)C1,0.6047
