SMILES,Tanimoto
CCCC1Cc2c(c3c4c5c(cccc25)C=CC4C(=O)OC2=CC=CC23)-c2cc(=O)c3ccc(C)c(O)c3n21,0.7023
CCC=C1NC(=O)C2c3cc(O)cc(c3)-c3cccc(c3)C(=O)NCCCc3cccc(c3)C=CC(=O)N=C1N2C(C)O,0.5918
O=C1NCCCc2cccc(c2)C2=CCC3C4N5c6c(O)ccc(O)c6NC(=O)C5c5cc(O)cc(c5C34C2)-c2cccc1c2,0.7286
COc1cccc(N2C3CCc4ccc(cc4)CCCNC(=O)c4cccc(c4)-c4cccc(c4)C(N3)C2C(=O)O)c1,0.5706
Nc1nc2c(OCc3ccc(O)cc3)cc(C(=O)O)cc2n(-c2cccc(-c3ccccc3)c2)c1=O,0.5514
O=C1NCCCc2cccc(c2)C=CCC23C4=CC(O)C2CCCN3C(C(=O)N4)c2cc(O)cc(c2)-c2cccc1c2,0.6249
Cc1ccc2c(c1O)NC(=O)C(c1cc(O)cc(-c3cccc(C(=O)NCCCc4cccc(C=CO)c4)c3)c1)N2,0.5275
CN1C2CCC=Cc3cccc(c3)CCCNC(=O)c3cccc(c3)-c3cc(O)cc(c3)C1C(=O)NC2=O,0.5350
CC1COc2ccc(O)c(-n3cc4c(n3)-c3cccc(c3)-c3cccc(c3)C(=O)NCCCc3ccc5c(c3)OC4C5)c2O1,0.6415
O=C(O)CCCCC=c1c(=O)oc2cccc3cc(-c4ccccc4)cc1c32,0.3561
O=C(O)c1cc2c3c(c1)NC(=O)C(c1cc(O)cc(c1)-c1cccc(c1)C(=O)NCCCc1cccc(c1)C=CC2)N3C(O)O,0.6214
CN1CC(=O)C2(C)C=C(c3ccccc3)C(=O)N3CCCC(C1=O)C32,0.5006
CC=Cc1cccc(CCCNC(=O)c2cccc(-c3cc(O)cc(C4C(=O)Nc5cc(C)ccc5N4C)c3)c2)c1,0.5427
COC1=Cc2cccc(c2)CCCNC(=O)c2cccc(c2)-c2cc(O)cc(c2)C2C(=O)NC(=CC(=O)O)C(=C1)N2C(=O)O,0.6140
N#Cc1ccc2c(c1N1C3CCc4ccc(cc4)CCCNC(=O)c4cccc(c4)-c4cccc(c4)C(N3)C1C(=O)O)OCCC2=O,0.6601
CC=C1CCc2ccc(cc2)CCCNC(=O)c2cccc(c2)-c2cccc(c2)C2NC(=O)N(c3c(O)cc(C)cc31)C2C(=O)O,0.6488
COC(=O)c1cc(C(=O)c2ccc(F)c3c2NC(=O)c2cccc(C(=O)O)c2O3)ccc1O,0.5362
COC1=Cc2cccc(c2)CCCNC(=O)c2cccc(c2)-c2cc(O)cc(c2)C2C(=O)Nc3cc(OC)cc(c3N2C(=O)O)O1,0.6451
COC(=O)N1C2C(=O)NC(C)C1CC=Cc1cccc(c1)CCCNC(=O)c1cccc(c1)-c1cc(O)cc2c1,0.5792
CC12CCC3Oc4ccc(cc4)CCCNC(=O)c4cccc(c4)-c4cccc(c4)C(C1)NC32,0.4960
Cc1cc(O)ccc1NC(=O)c1ccc2c(c1)N(C(=O)OC1COc3cc4c(cc3C1)OCCO4)C(C)CC2,0.5578
CCc1cc2c(cc1OCCO)cc(O)c(=O)n2-c1cccc(-c2ccccc2)c1,0.5046
CC(O)CCN1C(=O)C2=C(Cc3ccc(Cc4ccc5c(c4)OC(C(O)O)CO5)cc32)C(C)C1=O,0.5570
O=C1NCCCc2cccc(c2)C=CCC2C=CC=C3NC(=O)C(NC32)c2cc(O)cc(c2)-c2cccc1c2,0.5575
CC(=O)Oc1cc2ccc(=O)n(-c3cccc(-c4ccccc4)c3)c2cc1C(F)(F)F,0.4963
O=C(O)COc1cc2cnc(=O)n(-c3cccc(-c4ccccc4)c3)c2cc1C(F)(F)F,0.5073
Cc1cccc(C2=C=CC=C2c2cccc(C(=O)N3CCCC3)c2)c1O,0.4093
