SMILES,Tanimoto
CCOC(=O)c1ccc2c(c1O)Cc1c(F)ccc3cc(C)cc(c13)N2C(=O)CC(=O)N1CCc2ccccc2C1,0.5043
COCC1=C(C)C2(C=CC(=O)C3=C2C(=O)C(=O)C(C(C)(C)C)=C3)CNC1=O,0.3931
COC(=O)C1c2ccc3c4c(ccc(c24)C2=CC(C)(C(=O)O)CCC21)C12OCCC(C(=O)O)(C=CC1=C3)O2,0.5255
COc1c(O)cc(F)c(-c2ccc(C(=O)O)cc2-c2cccc(O)c2O)c1O,0.3633
O=C(O)Cn1cc(-c2c(F)c(C3C(=O)Nc4c(C(=O)O)ccc(F)c43)cc(O)c2-c2ccccc2)cc(C(O)(O)C(F)(F)F)c1=O,0.5299
CCOC(=O)c1ccc2c(c1O)Cc1c(F)ccc3cc(C)cc(c13)N2C(=O)CC(=O)N1CCc2cccc(C(N)=O)c2C1,0.5110
COC(=O)C1c2cccc3c(C(=O)O)ccc(c23)C2=C3CC(C(C)C)C(O)CC3CCC21,0.4907
CC(C)Cn1cc(Cc2ccc(O)cc2)cc(C(O)(O)C(F)(F)F)c1=O,0.3559
COC(=O)C1c2cccc3c(-c4ccc(N)cc4O)ccc(c23)C2=CC(C)(C(=O)O)CCC21,0.4891
O=C(O)CN1C(=O)c2c(O)c(C(=O)NCc3ccoc3)cc(F)c2N(Cc2ccccc2)C1C(=O)O,0.4847
COc1c(CO)c(C(=O)O)c(Cc2cc(F)c(O)cc2C(=O)O)c(N)c1C(=O)O,0.3950
CCOC(=O)c1ccc(N(C)C(CC(=O)O)CC(C)(C)C)cc1O,0.3179
Cc1c(O)cccc1-c1ccc(-c2ccccc2)c(O)c1-c1cc(C(O)(O)C(F)(F)F)c(=O)n(CC(=O)O)c1,0.4288
O=C(O)C=C1C(=O)N=CC23CC4(C(=O)O)CC(CC25CCC=C(C(=O)O)C45)C13,0.3878
CC(=O)C1CCC23Cc4cc(F)ccc4CC2CC(=O)C2=C3C1CCC2=O,0.4389
