SMILES,Tanimoto
Cc1cccc(C(=O)O)c1Oc1cc(C(=O)O)cc(O)c1C(=O)O,0.3819
Cc1ccc2c(c1-c1cc3ccccc3nc1C(=O)OP(=O)(O)O)C(=O)N(CCCC(=O)O)C(C)(C)C2,0.6187
COc1cc(Oc2ccncc2O)c(O)c2cc(C)cc(C)c12,0.3872
COC1CN(c2cc(C(=O)O)cc(O)c2C(=O)O)CC2C(=O)NCC12,0.5252
CCc1ccc(OC)cc1Cc1cc(O)c(=O)n(C(CO)C(=O)O)c1,0.4758
CCC1C=C(c2ccc(O)c(C(N)=O)c2)c2ccccc2O1,0.3983
Cc1ccc2c(c1-c1cc3ccccc3nc1C(=O)OP(=O)(O)O)C(=O)N(C1CCCC1)C(=O)C2,0.6230
NC(=O)NC(c1ccccc1)c1nccc(NC(=O)O)n1,0.3498
CC=C(c1cc2ccccc2nc1C(=O)OP(=O)(O)O)c1cc2cccc(O)c2[nH]c1=O,0.5289
Cc1cc(C(=O)NC2CN(O)CCC2C(=O)C(=O)O)ccc1O,0.3886
Cc1ccc2c(c1-c1cc3ccccc3nc1C(=O)OP(=O)(O)O)C(=O)N(CC1CC=C(O)CC1)C(=O)C2,0.6336
O=P(O)(O)OP(=O)(O)OCC1OCOc2ccccc21,0.3597
Cc1ccc2c(c1-c1cc3ccccc3nc1C(=O)OP(=O)(O)O)C(=O)N1CCC(O)(O)C3CCC2C31,0.6881
O=C(O)COC1=C=CC(=O)c2ccc(F)cc21,0.3500
Cc1ccc2c(c1-c1cc3ccccc3nc1C(=O)OP(=O)(O)O)C(=O)N1CCOc3cc(O)ccc3C1C2,0.6832
O=P(O)(O)OCC1OCC(O)CC1Oc1cc(F)cc2c1Oc1c(O)cccc1CO2,0.4534
Cc1cc2c(N(C)c3cc(C(=O)O)cc(O)c3O)cc3ccccc3c2cn1,0.4264
CCCc1ccc(O)cc1Oc1cc(C(=O)O)cc(O)c1C(=O)O,0.4115
Cc1ccc2c(c1-c1cc3ccccc3nc1C(=O)OP(=O)(O)O)C(=O)N1CCC(O)(O)CC1(C)C2,0.6618
Cc1cc(C(=O)O)c2c(c1)C(=O)C13OC(CO)C(OC1CO2)C(C(=O)O)O3,0.5849
O=C(C=CO)Oc1ccccc1Nc1cc(C(=O)O)cc(O)c1C(=O)O,0.4567
Cc1nc(-n2c(=O)[nH]c(=O)c3ccn(C)c(=O)c32)nc2ccccc12,0.5186
COC1CC(C(N)=O)CN(c2cc(C(=O)O)cc(O)c2C(=O)O)C1,0.4808
O=C(O)CC1CC2(CCN(c3cc(O)cc(O)c3C(=O)O)C2=O)c2ccccc2O1,0.6373
O=C(O)CC1CC(C(=O)N2CC=CC2C(=O)O)c2ccccc2O1,0.4871
Cc1ccc(O)c(C(=O)O)c1Oc1cc(C(=O)O)cc(O)c1C(=O)O,0.3797
CC1(C)CC(C(=O)N2CC(O)C(O)CC2=O)c2ccccc2O1,0.4668
Cn1nnc(-c2cccc3c2OC=CO3)n1,0.3002
Cc1ccc2c(c1-c1cc3ccccc3nc1C(=O)OP(=O)(O)O)C(=O)N1Cc3ccccc3CC1(C)C2,0.6234
Cc1cc2c(N3C(=O)CC(C(=O)O)C3=O)cc3ccccc3c2cn1,0.4793
O=C(O)C(O)Cn1c(=O)[nH]c2cccc(O)c2c1=O,0.5275
O=C(O)CC1CC(C(=O)N2CCCC(=O)C3=C(O)CC(=O)CC32)c2ccccc2O1,0.5742
COc1ccc(O)c(-c2cnn(C)c2OCCO)c1,0.3691
CNCC(=O)NC(=O)c1cc(C(=O)O)ccc1O,0.3559
O=C(O)CC1CC2(CCN(c3cccc(O)c3C(=O)O)C2=O)c2ccccc2O1,0.6333
O=C(OP(=O)(O)O)c1nc2ccccc2cc1CCCC(O)O,0.4164
Cc1cc2c3c(cc(OC(=O)C=N)c(O)c3c1)OCCOC2,0.3357
Cc1ccc2c(c1)CN(c1cc(C(=O)O)cc(O)c1C(=O)O)CC2C(=O)O,0.5609
CC(=O)N(CC(=O)O)c1cc(-c2nccs2)c2ccccc2c1,0.4067
Cn1c(=O)n(CCCO)c(=O)c2c(O)c(O)ccc21,0.5865
Cc1ncc2c(n1)c(NC(C(=O)O)C(O)O)cc1ccccc12,0.3679
Cc1cc2c(c(C3=CC(=O)N=C3)c1)OC=CO2,0.3978
C=C(Oc1cccc(C2=CC(CC)Oc3ccccc32)c1O)C(=O)O,0.4088
O=P(O)(O)OCC1OCC(O)CC1OC1OC(Cc2c(O)cccc2F)C=C(O)C1CO,0.4634
Cc1ccc2c(c1-c1cc3ccccc3nc1C(=O)OP(=O)(O)O)C(=O)N(CCCC(=O)O)C(=O)C2,0.6142
