SMILES,Tanimoto
CN1CC(C2CN(C(=O)c3ccc(O)cc3)CC(=O)N2)c2ccccc21,0.4651
Cc1cc2c3c(cccc3c1)Oc1c-2cc2c(c1C(=O)NCc1cc(F)ccc1O)NOc1c(F)cc(N)cc1-2,0.5831
O=C1NC(=C2Nc3cc(F)cc(F)c3NC2=O)Oc2cc(C=CO)ccc2N1,0.5016
Cc1nc(=O)c2cc(C=O)c3oc4ccccc4c3c2o1,0.4093
Cc1cc2c(c3nc4cc(F)c5c(F)c6nnn(Cc7nnc(-c8ccc(O)cc8)[nH]7)c6nc5c4cc13)CCC=C2,0.6019
O=C(NC1=C2OC=C=C2C=CC1)c1cccc2cc3c(cc(F)c4c(F)c5nnn(Cc6nnc(-c7ccc(O)cc7)[nH]6)c5nc43)nc12,0.6420
CC1=C2C=C=CC=C2Oc2c(C(=O)NCc3cc(F)ccc3O)cc(C(=O)O)cc21,0.4908
COc1cc2c3c(c1)c(CC(NCC(=O)O)C(=O)O)nc(=O)n3Cc1cc(F)ccc1-2,0.5807
CN(Cc1cccnc1O)C(=O)C1CC(=O)CN1C(=O)c1ncnc2nc3c(F)cc(F)cc3nc12,0.5756
O=C(O)c1cc2c3c(c(-c4cc5ccccc5cc4O)ccc3c1)-c1ccc(O)cc1O2,0.3601
COc1cc(C)ccc1Oc1ccccc1-c1cc(C)c2c(c1)OC(=C1Nc3cc(F)cc(F)c3NC1=O)NC2=O,0.6029
Cc1cccc2cc3cc(F)c4c(F)c5nnn(Cc6nnc(-c7ccc(O)cc7)[nH]6)c5nc4c3cc12,0.5378
Cc1nc2c(c3nc4cc(F)c5c(F)c6nnn(Cc7nnc(-c8ccc(O)cc8)[nH]7)c6nc5c4cc13)CC1=CCCCC1CC2,0.6336
O=C(NCc1cc(F)ccc1O)c1cc(-c2c(O)cccc2OCc2occc2O)cc2c1Oc1cccc3cccc-2c13,0.4950
CC(O)CCCc1c(O)c(O)c2c3c1CC(C(=O)O)CN3c1cc(F)ccc1N2,0.5368
Cc1cc2c(-c3cccc(O)c3)ccc3c2c(c1O)NCC(C)O3,0.3930
Cc1cc(-c2ccccc2Oc2ccc(-c3ccccc3)cc2)cc2c1C(=O)NC(=C1Nc3cc(F)cc(F)c3NC1=O)O2,0.5968
COc1cc(-c2ccccc2)ccc1Oc1ccccc1-c1cc(C)c2c(c1)OC(=C1Nc3cc(F)cc(F)c3NC1=O)NC2=O,0.6034
COc1cc2c3c(c1)-c1ccc(F)cc1C1=CC(O)C4=C(N13)N(C2=O)C(CO)C(=O)C4,0.6929
Nc1cc(F)c(O)c(-c2cc(C(=O)NCc3cc(F)ccc3O)c3c(c2)-c2c(O)cc(O)c4cccc(c24)O3)c1,0.4946
Oc1ccc(-c2nnc(Cn3nnc4c(F)c5c(F)cc6nc7c(-c8cc(F)cc(N9C=NCC9)c8)cccc7cc6c5nc43)[nH]2)cc1,0.5862
COc1ccc2cc3c(cc(F)c4c(F)c5nnn(Cc6nnc(-c7ccc(O)cc7)[nH]6)c5nc43)nc2c1-c1noc(C)c1F,0.6241
Cc1ccc2c(c1)N(C(=O)O)C(CNC(=O)c1cc(Oc3ccc(O)cc3)ccc1O)O2,0.4589
O=C(NCCO)c1cccc2cc3c(cc(F)c4c(F)c5nnn(Cc6nnc(-c7ccc(O)cc7)[nH]6)c5nc43)nc12,0.5952
COC(O)CCCOc1ccccc1-c1cc(C)c2c(c1)OC(=C1Nc3cc(F)cc(F)c3NC1=O)NC2=O,0.5862
COc1ccccc1-c1cc(C)c2c(c1)OC(=C1Nc3cc(F)cc(F)c3NC1=O)NC2=O,0.5799
Cc1cc(-c2ccccc2Oc2cc3c4c(c2)=C=C(O)C=4CN(C)C3=O)cc2c1C(=O)NC(=C1Nc3cc(F)cc(F)c3NC1=O)O2,0.6730
Cc1c[nH]c(C2=C(O)C(=CO)Cn3c2nc2ccncc23)nc1=O,0.5192
O=CC=C1Cc2cccc3ccc4c(=O)n(-c5cc(C(=O)O)ccc5F)nc1c4c23,0.5349
COc1cc(C)c2cc3c(cc(F)c4c(F)c5nnn(Cc6nnc(-c7ccc(O)cc7)[nH]6)c5nc43)nc2c1,0.5646
COC1=CC(c2c(C)cccc2O)C2=CC(=O)N(Cc3ccccc3)C2=N1,0.5548
NCc1cccc(-n2nc3c4c(ccc5cccc(c54)CC3CCO)c2=O)c1,0.4941
COc1cc2c3c(c1)N1CC(COC(C)=CO)N(C)c4ccc5c(c41)N3C(C=C5)c1cc(F)ccc1-2,0.6425
Cc1ccc(C(C)NC(=O)c2cccc3cc4c(cc(F)c5c(F)c6nnn(Cc7nnc(-c8ccc(O)cc8)[nH]7)c6nc54)nc23)nc1,0.6190
CN1CCC(c2cccc(-c3cccc4cc5c(cc(F)c6c(F)c7nnn(Cc8nnc(-c9ccc(O)cc9)[nH]8)c7nc65)nc34)c2)C1,0.5914
O=C(CCO)NC(=O)Nc1cc(-c2cccc(O)c2)ccc1C(=O)O,0.3230
COc1cc2c3c(c1)c1ccc(F)cc1c(=O)n3C1C(CO)CC(Cc3ccccn3)N1C2=O,0.6430
COc1ccc2cc3c(cc(F)c4c(F)c5nnn(Cc6nnc(-c7ccc(O)cc7)[nH]6)c5nc43)nc2c1,0.5373
CC1=C2CC3=C(C=C2Oc2c(C(=O)NCc4cc(F)ccc4O)cc(C(N)=O)cc21)N=C(C(C)O)CC3,0.5677
CC1=NC(=O)C(C(F)(F)F)N2NC(Nc3cccc(O)c3)=NN12,0.4409
CC(=O)NCCc1ccccc1-c1cc(C)c2c(c1)OC(=C1Nc3cc(F)cc(F)c3NC1=O)NC2=O,0.6027
Cc1cc2c(c3nc4cc(F)c5c(F)c6nnn(Cc7nnc(-c8ccc(O)cc8)[nH]7)c6nc5c4cc13)C=CCC2,0.6046
COc1ccc(Oc2ccccc2-c2cc(C)c3c(c2)OC(=C2Nc4cc(F)cc(F)c4NC2=O)NC3=O)c(O)c1,0.5994
Cc1cc(O)cc(CNC(=O)c2ccc3c(c2)c(=O)oc2ccccc23)c1O,0.3341
COc1cccc(-c2cc(C)c3c(c2)OC(=C2Nc4cc(F)cc(F)c4NC2=O)NC3=O)c1Cc1ccc2c(c1)C=CCO2,0.6187
Cc1nnccc1-c1cccc2cc3c(cc(F)c4c(F)c5nnn(Cc6nnc(-c7ccc(O)cc7)[nH]6)c5nc43)nc12,0.5749
COc1cc2c(=O)n3c4ccc(O)cc4c(=O)c4c3n3c(c5cc(F)ccc5c(c1)c23)=CC4O,0.5664
CCOc1nc2c(nc1CC1=C(O)C3CC(n4ccnc4)CC3O1)C(O)C(=O)N2Cc1ccccc1,0.6314
COc1cc(C)c2cc3c(cc(F)c4c(F)c5nnn(Cc6nnc(-c7ccc(O)cc7)[nH]6)c5nc43)nc2c1-c1c(O)ccc(F)c1C,0.6251
COC1=CC(c2cc(C(=O)O)ccc2O)C2=C(C)C(=O)N(Cc3ccccc3)C2=N1,0.5761
O=C(O)CNC(=O)C1CCC2=C(c3ccccc3CO)Oc3ccccc3C(=O)N21,0.5707
COC(=O)C1=C2CC(=O)NC(OC)=C2C2=C1CN(C(C)=O)C=C2,0.4543
