SMILES,Tanimoto
CCCNC(=O)C1=Cc2ccc3cc2C(CCNC(=O)C2C(=CC(OC4CCC5=C(N)N(c6ccccc6)C6=CCC=C6C54)=CC2O)O3)C1,0.5668
CN1CCC2=C3C1=C(N)N=C1CN4CCn5c(nc6cc7ccccc7cc6c5=O)C4C(=CC2)N13,0.5531
COc1cc(N2CCOC(CO)C2)ccc1-c1cnc2c3c(cc(F)cc13)C=C(Cc1ccc(C)cc1)N2,0.4885
COc1cc(C)c(Cl)c(-c2ccnc(-c3cc(C(=O)NCCNC(=O)c4cc(C5=NCC6COCCN56)ccc4C)c(O)cc3O)n2)c1,0.5137
Cc1cc2c(cc1-c1cnc3c4c(cc(F)cc14)C=C(Cc1ccc(O)cc1)N3)CCCN2c1ccccc1,0.5026
O=C(NCCNC(=O)c1cc(-c2nccc(CC3=CC=CC3)n2)c(O)cc1O)c1cccc(Cl)c1,0.4020
CCCC(=O)C1=Cc2ccc3cc2C(O)(CCNC(=O)C2C(=CC(OC4CCC5=C(N)N(c6ccccn6)c6ccccc6C54)=CC2O)O3)C1,0.5807
CC(C)N(C)C(=O)C(C)(O)C(=O)Nc1cccc(C(=O)N2CCNCC2)c1,0.3551
Cc1ccc(CC2=Cc3cc(F)cc4c(-c5cc6ccc7c(c6cc5C)C5CC=Cn6c(nc(=O)n6C)C5=N7)cnc(c34)N2)cc1,0.5723
COc1cc(O)cc(C)c1C1=CCNC(c2cc(C(=O)NCCNC(=O)c3cc(-c4ccnc5ccccc45)ccc3F)c(O)cc2O)=N1,0.5038
CCCC1CCN(C(=O)c2cc(-c3cnc4c5c(cc(F)cc35)C3=C(CC(=O)C=C3)N4C)cs2)C1,0.5344
CNC(=O)C1Cc2c(O)cccc2C=C1Oc1ccc2c(c1)Cc1cccc(C3=CCC(C)=C3)c1C2,0.4777
COc1cc(N2C(=O)C=CN3C2=CCCC3CO)ccc1-c1cnc2c3c(cc(F)cc13)C=C(Cc1ccccc1)N2,0.5270
CC1CC23CN(c4cccc(C(=O)N5CCCc6ccccc65)c4)CCN2CCN1C3,0.4542
CCNC1CCN(c2ccc3ccccc3c2)C1,0.2050
Cc1ccc(Cl)cc1C(=O)NCCNC(=O)c1cc(-c2nccc(-c3cccc(C)c3Cl)n2)c(O)cc1O,0.4221
O=C(c1cccc(N2CCN3CCN4CCC3(C4)C2)c1)N1CCCc2ccccc21,0.4441
CN(C)Cc1cccc(C(=O)NCCNC(=O)c2cc(C3=NC(Cc4ccccc4)=CCN3)c(O)cc2O)c1,0.3958
O=C(Cc1cc(O)c2c(ccc3ccc(-c4cc(F)cc(C(=O)O)c4)nc32)c1)NCC1C=Cc2ccnn2C1=O,0.4922
CCCc1nnc(-c2ccc(CC(=O)NCC3C=CC(CC)=NC3=O)cc2O)[nH]1,0.3912
CCCCCC(=O)Nc1cccc(C(=O)N2CCNCC2)c1,0.2966
Cc1ccc(C2=CCNC(c3cc(C(=O)NCCNC(=O)c4cc(C=NCN)ccc4F)c(O)cc3O)=N2)c(C)c1,0.4274
COc1cc(N2CC(=O)N(C)c3ccccc32)ccc1-c1cnc2c3c(cc(F)cc13)C=C(Cc1ccccc1)N2,0.5056
C=C1CC(C)=CCN1c1ccc2c(c1)NC(=O)N(C(C)c1cccc(-c3nc(CCC)c[nH]3)c1)C2,0.4799
COC1=CC(O)C(C(=O)Nc2ccccc2)C(OC(C)=O)=C1,0.3581
O=C(NCCNC(=O)c1cc(-c2nccc(-c3ccccc3C(F)(F)F)n2)c(O)cc1O)c1cccc(-c2cccnn2)c1,0.4193
O=C(O)CN1Cc2ccccc2C1=O,0.3217
Fc1ccc2c(ccn2-c2ccccc2)c1,0.1831
Cc1ccc(CC2=Cc3cc(F)cc4c(-c5cc6ccc7c(c6cc5C)C5CCCN(C)C(=O)C5=N7)cnc(c34)N2)cc1,0.5499
C1=C2CCC3CN(c4ccc5ccccc5c4)CC3C2=CC1,0.2836
Cc1ccc(CC2=Cc3cc(F)cc4c(-c5cc6ccc7c(c6cc5C)C5CCN6C(=NN(C)c8ccccc86)C5=N7)cnc(c34)N2)cc1,0.5735
CC1=C=CC=C1c1ccnc(-c2cc(C(=O)NCCNC(=O)c3ccccc3C)c(O)cc2O)n1,0.4466
O=C1C2Cc3c(O)cc(O)cc3C=C2Oc2cccc3c2CN1CCC1CCC2OCCN(C3)C2O1,0.5551
CCCC(C)C1=Cc2ccc3cc2C(CCNC(=O)C2C(=CC(OC4CCC5=C(N)N(c6ccccc6)c6ccccc6C54)=CC2O)O3)C1,0.5576
