SMILES,Tanimoto,drug_id,cluster
COc1cc2c(cc1Cl)C(=O)CC(C(=O)O)C2,0.359,CCR9_678,307
NC(=O)c1cc(Oc2ccc3c(C(=O)O)cccc3c2)ccc1F,0.278,CCR9_184,733
Cc1cc(O)c(F)cc1F,0.1251,CCR9_188,729
CC(CCC(OF)c1cccc(C(F)(F)F)c1)C(F)F,0.2169,CCR9_924,95
CC1CCCC(=C=O)C1,0.062,CCR9_801,204
CC=CCOC(=O)c1ccc2c(c1)CN=C2,0.2429,CCR9_972,53
CC(C(O)=CN)c1ccc2c(c1)NC1C(CC(C(F)(F)F)C(=O)C1C(=O)O)C(=O)O2,0.4578,CCR9_439,509
Cc1c(CC2Nc3ccc(O)c(O)c3CO2)cc(CC(=O)O)c2c1CCOC2,0.4198,CCR9_210,709
C=CCC=Cc1ccccc1C,0.1063,CCR9_506,449
O=C(O)Cc1ccccc1,0.1028,CCR9_102,27
CC1COC(c2cc3c4c(cc(C(=O)O)cc4c2)NC(=O)O3)C(O)C1O,0.4725,CCR9_360,580
CC=CC=CC=CCCC,0.0273,CCR9_69,836
Oc1ccc(Cl)cc1C(F)(F)F,0.1735,CCR9_398,545
CNc1cc(C(=O)OCC(=O)C(=O)OC(O)C(F)OCC(=O)C(=O)O)ccc1O,0.3258,CCR9_743,251
CCCc1ccc(-c2ccc(C(=O)O)cc2)nc1,0.3327,CCR9_724,268
CC=C(C)COC(COc1ccc2cc(F)c(C(=O)OC)cc2c1)=C(O)C(F)(F)F,0.3245,CCR9_629,348
Fc1cc(-c2ccccc2)c2c3c1OCOC(O3)C(F)OCO2,0.3857,CCR9_718,273
COC1(O)C(O)C(O)C(c2ccc(O)cc2)C(O)(O)C1(F)C(=O)O,0.4666,CCR9_570,393
NC(=O)c1cccc(-c2ccc3c(c2)C=CCCCC3)c1,0.2994,CCR9_161,753
CC(=O)C(=O)O,0.0277,CCR9_438,510
C=CC=CC=Cc1cccc(C(=C)C)c1,0.1442,CCR9_63,842
COC(O)CC1CNC2C=C3CC=C(C)C3=CC=C12,0.2795,CCR9_564,399
