SMILES,Tanimoto,drug_id,cluster
Nc1ccc2cc3ccccc3cc2c1,0.2018,ESR1_0,688
CC(c1cc(-c2ccc(O)cc2)ccc1)C(F)(F)F,0.4558,ESR1_555,311
Oc1cc(C=C(CCCCC(F)(F)F)CCc2ccccc2)ccc1Cl,0.4138,ESR1_645,249
Cc1c(CNc2cc(F)ccc2-c2ccccc2)cccc1,0.3783,ESR1_316,478
FC(F)(F)c1ccc(-c2ccccc2)cc1,0.3245,ESR1_520,339
Oc1ccc2ccc(Cc3ccccc3)c(Cl)c2c1,0.376,ESR1_175,578
NC(=O)c1ccc2c(c1)C(=O)Nc1c-2c(N)c(N=O)cc1,0.3976,ESR1_269,508
Cc1cc2ccncc2c(CC2(N)C=C(O)C(=O)CCC(F)C2)c1,0.4493,ESR1_44,662
C=CC(=Cc1c(C2=CNc3c2cccn3)ccc(O)c1)CC(F)(F)F,0.4181,ESR1_533,329
CC=CC(C)c1cc2c(cccc2)cc1,0.3082,ESR1_255,520
Oc1ccc(Cl)c(-c2ccc(Cl)c(C(F)(F)Cl)c2)c1O,0.4239,ESR1_6,684
NC(=O)C1CC(=O)c2cc(CCC(=O)Br)ccc2C1,0.371,ESR1_443,391
CC(C=CC=CO)=Cc1ccccc1,0.2981,ESR1_241,531
C=CC=Cc1ccc(-c2ccc(OCc3cc(CCc4cc(CN)ccc4)cc(O)c3)cc2)cc1,0.4069,ESR1_240,532
CC=C1C=CCCC2C1Cc1cccnc1C2Br,0.4342,ESR1_725,205
CC=Cc1cccc(C(C)=CC(Cc2ccccc2-c2c(F)cccc2)C(F)C=CC(F)(F)F)c1,0.4118,ESR1_982,43
C=CCCCCC(=O)Cc1ccc(Cc2ccccc2)cc1,0.3655,ESR1_82,638
O=C(O)COC(Cc1cc(C2CCC(O)CC2=O)ccc1)C(=O)O,0.3586,ESR1_378,436
C=C(C)Cc1ccc(-c2ccccc2)c(C2CCC=CO2)c1,0.459,ESR1_96,630
