SMILES,Tanimoto,drug_id,cluster
O=C(O)c1ccc(Oc2ccccc2)cc1,0.1893,FTO_554,397
N=CC=COc1cccc(C(=O)NC(=N)c2ccccc2)c1,0.3092,FTO_477,463
C1=C(c2ccccc2)CCN1c1ccccc1,0.2477,FTO_906,117
C=CC=CCN(C)Cc1cccc(CC(=O)N=C(F)c2ccc(CC(=O)NCC(=O)OC)cc2)c1,0.3033,FTO_872,146
CCC1=CC(C=CC(N)=O)CC1,0.1094,FTO_392,536
Oc1cc(-c2ccc3ccccc3c2)ccc1,0.1464,FTO_867,150
O=C(O)CCC1Cc2nc(F)ncc2C(O)C1=O,0.3754,FTO_654,319
Clc1cc(OCCc2cccc3c(Cl)cccc23)c(-c2ccccc2)cc1,0.2786,FTO_875,144
O=C(OCl)c1ccc(-c2cc(C(F)(F)F)ccc2)cc1,0.2616,FTO_354,570
c1ccc(Cc2cc(-c3ccc(-c4ccccc4)cc3)ccc2)cc1,0.1876,FTO_219,41
Nc1ncccc1,0.0927,FTO_65,806
O=C(F)c1cc2c3CC(Cc4cccc(F)c4)=Cc3ccc2c2ccccc12,0.3014,FTO_665,309
C=CC=CC=CC(F)F,0.0415,FTO_181,707
CC(CCC=CC=CO)c1ccccc1,0.1751,FTO_722,265
CCC(=O)NC(=O)c1cc(-c2ccc(C=CC(=O)N3C=CC=C3C)cc2)ccc1,0.3164,FTO_158,729
O=C(F)c1cc(O)cc(-c2cc(Cl)ccc2)c1,0.295,FTO_166,722
C=C1CC(Cc2cc(Cl)ccc2)CC(OCC(COBr)OCc2cc(-c3ccccc3)ccc2)C1,0.3234,FTO_702,282
CN1Cc2c(cccc2)OC1F,0.2731,FTO_49,821
N=C=C(c1ccccc1)c1cccc(C(F)(F)F)c1,0.2221,FTO_272,637
Fc1c2cc(-c3ccccc3)ccc2ccc1,0.1648,FTO_157,730
Clc1c(Cc2ccccc2)cc(-c2ccncc2)cc1,0.2507,FTO_369,557
Cc1cccc(-c2cc(-c3cccc(Cc4cccc(CN5CCC(F)NC5N)c4)c3)ccc2)c1,0.282,FTO_869,149
Oc1ccccc1,0.0656,FTO_193,8
CCC=CC=CCc1cccc(CC)c1,0.1437,FTO_0,863
O=C1NCCc2c(Cl)cc(O)cc12,0.3313,FTO_683,295
CNCc1cccc(C(c2ccccc2)c2cccc(Cc3cccc(CNCC(=O)O)c3)c2)c1,0.3023,FTO_729,260
OCc1nccc(-c2ccccc2)c1,0.2316,FTO_296,617
C=CC=CC1=CC(C)(c2ccc(Cc3c(OC)cc(-c4cnccc4)cc3)cc2)c2ccccc12,0.4481,FTO_808,198
O=P(O)(O)OCc1cc(Cc2ccccc2)ccc1,0.1909,FTO_643,326
N=C(CCCc1cc(Cc2ccccc2)ccc1)P(=O)(O)OCl,0.22,FTO_61,810
CN(Cc1cc(O)ccc1)C(=O)N=O,0.2609,FTO_347,576
Fc1cc(-c2cncc(-c3cc(-c4ccccc4)ccc3)c2)ccn1,0.2093,FTO_99,780
C#CC=CC=C,0.0243,FTO_522,32
O=C(O)C=COc1ccccc1,0.1433,FTO_59,812
C=C1CCC(C=CC=CC)CC1,0.0902,FTO_153,734
O=C(O)OC(=O)COc1cc(-c2cc(-c3ccccc3)ccc2)ccc1,0.2072,FTO_950,82
COCCOCC(O)OC1C=C(c2ccccc2)C=CC=C1c1cccc2c(C(=O)O)cccc12,0.3959,FTO_735,255
