SMILES,Tanimoto,drug_id,cluster
COC(=CCC(=O)O)C1CC(=O)C(O)C(O)C1,0.2799,GRIK1_66,759
O=C(O)CCOC(O)CC1(O)OC(=O)C2(O)CC(C(=O)O)CCC23OCOCC(O)OC13C(=O)O,0.4792,GRIK1_582,364
CC(=O)Oc1c(O)c(O)c(OF)c(C(N)=C(OF)C(=O)N=O)c1,0.3716,GRIK1_378,521
N=CNc1cccc(C(=O)O)c1,0.2814,GRIK1_443,25
COC1=C2OC(=O)C3C=C(O)C=CC3=C2C2OC=COC2=C1O,0.4525,GRIK1_526,410
O=COCC(F)C(O)COc1cccc(O)c1O,0.2574,GRIK1_944,85
COC(F)C(O)CCC(O)(O)F,0.107,GRIK1_817,189
O=C(O)C1CC2C(=O)OC3CCC(COC(O)CC(O)C(C1)C2=O)OC3O,0.3723,GRIK1_745,240
O=C(O)C1(O)OC(CO)COC2(O)C(=O)CCC3OC(O)OC(F)(C(=O)OC32)C1=O,0.418,GRIK1_872,145
O=C(CC(C(=O)O)C1CC(=O)C(O)C(O)C1)OC(O)C(CO)C(=O)O,0.3452,GRIK1_139,707
CC(C=CN)Oc1ccc(C(=O)O)cc1C(=O)O,0.4583,GRIK1_64,760
CCCC(F)(F)COC(=O)C(CC(=O)O)C(=O)OC(N)C(F)(F)F,0.2292,GRIK1_51,772
O=C(O)COC1CC(C(=O)O)CC(C(=O)O)C1C(=O)C(O)CO,0.3609,GRIK1_252,624
NC1C(C(=O)O)=Cc2c(cc(C(=O)O)cc2)C(=O)OC1O,0.3308,GRIK1_18,796
COc1ccc(C(Cl)N=O)cc1,0.25,GRIK1_575,370
O=C1NCc2c3C(=O)OC(F)(F)C(OCCCl)c3ccc12,0.4328,GRIK1_720,261
O=CC1(C(O)F)C(O)C(O)CC2COC(=O)CC21,0.3447,GRIK1_272,606
CC1CC#CCC1,0.1765,GRIK1_611,344
O=C(O)C(=O)CCC(=O)C(=O)O,0.284,GRIK1_568,375
CC(O)C(COCO)N(CCNC1CN=CN1)Cc1cccc(C(=O)O)c1,0.393,GRIK1_910,112
C1#CCCCC1,0.1032,GRIK1_188,673
O=C(O)COc1cc(C(=O)OF)c(O)c(O)c1C(=O)C(=O)CC(=O)OC1COC(O)C1,0.3967,GRIK1_657,306
CC12OC(F)(Cl)OC(F)C1(O)OC(=O)C1C(=O)C(C(=O)O)CCC12O,0.4721,GRIK1_810,195
O=Nc1cc(C(=O)O)ccc1,0.2439,GRIK1_38,10
OCCOCC(Cl)COC1C(O)OC(O)C(O)OC1O,0.1583,GRIK1_885,134
NC1=CC=CCc2cc(F)cc(c2)C(=O)NC1,0.3583,GRIK1_841,169
FCCCCC(F)(F)F,0.0746,GRIK1_829,180
O=C(O)c1c2OC(C(=O)O)OCc2cc2c1CC(=CO)CN2,0.451,GRIK1_224,646
O=C(F)c1ccc(O)c(CO)c1,0.2316,GRIK1_204,660
COC(=O)c1cc(C(=O)O)ccc1,0.2,GRIK1_241,26
C=CC(=O)CC(O)OC(=O)c1cccc(C(N)=O)c1,0.2872,GRIK1_428,487
NC(COc1ccc(C(=O)O)cc1C(=O)O)C(=O)O,0.478,GRIK1_218,650
O=C(O)c1ccccc1,0.1719,GRIK1_32,5
Nc1nc2cc(C(=O)O)ccc2cn1,0.3316,GRIK1_0,811
O=C(O)CCN1CNc2ncnc(CC(=O)O)c21,0.3639,GRIK1_21,794
NC1C=NC2C=C(C(=O)O)CC(O)C(O)C12,0.3248,GRIK1_813,193
O=NC(=O)C1CC(C(=O)O)CC2C(=O)OC(O)CC12,0.3168,GRIK1_893,126
O=C1Cc2ccc(C(=O)O)cc2C(=O)N1,0.3246,GRIK1_703,273
C=NC1CC(O)(C(O)(CCF)CNC)CC(=O)N1C,0.3064,GRIK1_681,293
N=CNC1COC(COC2OCOC23CC(O)C2OC(O)C(O)C(C(=O)O)C2C3)O1,0.4501,GRIK1_530,406
CN1C(=O)c2cc(cc(C(=O)O)c2)CC(=O)OC2C=C(N)C1OC2O,0.4136,GRIK1_209,656
CC1(F)C(C(=O)OC(O)C=O)C(=O)N2CNCNC2C1NC(=O)C1=CNNC1N,0.4731,GRIK1_250,626
CC(C=O)c1ccc(O)cc1F,0.2186,GRIK1_964,70
NC=C1CC(CBr)CC(C(=O)O)C1,0.3859,GRIK1_723,258
OCCOCCC(O)OC1=COCC=C1,0.1265,GRIK1_62,762
CCC(C(=O)O)C(O)C(=O)C1C2OC(F)OC1C(C(O)=NC)CC2O,0.366,GRIK1_34,784
O=C1CC(C(=O)O)C(O)C(O)C1O,0.281,GRIK1_285,597
O=C(O)OC(=O)c1cc(C(Cl)C(=O)O)cc(OC(COCl)C(O)OCCCC(O)CP(=O)(O)O)c1,0.3609,GRIK1_939,89
Cc1cccc(CCOCC=O)c1,0.2141,GRIK1_360,533
CC(N)C(=O)OC1CC(C(=O)P(=O)(O)O)CC(C(=O)C(=O)O)C1CCN,0.372,GRIK1_889,130
O=C(O)c1cc(C(=O)Oc2ccccc2)ccc1,0.2451,GRIK1_315,571
O=C(O)C1CCCC(=C(O)O)C1,0.3879,GRIK1_576,369
O=C(O[PH](O)(O)O)C1Cc2c3c(c(O)c(O)c2O)CCC(=O)C3C1,0.3921,GRIK1_174,684
O=C(O)C(F)(C(=O)O)c1c(O)cccc1O,0.2583,GRIK1_345,545
O=C(O)c1cccc(C(=O)Oc2ccccc2O)c1,0.2564,GRIK1_310,575
Cc1cnccc1,0.1044,GRIK1_948,18
C=C(COc1ccc(C(=O)O)cc1C(=O)O)C(=O)O,0.4564,GRIK1_202,662
COCC(O)CC=O,0.1852,GRIK1_194,667
NC(=O)c1cccc(C=O)c1,0.2855,GRIK1_236,637
CC1(C)CC2CC(C(=O)O)CC2C(CCO)C(=O)C1=O,0.339,GRIK1_406,500
CCC=CNC(C(OCC(N)Cl)C(O)C(=O)O)C(F)(F)F,0.3613,GRIK1_431,485
CC=C1C=NC=C1NC(O)c1cc(C)cc(C(=O)O)c1,0.2945,GRIK1_4,807
O=CC(OCCC(=O)O)C(=O)O,0.128,GRIK1_171,686
NC(=CC(F)(F)F)C(F)=CC(C(Cl)NC(=O)Br)C(O)C(NC1COC(CO)C(O)O1)C(=O)O,0.41,GRIK1_590,358
CC(C(=O)O)C1=COC(=O)c2cc(C(=O)O)ccc12,0.296,GRIK1_325,562
CCOC(=O)c1cc(O)c(C(=O)O)cc1C(F)(F)Cl,0.3302,GRIK1_914,110
COc1c(F)cc(C(=O)O)c(C(F)F)c1O,0.323,GRIK1_654,309
O=CCOC(=O)CCCCO,0.2839,GRIK1_733,252
NC(O)COc1cc(C(=O)O)cc(C(=O)OC(=O)C(=O)O)c1,0.3069,GRIK1_533,403
CC1(NC(=O)c2ccc(C(=O)O)cc2N2C=NN=C2)CC(=O)NCC1=O,0.3973,GRIK1_541,398
O=NCc1ccc(C(=O)O)cc1,0.2065,GRIK1_553,388
O=C(O)c1c2C(=O)C(C(=O)O)Cc2c(O)c(O)c1,0.3576,GRIK1_58,765
NC(=O)c1cccc(C(=O)O)c1,0.2788,GRIK1_5,2
O=Cc1cc(CC(=O)O)ccc1O,0.2317,GRIK1_634,325
NC(COc1ccc(C(=O)N=O)cc1C(=O)O)C(=O)O,0.4668,GRIK1_296,586
O=C(OC(O)COC(F)C(O)COF)c1cccc(F)c1,0.2411,GRIK1_28,787
O=C(F)Nc1cc(C(=O)Oc2cncc(O)c2)ccc1,0.2939,GRIK1_780,216
O=CCC1CC(C(=O)NCC(=O)O)CC(O)C1O,0.3502,GRIK1_764,227
FC(F)(F)c1ccc(C(F)(F)F)cc1,0.2707,GRIK1_492,439
COC1C(=O)CC(C(=O)OCC(=O)O)C2COCC(O)OC12,0.4185,GRIK1_669,301
COC1CC(CC(=O)OCCO)C(F)C(C)(N2C=NCC2O)CC1=O,0.3685,GRIK1_68,758
CN1c2cccc(C(=O)O)c2CCC1NC(=O)N=O,0.3621,GRIK1_489,442
CC(O)OC(=O)CC1CCC(CO)CCC1C(=O)O,0.3724,GRIK1_581,365
O=C(O)c1ccc2c(c1)C(=O)OC(O)C2OC(OCCl)C(=O)O,0.3483,GRIK1_740,245
O=NC(=O)Nc1cc(C(=O)O)ccc1C(=O)Cl,0.3311,GRIK1_531,405
CCNC(=O)c1cc(C(=O)OC)cc(O)c1,0.3342,GRIK1_559,382
O=C(O)CCC1C(O)C(OC(=O)C(=O)O)CC(O)(C(F)(F)F)C1OP(=O)(O)OCl,0.4028,GRIK1_50,773
O=C(O)c1cccc(C(O)O)c1,0.1991,GRIK1_690,285
O=C1CC2C(C(O)O1)C(O)C1C(=O)NCCC=CCN21,0.4114,GRIK1_239,634
CCc1c(C(=O)O)cc2C(=O)OC=C(C)c2c1,0.298,GRIK1_975,60
O=C(O)CC(CO)OC(=O)C(=O)CC1C(=O)OC(O)CN1C(=O)O,0.3649,GRIK1_340,549
Nc1ncc(F)cc1C(=O)OC(=O)C(F)(F)C(F)C(=O)OCCCCl,0.3603,GRIK1_820,187
COCc1cc(C(=O)O)c(O)c(Cl)c1C(O)(C(=O)O)C(=O)O,0.3953,GRIK1_895,124
O=C(O)OC(=O)c1c(O)c(Cl)c(F)c(F)c1,0.3608,GRIK1_916,109
CN1C(=O)c2cc(cc(C(=O)O)c2)OCC(O)Oc2ccc1cc2,0.319,GRIK1_734,251
O=C(O)COC(=O)C(F)(C(=O)O)C1=CC(O)=C2OCOC12,0.4252,GRIK1_333,555
O=C(COC(=O)C(CCc1c2NC=COc2cc(O)c1)C(=O)O)OC(OCl)OC(O)OC(O)OF,0.3597,GRIK1_651,312
O=C(O)CCC(C(O)O)N1CCCCC1=O,0.3097,GRIK1_341,548
O=CC(O)COCCOc1ccccc1C(=O)C(O)=CC=C(O)CC=CC(F)(F)F,0.3314,GRIK1_981,54
O=C(Cl)NC(=O)c1cccc(C(=O)O)c1,0.3165,GRIK1_464,460
