SMILES,Tanimoto,drug_id,cluster
Cc1cc2c(cc1C(O)F)CC(C(C)C)CC2,0.2674,HCRTR1_380,539
Cc1cc(Cc2ccccc2)ccc1,0.1188,HCRTR1_546,410
Cc1ccc(C=C(Cc2ccccc2)c2ccccc2)cc1C(=O)F,0.2652,HCRTR1_696,285
CC=CNc1ccc(-c2ccccc2)cc1,0.1998,HCRTR1_695,286
Cc1ccc(CCOC(=O)c2ccc(Oc3cccc(C(c4ccccc4)C(F)F)c3)cc2)cc1,0.2943,HCRTR1_845,160
C=CC=CC=CCCC(F)(F)F,0.0535,HCRTR1_337,573
C=CC=CC=CC1CCC23CC(=O)OCC2CCC(C)C3C1,0.1964,HCRTR1_571,387
Cc1cc(OCc2ccc3cc(Cl)ccc3c2)ccc1,0.2578,HCRTR1_368,548
C(=CCc1ccccc1-c1ccccc1)Cc1ccccc1,0.3009,HCRTR1_683,296
Cc1cc2c(CNC(C#N)C2)c(CC=CC(CO)CO)c1,0.3536,HCRTR1_136,739
C=CC=CC=CCCCC,0.0349,HCRTR1_247,644
CC=CCC(C=CCCc1ccc(Br)cc1)CC(=O)O,0.2013,HCRTR1_204,678
CC1=C2C=C(C3OCCO3)CC3C(=CC(=O)C4CCCC(C=O)OC4=O)C=CC(C=C1)C23,0.3692,HCRTR1_763,230
O=C(O)C(=CO)c1ccc(F)cc1,0.1904,HCRTR1_0,848
CC=CC=CC(C)C(CCc1ccccc1)C(=O)O,0.2134,HCRTR1_764,229
COc1ccc(Cl)cc1OCC(F)OCOc1ccccc1,0.2779,HCRTR1_220,663
CCC=C1CCC(O)CC1,0.0844,HCRTR1_516,435
CC=C(C=CCCCC)c1ccc(CCNC(=O)C2CC(CCC3CCCCC3)CNC2=O)cc1,0.3664,HCRTR1_662,314
COC1=CC=CC=CCCCc2ccc(NC(=O)c3ccccc3)cc12,0.4249,HCRTR1_548,409
C=CC=CCCC1=CCC(c2ccc(C=C)cc2)OP(=O)(O)O1,0.3117,HCRTR1_698,283
CCCCC(=O)NCc1ccccc1,0.234,HCRTR1_562,396
COc1ccc(C(=CCC(C)OP(=O)(OF)OC=CC=CCCC(=O)O)C2=CC=CC=C=C2)cc1,0.3749,HCRTR1_68,792
COC(=O)Cc1cc(C(C)C=Cc2c3cc(C)ccc3ccc2)cc(Cc2ccccc2)c1,0.266,HCRTR1_901,114
C=C(C)c1cc(CCOC=CCc2ccccc2)ccc1,0.1718,HCRTR1_881,131
O=C1NCC2C=CC=CC3C(CO)CC1C23,0.2734,HCRTR1_734,255
CCOC(=O)c1ccccc1,0.1466,HCRTR1_809,192
Cc1cc2ccc(C=Cc3cc(Cl)c(Cl)cc3C(=O)NCC(=O)O)cc2cc1,0.3874,HCRTR1_2,846
Nc1cc(C(O)=Cc2ccc(O)cc2)ccc1,0.2012,HCRTR1_469,467
CC(C=O)Cc1ccccc1,0.1427,HCRTR1_219,664
CC(C)C(C)c1cc(Oc2cccc(C(c3ccccc3)c3nc(N)ccc3)c2)cc(C(=O)O)c1,0.374,HCRTR1_994,38
C=C(N=O)C(=C1C=CC(c2ccccc2C(c2ccccc2)C(C)(N)F)C1)C(F)(F)F,0.4769,HCRTR1_295,604
C=CC=CC=CC(CC=CC)c1ccccc1,0.1859,HCRTR1_237,652
O=C(O)c1c(Cl)cccc1,0.2052,HCRTR1_164,713
O=C(O)c1cccc(-c2cccc(C(F)(F)F)c2)c1,0.2701,HCRTR1_658,317
CCC(C)c1ccccc1,0.1345,HCRTR1_240,650
O=C(Cc1ccc(C(F)(F)F)cc1)OCCCc1ccccc1,0.2308,HCRTR1_617,351
CNC(=O)C(CC=CCc1ccccc1)c1ccccc1,0.2468,HCRTR1_421,506
CCC=Cc1cc(-c2cccc(C=C3CCCC=CC3=C(F)F)c2)ccc1,0.286,HCRTR1_680,298
CC(CC(=O)O)C1CCc2ccc(OC(=O)c3ccc(-c4ccccc4)cc3)cc2C1,0.3802,HCRTR1_55,802
CC(CCCCCCC(F)(F)F)c1cc(Cc2ccccc2)ccc1,0.2057,HCRTR1_528,426
