SMILES,Tanimoto,drug_id,cluster
CC(C=O)Cc1ccc(C(C)c2ccccc2)cc1,0.1689,IDH1_810,193
CN(c1ccccc1)c1ccc2ccccc2c1,0.1793,IDH1_472,443
Cc1cc(-c2ccccc2)ccc1,0.1348,IDH1_186,43
c1ccc(CCCc2ccccc2)cc1,0.1128,IDH1_38,6
Cc1c(C(C)Cc2cc(-c3ncnc(N)c3)ccc2)cccc1,0.3555,IDH1_520,409
C=Cc1cc2cc3c(-c4ccccc4)cccc3cc2c(CCCC=CCCc2ccccc2)c1,0.2587,IDH1_257,614
CC=Cc1c2ccccc2ccc1C=CC=Cc1cc(-c2ccccc2)cc(C(F)(F)F)c1,0.2878,IDH1_910,114
NCCc1ccccc1,0.1063,IDH1_234,631
CC(C=CC=CCCc1ccccc1)c1ccccc1,0.1587,IDH1_952,81
CC=CC(C=Cc1ccccc1)c1ccc(CCc2ccc(C(Br)Cc3ccccc3)cc2)cc1,0.2169,IDH1_466,449
CC=CCC(c1ccccc1)C(F)F,0.1863,IDH1_797,205
FC(F)(F)c1cc(C(F)(F)F)cc(Cl)c1,0.178,IDH1_191,662
C=C(CCc1ccccc1)c1cc(C(=O)Nc2cncc(-c3cccc(CC=CC)c3)c2)ccc1,0.4112,IDH1_63,763
CCCc1ccc2C(=O)NC(=O)c3c2c1cc(COC(=O)CCCc1ccc2ccccc2c1)c3,0.3331,IDH1_665,304
C=C(c1ccccc1)C(O)O,0.1266,IDH1_660,309
O=C(Oc1cc(-c2ccccc2)ccc1)c1cccc(C(F)(F)F)c1,0.283,IDH1_383,510
ClCc1cc(CC=CCc2cccc3ccccc23)ccc1,0.1902,IDH1_338,546
C=CC=CCCc1ccccc1,0.115,IDH1_635,325
Cc1c(CC(C)c2cccc(CN)c2)cc(-c2cccc(-c3ccccc3C3C=C=NC3)c2)cc1,0.3841,IDH1_908,116
O=C1c2cc(C(F)(F)F)cc(c2)CCOc2cccc3c2CN1C(Cl)C3,0.458,IDH1_581,366
C(C=CCc1cc(-c2ccc3CCCc4c3c2ccc4)ccc1)=CCCc1ccccc1,0.2915,IDH1_701,278
CCC=CCOCCc1cc(C=Cc2cccc(Cc3cc(-c4ccccc4)ccc3)c2)ccc1,0.2442,IDH1_874,140
Cc1ccnc2c1CC=CC1CC(C)(C=Cc3ccc(-c4ccccc4)cc3)C=C1C2,0.4396,IDH1_366,523
CNC(=O)C1CCC(CC=CCc2ccc(C(c3ccccc3)c3ccccc3)cc2)C(C)(C)C1,0.2567,IDH1_18,800
Cc1c2cccc(CC(=O)O)c2ccc1,0.173,IDH1_909,115
Oc1cc(-c2cc(F)ccc2)ccc1,0.1909,IDH1_325,556
CC=CC=CC=Cc1cccc(CCCc2ccccc2C)c1,0.2029,IDH1_919,106
