SMILES,Tanimoto,drug_id,cluster
O=C(O)c1cc2cc(c1)CCCc1cnncc1-c1nc(ncn1)CC(O)C(F)=NC2=O,0.4899,JAK1_76,758
Clc1cccc(-c2ccccc2)c1,0.2564,JAK1_316,568
C=CC=C(C)C1CCC(COCC=C(c2ccc(C(F)(F)F)cc2)c2cc(NCC)ccc2)CC1,0.3268,JAK1_234,629
C=CC=CC=Cc1cc(C(=O)O)cc(C(=O)NC(C)CN)c1,0.3129,JAK1_203,654
O=C(O)c1ccc(O)c(Cc2cccc3c2Nc2ccccc2C3)c1,0.3183,JAK1_534,402
O=C(O)c1ccc(-c2ccc3cc2CC(=O)c2ccc(cc2)C(F)Nc2cccc-3c2)cc1,0.4097,JAK1_471,447
Nc1cc(-c2cccc(Cc3ccccc3)c2)ncn1,0.4527,JAK1_979,49
NC(=O)c1ccc(C(F)(F)F)cc1,0.3071,JAK1_445,12
Cc1ccccc1-c1ccc(-c2ccccc2-c2cccc(-c3cc(O)cnc3)c2)cc1,0.3825,JAK1_698,278
C1=C(c2cccc(Cc3ccccc3)c2)NNC1,0.2561,JAK1_729,255
O=C(Cl)c1ccc(-c2cccc(C3=NCC(c4ccccc4)N3)c2)cc1,0.365,JAK1_73,760
c1ccc2ccccc2c1,0.0752,JAK1_58,4
CC(C)C1=CC(c2cc(C(F)(F)F)cc3c(C(=O)O)cc(C(F)(F)F)cc23)CC1,0.4141,JAK1_311,572
CN(Cc1ccccc1)C1CC(c2c(N)ccc(F)c2)CC(=O)N1,0.4045,JAK1_20,796
CC=CCc1ccc(CO)cc1,0.1751,JAK1_952,71
C=CC=CC=CCc1cccc(C(N)O)c1,0.2049,JAK1_829,170
COC(=O)c1ccc(C(F)=CC=CN)cc1CC1c2ccccc2C(=O)CC1F,0.4474,JAK1_396,506
FC(F)(F)c1ccccc1,0.1827,JAK1_721,262
Cc1ccc(-c2ccc3cc4ccccc4nc3c2)c2c1cc1cc([SH](=O)=O)ccc1c2,0.3981,JAK1_712,267
