SMILES,Tanimoto,drug_id,cluster
O=C(O)c1cc(CC=Cc2ccc(-c3ccccc3)cc2)cc(CBr)c1,0.3238,KDM1A_326,514
C=CC=Cc1cc(C(C)(C)c2ccc(CC=CCc3cc(C(=O)O)cc(C(=N)Br)c3)cc2)ccc1,0.3349,KDM1A_707,246
CCCCCCCc1cccc(-c2ccccc2)c1,0.4564,KDM1A_866,127
N=CC(CN)COc1c(C(=O)c2ccccc2)ccc(C=CC=CCC=NCc2ccccc2)c1,0.3663,KDM1A_719,238
Fc1cc(OC=Cc2ccccc2)c(-c2ccccc2)cc1,0.4874,KDM1A_950,70
Cc1c(Cc2cc(-c3ccccc3)ccc2)cccc1,0.301,KDM1A_619,312
CCCCc1ccc(C(=O)O)cc1,0.415,KDM1A_736,225
C=CCCC=CCC=CCc1ccc(CCC2CCC(c3ccc4ccccc4c3)CC2=O)cc1,0.3531,KDM1A_81,701
CCC=C(C)c1cc(Cc2ccc(-c3ccccc3)cc2)ccc1,0.3343,KDM1A_33,736
CC(C)CCCc1cc2ccc(C=NC(=O)c3ccc(-c4ccc(C(=O)O)cc4)cc3)cc2cc1,0.4012,KDM1A_6,753
Cc1cc(C(=O)NCC=C(Cc2ccccc2)c2c(C)cc(-c3ccccc3)cc2)ccc1,0.4309,KDM1A_260,564
Cc1c(Cl)ccc(-c2ccc(C(=O)Nc3c(O)cccc3)cc2C(=O)O)c1,0.4263,KDM1A_2,757
O=C(O)c1cccc(-c2cc(OCc3ccccc3)c(F)c(C(=O)O)c2)c1,0.4243,KDM1A_653,285
CC=CCOC(=O)c1cc(C(C)(C)CCC)cc(O)c1C(=O)Nc1cccc2c1ccc(Cl)c2F,0.4811,KDM1A_888,113
CC=CC=CC1=CC(C2(CC)CCCCC2)=Cc2ccc(C(=CCc3ccccc3)CN)cc2O1,0.4262,KDM1A_681,263
CCC1CC2CC(CCc3ccccc3)CCC2(C)CC1C(C)C,0.3162,KDM1A_483,402
Cc1cc(-c2ccc(C(=O)NC(Cc3ccccc3)OCCO)cc2)ccc1,0.4645,KDM1A_495,396
c1ccc(Cc2ccc(C3CCCCC3)cc2)cc1,0.3738,KDM1A_883,117
CCC1CC(CCCCOC)CC1C(=CCC(=O)O)C(N)=O,0.2177,KDM1A_160,642
O=C(O)c1cc(-c2ccccc2)cc2cccnc12,0.465,KDM1A_391,465
CC=CCCC=Cc1c(C)ccc(C2CC=CCC=CC2)c1,0.3764,KDM1A_320,518
c1ccc(-c2ccc(N3CCCCC3)cc2)cc1,0.3491,KDM1A_606,321
CC(C=O)c1ccc(C(O)Cl)cc1,0.2661,KDM1A_905,100
CC(C=N)c1ccc(Nc2ccccc2C(=O)Cl)cc1,0.3081,KDM1A_219,597
CC=C(CC=CCc1ccccc1)Cc1cc(C(=O)O)cc(-c2cc(C(=O)O)ccc2)c1,0.3714,KDM1A_360,489
C=CC=CC=CCCC1Cc2c(cc(CCCC=CC)cc2)CC1=O,0.3532,KDM1A_226,591
CCCCCCc1ccc(-c2c(-c3ccccc3)cc(Cc3ccccc3)cc2)cc1,0.4544,KDM1A_39,732
C=CC=CC=CCOc1c(-c2ccc(C(F)(F)Br)cc2)c(F)cc(C(C)(F)F)c1,0.439,KDM1A_75,706
C=CC=CC=COCc1cc(C(F)(F)F)ccc1,0.2564,KDM1A_205,608
CC=CC=NC1CNC(C)C1,0.1767,KDM1A_379,474
CCCc1ccc(Cc2ccccc2)cc1,0.3929,KDM1A_892,110
O=C(O)CCc1cc(Cc2ccc(Cc3ccccc3)cc2)cc(C(=O)O)c1,0.3615,KDM1A_651,287
CC=CCC,0.1587,KDM1A_79,26
C=C1Cc2cccc(C)c2CC1c1ccc(C(F)(F)F)cc1,0.3565,KDM1A_522,376
CCC=CC=COc1c(-c2ccccc2)c(-c2cccc(N)c2)ccc1,0.4814,KDM1A_44,728
FC(F)c1ccc(-c2cc(C(Cl)CC=Cc3ccccc3)ccc2)cc1,0.46,KDM1A_885,115
O=C(O)c1ccc(-c2ccc(C(=O)NCc3ccccc3)cc2)cc1,0.3962,KDM1A_248,575
CCSC(=O)c1c(CCCC=Cc2ccc(-c3ccccc3)cc2)ccc(CC=C(C)CCO)c1,0.3549,KDM1A_745,220
Cc1cc(C(=O)F)ccc1,0.2102,KDM1A_843,146
CCC(=O)C=CCc1cc(-c2ccccc2)c(F)cc1,0.3774,KDM1A_400,459
C=CCC(C)c1ccc(C(=O)O)cc1,0.4344,KDM1A_22,742
CC=CNc1cc(-c2ccc(C(C)C(O)Cl)cc2)ncc1,0.4432,KDM1A_245,578
C=CC1CCCC(C(CC)CCc2cc3c(cccc3)cc2)C1,0.3464,KDM1A_281,548
C=CC=CCC1CCC(CCC)C1,0.126,KDM1A_149,649
CC(=CCC(C)c1cc2c(cccc2)cc1)Cc1ccc(C(F)Cl)cc1,0.3426,KDM1A_254,569
C=CC=CC=CC=CCCc1ccc(CC=CCc2ccccc2)cc1,0.277,KDM1A_829,157
CCNC(=O)c1ccc(-c2ccc(CCc3ccccc3)cc2)cc1,0.4472,KDM1A_986,42
C1=CC=C2CCC3CCCCC3C2C=C1,0.1558,KDM1A_611,317
CCCC=CNC1Cc2ccccc2CN1,0.3735,KDM1A_274,553
CCc1ccccc1,0.2451,KDM1A_197,32
Cc1cccc(C=Cc2cc3c(cc2)cc(C(C)C=O)cc3)c1,0.3333,KDM1A_577,340
CC=CC=CCC1Cc2c3ccc4ccc(Cc5ccc(Cl)cc5)cc4c3ccc2C(C)C1,0.4009,KDM1A_61,716
Nc1cc(C(=O)OCC2CC=CC=CC2)ccc1,0.3117,KDM1A_722,235
OCc1cccc(Cc2ccccc2)c1,0.2409,KDM1A_200,612
CCCN=Cc1ccc(-c2ccccc2)cc1,0.382,KDM1A_861,131
CC(=CCc1cc2c(cc1)CCCC(NCc1ccccc1)C2F)CC(C)O,0.4428,KDM1A_120,670
CCCCc1ccc(C=NCc2ccccc2)cc1,0.3173,KDM1A_353,496
C(=CCc1cccc(-c2ccccc2)c1)Cc1ccccc1,0.4018,KDM1A_163,639
CC=CC=CC=CCCc1ccc(C=CC)cc1,0.363,KDM1A_71,709
O=C1NCC(c2cc3c4ccccc4c(C4=CN=CC4)cc3cc2)NC1=O,0.3801,KDM1A_414,447
CC=CCc1cc2c(cc1)C(C)C(c1ccc(-c3ccccc3)cc1)OC2,0.3933,KDM1A_169,634
C(=CCc1ccccc1)C=C1C=CC(C2CC=CC2)=CCC1,0.2276,KDM1A_204,609
FC(F)(F)c1c(Cc2cc3c(cc2)CC(OCc2ccccc2)=CC=C3)cccc1,0.3329,KDM1A_60,717
CC(F)(CCC=Cc1ccccc1)c1ccccc1,0.3491,KDM1A_659,281
Cc1cccc(C(C)C=O)c1,0.2742,KDM1A_381,24
C=CC=C(C=C)OC(=O)c1ccc(CCc2ccccc2)cc1,0.3294,KDM1A_246,577
C=CCC1CCC(CCCCC=Cc2ccccc2)C1,0.4936,KDM1A_354,495
CNCC=C(CNC)c1cc(CC=CC=Cc2cccc(-c3ccccc3)c2)ccc1,0.3518,KDM1A_535,369
CCCC1=CC(c2ccc(C=CCCCC3(C)CC=C(C=CC(C)CNC)C3)cc2)CNCC=C1,0.3656,KDM1A_512,385
CNCC(C)c1ccc(C2C=C(C)C(Nc3ccccc3)=N2)cc1,0.3576,KDM1A_686,258
CNC=CC=Cc1ccc(-c2ncc(-c3ccccc3)cc2)cc1,0.4343,KDM1A_761,206
CC=CCc1ccc(C(=O)Nc2ccc(Oc3ccc(C(C)(C)C=C(C)C(=O)O)cc3)cc2)cc1,0.4843,KDM1A_16,745
Oc1c2ccccc2ccc1,0.1959,KDM1A_985,43
O=C(C=CCCc1ccccc1)NC(=O)c1ccc(-c2ccccc2)cc1,0.4565,KDM1A_189,621
Fc1cc(-c2ccccc2)ccc1,0.2739,KDM1A_524,375
C=CC=CC=CCOC(c1cccc(-c2ccccc2)c1)C1CC=CCC(C)C1,0.3728,KDM1A_720,237
CCN(C)Cc1ccc(C(=O)O)cc1,0.4588,KDM1A_415,446
O=C(O)c1cc(-c2cccc(O)c2)cc(Cc2ccccc2)c1,0.3401,KDM1A_752,213
O=C(O)c1c(CCCCc2ccccc2)ccc(-c2ccccc2)c1,0.4457,KDM1A_721,236
CC1(Cc2ccccc2)CCc2c3c(cc(C(N)=O)c2)C=CC=CC31,0.4033,KDM1A_973,51
C=C(Cc1c(Cl)c2c(cc1)c(-c1cccc(Cl)c1)c(F)c(CC=CC=CC)c2)c1ccc(Cl)cc1,0.4248,KDM1A_790,182
CC(CC(O)c1cccc(C(O)=Cc2ccc(C(=O)O)cc2)c1)c1cc(-c2ccccc2)ccc1,0.4078,KDM1A_117,673
C=CNc1c(-c2ccccc2)cccc1,0.3091,KDM1A_92,692
c1ccc(Cc2cccc(-c3ccccc3)c2)cc1,0.3254,KDM1A_813,166
O=C(O)c1cc(-c2ccccc2)cc(CC=CC#Cc2ccc(-c3ccccc3)cc2)c1,0.3475,KDM1A_303,531
CCC(C)C(C)=CCC1CC(=CCc2ccccc2)C(c2cccc(Cc3ccc(C)cc3)c2)C1,0.3362,KDM1A_464,416
C=C(C)c1ccc(Cc2ccc(-c3ccc(-c4ccccc4)cc3)cc2)cc1,0.4108,KDM1A_636,298
C=CC=Cc1cc(C(C)=C(O)Oc2c(-c3ccc(F)cc3)ccc3c2ccc(C(N)=O)c3)ccc1,0.4049,KDM1A_4,755
O=P(O)(OC=Cc1ccccc1)c1cc(-c2ccccc2)ccc1,0.2647,KDM1A_519,379
C=CC=CC(C)C1CCCCC1,0.1312,KDM1A_834,152
Cc1cccc(-c2ccc(C(=O)NCC(=O)Cl)cc2)c1,0.4895,KDM1A_607,320
CC1CCC2(CCCCC2O)C1,0.1538,KDM1A_704,249
CC(CCO)CC1CCC(Cc2ccccc2)C(=O)C1,0.3319,KDM1A_679,264
O=C(O)c1cc(-c2ccccc2)cc(CC=CCCCCc2ccccc2)c1,0.3703,KDM1A_181,625
C=C(C(=O)NC)c1ccc(C(=O)Nc2ccccc2C=CC=CC)c(Cl)c1,0.4517,KDM1A_923,87
C#Cc1ccc(CCNCc2ccc(C(F)(F)F)cc2)cc1,0.4833,KDM1A_513,384
c1cc2ccccc2cc1,0.1131,KDM1A_7,17
Cc1cccc(CNC=N)c1,0.292,KDM1A_754,212
O=C(O)c1cc(-c2ccc(O)cc2)cc(Cc2ccc3ccc(C(F)(F)F)cc3c2)c1,0.3738,KDM1A_13,748
C=CC=CC=CCc1ccc(Cc2cc(C(=O)NC)cc(CC=CC)c2)cc1,0.4603,KDM1A_116,674
