SMILES,Tanimoto,drug_id,cluster
Cc1c(Oc2cc(OC(F)F)ccc2O)cc2nc3ccccc3cc2c1,0.3066,NR4A1_767,221
c1ccc2cnccc2c1,0.1667,NR4A1_66,46
COCc1cc(Cl)cc(O)c1C(F)C1=C(C=Cc2cc(Cl)cc(-c3cccc(Cl)c3Cl)c2)OC=C1,0.4016,NR4A1_706,270
COc1c2ccc(C(F)(F)F)cc2c2CC(C=O)c3c(ccc(C(Cl)c4ncccc4)c3)-c2c1,0.4261,NR4A1_796,200
O=C1c2c(cccc2)Nc2ccc(-c3ccccc3)cc12,0.3025,NR4A1_167,712
C=CC=CC=COc1c(-c2nc(Cl)c(Cl)c(O)c2)cc(F)cc1,0.3362,NR4A1_906,119
NC=Cc1ccccc1,0.1357,NR4A1_307,26
C=CCc1ccc2cc(-c3cncc(C(=O)O)c3)ccc2c1,0.3067,NR4A1_430,497
Oc1c(O)cc(Oc2ccccc2)c(F)c1,0.1568,NR4A1_709,269
CC=CC=CC(c1ccccc1)c1cccc(-c2cccc(O)c2)c1,0.2386,NR4A1_172,707
Fc1c(F)cc2OC=C(C=CCCc3cc(CN4CCCCC4)ccc3N3CCCCC3)Cc2c1,0.3817,NR4A1_987,57
O=C1NCc2c(F)c(F)cc(O)c2N1,0.3246,NR4A1_884,137
O=C(Nc1ccccc1-c1ccccc1)c1ccccc1,0.3789,NR4A1_769,219
Nc1ccc(Cc2cccc(C(F)(F)F)c2)cc1,0.2662,NR4A1_724,257
O=C(COP(=O)(O)Cc1ccccc1)c1ccccc1,0.2465,NR4A1_911,114
O=CC=CCC1C=COP(O)CC1F,0.1664,NR4A1_873,146
FC(F)C=CCc1cc(C(F)(F)F)ccc1,0.1978,NR4A1_136,737
CC(O)Oc1c(F)ccc(Cl)c1C(F)Cl,0.2914,NR4A1_448,481
CCC=CC=CCCc1cc(-c2cccc(N)c2)cnc1,0.2638,NR4A1_962,76
c1cc2c(nc1)NC1CCCCN1C2,0.3223,NR4A1_254,643
O=C(O)C1CCC(CC(F)(F)F)C(C(=O)O)(c2cccc(O)c2)C1,0.4949,NR4A1_2,837
CC1CCCC(CC2C=CC(Cc3ccccc3)C(CNC=N)CC2c2ccc(O)cc2)CC1,0.4542,NR4A1_165,714
O=C1Oc2cc3c(cc2-c2c1c(F)c1cc(O)ccc1c2)NCN(Cc1cccc(Cl)c1)C3=O,0.4401,NR4A1_747,238
Cc1c(C2CCC(=Cc3ccncn3)C(C(=O)O)C2)c(C(Cl)c2ccccc2)ccc1,0.4547,NR4A1_960,78
CC=CCc1ccc(N)nc1,0.1538,NR4A1_68,791
CNCc1ccccc1,0.1335,NR4A1_571,378
O=C(OC=Cc1cccc(F)c1Cc1ccccc1)c1cc(Cl)cc(-c2cccc(O)c2O)c1,0.3561,NR4A1_291,613
Brc1cc(-c2ccccc2)ccc1,0.1022,NR4A1_644,320
Cc1ccccc1Cc1ccncc1C(C)c1cccnc1,0.3094,NR4A1_555,390
C=CC=Cc1cnc(-c2cccc(C(C(=O)O)C(=O)c3cccc(-c4cccc(O)c4)c3)c2)cc1,0.3761,NR4A1_353,562
CCC1C=CC=C1c1cncc2ccncc12,0.3149,NR4A1_411,514
CC=CCC(c1ccccc1)c1cccc(C2C=CCCO2)c1,0.2841,NR4A1_797,199
Oc1cc(C(F)(F)F)c(F)cc1,0.2124,NR4A1_998,51
Oc1c(F)cc2c(c1)OC=CC2c1cccc(-c2cccc(F)c2)c1,0.3416,NR4A1_807,190
CC1(c2ccccc2)CCC(c2ccccc2)CC1,0.2514,NR4A1_690,282
C=C(C=Cc1ccccc1)C(=O)CCN,0.1765,NR4A1_721,260
CC=Cc1ccc(-c2ccc3C(=O)c4c(cccc4)Nc3c2)cc1,0.3385,NR4A1_19,828
CC(c1ccccc1)(c1ccccc1)c1cc(-c2cc(C(=O)O)c3cc(N)ccc3c2)cc(F)c1,0.3267,NR4A1_950,84
Cc1cncc(-c2cccc(Cl)c2)c1,0.2195,NR4A1_232,660
CCc1ccc(-c2cc(OC(=O)COc3ccc4Oc5ccc(O)cc5COc4c3)ccc2)cc1,0.3556,NR4A1_596,358
c1ccc(-c2ccncn2)cc1,0.2395,NR4A1_54,801
C1=C(c2ccccc2)c2c(cccc2)C1,0.2451,NR4A1_41,812
C=CC=CC=CCCOc1cc(-c2ccc(CO)cc2)ccc1,0.2462,NR4A1_280,624
OCc1ccc2c(c1)ccc1c2cccc1,0.1779,NR4A1_463,467
Oc1ccccc1,0.1061,NR4A1_38,3
Oc1ccc(Cc2ccccc2)cc1,0.1902,NR4A1_914,111
OCc1cc(Cl)c(Cc2cc3c(C=CC4CC=C(C=C(O)c5ccccc5)C4=C3)cc2)cc1,0.3489,NR4A1_108,758
c1ccc(Cc2cncc(-c3cnccc3)c2)cc1,0.2891,NR4A1_310,597
CCCCCOc1c(F)cc(Oc2ccc(C(=O)N3CCCC(c4cccc(C)c4)C3)cc2)cc1,0.3442,NR4A1_204,683
CC=CC=Cc1ccc2ccccc2c1,0.1516,NR4A1_746,239
O=C1OCc2ccc(C=Cc3ccccc3)cc2-c2c1ccc(C1C=NC3=C(CC1)N=CCO3)c2,0.3884,NR4A1_230,662
C=CC(C)c1ccc2cccnc2n1,0.2294,NR4A1_831,174
NC=Cc1cc2cc(-c3ccccc3)ccc2cc1,0.1655,NR4A1_669,299
OCCOc1c(-c2cc(-c3cccc(-c4ccccc4)c3)c(Cl)cc2)cc(-c2cncnc2)cc1,0.272,NR4A1_903,122
CC1(C(=O)O)CCC(C)(c2cc(-c3ccc(NC4CCC(F)C(=O)N4)cc3)ccc2)CC1,0.4032,NR4A1_266,634
CC(c1ccc(Cl)cc1)C(F)(F)F,0.2323,NR4A1_909,116
NC(=O)C=CCc1ccccc1,0.173,NR4A1_36,816
OC(F)c1c2ccccc2ccc1,0.2104,NR4A1_0,839
CC=CC=CC(Cc1ccccc1)CC1Cc2cccc(O)c2CO1,0.4189,NR4A1_871,147
O=Cc1c(O)cc(Cl)cc1,0.3043,NR4A1_218,671
CCC=CCCc1cc(C)ccc1,0.1939,NR4A1_24,825
O=C(Br)NC1CC(c2ccc(-c3ccccc3)cc2)C(=O)c2c1cc1ccccc1c2,0.3889,NR4A1_229,663
CN1CCC(c2cnccc2)CN1,0.2131,NR4A1_790,205
O=CC(Cc1cc(Cc2ncccc2)ccc1)c1cccc(O)c1,0.3012,NR4A1_436,491
FC(F)(F)F,0.0112,NR4A1_318,13
CC=Cc1cncc(C(=O)O)c1,0.2367,NR4A1_866,151
Nc1ccc(Nc2ccccc2)c(N)n1,0.2071,NR4A1_787,207
FC=CCCc1c(-c2ccccc2)cccc1F,0.2258,NR4A1_243,651
Cc1ccc2ccccc2c1,0.1361,NR4A1_508,427
C=CC(C)c1cc(C)c2ccccc2c1,0.215,NR4A1_505,429
OC1=CC=C=CC1(Oc1c(C(F)(F)F)cccc1)[PH](O)(O)O,0.3343,NR4A1_627,334
CC=CCOc1c(Cl)cc(NC(N)=Nc2ccc(C(F)(F)F)cc2)c(C2CCC(O)C(=C=O)C2)c1,0.4131,NR4A1_645,319
C=CC(=C)Oc1cc2cc(-c3cccc(Cl)c3)cc(Oc3cc(-c4ccccc4)ccc3)c2cc1,0.2672,NR4A1_857,157
CC(=C=O)c1ccc(-c2ccccc2)cc1,0.1602,NR4A1_985,58
COc1c(Cl)c(F)cc(Oc2c(F)c(O)c3OC(=O)c4cc(O)ccc4Oc3c2)c1,0.3562,NR4A1_651,314
O=C1OC=Cc2cc(-c3cncc(C(F)Cl)c3)ccc12,0.3197,NR4A1_245,649
Cc1cc(-c2cccc(C=CN)c2)ccc1Cc1ccccc1,0.2008,NR4A1_70,789
O=C(OCc1ccc(Cl)cc1)c1ccc(-c2ccccc2)cc1,0.3033,NR4A1_674,295
O=C(O)c1ccc2c(c1)CC(=O)c1c-2ccc(-c2c(O)ccnn2)c1,0.3681,NR4A1_246,648
Oc1cc(-c2cc(Cl)ccc2)ccc1,0.1695,NR4A1_380,543
c1ccc(Cc2ccccc2)cc1,0.157,NR4A1_4,1
CC1(c2cccc(Cl)c2)C=C(c2ccccc2)c2ccccc21,0.35,NR4A1_408,516
C=CC=CC=C1CCCNC1,0.0924,NR4A1_180,700
O=C(Nc1ccccc1)c1cccc(-c2cccc(F)c2)c1,0.3847,NR4A1_685,286
O=C(CN1C(=O)NC(CC(F)(F)F)=C1Cl)OC1C=CN=C1,0.342,NR4A1_832,173
C=CC=Cc1cc(C(=O)c2ccccc2)cc(-c2c(N)ncc3ccc(-c4ccccc4)cc23)c1,0.3796,NR4A1_479,453
CC=CCc1cc(-c2ccc(C)cc2)ccc1,0.1725,NR4A1_303,32
COc1cccc(-c2cc(O)c(CO)cc2)c1,0.2669,NR4A1_392,531
C=C(CO)C1CNC(=O)C(c2cc(P(=O)(O)OBr)cc(C(C)c3ccccc3)c2)C1,0.4219,NR4A1_561,385
C=C(CO)C1CCC2C(=O)CC(c3cc(F)ccc3)CC2(C)C1,0.41,NR4A1_783,210
O=C1c2c(cccc2)Cc2c(NCc3ccccc3Cc3ccccc3)c(Br)ccc12,0.3356,NR4A1_959,79
CC=CCC#CCC=CC,0.0298,NR4A1_321,592
OCC=CCC1CNCc2cc(CC(Cc3ccccc3)c3ccccc3)ccc21,0.3195,NR4A1_62,795
c1ccccc1,0.0399,NR4A1_5,0
FC(=Cc1ccc2ccccc2c1)C(F)(F)F,0.1599,NR4A1_623,338
NC=C1CNCC(c2ccc3ccnc(N)c3c2)C1,0.3006,NR4A1_940,90
COc1c(C(C)C=CC(Cl)OC)cccc1,0.2877,NR4A1_32,819
C=CCc1ccc(-c2cnccc2)cc1,0.2077,NR4A1_813,184
N=C(F)c1ccccc1,0.129,NR4A1_549,395
O=C(O)c1ccc(-c2ccccc2)cc1-c1ccccc1,0.2328,NR4A1_301,604
