SMILES,Tanimoto,drug_id,cluster
OCC(O)C(C=CC1CCC(C(F)=Cc2ccccc2)c2c(O)cccc2O1)OF,0.4433,P2RX3_561,392
CC(C)(CO)Oc1cc(-c2c(O)ccc(C(F)(F)F)c2)cc(C(=O)OC(=O)C(=O)OCC(=O)O)c1,0.4313,P2RX3_479,458
Cc1cccc(Cc2cc3c(cnc(N)c3)c(O)c2)c1,0.3433,P2RX3_912,112
Oc1cccnc1,0.1074,P2RX3_872,141
O=C(O)c1cc(C(=O)O)cc(Cc2c3C(=O)NCC(c4cc5ccccc5cc4)c3ccc2Cl)c1,0.4741,P2RX3_396,527
Cc1cccc(C(NC=C=O)C(=O)O)c1,0.2386,P2RX3_802,200
NC(=O)Nc1cc2cc3ccccc3nc2cc1,0.2563,P2RX3_660,315
CCC(C)Cc1ccccc1,0.1288,P2RX3_874,139
O=C(O)c1cc(CCc2cccc(C(F)(F)F)c2)ccc1,0.2667,P2RX3_359,560
CC=CC=CCCC#CCC(CCC(=O)O)C(=O)O,0.1432,P2RX3_229,669
O=CC(COCC(=O)O)OC(O)C(O)(F)F,0.1863,P2RX3_69,803
CC=CC=CC(CC)COc1c(F)ncc(-c2cc(C(=O)O)cc(N)c2)c1,0.4461,P2RX3_670,306
NC=NC=CC(=O)C(=O)Oc1cc2cc3c(cccc3)cc2cc1,0.2355,P2RX3_193,702
NC(=O)C(=O)NC(=O)Cl,0.0749,P2RX3_726,261
CCC(c1ccccc1)C1CCC(OCCO)NC1=O,0.363,P2RX3_168,723
c1cc2c(CCC2)nc1,0.277,P2RX3_177,716
NC=C(c1cc(Br)ccc1)c1cc(C(=O)O)c(OC(CO)OCCO)cc1,0.3717,P2RX3_703,279
CCc1ccc(C(=Cc2c(NC3CC(C(NC(=O)C(=O)O)C(=O)O)C(N)N3)cccc2)OC)cc1,0.471,P2RX3_53,816
CC=CNCc1cc(CCCCC(=CC(F)c2ccccc2)C2CC(=O)CC(C(=O)O)C2)ccc1,0.3336,P2RX3_280,627
CCCC(F)C1=C2C(CC1)CC(O)C(=O)C2N,0.3038,P2RX3_167,724
Cc1c(CC=CCc2ccccc2)cc(CO)cc1,0.1988,P2RX3_373,549
OC(=CCCOc1cccc(-c2cc(Oc3c(Cl)cc(F)cc3Cl)c(O)cc2)c1)c1ccccc1,0.3452,P2RX3_869,144
NC1Nc2c(N1)c1c(cc2)c(C(=O)O)cc(-c2c(OCC(O)OC(=O)C(O)CO)cc(Cl)nc2)c1,0.4992,P2RX3_203,693
c1ccccc1,0.0224,P2RX3_0,0
Oc1cccc(Nc2cccc3ccccc23)n1,0.3072,P2RX3_688,292
Clc1cc(-c2ccccc2)ccc1,0.1188,P2RX3_733,255
CC=Cc1cc(F)cc(O)c1,0.1953,P2RX3_302,609
O=C1CCCCC1C(=O)c1ccccc1,0.2946,P2RX3_809,194
