SMILES,Tanimoto,drug_id,cluster
CN1C(=O)CCC(C2=Cc3ccccc3C2)C1c1ccccc1,0.4175,RIOK1_813,194
N=C1CCC(O)C(CCc2cccc(-c3ccccc3)c2)C(=O)N1,0.3,RIOK1_486,445
Clc1ccc(-c2cc(-c3ccccc3)ccc2)cc1,0.1169,RIOK1_197,671
NCc1cc(C2CCN(CC=Cc3ccccc3)C(=O)C2)ccc1,0.2484,RIOK1_40,786
C=C(CCC=CC(C)CCc1ccccc1)C1=CC(C(=O)O)C(c2cc(C(F)F)ccc2)=C1,0.355,RIOK1_527,413
O=C(O)CN(C(=O)CO)C(=O)c1ccc(C=Cc2c(F)ccc3cc(F)ccc23)cc1,0.4242,RIOK1_266,619
NC1NCC=C1CC=CCCCC(c1ccccc1)c1cccc(C(C(=O)Cl)c2ccccc2)c1,0.2801,RIOK1_913,115
C=C1CCc2cc(-c3ccccc3)cc(C)c2C(F)C2(C)c3ccccc3CCC12,0.45,RIOK1_242,636
C#CCCc1ccccc1,0.1167,RIOK1_957,82
C=CC(Cc1c(C)ccc(-c2ccccc2)c1O)CC(C)P,0.2969,RIOK1_480,450
C=CCCCC=CC=CC(=C)C=C,0.0469,RIOK1_799,205
C=CC=CC=CC=Cc1cc(C)ccc1,0.1222,RIOK1_201,667
O=C1CCCC(Cc2ccccc2)N1,0.2056,RIOK1_65,764
Oc1cccc(-c2ccccc2)n1,0.2113,RIOK1_669,305
CC1CCN(C(=O)Cc2ccccc2)CC1c1ccccc1,0.2607,RIOK1_663,310
Cc1ccc(-c2cccc(C(=O)O)c2)cc1C(F)(F)F,0.2199,RIOK1_407,511
CC=C(C)C=C(C)NC(=O)c1ccc2cc(Cc3ccccc3)c(CCC=C3C=CCC3)cc2c1,0.321,RIOK1_356,550
O=C(O)c1cccc(Cc2ccccc2Cc2ccccc2)c1,0.1904,RIOK1_640,328
C=CC=CC=CNc1c(Br)cccc1,0.1286,RIOK1_911,117
Cc1ccccc1C(F)(F)F,0.103,RIOK1_582,369
CCCC=O,0.0161,RIOK1_704,278
ClC=C1CCCC(Cc2ccccc2)C1,0.1688,RIOK1_883,141
NC=NCc1cccc(C=O)c1,0.1535,RIOK1_390,525
