SMILES,Tanimoto
CC(=CCc1ccncc1COC(=O)Cl)C(C)C,0.2436
NC1=NNC(=CC(C=O)C(=O)C(O)COc2cccc(C(O)c3ccccc3)c2)C1,0.3396
Nc1ccc(NCc2cccc(C(=O)O)c2)cc1N=O,0.2470
CC=CC=CC1CCC(C)CC1,0.0542
Oc1cccc(Oc2ccc(Oc3ccccc3)cc2)c1,0.0792
NCc1ccc(O)c(NCCC2CNCNC2=O)c1,0.2697
O=C(O)c1cccc(C(CCc2cccc(C(F)F)c2)CC(F)(F)F)c1,0.2400
CCC(CCCc1cccc(C(F)(F)F)c1)P(=O)(O)O,0.1924
CC(=O)C1=C(O)C(C2CC(O)CC(c3cccc4c3C=C(C(F)(F)F)CO4)C2)C(=O)C(O)C(O)O1,0.5011
NC1CCCC(c2cccc(C(=O)O)c2Cl)C1,0.2924
OC1CCc2ccccc2C1,0.1547
CC(Cl)CC(C)C=CCCc1cncc(C(F)(F)F)c1,0.2045
CC1Cc2ccc(NCP(=O)(O)O)cc2C(O)C1O,0.3413
CCCOC(CC(O)C(=O)O)C(O)COCC(O)CCCC(=O)C(O)=CCOc1cccc(O)c1,0.2502
CN1CNNc2ccc(NC(=O)Cc3cc4c(c(CC(O)C(=O)Cl)c3)COCC4)cc21,0.3927
O=C1OCCOC1C=CCc1cccc2ccccc12,0.2193
Fc1ccccc1,0.0306
C=CCCC=CCOC1=COc2nccc(C)c2C1,0.3453
CC(Oc1ccccc1)c1ccccc1,0.1826
CCCC=Cc1ccncc1-c1ccc(Cc2cncnc2)cc1,0.3006
C=CC(O)CCCC(O)(C(=O)O)C1CCC(=Cc2cnc3nncnc3c2)N1,0.4354
CCCCC=C(C)C=CC=CN,0.0449
CCOC1COC(=N)CC1OC(=O)c1ccc(C(F)(F)F)cc1F,0.3433
OCc1ccc2ccccc2c1,0.1243
NC(=O)Cc1cnc2ccc(OC(=O)C3OCC(OCC4OCCC4O)OC3O)cc2c1,0.3800
O=C=C1CCCC(Cl)C1,0.0653
c1cncc(COCC2CCCCC2)c1,0.1744
FC(F)(F)c1cccnc1,0.1174
CC=CCc1ccccc1,0.1013
ClCc1cccc(Cl)c1,0.1051
COC(CO)N1CC(=CC(=O)O)C(Cc2cccc(C3(C)CCCC3)c2)c2c(N)nc(N)nc2C1,0.5536
COCC(=O)Nc1ccc(OC(=O)CC(O)C(C)CC=O)cc1F,0.2714
O=P(O)(OF)OC(F)(F)C(F)(F)Cl,0.1490
COc1ccc(C(N)=O)cc1OCc1ccccc1F,0.2596
Nc1ncc(Cc2cccc(OCCO)c2Cl)cc1CP(=O)(O)O,0.3718
CCC=CC=COC(=O)C1C=NC(c2cc(C)c(F)cn2)C1=C(F)F,0.4653
CNC(=O)c1cccc(C(=O)NCc2cccc3cc4ccccc4nc23)c1,0.3495
CNC(=O)c1ccc(Cl)c(F)c1,0.2033
NC(Oc1ccc(-c2ccc3c(c2)C(=O)NCCCNCC3)c2c1OC(C(=O)O)=C(O)O2)C(F)F,0.5104
O=C(O)c1cc(F)c(O)cc1F,0.1911
COc1ccc(C(F)(F)F)cc1F,0.1692
CCOc1c(F)ccnc1F,0.1892
CC(C=CC=CC=CCc1ccccc1)c1ccncn1,0.2110
CC(=NN=N)NC(Cl)c1cccc(-c2cccc(C(CCOCC(=O)O)NC(N)=O)c2)c1,0.3204
O=C(O)c1ccc2c3c(cc(OCCO)cc13)OC(CC(Cl)OCCF)CC2,0.3731
CC(N)c1ccccc1N(C)C=CCC=C(O)C(CO)C(=O)Oc1ccccc1,0.3222
CCOC1C(OC(=O)O)C(=O)c2nc3cc(OC4=CC(C(=N)O)OC4)ccc3cc2C1O,0.5769
CC1CC(C(F)(F)F)CC1O,0.0885
O=C1OC(c2cccc(CC(O)C(O)C3CCC(O)O3)c2)C(O)C(O)C1(O)OCc1ccccc1,0.4365
CC(C)CNC(=O)c1cccc(OC(N)CC(=O)C(=O)O)c1,0.2762
C=CC=CC=CC(C)CCC,0.0410
O=C(c1cccc(C(F)(F)F)c1)c1cnccc1Cl,0.2919
CC(C)(C)c1ccc(C(=O)O)cc1,0.1922
OC(CCCc1cc(F)ccc1Br)CC(O)C(O)C(O)F,0.2237
O=C1C=CCC=CC=CCC2C(=O)C(C(=O)O)C(C(=O)O)C(=O)N2C2CC(CNC2=O)CC(=O)N1,0.4061
CC1(C)CC(c2ccc(Oc3ccccc3)cc2)CN1,0.2248
OC(F)C(F)(F)F,0.0250
OC(c1cccc(-c2ccccc2)c1)C1CCCCC1,0.2444
C=CC=CF,0.0134
Clc1cncc(-c2ccccc2)c1,0.2046
Fc1ccc(F)c(F)c1F,0.0569
CC1=Cc2ncncc2C(C)=CC(=O)C(O)=NC(=O)C(F)c2ccccc2CCC1,0.4151
FC(F)c1ccccc1,0.0809
C=CC=CC=Cc1cccc(C(=C)C)c1,0.1442
NC(=O)c1cccc(P(=O)(O)O)c1,0.1806
O=c1oc2ccc(F)cc2c2ccccc12,0.1899
CC(CO)Oc1ccc2cc3c(nc2c1)CC(C)(C)C(O)C3O,0.4362
CC(O)C(CF)C1CC(O)CCC(C(F)Cc2cc(O)ccc2O)C1F,0.2722
O=C(O)COC(O)c1cc(C(=O)O)ccc1Cc1ccc(Cl)c(Cl)c1,0.2929
CC=CC=CC=CCCC,0.0273
O=CC1C(O)C(CO)CCOC1C(O)CCC1C=CC=C(CC(=O)O)c2cnccc21,0.4435
O=Cc1cccc(CO)c1,0.1056
O=C(O)CC(COc1cc(-n2cncn2)c(F)cc1O)OC(CO)CO,0.3624
O=C(O)c1cccc(C(=O)Oc2ccncc2)c1,0.2057
O=C(O)c1cc(CNc2cccc(Cl)c2)ccc1C(F)(F)F,0.3128
O=Nc1cccc(COc2ccc(F)cc2C(F)(F)F)c1,0.2727
c1ccc2ccccc2c1,0.0486
COC1OC(=O)c2c(O)c(F)cc(O)c2C(O)OCC1Cl,0.3922
CCC(O)CNC(=O)c1ccc(C(=O)NC(=N)O)cc1,0.2145
Oc1ccccc1CNC1CCCC(O)C1O,0.2126
Nc1ccccn1,0.0665
O=P(O)(O)COc1cccc(Nc2cccc(C(F)(F)F)c2)c1,0.2302
CCCC1CCCC(CCCCCOP(=O)(O)O)C1,0.0694
O=C1OC(F)Oc2cc(O)cc(COC(=O)C3CC(C(=O)O)C(=O)NC3O)c21,0.4550
CNc1cccc(Cl)c1,0.1216
c1ccc(CCc2ccccc2)cc1,0.1001
C=CC=CC=CCC1CCC(=CC)CC1,0.0700
Cc1cc(-c2cnc(N)c(O)c2)ccc1C(=O)O,0.3191
C=CC=CC=Cc1ccccc1,0.0866
O=C1CC(OCCC(F)F)Cc2nc3cc(CC(O)=C(O)C4CCCCCO4)c(O)c(F)c3cc21,0.5485
CC(C)C1=CC2CCc3c(cccc3C(=O)O)CC2C=CC1,0.3105
CNc1cncc(Nc2ccc3c(c2)CC(C(=O)O)CC3)c1,0.3306
Clc1cccc(Cl)c1,0.0587
CC(Oc1cc(-c2ccc(F)c(F)c2)ccc1F)c1cccnc1,0.2911
Cc1ccc(C2CCCCC2)cc1,0.1551
CCCOC(=C(O)C(=O)O)c1cc(C(O)CC(F)(F)C(C)=O)ccc1Cl,0.3884
CCOC1=CCC(c2cccc(C(O)OC(O)C(O)c3ccccc3)c2N)C=CC1,0.3681
OC(F)C(F)=CCOc1cccc(Cc2ccc(Cl)c(C(F)(F)F)c2)c1,0.2675
CC(CN)NC(=O)CC(=O)O,0.0760
COC(O)(c1cccc(CN2CCN(CC(=O)O)C(=O)C2=O)c1)C(F)(F)F,0.3533
COC1=CCC(CC=CC(C)C2CCCC(=O)C(O)C2)C(OCCO)=CC1,0.2019
CC=CCN(C)C(=O)c1cc(C2CC3OC(O)C(OC)C(CC=O)CNC3CC2OC)ccc1F,0.4926
O=C(O)Cc1ccccc1,0.1028
NC=Nc1cncc(C(=O)O)c1,0.2248
CC=Cc1ccccc1CCC(C)C,0.1554
COC(C(=O)Oc1ccc(Oc2cccc(F)c2)cc1)C(OP(=O)(O)OCl)C(=O)OP(=O)(O)OF,0.3765
N=CN=CC=CCCC=CCOC(=O)C(OF)C(O)Oc1ccc(-c2cccc(Cl)c2)c(O)c1F,0.3620
O=C(O)C1=Cc2cc(OC3CCCC3O)ccc2C(O)CCCC=CC1,0.3618
CNC(=O)c1cccc(CC2CCc3ccccc3C2=O)c1,0.3052
O=C(O)c1cncc(-c2ccccc2)c1,0.2720
CC(O)Oc1cc(CC(=O)C(=O)C2CCCCC2)cc2cc(C(=O)O)cc(Cl)c12,0.3737
NC1CCc2cccnc2C1,0.2464
CC=CC(C)Oc1ccc(Cl)c(CCCCCC)c1,0.2325
OC(F)CCCOF,0.0355
CC=CC=CC=CCCN,0.0274
CC(C)Cc1cccc(-c2cccc(O)c2O)c1,0.2353
CCCNc1cccnc1,0.1212
O=C1NCCC=CC1c1cccc(-c2ccccc2)c1,0.2796
CC=CC(C)=C(F)CCC=O,0.0655
