SMILES,Tanimoto
Nc1ccc2cc3ccccc3cc2c1,0.2018
CC1=C2CN=CC2=Cc2c(cc(C(C)C(O)CC=O)cc2)C1=O,0.3911
O=C1CC(c2ccccc2)c2ccccc2N1,0.4726
C=C(c1ccccc1)c1ccccc1,0.5344
CC1OCCCC1CCCC1CCCCC1(C)c1ccccc1,0.5008
Oc1ccc2ccc(CC3=CC=NC3)c(F)c2c1,0.3385
Oc1ccc(Cl)c(-c2ccc(Cl)c(C(F)(F)Cl)c2)c1O,0.4239
NC1=CC(O)=CCC2C(=O)C(C(F)c3cccnc3O)CCC12,0.4079
NC=Cc1cc(O)ccc1-c1cccc(Cc2ccccc2)c1,0.4769
CCCC1=CC(OCc2ccc(-c3ccccc3)cc2)C(c2c(CC)cccc2)=C1,0.4350
Nc1c(C2C=CC=CC(CCCC(=O)O)C2)ccc(Nc2cc(O)ccc2-c2ccccc2)n1,0.4755
NC1c2c(cc(O)cc2)CCc2c1ccc(C(F)(F)F)c2,0.5299
Cc1c(C(=O)O)ccc(C(=CC2C=CC(Cl)C2N)c2cncc(C(=O)N3CCCCC3)c2)c1,0.4993
OCc1cc2c3C=CC=CC4CCc(c34)cc2cc1,0.4593
O=C1C=C(C(F)(F)F)Cc2ccc3CC(O)Cc4ccc1c2c34,0.3728
Oc1ccc(C(c2ccc(C(F)(F)F)cc2)c2cc(Cl)ccc2)cc1,0.3996
Oc1ccc(Cc2cc3ccccc3cc2)cc1,0.4533
CCC=Cc1ccc(C2CCCCC2C)cc1,0.4615
CCC(C)CC=C1CC(N)C2C(O)CCC(=O)C12,0.5453
NC(=O)c1c2ccccc2c2c(c1)NCC1CCCC=CC21,0.5442
CC1C=CCNC2C1CCCC2(CCc1ccc2Cc3c(cccc3)Cc2n1)c1ccc(O)cc1,0.5415
FC(c1ccc(Cl)cc1)c1cc2c3cccnc3ncc2c(Cl)c1,0.3284
c1ccc(Cc2ccccc2)cc1,0.3700
Nc1cc(C(c2ccc(O)cc2)c2cc3ccccc3nc2)ccc1,0.3700
O=C(O)c1cccc(C(C=Cc2ccccc2)Cc2ccccc2)c1,0.4135
CC=CC=CC(c1ccccc1)c1ccccc1,0.4784
C=C1CCCc2ccccc2N1,0.4164
CC(F)Cc1ccc(Cc2ccc(C(=O)Nc3ccccc3CC(C)c3ccccc3)cc2)cc1,0.4601
OC1CC(O)C2OCCC23CCC1CCC1=Cc2ccc(F)cc2OC13,0.4749
Cc1ccccc1,0.2681
C=C(c1cc(CN(C)C)cc2c(N)cc(C(=O)O)cc12)C(C)CCCCC(C)(C)c1ccccc1,0.3997
CC1CO[PH](O)(c2cc(N)c(C(=O)O)cc2)O1,0.2851
C=CC=CCc1ccc(COc2ccc(C(C(=O)O)=C(O)O)cc2-c2c(O)cc(F)cc2Br)cc1,0.4624
O=C1Oc2c(-c3ccc(C4=NC=NN4)cc13)c(F)c(O)cc2,0.5150
c1ccc(Nc2ccccc2)cc1,0.2231
C=CC=CC(C)c1ccccc1,0.3271
CC1CCC2NC=Cc3cc(CCl)ccc3C2C1Cl,0.4352
Cc1cc(-c2cccc(O)c2)ccc1C=N,0.5025
CC=CC=CC(C)C=CC1CC(C(C)C)=CC1c1ccc(O)cc1,0.5695
O=C(O)Oc1cc(-c2c(Cl)cc(C(F)(F)F)cc2)c(F)cc1,0.4811
C=CC=CC=CC(C)c1ccccc1,0.3077
Cc1c(C(CC=CCCc2ccccc2)c2ccc(O)cc2)cc2CCCc2c1,0.5351
Oc1ccc(CCc2ccccc2)cc1,1.0000
