SMILES,Tanimoto
CCC=CC=CCc1cccc(CC)c1,0.1437
O=CC=C1CCC(Cl)CC1,0.0952
CN=CC=CC=CCOC(=O)Cc1ccc(F)cc1,0.1741
CC=CCOC(=CCNc1ccc2ccc(-c3cc(-c4ccccc4)ccc3F)cc2c1)C(F)F,0.2856
ClOCc1ccc(Cc2ccccc2)cc1,0.1541
C=CNCC1=NC2C(=CCc3ccc(C(C=CC4C=CCC4)C=C(Cl)C(F)(F)F)cc3)CC=C2N1,0.4257
CNC(=O)c1cc(F)ccc1,0.1967
O=C(NC(=O)C(F)(F)F)Nc1ccccc1,0.1514
N=C(N)C1C=C(Cc2ccccc2)C=CC(c2ccnnc2)C1,0.3324
O=C(O)C1=CC(C(O)=Cc2ccc(Cl)cc2)C=N1,0.2498
CC(c1ccccc1)C(F)F,0.1321
NC(=O)C=Cc1c(-c2ccccc2)c2cc3ccccc3cc2cc1,0.2440
O=C(O)CNCc1cc(O)ccc1,0.2997
CC(=O)NC(F)C(CCC(C)F)CC(=O)O,0.1904
CC(C)(c1ccccc1)c1cccc(F)c1,0.1822
O=C(OCl)c1cc(F)c(-c2cc(F)cc(Cl)c2OCCCc2ccccc2)cc1OCl,0.4484
CC=CC=CC(C)C,0.0350
CC(C)=CCc1cccc(-c2cc(NC(=O)C(O)CNc3nc(C4=CC=CC4)ccc3)ccc2)c1,0.4044
O=C(O)C=Cc1cc2c(cc(C(=O)N3CCC(c4ccccc4)CC3)cc2)nc1,0.4330
NCc1cc(C(=O)c2c(F)cc(C(=O)NC(=O)c3ccc(-c4cc(F)ccc4)cc3)cc2)ccc1,0.3008
C=C(CCCC=O)NN,0.1481
CCc1ccccc1,0.1059
CCC=Cc1ccccc1,0.1107
O=C(O)CN1Cc2c(NC1=O)c(O)cc(Cl)c2,0.3737
C=C(C)c1ccc(CC=CC(=O)c2cc3c(cc2)CN(C(N)=O)C3)cc1,0.2814
C=CC=CC=CCC(C)(C)c1ccc(O)cc1,0.1780
O=C(F)c1cc(Cc2ccc(-c3ccccc3)cc2)ccc1,0.2276
c1ccccc1,0.0277
O=C=CN1C=COC1c1cc(O)ccc1,0.2663
Oc1ccc(-c2cc3ccccc3cc2)cc1,0.1431
C=C1CCC(C=CC)CC1,0.0843
Oc1ccc(Cc2cc(-c3ccccc3)ccc2)cc1,0.1914
O=C(O)c1cc(CCc2ccccc2)cc2c1cccc2-c1ccccc1,0.2847
OC=CCCOc1ccccc1,0.1614
CC=CCc1ccncc1,0.1094
O=C(O)c1cc(O)ccc1,0.1881
CC=CCN,0.0330
C=Cc1ccc(CC=CC=C2CCCCC2F)c(-c2ccc(Cc3cccc(C(=O)O)c3)cc2)c1,0.3275
O=C(O)c1cc(CCc2ccccc2)ccc1,0.1905
O=C(O)c1cc(CC=CCc2cc(-c3ccccc3)ccc2C(=O)F)cc(CC(F)(F)F)c1,0.3216
C=CC=CC=Cc1c2CC(OCC(F)(F)F)c3c(ccc(C(=O)OCCCC(=O)O)c3)-c2ccc1,0.4298
C1=CN(c2ccccc2)C=N1,0.1126
FC(=Cc1cc2ccccc2c(-c2ccccc2)c1)c1ccccc1C(F)F,0.2729
CCc1ccccc1C(=O)CCC(C)(C)CCCCCCP(=O)(O)O,0.2528
C=CC#CCCC,0.0459
Cc1ccccc1CCNC(=O)c1ccc(-c2cc(C(=O)O)cc(-c3cc(O)c(F)cc3)c2)cc1,0.3116
CC=CC=CCN1CCc2ccccc21,0.2247
ClC1CCNC(=CCCc2ccccc2)C1,0.2090
CNC(=O)c1cccc(-c2cc3cc(OCC=CCN)ccc3cc2)c1,0.2876
CN1Cc2c(cccc2)OC1F,0.2731
O=C(O)c1ccc(C=CC2C=NC(N3CNC4Nc5ccccc5CC4C3)C2)cc1,0.4335
O=Cc1cccc(CC2CC(C(F)c3ccccc3)CCO2)c1,0.2741
O=C(O)CCC(=O)Cc1ccc(OCC(=O)O)c(CCc2ccc(Cl)cc2)c1,0.2872
O=C(O)CN=Cc1ccc(-c2ccccc2)cc1,0.1793
c1ccc(-c2ccccc2-c2ccccc2)cc1,0.1345
O=C(O)c1ccccc1C1CCc2ccccc2C1,0.2619
Cc1ccc(C(=CC(C)C(c2ccccc2)c2ccccc2)Cc2ccccc2)cc1,0.2395
C=C1CC(O)CC(C=CC=CC)C1,0.1141
CC(CN1CCCC(CC=C(N)C(=O)O)C1)(c1ccccc1)c1ccc(O)cc1,0.2978
O=C(O)C=COc1ccccc1,0.1433
CC(c1ccccc1)c1cc2cc(O)ccc2cc1,0.1916
N=C(CCCc1cc(Cc2ccccc2)ccc1)P(=O)(O)OCl,0.2200
Nc1ncncc1CC=CC=CC1=CN(C2(c3ccc(-c4ccccc4)cc3)CCCCC2)NC1,0.4567
CC(C=O)Oc1ccccc1,0.1664
O=C(Cl)NC(=O)C=Cc1cc(CCC(Cc2ccccc2)c2ccccc2)ccc1,0.2296
Nc1ncccc1,0.0927
FC(F)(F)c1cc(Cl)ccc1,0.1291
c1ccccc1,0.0277
c1ccc(-c2ccc(-c3cccc4c3cccc4)cc2)cc1,0.1367
CC(=Cc1cccc(OCC=CCBr)c1C)CC(F)F,0.2802
CCN(C=C(F)F)Cc1cc2c(cccc2C=CC=C(C=CC(O)O)Oc2ccccc2)cc1,0.3084
C=C(C)C#CN,0.0408
c1ccc(Cc2ccccc2)cc1,0.1377
C=CC=CC=CC=C1C=CCC(c2cc(-c3ccccc3)ccc2)O1,0.3013
CC(Cc1ccccc1)c1c2cnc3c(nccn3)c2ccc1,0.3311
C=CC=CC(NC(=O)N1COCC(CO)C1)c1ccccc1,0.2823
CC1(C)CC(CCCC=C=N)C(=O)CC1C(N)=O,0.1496
C=CC=CCc1ccccc1,0.1157
CC=CCC=CCC(C)C=C(C=O)OCC(c1ccccc1)c1ccc(F)cc1,0.2139
c1ccc(CN2CCCCC2)cc1,0.3049
CC=CC=CC=CCCc1cc(CC2CCC(CC(C)C)CC2)ccc1,0.2169
O=C(c1ccccc1)c1ccc(Cc2cccc(C(F)(F)F)c2)cc1,0.2120
C=C1CC(CC(=CCC2(F)CC(=O)c3ccccc3C2)CC=C(C=CC)c2ccccc2)CCN1,0.3977
O=C(O)c1cc(Cl)cc(Cl)c1,0.2385
CC(c1ccccc1)c1ccccc1,0.1612
Cc1ccc2c(C(=O)OC3OCC(Oc4ccc(C(F)(F)F)cc4)C3O)cccc2c1,0.3578
CC(CC(=O)O)c1ccccc1,0.1724
CNc1cc(-c2cccc(C(F)(F)F)c2)ccc1CC=C(C)C(F)F,0.2944
CC(c1ccccc1)c1ccccc1,0.1612
OC1=CCCC(CCCC=CCC=Cc2ccccc2)CC1,0.1450
C=NCN(C=Cc1ccccc1)Cc1cc(C)ccc1,0.2378
Clc1cccc(OCc2ccccc2)c1,0.1769
CC=CNCc1cccc(CCc2cc(OC(C(=O)O)C(=O)O)cc(F)c2)c1,0.3120
NC(=O)CCc1cc(-c2ccc(Cl)cc2)cc(Cl)c1,0.2794
C=CC(O)CC(=O)NC(=O)C(=C=O)Oc1ccccc1-c1cccc(O)c1,0.3165
O=C(O)C(=O)OC(=O)C1CCCC(=Cc2ccc(-c3cc(-c4cccc(Cl)c4)ccc3)c(O)c2)C1,0.3304
c1ccc2ccccc2c1,0.0699
CC(Cc1cc(C(=O)O)c(F)nc1)c1ccc(C(F)(F)F)cc1,0.3006
CC(C)(Cc1ccccc1)c1ccc(F)cc1,0.1911
Fc1cc(-c2cncc(-c3cc(-c4ccccc4)ccc3)c2)ccn1,0.2093
C#CC,0.0113
CC=Cc1c(-c2ccccc2)cccc1,0.2101
Clc1cccc(Cc2ccccc2)c1,0.1478
C=Nc1c(Nc2cc(-c3ccc(Cc4cc(NC(=O)C(F)(F)F)ncc4)cc3)ccc2)nccc1,0.3872
O=CCCC=CC=CC1CCN(C(=O)COC(=O)c2ccc(-c3ccc(O)cc3)c(F)c2)CC1Br,0.3673
O=C(O)c1cc(C(=O)Oc2ccc(-c3ccccc3)cc2)ccc1,0.2692
O=C(OCC(O)OCc1c(C(=O)O)cc(-c2ccccc2)cc1)C(=O)OC(Cl)c1cc(Cl)ccc1,0.3464
c1ccc(C2CCNC2)cc1,0.1991
CC=CC=CC=CC=CC=CCCCOCc1cc(-c2cccc(-c3cccc(O)c3)c2)ccc1,0.2449
CC=CC(C)CC(CO)OC(=O)c1ccc(F)c(-c2ccc(Cc3cccc(C(=O)O)c3)cc2)c1,0.3374
CC(=O)CC(C)(C)C(CC=CC=CCCC=C=N)c1cccc(C(F)(F)F)c1,0.2557
CC(Cc1ccccc1)C1C=CN=C1,0.1958
CC=Cc1c(C=CC2C=C(C(=O)NC)NCCC2)cccc1,0.2478
C=C1CCC(=O)CC1,0.1171
C=C(c1cc(C(C=CC(=O)O)c2ccncc2)cc(C(=O)F)c1)c1cccc(C(F)(F)F)c1,0.3207
CC=CC=CC=CCCCC1COC2C(CCCN2C(=O)c2ccc(O)cc2)C1,0.3612
C1=CC(OCc2ccccc2)C(=CCc2ccc(-c3ccccc3)cc2)C1,0.2645
CC1CCN(C(=O)NC(OCc2ccc(-c3ccccc3-c3ccccc3)cc2)C(F)(F)F)CC1,0.2902
O=C(O)OC(=O)COc1cc(-c2cccc(F)c2)ccc1,0.2167
Oc1ccc(Cc2ccccc2)cc1,0.1454
O=C(NCCc1ccccc1)c1ccc(Cc2cccc(O)c2)cc1,0.2570
Clc1ccccc1Cl,0.0741
c1cc2ccccc2cc1,0.0699
CC(Cc1cccc(C(=O)Cl)c1)c1ccccc1,0.1876
C=CC#CC=CC(O)C(=O)NCc1c(-c2ccc(Cc3cccc(C(=O)O)c3)cc2)c(O)ccc1,0.3522
c1ccccc1,0.0277
CC=CCc1ccccc1,0.1143
C1=CC(C=Cc2cccnc2)C2COCC2C(c2ccccc2)=C1,0.3273
C1=CCC(=CCc2ccccc2)C1,0.1381
CCC=CCC(C)(C)c1cc(C=CCC)ccc1,0.1956
CC(C)Cc1cccnc1,0.1437
CCCCC(=CCc1cc(C=C(C)c2ccccc2)ccc1Cc1ccccc1)c1ccccc1,0.2706
NC(=O)c1cc(F)cc(Oc2ccccc2)c1,0.2330
C=CC(C)C,0.0275
C=C(CNC(=O)c1ccc(O)c(F)c1)c1cc(-c2ccccc2)cc(C(=O)Nc2ccccc2)c1,0.3772
Oc1cc(-c2cccc3c2nc(Nc2ccccc2)cc3)ccc1,0.3472
CC=Cc1ccccc1,0.1023
Oc1ccc(C(O)Cc2ccccc2)cc1,0.2038
CCC=CC1CCCCC1,0.0833
Fc1ccccc1,0.0544
Cc1cccc(C=CCN)c1,0.1589
O=C(OCc1ccccc1)c1cc(Cc2ccc(-c3ccccc3)cc2)ccc1,0.2691
c1ccc(-c2cc3ccccc3c3c2cccc3)cc1,0.1334
O=P(O)(O)OCc1cc(O)ccc1CCc1ccccc1C(F)Nc1ccccc1,0.3050
Fc1c(C(F)(F)F)ccc(-c2ccccc2)c1,0.2223
c1cc2ccccc2cc1,0.0699
CC=CC=CCc1ccccc1,0.1148
CC=Cc1cc(C2C=C=NC2)ccc1,0.1856
CCCOC1C(O)CC(O)C(Oc2cc(C(=O)c3cc(C(F)(F)F)ccc3)cc(C)c2)CC1OC,0.3282
O=Cc1cc2c(cc1)ccc(-c1cc(-c3ccnc(F)c3)cc(C=C3CCCC(C(=O)O)C3)c1)c2,0.3294
C#Cc1ccc2CCC(=C)Cc2c1,0.2066
O=C(O)c1cc2cc3ccccc3cc2cc1,0.1727
FC(F)c1ccccc1,0.1016
C=C1CCC(C=CC=CC)CC1,0.0902
Oc1cc(-c2cc(CN3CCCC(c4ccccc4)C3)ccc2)ccc1,0.2914
O=C(O)CCC(O)CCOCCCc1ccccc1,0.2042
CC=Nc1cnc(C2CCCC(C)(Oc3cc(Cl)cc(-c4ccccc4)c3)C2)cn1,0.4074
Fc1c2cc(-c3ccccc3)ccc2ccc1,0.1648
CCC(=O)NC(=O)c1cc(-c2ccc(C=CC(=O)N3C=CC=C3C)cc2)ccc1,0.3164
c1ccc(Cc2ccccc2)cc1,0.1377
CC=CC(C)c1cccc2c(C(=O)NCC)cccc12,0.3021
FC1CCCOc2ccccc2C1,0.2374
Cc1nc(-c2cccc(-c3ccc(-c4ccc(COC(=O)C(=O)OCCO)cc4)cc3)c2)ncc1,0.2918
CC(C=CC(F)F)CCC=CC=CCCOc1c(C(F)(F)F)cc(F)c(O)c1,0.2840
c1ccc(-c2ncncc2)cc1,0.1758
O=C(c1ccc(C=CC2CN=C(NCc3ccc(-c4ccccc4)cc3)C2)cc1)N1CCCCC1,0.3139
O=C(F)c1cc(O)cc(-c2cc(Cl)ccc2)c1,0.2950
CC=CC=CC(c1ccccc1)c1cc(Br)ccc1Cc1ccc(-c2cccc(C(F)F)c2)cc1,0.2939
CCC(c1ccccc1)c1ccc(-c2cc(C(=O)c3ccc(-c4ccccc4)cc3)ccc2)cc1,0.2560
CCC#CC=C=N,0.0309
O=C1CCC(Cc2ccc3ccc(-c4ccccc4)cc3c2)CC1C(F)(F)F,0.2422
COC(=O)c1cc(CC(CCc2c3cc4ccccc4cc3cc(F)c2)c2ccccc2)ccc1,0.2790
O=C(c1ccc(C=CC2C=C(N3CCCCNC3=O)NC2)cc1)N1C=CCC1,0.3484
CCc1cc(CCc2cccc(C(=O)OC(C)(N)C(F)(F)F)c2)c(C)c(-c2cc(Cl)c(F)cc2)c1,0.3774
COc1cc(OCc2ccc(-c3ccccc3)cc2)ccc1-c1c(-c2ccccc2)ccc(O)c1,0.2578
CC(C)OC(=O)COc1cc(Cc2ccc(-c3ccc(C=O)cc3)cc2OCC(F)(F)F)ccc1,0.2959
C=CC=CCC(c1ccc(Cc2cccc(O)c2)cc1)c1ccccc1C=CCc1ccccc1,0.2618
C=C(C#N)Oc1ccccc1,0.1683
CCCCCc1cc(CCc2cc(C=O)ccc2)ccc1,0.1991
FC(F)(F)Cc1ccccc1C(F)(F)F,0.1751
Clc1ccc(-c2cc(-c3ccccc3)ccc2Nc2cnccc2)cc1,0.3340
C=CC=CC=CC(F)F,0.0415
c1ccccc1,0.0277
CCOc1cccc(CC(CNc2cc(N(C)Cc3cc(C(F)(F)F)ccc3)ccn2)C(=O)O)c1,0.3835
C=C(OCc1ccc(Cc2cc3ccccc3cc2)cc1)C(=O)O,0.2121
CC#CCCC=CCC,0.0529
O=CC(F)Cc1ccccc1,0.1506
CC#CC=CC,0.0219
CCCNC(=O)c1ccc2C=C(C(Cl)CC)C3=CCc4c(C=C3Oc2c1)c1c(cc4)cc(O)cc1,0.5420
C=C1CC(Cl)CC(OC(OCCCc2ccccc2)C(=O)O)C1,0.2453
O=COc1c(F)c(-c2ccc3cc(Cl)ccc3c2)ccc1O,0.2712
O=C(OCCOCCCCc1cccnc1)c1cc(O)ccc1,0.2608
O=C(CCCc1ccccc1)NCCC(=O)c1ccc(-c2ccccc2)cc1,0.2293
Oc1ccccc1,0.0656
c1ccc(-c2ccc(-c3ccncc3)cc2)cc1,0.1425
CC(c1ccccc1)c1cc(-c2cccc(N3CCCCC3)c2)cc(CCc2ccc(Cl)cc2)c1,0.2998
O=C(O)C1CCCC(=CC(c2ccccc2)c2ccc(CCc3ccccc3)cc2)C1,0.2233
O=C(O)C(CC=CC=CC=CCCCl)Oc1ccccc1,0.2014
CC(CC(=O)O)c1ccccc1,0.1724
O=C1c2cc(-c3cc4ccccc4cc3)ccc2CC2C3C=CCC3=CCCC12,0.3740
O=C(O)C(=O)OC1C=Nc2cc(C(F)(F)F)ccc21,0.3235
Nc1cc(N2C=C(c3ccccc3)CC2)ncn1,0.3302
O=C(CN=C1NC(=O)c2c(N1)c(F)ccc2)NCc1c(O)ccc(-c2ccccc2)c1,0.4349
Fc1c(C(F)(F)F)cccc1,0.1312
C=C1CCc2c(C1)c(CN)ccc2,0.2339
c1ccc(CCc2ccccc2)cc1,0.1183
CC=CC=CC(CCl)c1ccc(-c2ccc(O)cc2CC(=O)O)cc1,0.2820
O=C(c1ccccc1)c1ccc(-c2cccc(C(=O)c3ccccc3)c2)cc1,0.2274
C=CC=CC=CC,0.0195
O=C(c1ccccc1)c1cccc(CC=C2CC=CC2)c1,0.2231
CC(Cc1ccc(F)cc1)c1cccc(-c2ccccc2)c1,0.2144
Cc1ccc(C=Cc2ccccc2)cc1,0.1175
CNC(=O)NCc1cc(O)ccc1,0.2536
Oc1c(F)cc(-c2ccc3ccccc3c2)cc1,0.2004
Oc1cc(F)cc(C(F)(F)F)c1,0.1794
NC(=O)CCNCCCCc1ccccc1,0.2125
c1ccccc1,0.0277
CC=CC=CC=CCc1ccc2CC=Nc2c1,0.2075
C=CC=CC=CNC1CCCCN1CCC1CCC(O)C1(C)C=CC1CC(O)CO1,0.2676
c1ccc(Cc2cc(-c3ccc(-c4ccccc4)cc3)ccc2)cc1,0.1876
C=Cc1ccccc1C=CC=Cc1ccc(F)cc1,0.1477
O=C(c1ccc(Cc2ccc(Oc3ccccc3)cc2)cc1)N1CCCCC1,0.2838
O=C(Cc1cccc(C(F)(F)F)c1)c1ccc(C2CC=CC=CCN2Cc2ccccc2F)cc1,0.3436
CC=Cc1ccccc1,0.1023
C=C(C=CC)Oc1cc(C2CCCC(C)(Cc3ccc(-c4cccc(C(=O)O)c4)cc3)C2)ccc1,0.3355
CNCc1cc(C(=O)C2(C)CCc3cc(-c4cc(-c5ccccc5)ccc4)ccc3C2)ccc1,0.3292
CC(C)c1cc(CCCc2cc(Cc3cccc(-c4cccc(O)c4)c3)ccc2)cc(C(F)F)c1,0.2397
CCCC(C)c1ccccc1,0.1699
CC(Cc1ccccc1)c1ccc(CC(C=CCCCc2ccccc2)Cc2ccccc2)cc1,0.2005
C(=Cc1ccccc1)C=C(Cc1ccccc1)c1ccccc1,0.1710
Cc1ccccc1,0.0855
Clc1cc(C2=NC=C(Cc3ccccc3)C2)ccc1,0.2444
FC(F)(F)c1ccccc1,0.1137
c1ccccc1,0.0277
Clc1cccc(-c2ccccc2)c1,0.1950
c1ccccc1,0.0277
c1ccc(-c2ccccc2Cc2cc(-c3ccncc3)ccc2)cc1,0.2389
CC=CCCc1c(Cl)cc(O)cc1COC(C)C(O)OF,0.2838
CC=CNC(=O)c1cc(O)ccc1,0.2641
CN(C)c1cccc(C=CC2CCN(C(=O)c3ccc(-c4ccccc4)cc3)CC2)c1,0.3203
CC=NCC=CC(C)(Cl)c1ccc(-c2cc(C=Cc3ccc(COCC(=O)O)cc3)ccc2)cc1,0.2802
C=C(Cc1cc(Cc2ccccc2-c2ccc(C)cc2)ccc1)c1cccc(-c2ccccc2)c1,0.2612
CCC=Cc1ccccc1,0.1107
C=CC=CC#Cc1ccc(C)cc1,0.1394
O=CC1OCC(=O)N(Cc2cc(Cl)ccc2)C1=O,0.3043
CCCCN(C)C(=O)c1ccccc1,0.2714
C(=Cc1cccc(-c2ccccc2)c1)c1ccccc1,0.1835
OCc1cc(Nc2ccccc2)ccc1,0.2515
O=CC1CC(=C(F)F)CC(C2CCCCC2)C1,0.1364
C=CC=CC=CC1CCC(C(C)C)CC1,0.0809
NC(Cl)C(c1ccccc1)c1cccc(-c2ccncc2)c1,0.2582
ClC(CC1C=CC(Cc2ccccc2)=C1)c1ccncc1,0.2183
CNC(=O)c1cc2c(Cc3c4cccc(C(N)=O)c4cc4c3c-2ccc4)c(-c2ccc(O)cc2)c1,0.3602
c1ccccc1,0.0277
CCOC(=O)c1nc2ccc(Cc3ccc4cccc(C=CCc5ccccc5)c4c3)cc2cc1,0.3340
CC(C=CCCc1cccc(C(=O)O)c1)C1=CN=CC1,0.2244
c1ccccc1,0.0277
O=C1c2c3CCCC=Cc3ccc2OC2CC(Cc3ccccc3)CCN12,0.5487
