SMILES,Tanimoto
Nc1nc2cc(C(=O)O)ccc2cn1,0.3316
O=C(O)CCC(O)C(=O)OC(CO)C(O)O,0.2236
CC(O)OC1CC(C(=O)OC(C)C=O)CC2C(F)CCC(CO)(C(=O)O)C12,0.3496
O=C(O)COc1cc(C(=O)O)cc(C(=O)OC(O)C(=O)C(=O)Cl)c1,0.3098
CC=C1C=NC=C1NC(O)c1cc(C)cc(C(=O)O)c1,0.2945
NC(=O)c1cccc(C(=O)O)c1,0.2788
O=C(O)Oc1cc(O)cc2ccc(C(=O)O)c(O)c12,0.3422
CN(CC(=O)C=CCC(=O)O)C(=O)CC1C=CN=C1,0.2099
O=C(O)COc1cc(C(=O)O)ccc1C(=O)OCC(F)Cl,0.4100
COC(C(=O)CC(=O)O)C(F)(F)C(F)(F)F,0.2272
O=C(OC1=CN=NC1)C(=O)Oc1ccc(C(=O)O)cc1C(=O)O,0.3957
CC(=O)c1c(CC(=O)O)cc(C(=O)O)cc1C(=O)O,0.2946
NC=Cc1ccccc1,0.1882
O=C(COC(CO)CCO)OC(=O)c1cc(CC(O)F)cc(C(=O)O)c1,0.2464
O=C(OCCO)C1=COCC2CC(=O)C(C(=O)O)CC12,0.2771
COc1ccc(C(=O)O)cc1C(=O)O,0.3854
O=C1NCC(O)=C(O)C(O)(F)OC(=O)C(COCl)CN1,0.3003
C=C(c1cc(O)c(O)c(CC(O)CO)c1)C(F)(F)F,0.3059
NC1C(C(=O)O)=Cc2c(cc(C(=O)O)cc2)C(=O)OC1O,0.3308
CNc1ccccc1,0.1032
CC(F)C12C(C)CNCC1CC(N(C)C)CC2(O)C=O,0.3746
O=C(O)CCN1CNc2ncnc(CC(=O)O)c21,0.3639
CCCC=O,0.1373
NC(=O)CCC1COC=CO1,0.1942
CC(=O)Oc1cc(C(=O)O)cc2c(OCC(=O)O)c(O)c3OCC(OC(=O)O)Oc3c12,0.3442
CCOC(CCF)C(=O)CC(C)(C)C(=O)O,0.2667
O=C(O)COC(=O)C1CC(=O)C(O)(CO)C(OC(F)OCO)C(C(OCCO)OP(=O)(O)O)C1O,0.3940
C=CC=CCCOc1cc(NC(N)=O)cc(C(=O)OC)c1,0.3040
O=C(OC(O)COC(F)C(O)COF)c1cccc(F)c1,0.2411
O=C=C(C(=O)O)c1cc(O)c(C(=O)O)cc1,0.3199
CN1CCC2C(CO)CCCC(C=O)C2C1,0.3779
CNc1cc2c(cc1)C(C)CNC2,0.2598
O=C(O)c1ccccc1,0.1719
O=C(O)c1cccc(C(=O)O)c1,0.1988
CCC(C(=O)O)C(O)C(=O)C1C2OC(F)OC1C(C(O)=NC)CC2O,0.3660
O=C(O)c1cc(F)c2c(COCO)cccc2c1,0.2330
NC(=O)c1cccc(C(=O)O)c1,0.2788
NC(=O)Nc1cc(C(=O)O)ccc1,0.2769
O=Nc1cc(C(=O)O)ccc1,0.2439
NC(=O)c1cc(C(=O)O)cc(O)c1,0.2651
NC(Cl)c1cccc(C(=O)O)c1,0.2523
