SMILES,Tanimoto
O=C(O)C(=CO)c1ccc(F)cc1,0.1904
C#CF,0.0074
Cc1cc2ccc(C=Cc3cc(Cl)c(Cl)cc3C(=O)NCC(=O)O)cc2cc1,0.3874
CCCC=O,0.0191
C=C(CCl)c1ccccc1,0.1119
CCC=C(C)C(C)c1cc(OC(=O)c2cccc(CC3CCC(C)C(C)(C)C3(C)CC)c2)ccc1,0.3680
C=CN(CN)C1COC2C3C(OCCC=C=O)CCNC3OC2N(C)C(=O)O1,0.5061
O=C(NC(=O)C(F)(F)F)c1ccccc1,0.2786
C1=CCCCC=C1,0.0335
O=Cc1ccccc1,0.0964
CC=CCc1cc(CCOP(=O)(O)OCc2cc(C)ccc2)ccc1,0.2174
CCc1c(C(F)(F)F)c(O)ccc1,0.2356
CC=CC1CC(C)N(C)CC1C=CCC,0.2548
CCCCC1CCC(O)C(COC=Cc2nccc3c2CCCC3)C1,0.3510
CCCC=O,0.0191
Cc1ncncc1,0.0968
C=C(N)C(C)c1cc(C=CC)ccc1,0.1958
OCCCCc1ccccc1,0.1340
C=CC(CC(=O)O)(Cc1cc2c(cc1)CC(C)C(C)C2C(C)c1ccccc1)C1CCNC(=O)C1,0.4312
c1ccccc1,0.0205
CC=CC1=C(F)CNCN=C1,0.1448
C=CC1CCOC(=O)CC2CCN(C)CC2(OC)O1,0.3230
CC1CCCC1=CC=CC(CCC(Cl)c1ccccc1)C(Cl)OCl,0.2449
C=C(CCCCc1ccccc1)c1ccc2CN=CNCc2c1,0.2931
FC(F)(F)CCCc1ccccc1,0.1425
CC1CC(O)COCc2ccccc21,0.2746
c1ccccc1,0.0205
C=CC=CC=C(C)c1ccccc1,0.1286
COc1cc(C(C)=C(C)c2cccc(C(O)(F)Oc3c4C(=O)CCCc4ccc3)c2)ccc1,0.4867
CC=Cc1ccc(Cl)cc1,0.1175
CCC=C(C)C(=O)NC=CC(Cc1ccc(Cc2cccc(C(=N)N)c2)cc1)c1ccnc(N)n1,0.3895
CCC(C)c1ccc2cc(-c3ccc(Cl)cc3)c(-c3ccncn3)cc2c1,0.3762
C=C1CCC(c2ccccc2)C1c1ccc(C(F)F)cc1,0.2596
NC1=CNCc2c(CC(CO)CCl)ccc(-c3cnc(N)cc3)c2C1,0.4636
CC1CCCC(c2ccccc2)C1,0.1802
C=CC=CC=CCc1cccc2cccc(CC=CCC(C)CC)c12,0.2159
C=NC(CC)c1cc2c3cc4cc(C(=O)O)c(F)cc4c(CCc4ccccc4)c3ccc2cc1,0.3293
O=C(NC(Cc1cc(C(F)(F)F)ccc1-c1ccccc1)P(=O)(O)O)c1cc2c(cc1)CCCN2,0.4742
CN(CC1C=CC=C2C(=O)NC(=O)c3c2c1ccc3)c1ccccc1,0.5339
Cc1ccc2ccc(C(=O)Nc3ccccc3)c(O)c2c1,0.4176
C=CC=CC=CCC1C=CC=C1CCOc1ccc(O)c2cc(C=CC=CC=CC)ccc12,0.3132
CC(c1c(C(=O)O)cc(Oc2ccccc2)cc1)C(F)F,0.3150
C=CC=Cc1ccccc1,0.0874
CNc1ncc(-c2c(C(=O)NCCC(=O)O)cc(-c3cccc(C(F)(F)F)c3)cc2)cc1,0.5838
CCCCCC(Cl)C=O,0.0528
CN1CCC(C(=O)OCO)C(F)C1=O,0.2656
O=C(O)C(C=Cc1c(C=C(F)F)cc(O)c(C(F)F)c1)C(=O)O,0.2881
CCOCC(=O)NC(CC1C=CCCN(C)C1=O)c1cccc(C(=O)O)c1,0.4601
NC(=O)C1C=CCC2CCNC(=O)c3c2c1ccc3OCCOC(=O)c1ccccc1,0.5680
O=C1NCCN(CCc2ccccc2)C1=O,0.2691
CC1CCCCC2(C)C(C)C(CC(F)(CO)C(=O)O)CC(C)C12,0.1634
N#CC=CCCc1ccc(O)c(Cl)c1,0.2390
C(=Cc1ccccc1)C=C(Cc1ccccc1)c1cnc2ccccc2c1,0.3363
C=CC(Cc1cccc(F)c1)c1cc(CCCC(C)C)cc2c1cccc2,0.2803
CCC(N)c1c2ccccc2ccc1,0.2759
CC(CC(=O)O)C1CCc2ccc(OC(=O)c3ccc(-c4ccccc4)cc3)cc2C1,0.3802
CCNC(=O)c1ccccc1,0.2597
Cc1ccc(C)c2nc3c(C(c4ccc(C(N)=O)cc4)C(F)(F)F)cccc3cc12,0.3996
O=C(CNC(=O)c1ccccc1)NCCCc1ccc(-c2ccccc2)cc1,0.3890
Oc1cc2ccccc2cn1,0.2472
Oc1ccccn1,0.0862
Cc1cc(-c2ccc(CO)cc2-c2c(C(F)(F)CCCN)cc(-c3cnc(N)cc3)cc2)ccc1,0.4345
CC(=Cc1cc(F)cc(C(O)Cl)c1)Cc1ccccc1,0.2378
CCCCc1cccc(C(=O)O)c1,0.1996
CC=CN(C)Cc1ccc(O)cc1,0.2043
C=C(C(=O)O)C1CC(CCc2ccccc2)CCN1C(=O)c1cccc(F)c1,0.5052
C=CCN=C(F)c1cc(-c2ccccc2)ccc1,0.2396
O=C(F)F,0.0113
COc1ccc(C(=CCC(C)OP(=O)(OF)OC=CC=CCCC(=O)O)C2=CC=CC=C=C2)cc1,0.3749
CC(CCc1c(C(N)C=O)cc(C(F)Cl)cc1)C(Cl)c1ccccc1,0.3646
CCOC(F)(F)C(F)(F)F,0.0733
OC(NC=CC1C=CC=C1)C(F)(F)F,0.1056
CCCCCCc1ccccc1,0.1512
CC=CC#N,0.0185
CCN(C)CC(F)(CC=CC1=C(C(=O)O)C=CC=CN1)C(O)C(O)C(O)C(O)Cc1ccccc1,0.4797
CCC1CC2=CCc3c4c(ccc3)C(CCC4C2)C(CC)c2cc(ccc2)C1,0.3886
c1ccc(-c2ccccc2)cc1,0.1017
CC=C(C)CC(C)CCC=CCc1cccc(C(C=C(O)NC)Cc2c(C(=O)O)ccc(Cl)c2)c1,0.3646
c1cc2c(cc1)NCCC2,0.2435
CC(C(=O)OCC(C)(C)c1ccc(C=CCCc2ccccc2)cc1)C(F)F,0.2610
c1ccccc1,0.0205
Cc1c(C(CN)CN)c(-c2ccccc2)ncc1,0.3915
C=CCC=CCCc1ccc(CCCCC=CCNC(=O)c2c3CC(=C)C(C)Cc3ccc2)cc1,0.4269
FC(F)(F)F,0.0119
Cc1ccccc1,0.0575
OCC(F)C(F)c1ccccc1,0.1703
ClC(=Nc1ccccc1)c1ccc(Cl)cc1,0.1801
CCCc1ccc(C2CCCN(Cc3cc(C(=O)O)cc(C(C)CCc4ccccc4)c3)C2)cc1,0.3845
CNC(=O)Cl,0.0220
N#Cc1ccccc1,0.0933
CC=Cc1ccccc1,0.0813
CC=Cc1ccc(CC(=CCN(C)C(=O)CO)Cc2cccnc2)cc1,0.2700
CC=CCCCc1ccc(C(N)=O)cc1,0.2418
C=C(CO)CCOc1ccc(C)cc1C1CNC(Nc2ccccc2)N(C2COC(O)C(O)C2)C1,0.5081
COCC(C)C(=O)Oc1ccc2cc(C)ccc2c1,0.2825
CC(=CCc1ccccc1)CC(Cl)c1ccc(C(F)(F)F)cc1CC(Cl)c1c(Cl)cc(O)c(O)c1,0.4195
OCl,0.0031
CCC(c1ccccc1)c1ccncc1,0.1790
CC(CO)CC=CCc1cccc(-c2c(F)c(F)ccc2)c1,0.2883
O=C(O)C(F)C=C1CCCc2ccccc2C1,0.2576
C=CC(C)C1CCCC(C=O)C1,0.0950
FC(F)(F)F,0.0119
