SMILES,Tanimoto
FC(F)(F)c1cc(-c2ccccc2)ccc1,0.2036
CC=Cc1cc(-c2ccc(-c3cc(-c4cc(O)ccc4)ccc3)cc2)ccc1,0.2163
COc1cccc(C=CC=CCC(=O)Cl)c1,0.1904
CC=CC=CCc1ccc(CCc2cccc(CC=Cc3ccc(-c4ccccc4)cc3)c2)cc1,0.2023
c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,0.0936
C=CC=CC=CCCc1cc2c(cc1)C(C=CCC=CC)CCC2,0.2596
CCC=CCCc1ccccc1,0.1154
O=C(NCC=CC#Cc1c2CCCc2ccc1)c1ccc(-c2ccccc2)cc1,0.3068
C#Cc1cc(OC(=O)c2cc(Cc3ccc(-c4ccccc4)cc3)ccc2)ccc1,0.2965
C=C(CC=CC)c1ccccc1,0.1336
C(=Cc1ccccc1)CCc1ccccc1,0.1313
CCc1c(C(C=O)CC(Cl)C(F)Br)cc(C(F)(F)F)cc1,0.3107
CCNC(=O)c1c(Cc2cccc(C)c2)c(OCc2cccc(-c3ccccc3)c2)ccc1,0.3853
CC=CCc1c(C#CC#Cc2cc(F)ccc2)c2ccc(-c3ccccc3)cc2c2ccccc12,0.2943
Oc1cc(Cc2c(F)cc(Cl)cc2F)c(Cl)c(F)c1,0.2630
O=C(O)c1c(F)cc(C(F)(F)F)c(OCc2cc(F)ccc2)c1,0.3358
CC=CCc1cccc(-c2cc(-c3ccc(CCc4ccccc4)cc3)ccc2)c1,0.2055
FCCc1cccc2c(Cc3ccccc3)cccc12,0.1898
CNC(=O)C1CCC(CC=CCc2ccc(C(c3ccccc3)c3ccccc3)cc2)C(C)(C)C1,0.2567
Cc1cc(C2CCC(N)NC2=O)cc(C(C)CC#N)c1,0.2833
CN(CC=CC=CCc1ccccc1)Cc1ccccc1,0.1881
FC(F)(F)c1cccc(Cc2cccc(-c3ccccc3)c2)c1,0.2245
Cc1ccc(C(F)(F)F)cc1CC=CC=CC(Cl)c1cc(C(F)(F)F)cc(Cc2ccccc2)c1,0.2608
c1ccc(Cc2ccccc2)cc1,0.0793
C=CN(CC=Cc1ccccc1)C(=O)c1ccccc1,0.2528
Cc1cccc(C)c1-c1cc(-c2cc3ccccc3cc2)cc(NCCc2ccc(C=N)cc2)c1,0.3110
Clc1ccccc1,0.0763
CC=CC1CCC(C=O)CC1C=CCc1cc2c(cccc2)cc1,0.2042
FC(F)(F)c1ccc(-c2ccccc2)cc1,0.1616
CC(c1ccccc1)c1cc(C(F)(F)F)ccc1,0.2234
C=CC=Cc1c(C=Cc2ccccc2)cccc1,0.1416
C=C(O[PH](O)(O)c1cc(Br)ccc1C1C=Nc2ccccc21)C1C=CCN1,0.4607
C=CC=CC=CC=Cc1cc(-c2ccccc2)ccc1,0.1780
C(=Cc1ccccc1)Cc1cccc(Cc2ccccc2)c1,0.1619
Cc1cccc2c(COc3cc(Cl)c4c(c3)N=C(CC(=O)O)C4C)cc(-c3cc(N)ccc3)cc12,0.5148
c1ccccc1,0.0243
CCC=CCCCc1cccc(C(C)C)c1,0.1630
Cc1c(C(C)C(C)c2ccc(Cc3ccccc3)cc2)cc(C(F)(F)F)cc1,0.2764
c1ccc(CCCc2ccccc2)cc1,0.1128
FC(F)(F)c1cccc(C=Cc2cccc(CC=CC=Cc3ccccc3)c2)c1,0.2218
CC(=CCC=CCCCCc1c(C(F)(F)F)cc(F)cc1Cl)c1cccc(C=O)c1,0.3461
CC=CNCc1cc(NCC(=CN=C(N)c2cccc(C(F)(F)F)c2)c2cc(C)ccc2)ccc1,0.3631
CC=Cc1ccccc1,0.0830
Cc1c2cc3ccccc3cc2ccc1,0.1213
CC=CCCCC=Cc1ccccc1,0.1105
CC1(c2ccccc2)CNc2ccccc2C1,0.3525
O=C=CNC(=O)C(Cc1ccc(-c2c(F)ccc(-c3cccc(Cl)c3)c2)cc1)c1cc(Cl)ccc1,0.3737
C=CCCCC(=CCCCC(C)CC)CCC=Cc1c(-c2ccccc2)cccc1,0.2236
Cc1c(-c2cc(Cc3cccc(-c4ccc(F)cc4)c3)ccc2)cccc1,0.2220
NC(=O)c1cccc(Cl)c1,0.1626
CCCCC(C=CC=Cc1ccccc1)=CC=CCc1ccccc1,0.1707
O=C(c1cc(-c2ccccc2)ccc1)c1ccccc1-c1c(F)cccc1,0.3022
COC(=O)c1c(F)cc(C(F)(F)F)c(F)c1,0.2671
Cc1cc(C)c(CCc2ccccc2)cc1,0.1470
CC=CC=Cc1ccc(-c2cc(-c3ccc(Cl)c(-c4ccccc4)c3)ccc2)c2cc(O)ccc12,0.2953
Cc1cc(CBr)cc(C(C)C(F)NCc2ccc(-c3cc4ccccc4cc3)cc2)c1,0.2824
CN(CF)c1ccc2ccccc2c1Cc1cccc(C(F)(F)F)c1,0.2986
C=CC=CC(C=Cc1c(CC)ccc(-c2cc(Cl)cc(-c3ccccc3C)c2)c1)c1ccccc1,0.3255
CC=Cc1ccc(CCc2ccnc3ccccc23)cc1,0.3218
CC=Cc1cc(-c2ccc(Cc3ccc(F)cc3CC(=O)NCC)cc2)ccc1,0.3208
c1ccccc1,0.0243
CC(c1ccccc1Cl)C(C)c1c(F)c(O)cc(Cl)c1,0.3144
C=C(C)c1ccc(CCc2ccccc2)c2cc3c4ccc5c(C(C)=CCCC5)c4ccc3cc12,0.2933
C=C(CCc1ccccc1)c1cc(C(=O)Nc2cncc(-c3cccc(CC=CC)c3)c2)ccc1,0.4112
C=CC(CCCc1ccc(C(C)C)cc1-c1ccc(CC(=C)CC)cc1)C(C)c1cc(Cl)ccc1,0.3160
CC(C)C=CC=CCl,0.0401
FC(c1cccc(Cc2ccccc2CCc2cccc(-c3ccccc3)c2)c1)N1CCCCC1,0.3365
Oc1ccc(C2=NC=C(c3ccccc3)CN=CC2)c2c1cc(-c1ccccc1Br)cc2,0.3879
Clc1cc(-c2cc(CNc3cc(-c4c5ccccc5ccc4)ccc3)ccc2)ccc1,0.3152
Fc1ccc2ccc3c(cccc3Cc3ccc(Cc4ccc(-c5ccccc5)cc4)cc3)c2c1,0.2111
Cc1c(Cl)cc(Cc2ccccc2)cc1,0.1364
CC=CCCc1cccc(C(C)=C(C)c2ccc3Nc4c(cccc4-c4ccccc4)Oc3c2)c1,0.4317
FC(F)(F)c1ccc(CCC=C(Cc2c(Cl)cccc2)c2ccccc2)cc1,0.2637
CC(C)(Cc1ccccc1)c1ccccc1,0.1596
C=CC=CC=CCCC(C)c1ccccc1,0.1780
c1ccc(Cc2ccccc2)cc1,0.0793
CCC=CC=CC=CCC=CCC(F)F,0.0545
C1=Cc2ccccc2C(Cc2ccccc2)CC=NC1,0.2670
O=C(O)c1cc2cccc(C(F)(F)F)c2cc1,0.2156
CC=CC=Cc1ccc(Cc2c(C(C)C)cc(CCc3ccccc3-c3ccccc3)cc2)cc1,0.2965
CC(C)(C=CC=Cc1ccc(C(C)(C)c2ccccc2)cc1)c1ccccc1,0.2285
C(=CCCc1ccccc1)CCC=CCc1ccccc1,0.1333
C=Cc1ccc2ncc3c(C=CC=CCC=CC)cccc3c2c1,0.3379
N=CC=CCc1cc(C2Cc3ccccc3CO2)ccc1,0.2857
C=C(C(N)=O)c1c(C=Cc2c(C)cc(C(=O)c3ccccc3)cc2)ccc(-c2ccnnc2N)c1,0.4115
Clc1cccc(Cc2ccccc2)c1,0.1236
Oc1cc2c(Nc3ccccc3)ncc3c2c(c1)-c1c(C3)c(CCCCc2ccccc2)ccc1,0.5253
c1ccc(CCc2cc3ccccc3cc2)cc1,0.1524
NC=Cc1cccc2cc(-c3cc(-c4cc(Cc5ccccc5)ccc4)ccc3)ccc12,0.2345
C=CC=CCC1Oc2c(ccc(F)c2F)OC1(C)C,0.3165
C=C1C=CC=CC(C)C1c1ccccc1,0.2312
c1ccccc1,0.0243
CC=CC(C)=Cc1cc(CCCO)cc(Cc2ccc(C(C)c3ccccc3)cc2)c1,0.2193
CC=CN(CCc1ccccc1)Cc1cccc(N)c1,0.2158
Fc1c(C2=CC(N3C=C(CCCCl)CC3)=NN2)c(OCCc2ccc3ccccc3c2)c(Br)cc1,0.5612
CC=CC=CC=CC=CC(C)C(C)c1ccc(CCc2cc3ccccc3c(C(C)(F)F)c2)cc1,0.2795
CCc1ccccc1,0.0850
FC(F)(F)c1cc(C(F)(F)F)ccc1,0.1493
CC=CC=CC=CCc1cccc(-c2ccccc2)c1,0.1787
C=CC=CC=CCCc1cc2c(cccc2)cc1,0.1639
N#CNc1cc(-c2ccc(C(F)(F)F)cc2)ccc1,0.2428
C=C(C=Cc1cccc(C(=O)NC(=O)c2cccc(CCCC=CC)c2O)c1)c1cccc(Cl)c1,0.3602
CC1CCCC2CNC(=O)C(c3cc(Cl)ccc3)C12,0.3555
CC=CC=CC(C)C=CCC(F)(F)F,0.0686
C=CC=CCC(C)C=CCc1cc(-c2ccccc2)ccc1,0.1957
Fc1cccc(C(CCc2cnccc2)C(F)F)c1,0.2667
c1ccccc1,0.0243
CCC=Cc1ccc(Cc2cccc(-c3c(CC=CC(=N)N)cccc3)c2)cc1C1=C=NCC1N,0.4293
CC=CC(=CCC1CC=CO1)C=C(C=CC=CCC)OC,0.1542
C=C(CCCc1cccc(C(F)Cl)c1)c1cccc2ccc(C(=O)O)cc12,0.2788
