SMILES,Tanimoto
C=CC=CNC(=O)c1c2ccccc2c(Oc2c(C=NCCOC)ccc3ccc(F)cc23)cc1,0.3685
O=C(CCl)Nc1cc(O)cc(C(=O)C2CC3=C=CC(O)=C(F)C=C3Nc3ccccc32)c1,0.5756
CC=CC1CC=CC1C(C)c1ccc(C(=O)NN)cc1,0.2973
O=C(O)c1cc(C=CCc2ccccc2)c2Nc3ccccc3Cc2c1,0.3590
c1ccccc1,0.0327
C=C(CN)C1CCCC=C(C(COCC2=CC=CC(C(C)C)O2)c2ccc(C(=O)NCC)cc2)C1,0.4273
CC(C)c1ccccc1,0.2262
O=C(O)C1=CC2C(CO)C3C=CC=CC3=C3C=CNC(C1)C32,0.3688
c1ccccc1,0.0327
CC=CCC=CCCC,0.0767
CC(C)C=CCCc1cc(C(=O)O)cc(C=CCc2cccc(-c3ccccc3)c2)c1,0.2947
CCCC(C=CCc1ccc(C(=O)NCc2ccccc2)nc1)=CC(c1cccc(F)c1)C(N)F,0.4151
CC=CCOCc1c(C2=C(N)N=C(c3ccc4c(F)cc(C(=O)O)cc4c3)N2)cccc1,0.4527
O=C(O)c1cc2cc(c1F)OC(O)C=CC=Cc1cccc(c1)C(C(=O)O)C2,0.4290
Cc1ccccc1C1CCC(=CO)CC1,0.2846
Clc1cc2cc3ccccc3cc2cc1,0.1241
CC(CC(=CC=CN)C(N)=O)C(=CCCCC(N)=O)Cc1ccc(C(=O)O)cc1,0.3014
Cc1c(Nc2cc(C(=N)Cl)ccc2)cc(Nc2cccc(C(=O)O)c2)cc1,0.3341
CCN(C)CCCCC(C=O)c1cccnc1,0.2603
O=C(Cc1ccc(C(=O)OCCO)cc1)Oc1cccc(-c2cc(O)ccc2)c1,0.3297
CN(Cc1ccccc1)C1CC(c2c(N)ccc(F)c2)CC(=O)N1,0.4045
c1ccccc1,0.0327
NC=CCc1cc(-c2ccccc2)ccc1,0.2409
C=CCC(CC)C(C)=CC=NC(N)Br,0.1580
CCN(C)c1c(Cc2c(F)cccc2)ccc(C(N)N2CCCCC2)c1,0.3892
C=CC1CCC(c2ccccc2)CC1,0.2826
C=CCc1c(-c2ccc(C(=O)O)cc2)cccc1C,0.3434
Fc1cc(C(F)(F)F)c(C(F)(F)F)cc1,0.2376
NCC(N)c1ccccc1,0.2321
CC=CCCl,0.0283
O=C(Cl)c1c(O)c(C(=O)NC2CC(O)OC2O)c(F)c(F)c1O,0.4681
CC=CCCCc1cc(OC(F)F)cc2cc3c(cc12)c(-c1ncc(C(F)(F)F)cc1)ccc3C,0.4205
NC(=O)c1ccc(Cc2ccccc2)cc1,0.2490
C=C(C)c1cccc(C)c1,0.1849
c1ccccc1,0.0327
C=Cc1ccccc1CC=CCCCC,0.1906
CC(C(=O)NC(F)N(C)C(=O)O)=C(Cc1c(F)c(F)cc(Cl)c1OCC(=O)O)C1C=CC=C1,0.5076
NC(=O)c1ccccc1,0.2591
CCOc1c(OC(=O)c2cc3cc4cc(F)cc(C(N)=O)c4cc3c3c2C(=O)OC=C3)cccc1,0.4049
c1ccc(-c2ccncc2)cc1,0.1754
NC(=O)c1ccccc1,0.2591
C=C(C(=O)O)c1cc(CCCCC(N)=O)cc(-c2ccc(C(=O)O)cc2)c1,0.3305
Cc1ccc(CC2C=C(C(=O)O)CC(N)NC2F)c2ccccc12,0.3527
O=C(Br)Nc1cc(-c2cc(-c3cc(C(=O)O)ccc3OCc3ccccc3)ccc2O)ccc1O,0.4313
CC=CCC=CCN=CC=C(c1cc(F)ccc1)c1ccc(C(N)=Nc2ccccc2O)c(O)c1,0.3684
C=C(c1ccccc1)c1ccc(C(F)F)cc1,0.1814
CC(Cc1cc(C(N)=O)ccc1)c1ccccc1,0.2868
c1ccccc1,0.0327
O=C(O)CCc1c2cc(C(=O)C(F)(F)F)ccc2cc(C(=O)O)c1,0.3198
OCc1ccccc1,0.1057
Cc1c(F)ccc(C2C=CC=CCC2c2ccc(C(F)(F)F)cc2)c1,0.3244
C=CC=CC=Cc1cccc(CCC(C=CCCCCC)c2cc3cc(C(=O)O)ccc3cc2)c1,0.3268
c1ccc(Cc2ccccc2)cc1,0.1111
c1ccc(Cc2ccccc2)cc1,0.1111
Cc1ccc(CC2C(NC=C(F)F)=Nc3ccccc32)cc1,0.3800
OCC#Cc1cc(-c2ccccc2)ccc1,0.2205
OCCC=Cc1ccccc1,0.1297
CCCC(C)CCCC=CCNc1cnc2nccc(-c3cc(C(=CCN)C(F)F)ccc3)c2c1,0.5189
c1ccc2ccccc2c1,0.0752
COP(=O)(O)C1CCN(Cc2cc(C(=O)O)cc(C(F)(F)F)c2O)C2OCOC21,0.5423
NC(Cl)=Cc1c(Nc2ccccn2)cc2ccc(-c3cc(N)ncc3)cc2c1,0.4221
COC(=O)c1cc(OC)cc(Cc2ccc(O)c(Cl)c2)c1,0.2876
CC=Cc1cccc(Cc2ccccc2)c1,0.1837
