SMILES,Tanimoto
CCCc1ccc(C(=O)NCc2ccccc2)cc1,0.7343
C=CCC(C)CC=CC=CC(=C)Cc1cc(C(=O)Nc2ccccc2)cc(-c2ccc(O)cc2)c1,0.5055
Cc1c(Cl)ccc(-c2ccc(C(=O)Nc3c(O)cccc3)cc2C(=O)O)c1,0.4263
FC(F)(F)c1cc(-c2ccccc2)cc(Cl)c1,0.4928
C=CC=Cc1cc(C(C)=C(O)Oc2c(-c3ccc(F)cc3)ccc3c2ccc(C(N)=O)c3)ccc1,0.4049
C=CC=CC=CC1CCC(C)C1,0.1056
CC(C)CCCc1cc2ccc(C=NC(=O)c3ccc(-c4ccc(C(=O)O)cc4)cc3)cc2cc1,0.4012
c1cc2ccccc2cc1,0.1131
Cc1ccccc1,0.2102
C=CNC(F)c1cc(-c2cccc(Cc3ccc(-c4ccc(C(F)(F)F)cc4)cc3O)c2)ccc1,0.3914
CCNC(=O)c1cccc(NC=CC(C)C(=O)O)c1,0.3616
O=C(O)c1cc(-c2ccc(C(F)F)cc2)ccc1F,0.4014
CC=CC=CCc1cc(C(=O)NCc2ccc(-c3ccccc3)cc2)cc(-c2ccccc2)c1,0.4661
O=C(O)c1cc(-c2ccc(O)cc2)cc(Cc2ccc3ccc(C(F)(F)F)cc3c2)c1,0.3738
COc1c(Cl)c(F)c(-c2ccccc2)c(-c2cc(OC(O)c3ccccc3)c(C(=O)O)c(O)c2)c1,0.4981
CC=CC(C)C=CCNc1cccc(-c2ccc(Cc3ccc(-c4cccc(N)c4)cc3)cc2)n1,0.4418
CC=CCc1ccc(C(=O)Nc2ccc(Oc3ccc(C(C)(C)C=C(C)C(=O)O)cc3)cc2)cc1,0.4843
Cc1cc(-c2ccc(C(=O)NCC3(C)CCC(CC4=Cc5ccccc5N4)CC3)cc2F)ccc1,0.5264
O=C(F)c1ccccc1,0.1905
CC(CC=Cc1ccccc1)C1CC(=O)c2c(ccc(C3=Cc4ccccc4C3)c2)C1,0.3653
CC=CC=CC=CC(C)CC(C)C1CCC(CCCCCC)C1,0.1269
c1cc2ccccc2cc1,0.1131
C=CCC(C)c1ccc(C(=O)O)cc1,0.4344
CC=CC=Cc1cccc(-c2cccc(CNC(=O)c3cccc(CCCCN)c3)c2)c1,0.5049
C=CN=C(N)c1cccc(Cc2ccccc2)c1,0.3473
CC=CC=Cc1ccccc1,0.4250
c1cc2c(cc1)CCCCC2,0.3239
c1ccccc1,0.0682
C=CNC(=O)c1ccccc1,0.4034
c1ccc(-c2cc3c(cccc3)cc2)cc1,0.2299
C=CCC(C)C=COc1c(Cl)ccc(C(=O)NC(=CO)CCc2ccc(-c3ccccc3)cc2)c1,0.4544
c1ccc(Cc2ccccc2)cc1,0.2675
CCCC1CCNC(=O)C1,0.2345
CCC=C(C)c1cc(Cc2ccc(-c3ccccc3)cc2)ccc1,0.3343
C=CNc1c2ccc(Nc3cccc(CCc4cc(C(=O)O)cc(CC=CC)c4)c3)cc2ccc1,0.3506
Cc1ccccc1,0.2102
COCc1ccc(-c2ccc(C(=O)NCc3cccc(-c4ccc5ccccc5c4)c3)cc2)cc1,0.5020
CCCCC=CC(CN)CC=C(C)Oc1c(F)cccc1-c1c(C(F)(F)F)cc(F)cc1,0.4351
O=C(COC(=O)c1ccc(-c2ccc(C(=O)Cl)cc2)cc1)OCc1ccccc1,0.3071
CCCCCCc1ccc(-c2c(-c3ccccc3)cc(Cc3ccccc3)cc2)cc1,0.4544
Cc1ccccc1Cc1ccccc1,0.2473
C=CCC=CC(C)C1Cc2c(ccc3c2cc(Cl)cc3)C(C)c2ccccc21,0.3799
CC1CCCC(C)(c2ccc(C(F)(F)F)cc2)C1,0.3989
CC=CC#Cc1c(Cc2ccccc2)ccc(F)c1,0.2413
CCC=CC=COc1c(-c2ccccc2)c(-c2cccc(N)c2)ccc1,0.4814
CC(CN)Cc1ccc(C(=O)NC(=O)c2ccccc2)cc1,0.7151
c1ccccc1,0.0682
C=CCc1cc(C=CC)ccc1,0.3271
CCC=CCc1ccc(CC(=O)NC(=O)c2ccc(C3C=CC=CC(C)=C3)cc2)c2ccccc12,0.4189
CC=CCOC(=O)c1cccc(CC=CC(F)(F)F)c1,0.3338
C=CC=Cc1c(-c2cc3ccc(C(C)=CNC(O)c4ccc(C(=N)O)cc4)cc3cc2)cccc1,0.3791
CC=CC1CCC(c2ccccc2)CC1,0.4000
Cc1cc(C(=O)O)ccc1,0.2807
c1ccccc1,0.0682
C=CC=CC=CCCCC1CC(C)C(C(C=CCc2cccc(C)c2)CP2(=O)OCC=CCO2)C1,0.2791
C=C(C)CC=Cc1cc2c(cc1)cc(CCc1cc(C(=O)NC)cc(CCCC(=O)O)c1)c(O)c2,0.4167
C=Cc1ccc(C(C=Cc2ccccc2)C=CC(C)c2ccc(-c3ccc(F)c(O)c3)cc2)cc1,0.5709
CC=CC=CC=CCC1CCNC(c2ccc(C(C)CN)cc2)O1,0.3679
CC(COCc1ccc(-c2ccc(C(=O)O)cc2)cc1O)c1ccc(-c2ncccc2)cc1,0.5281
C=C(C)N(C)Cc1ccc(C(C)C=O)cc1,0.3878
FC(F)(F)c1c(Cc2cc3c(cc2)CC(OCc2ccccc2)=CC=C3)cccc1,0.3329
CC=CC=CCC1Cc2c3ccc4ccc(Cc5ccc(Cl)cc5)cc4c3ccc2C(C)C1,0.4009
O=C(Nc1ccc(-c2ccccc2)cc1)c1ccc(-c2ccc(COc3ccccc3)cc2)cc1,0.5628
CC12CCCCC1CCCC2,0.1324
CCc1c(C(=O)NC)cccc1,0.4210
C=CCCC1CC(CCc2cccc(COC(=C)C)c2)C(=O)C1c1ccccc1,0.3224
CC=CC(C)c1ccccc1,0.2730
FC(F)NCc1ccc(C(Cl)OCCOCc2ccccc2)cc1,0.2645
c1ccccc1,0.0682
c1ccccc1,0.0682
Nc1cc2cc(-c3cc4ccc(C5=CC=C=C(Cc6ccccc6)CC5)cc4cc3)ccc2cn1,0.3520
CC=CC=CC=CCCc1ccc(C=CC)cc1,0.3630
O=C(O)c1c(CCC2=CCN=C=CC2)ccc(Cc2c(CBr)cccc2)c1,0.3472
CC(c1cc(-c2ccccc2)ccc1)N1CCCCC1,0.5245
O=C(O)C1CC(c2ccccc2)CC1=CCCc1cccc2ccccc12,0.3280
C=CC=CC=CCOc1c(-c2ccc(C(F)(F)Br)cc2)c(F)cc(C(C)(F)F)c1,0.4390
CN(Cc1ccc2c(c1)CCC2(C)Br)c1cc(C(F)(F)F)ccc1,0.4741
CNC(=O)c1ccccc1,0.4179
O=C(O)CC1CCCCC(Cc2ccccc2)C1,0.3473
CC=CCC,0.1587
C=CCCC1CCC(=CC)NC1,0.2347
