SMILES,Tanimoto
OC(F)c1c2ccccc2ccc1,0.2104
CCCCCOCC1CC(c2cc(F)c(Oc3ccccc3)cc2)C(=O)N(C)C1=O,0.3974
O=C(O)C1CCC(CC(F)(F)F)C(C(=O)O)(c2cccc(O)c2)C1,0.4949
O=C(O)c1ccc(F)c(C2=NCc3c(Cl)cncc23)c1,0.3744
c1ccc(Cc2ccccc2)cc1,0.1570
c1ccccc1,0.0399
O=C(c1ccccc1)N1CCc2ccccc2C1,0.2457
Fc1c(Cl)cc(Cl)cc1,0.1495
C=CC=C(C)c1ccc(COc2ccc(-c3cc(-c4ccccc4)cnc3)cc2C(F)(F)F)cc1,0.3232
CC=Cc1ccccc1,0.1424
O=C(O)C1C=CC2(c3cccc(-c4cccc(O)c4)c3)C1=CC=C1N=Cc3cccc2c13,0.5203
OCc1ccccc1,0.1732
CNC1C2OCC(CCC(C)=C3CCCCC3)CC(=O)N1COC2O,0.3415
O=Cc1ccccc1,0.1732
OCc1c(O)cc(Cl)cc1,0.3297
CCC(C)C1Cc2c(cccc2)C(C(=O)O)C1,0.4119
c1ccc(-c2ccc3ccccc3c2)cc1,0.1078
CC=CC=Cc1cc(-c2ccccc2)cnc1N,0.2734
C=CCCc1ccccc1,0.1804
CC=Cc1ccc(-c2ccc3C(=O)c4c(cccc4)Nc3c2)cc1,0.3385
O=Cc1ccccc1,0.1732
CC1CCCCC1c1ccccc1,0.2553
O=C(O)C1Cc2c3c(ccc2)Cc2c4c(cc(O)c2)NC1N34,0.4393
c1ccccc1,0.0399
CCC=CCCc1cc(C)ccc1,0.1939
c1ccc(-c2ccccc2)cc1,0.0641
NCCCc1ccccc1,0.1744
CC(C)Cc1ccc(C2CC=CC(O)CC2)cc1C(c1ccccc1)c1ccccc1,0.3868
CC=Cc1ccccc1,0.1424
NC1CCCC(C(N)c2ccccc2)C1,0.2261
CC(C)(C)c1cccc(CC(C=O)c2cccc(O)c2)c1,0.3186
c1cc2cc3c(cccc3)cc2cc1,0.0751
COc1c(C(C)C=CC(Cl)OC)cccc1,0.2877
Oc1cc(O)c(Oc2ccccc2)cc1,0.1216
CCC(C)C1Cc2c(ccc(C)c2)C(C(=O)O)C1,0.4357
c1ccc(-c2cnccc2)cc1,0.1556
NC(=O)C=CCc1ccccc1,0.1730
NCc1cc(-c2cc(C(F)CCc3ccccc3)ccc2)cnc1,0.2703
Oc1ccccc1,0.1061
C1=CC(c2cc(-c3ccccc3)ccc2)OCC1,0.2228
