SMILES,Tanimoto
c1ccccc1,0.0224
O=C(O)c1cc(NCC=CCc2ccccc2)ccc1,0.2819
C=COC(=O)C(=O)O,0.0551
CC(C)Cc1ccccc1CC(F)CCO[PH](=O)O,0.2232
CC=CCCC1Cc2ccccc2CC(C=O)C1,0.2453
CC(=CCc1ccccc1)c1cccc(C(=O)O)c1,0.2335
O=C(O)CC(C=CC(c1ccccn1)P(=O)(O)OCCCO)C1C=CC(c2ccccc2)C=CC1,0.4315
CCCC=CC(C(=O)F)C(=O)OCC,0.1902
C=CCC(C(N)=O)C1C=CC(O)NC(CC=CO)C1,0.2418
CC(Cc1ccccc1)(c1ccccc1)C1CCCC1,0.2324
c1ccc(-c2ccccc2)cc1,0.0877
c1ccc(-c2cnc(-c3ccccc3)cc2)cc1,0.2787
C=CC=CCc1cccc2c1CC(CO)C=C1c3ccccc3NC12,0.5057
c1ccc(Nc2ccccc2)cc1,0.1589
CC(C)N1C(=O)Cc2ccccc2N1C=CO,0.3843
C=CCc1c(CCOC(=O)C(=O)O)cc(-c2ccccc2)cc1,0.2814
FOCl,0.0060
O=C(Cl)COCC(=CCCc1ccccc1)OCCO,0.1839
Cc1c(CC(=O)OC(CCO)c2ccc(Cc3ccccc3CC=CCF)cc2)cc(C=O)cc1,0.3629
OC=CCCO,0.0276
CC(Cl)c1cccc(Cc2ccccc2CCc2cc(O)c(OCC3C=CC=CC=C3)c(O)c2)c1,0.3274
NC(=O)C(=O)NC(C(=O)O)c1cc(C2OC(N)=Cc3c(F)cc(C(F)F)cc32)ccc1,0.5043
CC(C)CCOC1=C(C(=O)O)OC(=O)C(C)C1C,0.3503
O=C(O)CN1CC=C(Cl)C=CC12C(OC(=O)C1CC(O)CNC1=O)Cc1ccccc1C2O,0.6474
O=C(O)C(NCc1ccccc1)c1ccc(C(F)(F)F)cc1,0.2783
O=C1OC(=O)C2C(=O)C(C(=O)O)CC(Cl)C2O1,0.3513
NC(=O)Cc1ccc(CN(c2ccccc2)c2ccccc2O)cc1,0.3642
O=C(O)Cc1cc(F)cc(OC(=O)C(=O)Nc2ccc(F)cc2)c1,0.3487
Oc1c(CCc2cc(-c3ccccc3)ccc2)cc(CN2C=CN=C2)cc1,0.3285
CNC(=O)c1cccc2ccc(OC)c(-c3cc(C(=O)O)cc(C(=O)OC(=N)C(F)Cl)c3)c12,0.4431
COCC(OCc1c(C(=O)O)ccc(Oc2cnccc2)c1)C(N)=O,0.3717
