SMILES,Tanimoto
CC=CC=CC(c1ccccc1)c1ccccc1,0.1331
CC=CC1Cc2c(-c3ccc(C(=O)O)cc3)cc(C(F)(F)F)cc2C(=O)N1,0.4462
CC=Cc1ccc(C(N)=O)cc1,0.2538
O=C(O)COc1cc2c3C(=O)C4c5ccccc5NC5CCc6ccc(c(F)c2cc1Cl)c3c6C54,0.5757
Cc1cccc2c1ccc1c2NC(=O)C(c2nc(C=O)ccc2)C1,0.4198
CC(CC(C)C(F)F)c1ccc(C(=O)NCC(C)C(C)Cc2ccccc2)cc1-c1ccccc1,0.3315
C=C(C)c1c2cc(-c3ccccc3)ccc2c(F)cc1,0.2943
Nc1c(Cl)ccc(C2COC3(F)C(O2)C(c2ccc(C(=O)Cl)cc2)C=C2C=CC=CC23F)c1,0.6026
CCc1ccc(O)cc1,0.1144
CC=CCCCc1cc(F)c(CN2C=CC=CC(c3ccccc3)=C2)cc1C=CC1N=CC=C1C,0.3890
Nc1ncc(-c2ccccc2)c2ccccc12,0.3187
O=C(O)C1CCc2c(ccc(-c3ccc(Cl)cc3F)c2)C1,0.2940
c1ccc(Cc2ccccc2-c2ccccc2)cc1,0.1812
Nc1ccc2Cc3cccc(C=O)c3Cc2c1,0.2191
C=CC=CCc1cc2c(cc1)NC(=O)C(c1ccccc1)C2,0.3202
FC(F)c1ccc(-c2ccc(C(F)F)cc2)cc1,0.1650
Fc1c(Cc2cc(-c3ccccc3)ccc2)cccc1,0.1839
FC(F)=CCc1cc(-c2ccccc2)ccc1,0.1825
CC=CNCc1ccc(-c2ccc3cncc(CCc4ccc(-c5ccccc5)cc4)c3c2)cc1,0.3156
CCc1ccccc1,0.0828
c1ccc(CCc2cccc(Cc3ccccc3)c2)cc1,0.1346
C=C(c1ccc(C(=O)O)cc1)c1cc(-c2cccnc2)cc(C=C(N)N)c1,0.3038
CC=Cc1cccc(C(N)=O)c1,0.2145
C=CC=CC=CNC(=O)c1cc(-c2ccc(-c3ccccc3)cc2Cl)cc(O)c1,0.3084
Cc1cnc2NCC(C(=O)Cl)c3c2c1ccc3,0.3986
CC=CC=CCN(C=O)CC1=CCCC(c2c(Cl)ccc(-c3c(C=CCC(C)C)cccc3)c2)O1,0.4122
CCC(C)c1cc(-c2cccc(-c3ccccc3C)c2)cc2ccccc12,0.2936
CC(CC(C=O)c1ccccc1)c1ccc(C(=O)O)cc1-c1ccccc1,0.2916
CC=CC=CCCC=Cc1ccccc1,0.1270
C1=COC2Nc3cccc4c3C(Nc3ccccc3-4)C2=C1,0.5372
NC(=O)c1cc2c3c(c(-c4cc(C(F)(F)F)ccc4)ccc3c1)C(=O)NC2=O,0.3832
O=C(O)c1cccc2ccc(-c3ccccc3)cc12,0.2641
CC=Cc1ccc(CCC)cc1,0.1416
C=C(C)C=CC=CCc1ccccc1,0.1095
NC1C=CCC=C(c2nc3cc(-c4ccccc4)ccc3cc2)N1,0.3846
Cc1cc(Cc2ccccc2)ccc1,0.0957
Cc1cccc2c1cccc2Cc1cc(Cl)ccc1,0.1850
c1ccc(-c2cccc(-c3ccccc3)c2)cc1,0.1082
CC(C)c1cc2cc3cc(F)ncc3cc2cc1,0.2082
Cc1c2Cc3c(cccc3)Cc2c2ccccc2c1,0.2071
NCc1cc(C2CCN(CC=Cc3ccccc3)C(=O)C2)ccc1,0.2484
C=CC=CC=Cc1c(F)cccc1,0.1247
C=CC(C)CNC(=O)c1cc2cc(C(=N)O)ccc2cc1,0.2994
CCCc1cc(O)ccc1Cc1cccnc1,0.2546
c1ccc(-c2ccccc2)cc1,0.0946
CC=CC(N)C=CC=CCc1ccccc1,0.1233
O=C1CCCCC1C=CC(O)F,0.1109
C(C=Cc1ccccc1)=CCc1ccccc1,0.1231
CCNC(=O)c1c(Cl)c(C(Cl)Cl)ccc1-c1ccc(O)cc1,0.3560
CCOC1CC(N)C(C2c3c(cc(C(F)F)cc3)-c3c4c2cccc4ccc3)CC1=C(Cl)C(N)=O,0.5309
Fc1ncccc1-c1cc(Cl)ccc1,0.2445
CN(c1nncc(-c2cccc(-c3ccccc3)c2)c1)C1CCCCC2C(C(=O)O)=CCCOC21,0.4726
CC(C)CC(C=Cc1ccccc1)c1cccc(N)c1,0.1895
CC(C)C(C)(C)Cc1cc(-c2cccc(F)c2)cc(-c2ccccc2)c1,0.2343
CC(C=CCOC(c1ccc(Br)cc1)c1cccc2nc3ccc(O)cc3cc12)c1ccccc1,0.4535
C(=Cc1ccccc1)c1ccccc1,0.1444
Clc1cccc(C=Cc2ccccc2)c1,0.1585
CCCCOCCOC(=O)c1ccc(-c2cc(C)c3CCCC(C=CC=C4C=CCC4)c3c2)cc1,0.3592
CC(C)c1cc2cc3ccccc3cc2cc1,0.1470
CC1CCc2c3CC(c4ccccc4)c4ccccc4-c3cc(C(=O)O)c2C1,0.4254
CCC=C1CCC(=O)NC1,0.1117
C#CC(c1ccccc1)c1ccccc1,0.1169
C#CCCCCc1ccccc1,0.1256
O=C(Cl)c1ccc(Cc2ccccc2F)c2c1CC=C2O,0.3581
CC=Cc1cc(CC(=O)F)ccc1,0.1476
O=C1CCCC(Cc2ccccc2)N1,0.2056
CCc1ccc2C(=O)c3c(cc(OC(C)=O)cc3)-c3cc(Cl)cc1c23,0.4213
CC1CC(=O)Nc2c(Br)c3c(cc21)c(CO)ccc3,0.3608
C(=Cc1ccc(-c2ccccc2)cc1)Cc1ccccc1,0.1892
C=CC=CCc1ccccc1,0.1013
N=Nc1c(C(F)(F)F)cc(-c2cc(Cl)ccc2)cc1,0.2266
CC(N)=CC=CC=C(Cl)c1cccc(C=O)c1,0.1827
CCCC=Cc1c2cc(-c3ccccc3)ccc2c2ccccc2c1,0.2647
C=Cc1ccccc1,0.0980
FC(F)(F)c1cccc(-c2ccccc2)c1,0.1718
Cc1ccccc1,0.0575
O=C1OCCc2cc(-c3cc(-c4ccc(O)cc4)ccc3)ccc12,0.2712
c1ccc(-c2cnccc2)cc1,0.2208
Oc1ccccc1,0.0455
c1ccc(CCc2ccccc2)cc1,0.0960
CCC1CC(c2ccncc2)CNC1=O,0.2440
CCc1ccccc1,0.0828
O=C1NC(O)C(=CCc2ccccc2)c2cc3ccccc3cc12,0.3955
c1ccc2ccccc2c1,0.0482
O=C(COc1c(F)c(Cl)c(O)cc1-c1cc(F)c2cc(C3=NN=NN3)cc(Cl)c2c1)OF,0.3987
CC=CC(C=CCC1=NNC=C1)C1CCc2cccc(Cc3ccccc3)c2C1,0.2796
CC=Cc1cccc(Cc2ccccc2C)c1,0.1526
CC=CC=CC=CC1C=C(C2=C(C)C=CC=C2)C=C(C2=CC=C3C=CCC4=CCCC2C34)C1,0.3168
c1ccc(-c2ccccc2)cc1,0.0946
CC=CC=CCC(C=Cc1cc(C(=O)Cl)ccc1)c1ccccc1,0.2103
c1cc2ccc(-c3ccnc4ncccc34)cc2cc1,0.2614
CC(C=CC=CCCc1ccccc1)=Cc1cc(C)c(O)c(-c2cc(Br)c(Cl)cc2)c1,0.3012
CCC(C)Cc1cc2cc(C(Br)Cc3ccccc3)ccc2cc1,0.1926
CC=Cc1ccc(C)cc1,0.1277
CCCC1=CC(C(=O)N2C3C=CC=CCC3c3ccccc3CC3=CC(CO)=CC(O)C32Cl)N=C1,0.6007
Cc1ccc(CCOc2ccccc2-c2c(CC3CCNC(=O)C3)c(F)cc(C(F)(F)F)c2)cc1,0.4007
O=C(NC1CCCCC1)c1cc2ccccc2cc1,0.2918
Cc1cccc2c3cc(C(N)=O)ccc3ccc12,0.2205
C1=CC=C(C2=CC3=CC=CC4C5=C(C=CC=C5)CC(C2)C34)C=C1,0.3907
O=NC(=O)c1cc(-c2cccc(Cl)c2)ccc1C(F)(F)F,0.2901
CCc1ccccc1CNC=CC(C)c1cc(-c2cccc(C(=O)O)c2)cc(-c2ccccc2)c1,0.2839
C=CCc1ccccc1,0.0888
CCNC(=O)c1ccc(-c2ccc3C(=O)CCCc3c2)cc1,0.2877
Oc1ccccc1,0.0455
CC=CC=CC=CF,0.0227
CCc1ccccc1,0.0828
C=CC=CC=Cc1cc(-c2ccccc2)ccc1,0.1735
O=C1NCCc2c(C3CCC(c4cccc(Cl)c4)C(=O)N3)cccc12,0.4288
CNC(=O)c1cc(C(=O)c2ccccc2)cc2c(-c3ccccc3)cccc12,0.3136
C=CC=CCC,0.0169
Cc1ccc(N)cc1,0.0686
C=CC=Cc1cc2ccccc2cc1,0.1492
CC=CCc1c2cc(C(=O)O)ccc2c2cc(F)cc(C(=O)O)c2c1,0.2352
C=C(c1ccc(CC(=O)O)cc1)C(F)(F)F,0.1656
c1ccc(Cc2ccc(-c3ccccc3)cc2)cc1,0.1563
CCCC=Cc1ccc(F)cc1,0.1277
C=CC=CC#CCC=CCF,0.0414
C=C1C(C)CCC(O)C1c1cc(CC(C)c2ccccc2)cc(CCc2ccccc2)c1,0.2813
O=C1CCC(c2ccccc2)CC1C(F)(F)F,0.1901
FC(F)c1ccccc1,0.0726
C=CC=CCc1c2cc(C=C)ccc2cc(-c2ccc(C(=O)N3CCCNC3)cc2)c1,0.3652
C=CNCc1ccc(C(F)c2ccccc2)cc1,0.1905
O=C1CCC(Cc2ccccc2)OC(COC(=O)c2cc(-c3cccc(F)c3)ccc2)C(=O)O1,0.3592
CC=CC=C1CCCC(Cc2ccccc2)C1,0.1764
c1ccc(-c2ccccc2)cc1,0.0946
C#CCCC=C,0.0199
CCCc1ccccc1,0.1091
Cc1cnccc1C1C=CN(C(=O)c2ccc(Cl)cc2)C1,0.3592
N=CC1CNCc2c1cc1NC(=O)CCc1c2,0.3482
CNc1cc2c(cc1)CC=C(C(F)OCC(=O)NCC(=O)O)C(O)=C2OCc1ccccc1,0.4596
CC=C(C)C=Cc1ccc(C=CC=CN)cc1,0.1459
NC=Cc1c2ccccc2cc2ccc(-c3ccccc3)cc12,0.2521
c1ccc(Cc2ccccc2)cc1,0.0778
C=CCc1cc(-c2ccccc2)cc(C(C)=CC=CC=CC)c1,0.2278
O=C(O)c1ccc2c(c1)Nc1c(cccc1)-c1c-2c(-c2ccccc2)cc(C(=O)Cl)c1,0.3413
Clc1cc2c3ccccc3ccc2c(C=Cc2ccccc2)c1Cl,0.2430
Cc1ccccc1N1CCCCC1,0.2030
CC=CC=CNCc1ccc(-c2cc3ccc(C(N)=O)cc3cc2)cc1,0.2522
CCCc1cc2cc(CC(=O)c3cc(C(=O)O)ccc3)c(F)cc2c(-c2ccccc2)c1,0.3160
CCCc1ccccc1,0.1091
c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,0.0994
CC(CCc1ccccc1)CC1CNc2c1cc(-c1ccc(C(=O)N(C)CCC(=O)O)cc1)cc2,0.3879
C=CC=C(C)Cc1ccc(-c2cc(Oc3cc(-c4ccccc4)ccc3CC(C)C)ccc2)cc1,0.2975
