SMILES,Tanimoto
O=C(O)c1ccccc1,0.1046
COC(=O)C(=CC=C(O)c1ccccc1)Cc1ccc(-c2cccc(CN3CCNNC3)c2)cc1,0.3316
c1ccc(-c2ccccc2)cc1,0.0417
Cc1cccc2c1Cc1cc(-c3ccccc3)ccc1CC2c1ccccc1,0.2631
O=Cc1cc(C(=O)NCc2ccccc2)ccc1C(=O)O,0.2421
C=C(c1ccccc1)C1(Cc2ccccc2)CCc2ccccc2C1,0.2301
C#CCC,0.0104
C=CCc1ccc(-c2ccc(OCC34CCCCC3CCC(c3ccc(CC)cc3)C4)cc2)cc1,0.3187
c1ccc(CCCCCOc2ccc(-c3ccc(Cc4ccccc4)cc3)cc2)cc1,0.2602
O=C(O)c1ccc(CC2CCC3CC=CC=CNc4cccc2c4C3O)cc1,0.4135
NCC(Cl)c1cccc(-c2cccc(Cl)c2)c1,0.1875
FC(F)(F)c1ccc(C(F)(F)F)cc1,0.1049
Brc1ccccc1,0.0362
C=CC=CC#Cc1ccccc1,0.1128
CN=C(O)c1ccc(Cl)cc1,0.1409
Cc1cc(-c2ccccc2)cc(COC2CC(C)CNC2=O)c1CF,0.3078
c1ccccc1,0.0252
O=C(O)c1ccc(-c2c(O)ccc3ccc(-c4ccccc4)cc23)cc1,0.2075
OC(=NC=Cc1ccccc1)c1ccccc1,0.1474
Cc1cccc(CC#Cc2ccc(C(=O)O)cc2)c1,0.1661
CC=Cc1cccc(Cc2ccc(C(c3ccccc3)c3ccccc3)cc2)c1,0.1516
C=CCC=Nc1ccccc1Cc1cccc(Cc2cccc(C=CC=Cc3ccccc3)c2)c1,0.2504
CC=Cc1ccccc1,0.0957
C=C1c2ccccc2Cc2cc(CCCCO)ccc21,0.2212
O=C(Oc1cc(-c2ccccc2)ccc1C(=O)O)c1cc(F)c(C(=O)O)c(Cl)c1,0.3333
Oc1cccc2cc(-c3ccccc3)ccc12,0.1194
C=C(C)Cc1ccc(-c2ccc3ccccc3c2)cc1,0.1524
C=C(C)c1ccc(C(=C)CNC(=O)c2ccc(CC(c3ccccc3)C(C)C(C)CC)cc2)cc1,0.3280
c1ccccc1,0.0252
OCc1ccc(F)c2ccc(-c3ccccc3)cc12,0.1706
C=Cc1cc(CC)cc(CCC(=CC(=O)O)CN(C)C=CCc2cccc(C=CCCCCl)c2)c1,0.2656
CC=CC=CCCCCCC(Cc1ccc(C(CCO)c2ccccc2)cc1C)c1ccccc1,0.2828
CNC(O)c1ccccc1,0.1714
CC=CCC=CCc1ccc(C(C)CCc2ccccc2)cc1,0.1693
CC=CC=CCc1ccccc1,0.1109
Oc1ccc2cc3ccccc3cc2c1,0.0990
CCCCC(CCC1C=CCCC=C1)c1ccc(-c2ccccc2)cc1,0.2148
