SMILES,Tanimoto,drug_id,cluster
O=S(=O)(Nc1nc(CO)cs1)c1cc2ccccc2s1,0.3644,CCR9_722,52
CC(C)(C)c1cccc(S(=O)(=O)Nc2ccccc2NS(=O)(=O)c2ccc(Cl)s2)c1,0.4253,CCR9_197,297
CC(C)(C)c1ccc(NC(=O)NC(=O)Nc2ccc([N+](=O)[O-])cc2)cc1,0.2273,CCR9_383,211
CC(C)(C)c1ccc(S(=O)(=O)N2CCc3ccc(-c4ccc(Cl)cc4)cc3C2=O)cc1,0.491,CCR9_612,107
CC(C)(C)c1ccc(NS(=O)(=O)c2ccc(Cl)cc2Cl)cc1,0.476,CCR9_664,80
CC(C)(C)c1ccc(Cl)cc1NS(=O)(=O)NC(=O)c1ccc(Cl)c(Cl)c1,0.4057,CCR9_634,97
O=C1NCC(c2cc(Br)ccc2Cl)C1NS(=O)(=O)c1ccc(Cl)cc1,0.4373,CCR9_521,148
N#CCS(=O)(=O)c1ccc(NC(=O)Nc2ccnc3cccc(Cl)c23)cc1,0.3525,CCR9_298,243
CN(C)Cc1cccc(NS(=O)(=O)c2ccc(C(C)(C)C)cc2Cl)c1,0.4867,CCR9_682,69
CN(C)C(=O)c1ccc(S(=O)(=O)Nc2ccc(C(F)(F)F)cc2)cc1,0.4424,CCR9_296,244
CC(C)(C)c1cnc(NS(=O)(=O)c2ccc(NS(=O)(=O)c3ccc(C#N)s3)cc2)o1,0.4533,CCR9_522,147
CN(C)S(=O)(=O)c1cc(NC(=O)C(C)(C)c2ccc(Cl)cc2)c(Cl)cc1Cl,0.415,CCR9_467,168
CCCCCCC(C)(C)NC(=O)c1ccc(C#N)c(-c2ccc(C(=O)O)c(Cl)c2)c1,0.3574,CCR9_293,247
COc1ccc(C(=O)Nc2c(-c3ccccc3)ccc3nonc23)c(CC#N)c1,0.4893,CCR9_69,364
CC1(C)CNS(=O)(=O)c2ccc(C(=O)NCc3cccc(Cl)c3)cc21,0.4452,CCR9_497,160
COc1ccc(Nc2nn(C(C)(C)C)cc2C(=O)Nc2ccc(OC(C)(C)C)cc2)cc1S(C)(=O)=O,0.4823,CCR9_669,76
CC(C)(C)c1cnn(-c2ccc3c(=O)[nH]c(=O)n(-c4ccccc4)c3c2)n1,0.4449,CCR9_621,102
CCN1CCCCC1(O)C#CC(C)(C)c1ccc2c(c1)/C(=C\c1ccccc1)c1cccc(Cl)c1-2,0.4742,CCR9_25,384
COc1ccc(S(=O)(=O)c2ccc(C#N)cc2NS(=O)(=O)c2cc(OC(C)C)cc(C(F)(F)F)c2)cc1,0.4839,CCR9_281,253
CC(C)(C)c1ccc(Cn2cnc3ccc(Cl)cc3c2=O)cc1,0.4299,CCR9_597,116
N#Cc1cccc(NS(=O)(=O)Nc2ccc(C(F)(F)F)c(Cl)c2)c1,0.3139,CCR9_657,84
O=C(O)Cc1ccc2c(c1)CC[C@H]2NS(=O)(=O)c1ccc(Cl)c(C(F)(F)F)c1,0.4439,CCR9_777,29
CC(C)(C)Oc1c(Cl)ccc(NS(=O)(=O)Nc2cccn(C(C)(C)C)c2=O)c1O,0.4438,CCR9_85,357
CC(C)(C)c1ccc(S(=O)(=O)c2cccnc2Nc2ccc(Cl)c(Cl)c2)cc1,0.4117,CCR9_83,358
CCN(C)S(=O)(=O)Nc1cccc(NC(C)=O)c1C(=O)Nc1ccc(C(C)(C)C)cc1,0.4912,CCR9_106,346
C[C@@H](Nc1cn(-c2ccc(C(C)(C)C)cc2)nc1C(=O)O)c1ccc(Cl)cc1,0.4408,CCR9_8,392
