SMILES,Tanimoto,drug_id,cluster
Oc1ccc(C=Cc2ccc(-c3cccs3)cc2)cc1,0.4819,ESR1_280,70
Oc1ccc(-c2cccc3ccc(OCCc4scc5oc6ccc(O)cc6c45)cc23)cc1,0.4506,ESR1_367,41
CNCCCOc1ccc(C2=C(Oc3ccc(O)cc3)CC(c3ccc(O)cc3)C2C2CCCC2)cc1,0.4963,ESR1_378,37
CC1C(=O)c2cc3c(O)cccc3cc2[C@H](C)[C@H](/C=C/c2cccc3ccccc23)N1C,0.447,ESR1_106,120
O=C(O)CN1C[C@H](c2ccc(O)cc2)[C@@H]1c1ccc(O)cc1,0.4562,ESR1_249,79
O=c1c2cc(O)ccc2on1-c1ccc(O)c(F)c1,0.4304,ESR1_330,52
CCOC(=O)C1=Cc2cc3c(cc21)CCC(C)C3Cc1ccc(O)cc1,0.4923,ESR1_298,62
O=C(/C=C/c1c(O)ccc2sc3ccc(-c4ccc(O)cc4)cc3c12)c1ccc(O)c(F)c1,0.4896,ESR1_63,130
Nc1nc(NCCN2CCOCC2)nc(-c2ccc(O)cc2)n1,0.3472,ESR1_18,151
ON=Cc1cc(CCc2ccccc2)cc2cc(O)ccc12,0.4334,ESR1_155,109
Oc1ccc(N2CC(c3ccc(/C=C/CCN4CCCCC4)cc3)c3cc(O)ccc32)cc1,0.4884,ESR1_113,117
O=C1C(c2ccc(O)cc2)=C(c2ccc(OCCNCCF)cc2)C(=O)N1Cc1ccc(O)cc1,0.4543,ESR1_468,10
Cc1nc(-c2ccccc2)c(-c2ccc(O)cc2)o1,0.4033,ESR1_454,13
C[C@H]1CN(c2ncnc3cc(-c4ccccc4)sc23)CCN1C,0.4788,ESR1_297,63
COc1ccc2cc(/C=C(\C)c3ccc(OCC(C)(C)C(=O)O)cc3OC)ccc2c1,0.4839,ESR1_253,78
Oc1ccc([C@H]2CC[C@H](c3nc4ccccc4[nH]3)N2C(Cc2ccccc2)c2ccccc2)cc1,0.465,ESR1_29,147
Cc1noc(-c2ccc(O)cc2Cl)c1-c1ccc(O)cc1,0.4519,ESR1_10,155
Oc1ccc2nc(Cl)nc(NCc3ccccc3)c2c1,0.4439,ESR1_428,20
CCc1c(-c2ccc(O)cc2)cc(C2CCCC2)nc1-c1ccc(O)cc1,0.4896,ESR1_266,74
O=C(O)/C=C/c1ccc(C(c2ccccc2)c2ccc(S(=O)(=O)NCc3ccccc3)cc2)cc1,0.4208,ESR1_134,113
O=C1Oc2c(O)cc(O)cc2-c2cccc3ccc(-c4cccc(O)c4)c(c23)O1,0.4361,ESR1_14,152
CCc1cc(C)c(Cl)cc1CCc1ccc(O)cc1,0.4076,ESR1_57,134
C=Cc1ccc(Br)c2cnn(-c3ccc(O)cc3)c12,0.4961,ESR1_227,85
CC1CC(c2ccccc2)=NC1(c1ccccc1)c1ccccc1,0.363,ESR1_472,8
CN(C)CCNC(c1ccc(O)cc1)c1ccc(O)c(Br)c1,0.363,ESR1_35,144
Oc1ccc(CCN2CCCCC2)cc1Cl,0.3555,ESR1_290,66
CC(=O)C1(Cc2cccs2)CC(c2ccccc2)C(c2ccc(N3CCN(C)CC3)cc2)C1,0.4456,ESR1_390,30
OCCOc1ccc(C(c2ccccc2)(c2ccc(OC3CCCC3)cc2)c2cccs2)cc1,0.388,ESR1_494,4
COc1ccc(C/C(C)=C/c2ccc3c(c2)CCNC3=O)cc1,0.4474,ESR1_211,91
CNc1nc(Cl)c(Cl)c(-c2ccc(O)cc2)n1,0.362,ESR1_12,154
O=c1oc(-c2cccc(O)c2)cc2c1CCCC2,0.4245,ESR1_86,125
Oc1ccc(-c2ccc(-c3ccccc3)o2)cc1,0.4715,ESR1_465,11
CC(C(=O)c1ccc(O)cc1)=c1ccccc1=CC1CCCCC1,0.4641,ESR1_370,40
C/C(=C(\CN1CCN(C)CC1)c1ccccc1)c1cc2cc(O)ccc2s1,0.4301,ESR1_212,90
CC1=NC(C(=O)c2ccccc2)(c2ccc(O)cc2)CC1,0.4195,ESR1_46,139
COc1cccc2c1Sc1ccc(O)cc1OC2c1ccc(OCCN2CCCC2)cc1,0.4595,ESR1_372,38
Cc1cc(OC/C=C/C(=O)O)cc(N(c2ccccc2)C(C)C)c1,0.3784,ESR1_453,14
CCN(CCCCC(F)(F)F)CCN(CC(C)c1ccccc1)C(=O)/C=C/c1ccc(OC)cc1,0.4267,ESR1_485,7
COC(=O)c1ccc(C2CC(Cc3ccc(O)cc3)=C(c3ccc(CCCCN4CCC(CF)CC4)c(C)c3)C2)cc1,0.4775,ESR1_315,57
CCCC1Sc2cc(C#N)ccc2NC1C(=O)N1CCN(S(C)(=O)=O)CC1,0.4854,ESR1_239,83
NCCOc1ccc(CCc2nc3ccc(O)cc3o2)cc1,0.4375,ESR1_386,31
OCC1(c2ccc(O)c(Cl)c2)CCC(C(F)(F)F)C1,0.4404,ESR1_364,43
C/C(=C\C1(S(=O)(=O)c2ccccc2)CC1)c1ccccc1,0.3441,ESR1_401,25
O=C(O)CCCOc1ccc2c(c1)CCC=C(c1ccc(O[C@H]3CCNC3)c(Cl)c1)O2,0.4898,ESR1_233,84
CCOc1cccc2c1CCc1ccc(C3CCCN3)cc1Sc1ccccc1O2,0.4613,ESR1_357,45
CC(=O)c1ccc2c(c1)C(C)(C)c1ccsc1-2,0.4801,ESR1_258,76
CCCN(C)CCNC(=O)c1ccc(Oc2cc3ccccc3cc2-c2scnc2C)cc1,0.4805,ESR1_278,71
Cc1csc2c1C=C(c1ccc(CN(CC(=O)O)CC(F)F)cc1)Oc1ccc(O)cc1CCC2,0.4957,ESR1_191,98
Brc1cc2c(s1)C(c1ccccc1)c1ccccc1-2,0.465,ESR1_429,19
Oc1ccc(C=Cc2c(Cl)cc(O)cc2Cl)cc1,0.4186,ESR1_216,88
C=CCCc1nn(-c2ccc(O)cc2)c2ccccc12,0.4824,ESR1_70,128
CCCCN1CCCc2c(-c3ccccc3)sc(-c3ccccc3)c2C1,0.4468,ESR1_50,137
O=C1CCC2C(c3ccc(CCN4CCN(CCF)CC4)cc3)=C(c3ccccc3)CCC2CC1Cl,0.4747,ESR1_125,116
Oc1ccc(-n2c(-c3ccccc3)cc3ccccc32)cc1,0.4918,ESR1_335,50
Cc1nc(-c2ccc(O)c(F)c2)c(-c2ccccc2)s1,0.4087,ESR1_26,148
COc1ccc(CCc2c(Cl)c(=O)[nH]c3cc4ccccc4cc23)cc1,0.4335,ESR1_400,26
Oc1ccc(Oc2ccc(-c3cccs3)cc2)cc1,0.4672,ESR1_34,145
