SMILES,Tanimoto,drug_id,cluster
CC(CCc1ccccc1)NCc1cc(-c2nn[nH]n2)ccc1O,0.323,FTO_549,299
Cc1cccc(Nc2cccc3c2CN(c2ccc(C(=O)O)c(C(F)(F)F)c2)C(=O)CO3)c1C,0.4854,FTO_570,279
O=C(CCN1CCN(Cc2ccc(NCc3c(Cl)ccc(Cl)c3Cl)cc2)CC1)NC1(C(F)(F)F)CCCCC1,0.3403,FTO_228,586
Cc1ccccc1-c1nc2c([nH]1)C(C(=O)O)CC2,0.3675,FTO_133,678
N#CC1(NCCC(=O)NC2CCCc3ncsc32)COC1,0.359,FTO_713,145
Cc1noc(C)c1CCNC1CCN(Cc2ccc(-c3ccccc3)cc2C(=O)O)CC1,0.4231,FTO_611,241
O=C1CCCN1Cc1ccc2c(c1)CCN(C(=O)CCc1ccccc1)C2,0.3523,FTO_53,751
COc1ccc(Nc2ccc(-c3nn[nH]n3)cc2)c2nc[nH]c12,0.3787,FTO_557,291
O=C(O)c1c[nH]cn1,0.1448,FTO_653,200
N#CC1(c2cccc(CNC3CCCC3C(=O)O)c2)CC1,0.3227,FTO_219,595
COc1ccc(CNC(=O)c2c[nH]c3ccc(-c4cnn(C)c4)cc23)cc1,0.4702,FTO_301,520
Cc1[nH]c2ccccc2c1CNCc1ccccc1C(=O)O,0.4724,FTO_625,228
O=C(O)c1ccccc1CN1CCN(C(=O)Nc2nc3c(C4CC4)c(Cl)ccc3[nH]2)CC1,0.4704,FTO_339,487
COc1ccc(Cc2c[nH]c3nc(NCCCC(O)=NO)cnc23)cc1,0.3805,FTO_19,782
c1ccc(-c2c[nH]cn2)cc1,0.191,FTO_199,615
CC(=O)N1CCC(CNCc2ccccc2Cl)C1,0.3077,FTO_248,567
Cc1cccc(-c2ccc(O)c(CN3CCC[C@H]3CN3CCOCC3)c2)c1,0.389,FTO_711,147
Clc1cc(CN2CCC3(CCCNC3)C2)ccc1-c1ccccc1,0.2939,FTO_186,627
CN(C)CCN1CCC(CNc2c(Cl)cc(Cl)cc2Cl)CC1,0.2378,FTO_178,634
CC(NCc1c(O)cc2c(c1O)OCCO2)c1cc(Cl)cc(-c2nn[nH]n2)c1,0.4044,FTO_548,300
CCCCN1CNc2cccc(-c3cc(Cl)ccc3O)c2C1,0.3679,FTO_851,22
Clc1cccc(Cl)c1CNc1cccc(-c2nn[nH]n2)c1,0.3657,FTO_721,138
Cc1cc(C)c(Nc2cc3c(c(C(=O)O)c2)CN3)c(C)n1,0.4304,FTO_621,231
Cc1nc2ccccc2nc1N1CCCC1,0.386,FTO_41,763
COc1cc(CNCC2(C)COC2)ccc1-c1nn[nH]n1,0.3794,FTO_739,122
Cc1cc(C)cc(NC(=O)c2cnc3cc(C#N)ccc3c2O)c1,0.3973,FTO_589,261
Clc1cc(-c2nn[nH]n2)ccc1NCC1CCN(c2ccccc2)CC1,0.4433,FTO_774,92
Cc1cc(C(=O)NCCCCCCN)c2nc3ccccn3c2n1,0.4215,FTO_257,558
Clc1ccc2c(c1)C(CNCCCN1CCOCC1)CCN2Cc1ccccc1,0.3944,FTO_615,237
Cc1onc(-c2ccccc2)c1-c1cnc2ccc(-c3ccccc3)cc2c1C,0.4573,FTO_235,579
O=C(Nc1ccccc1Cl)c1cccc(NCCCCN2CCNC2=O)c1,0.3345,FTO_637,216
COc1cccc(NS(=O)(=O)c2c(O)cccc2Nc2cc(C)c3c(c2)NCC3(C)C)c1,0.4759,FTO_64,741
COc1ccccc1NC(=O)C=Cc1nc[nH]c1C,0.2472,FTO_34,768
O=C(O)c1cc(Cl)cc(Cl)c1NC1CCN(c2ccccc2)CC1,0.3833,FTO_68,737
FC(F)(F)c1cccc(-c2c[nH]c(-c3ccc(-c4nn[nH]n4)cc3)n2)c1,0.3126,FTO_22,779
C=CC(=O)C1CCN(C2(Nc3ccc(-c4ccccc4Cl)cc3Cl)CCOCC2)C1,0.3742,FTO_709,149
OC(Cc1cccc(Cl)c1)c1ccc(-c2nn[nH]n2)cc1,0.3409,FTO_482,360
Cc1ccc(-c2cccc(Nc3cccc(C(=O)O)c3)c2)cc1,0.382,FTO_217,597
Cc1c[nH]c(-c2cccc(N3CCCCC3C(=O)O)c2)n1,0.3201,FTO_158,654
NC1C(C(=O)NC2CC2)CCCN1C(=O)c1ccccc1,0.3167,FTO_368,461
O=C(NC1CCCCC1)C1CCN(Cc2ccc(-c3ccccc3)cc2)C1,0.2992,FTO_743,119
Cn1nnnc1-c1ccc(Cl)c(Nc2cccc(-c3ccccc3)c2)c1,0.4472,FTO_305,517
COc1cccc(CN2CCC(CNC3CCCCC3)C2)c1,0.4399,FTO_657,196
CCC1=C(N=C2CC23CCCCC3)NC1=CCn1c(C(=O)O)cccc1=O,0.4645,FTO_286,532
COc1ccc(CNc2ccccc2OCc2ccccc2NC(C)=O)cc1,0.2805,FTO_38,766
COc1ccc(-c2nn[nH]n2)cc1-c1nc(C)c[nH]1,0.2884,FTO_776,90
Cc1cccc(C)c1-c1cc(=O)c2ccc(-c3ccc(Nc4ccccc4)cc3)cc2o1,0.3588,FTO_746,117
c1ccc(CNc2cccc3nc[nH]c23)cc1,0.3144,FTO_768,97
Clc1cccc(Nc2ccc3nccc(-c4nn[nH]n4)c3n2)c1Cl,0.413,FTO_334,492
Cc1c[nH]nc1-c1ccc(C(=O)NCCN2CCCC2)cc1,0.3035,FTO_371,458
CC1CC(NCc2c[nH]ccc2=O)CCN1Cc1ccccc1,0.3529,FTO_508,334
COc1cc(Cl)ccc1NC(=O)N1CC2(CC2)C1Cc1ccc(-c2nn[nH]n2)cc1,0.4597,FTO_865,8
Clc1ccc(CNCC(Cc2ccccc2)N2CCC2)cc1,0.3685,FTO_356,472
CN(Cc1ccccc1)c1ccc(Nc2cccc(C#N)c2)c(Cl)c1,0.3453,FTO_670,184
Oc1cccc(-c2cnc3ccccc3c2O)c1,0.2827,FTO_370,459
Cc1cccc(CN2CCC(C(=O)O)C2)c1,0.4131,FTO_345,482
COc1cnc2ccccc2c1Nc1ccc(C(F)(F)F)cc1,0.3513,FTO_188,625
CCc1c(C)nc(NCCNCC2(Nc3cccc(Cl)c3)C3CCC2C3)[nH]c1=O,0.394,FTO_456,383
O=C(Nc1c[nH]c2ccccc12)c1ccc(-c2c[nH]cn2)cc1,0.352,FTO_205,609
CC(=O)Nc1cccc(CNc2ccccc2-c2nn[nH]n2)c1,0.3612,FTO_432,405
CC(C=CC(=O)O)C(=O)N(CC(=O)O)C1CCCCC1,0.214,FTO_5,796
Cc1n[nH]c(-c2c(Cl)ccc(NCc3nc[nH]n3)c2Cl)c1Cl,0.3912,FTO_612,240
