SMILES,Tanimoto,drug_id,cluster
CCC(C(N)=O)C(CN)C(=O)O,0.3248,GRIK1_666,110
CCCN(C)C(=O)c1ccc(/C=C/C(=O)O)cc1,0.3084,GRIK1_283,341
CC(C)(C)CCNC(=O)CC(CCC(=O)O)C(N)=O,0.339,GRIK1_426,259
CC(C)C(=O)CC(N)C(=O)O,0.4043,GRIK1_503,211
CCCNC(CC(=O)O)C(=O)O,0.3022,GRIK1_711,84
N#CCC(CC(=O)O)C(=O)O,0.2575,GRIK1_419,265
Cc1ccc(-c2cccc(CNC(CCC(=O)O)C(N)=O)c2)cc1,0.3612,GRIK1_790,42
C=C(C(=O)O)C1=CC(C(=O)O)NCC1,0.3126,GRIK1_751,63
CCC(C(=O)O)C(CC(=O)O)C(=O)O,0.4319,GRIK1_318,326
CC(NC(CCCCCNC(=O)C(N)CC(=O)O)C(=O)O)C(=O)O,0.3837,GRIK1_542,185
CC(=CC(N)C(=O)O)C(C)C(=O)O,0.3199,GRIK1_608,145
NC(=O)C(O)CC(N)C(=O)O,0.4472,GRIK1_437,252
O=C(O)C(CC1CCCCC1)C(=O)O,0.3861,GRIK1_811,28
C=CC(N)(C(=O)O)C(=O)O,0.2065,GRIK1_629,133
NC(=O)CC(CC(=O)O)C(N)=O,0.3374,GRIK1_124,24
C=CC=C1C/C(=C/c2cc(=O)n(-c3ccccc3)o2)NC(C(=O)O)C1,0.4092,GRIK1_209,384
NCCC(=O)NC(CC(N)=O)C(=O)O,0.2874,GRIK1_523,196
NC(=O)C(CCCC(N)C(=O)O)C(N)=O,0.4686,GRIK1_331,316
NC(CCCNS(N)(=O)=O)C(=O)O,0.3979,GRIK1_519,199
CC(CC(=O)C(N)C(N)=O)C(=O)O,0.3198,GRIK1_393,280
NCCCC(=O)c1ccc(=O)[nH]c1,0.204,GRIK1_427,258
CC(C)CC(C(=O)O)C(CC(=O)O)C(=O)O,0.4444,GRIK1_719,79
N=C(N)NCCCCC(N)C(=O)NCCCC(CCCCN)NC(=O)C(N)CCCC(=O)O,0.2847,GRIK1_220,378
NCCCC(NC(=O)CC(N)C(=O)NC1CCCCC1)C(=O)O,0.3459,GRIK1_586,158
C=CC/C=C(\C)[C@@H]1NC[C@@]1(C)C(=O)O,0.296,GRIK1_152,422
CC(=O)NC(CCC(=O)O)C(=O)O,0.4595,GRIK1_264,352
NCCCCC(N)C(=O)NCC(=O)O,0.2505,GRIK1_591,155
NC(=O)C(CC(=O)NC1CCCCC1)C(=O)O,0.2734,GRIK1_454,243
CC=C(CCC(=O)O)C(N)C(=O)O,0.4129,GRIK1_282,342
C=C(CCC(N)C(=O)O)C(N)=O,0.384,GRIK1_757,60
NC(=O)NCCCC(C(=O)O)C(N)C(=O)O,0.4038,GRIK1_281,343
O=C(O)CCC(CCC(O)=NO)C(=O)O,0.4583,GRIK1_311,330
NC(N)=NCCCC(NC(CCC1CCCCC1)C(=O)O)C(=O)O,0.4718,GRIK1_155,419
O=C(O)CNC(C(=O)O)C(=O)O,0.2083,GRIK1_600,148
C=COC(=O)CCCCC(N)C(=O)O,0.4477,GRIK1_714,82
NC(=O)CCC(CC(O)C(=O)O)C(N)C(N)=O,0.396,GRIK1_274,346
C=C(C(=O)O)C(N)C(=O)O,0.35,GRIK1_804,34
CC(C)C(N)(C/C=C/CC(=O)O)C(N)=O,0.3196,GRIK1_348,309
NC(CC(=O)O)(C(=O)O)C(=O)O,0.268,GRIK1_265,351
Cc1cc2cc(C(=O)O)c(=O)[nH]c2n1Cc1ccc(C#Cc2cccc(C(=O)O)c2)cc1,0.4418,GRIK1_271,347
NC(=O)CC(Nc1ccc2c(=O)c3ccccc3oc2c1)C(=O)O,0.297,GRIK1_217,380
NC(C[C@@H]1CC[C@]23[CH]C[C@H]2[C@@H]13)C(=O)O,0.4574,GRIK1_5,513
C/C=C\CC/C=C(\C#N)C(=O)N(CC(=O)O)CC(C)C,0.2204,GRIK1_656,118
O=C(O)c1ccc(CCc2n[nH]c(=O)n2CC2CCCC2)cc1,0.3009,GRIK1_502,212
NCC(CCC(=O)O)C(=O)O,0.4921,GRIK1_366,15
NCCC(CC(=O)NCc1ccccc1)C(=O)O,0.3097,GRIK1_543,184
C=CC[C@@H](/C=C/[C@H]1CNC1C(=O)O)C(C)C,0.3733,GRIK1_459,239
NC(C[C@@H]1NC(=O)CC[C@H]1CC(=O)O)C(=O)O,0.4202,GRIK1_450,245
N=C(N)NCCCC(NC(=O)CCCNC(=N)CC(N)C(=O)O)C(=O)O,0.3211,GRIK1_623,138
O=C(O)CCC(C(=O)O)N1C(=O)C1C(=O)O,0.3529,GRIK1_360,300
Cc1cn(CC(N)C(=O)O)c2cc(-c3cc(-c4ccccc4)cs3)ccc12,0.4106,GRIK1_418,266
NC(=O)CC(C(=O)O)C(N)C(N)=O,0.3288,GRIK1_808,30
NC(C(=O)O)[C@@H]1CC[C@@H](C#CC(=O)O)C1,0.4762,GRIK1_396,277
CC(C)CC(=O)/C=C(\N)CCCC(C)C(=O)O,0.3538,GRIK1_150,424
C/C=C/C=C(\C(C)C)C(NC(=O)CC(C)C(=O)O)C(=O)O,0.3497,GRIK1_417,267
NC(CCn1nc(-c2n[nH][nH]c2=O)sc1=O)C(=O)O,0.3554,GRIK1_391,281
Cc1cn(C/C=C/C(=O)O)c(=O)n1Cc1ccccc1C(=O)O,0.4632,GRIK1_229,372
NC(CCCC(O)=NO)C(=O)O,0.4254,GRIK1_24,499
NC(=O)C(CC(=O)O)C1CCCCC1,0.4281,GRIK1_758,59
CN(C)C(=O)/C=C/c1cccc(Cl)c1CCCC(=O)O,0.3232,GRIK1_228,373
CC(C)(C)CC(N)(C(=O)O)C(=O)O,0.4375,GRIK1_204,387
NC(CCCCNC(=O)C(=O)O)C(=O)O,0.3585,GRIK1_330,317
C=CC=CC(CC(N)C(N)=O)C(=O)O,0.4286,GRIK1_404,272
CC(C)CC(NC(=O)C(CN)CCCCC(=O)O)C(=O)O,0.4753,GRIK1_234,368
O=C(O)C1CCCN(C(=O)c2ccco2)C1,0.3185,GRIK1_106,449
Cc1ccc(C#CCCC(NC(CCCNC(=N)N)C(=O)O)C(=O)O)cc1,0.3845,GRIK1_161,415
CC(C)CC(C/C=C/C(CC(CC(=O)O)C(N)=O)C(=O)O)CC(O)Cc1ccccc1,0.436,GRIK1_72,470
NC(=O)C(CC(F)C(=O)O)C(Cc1ccccc1)C(=O)O,0.3768,GRIK1_566,170
CC/C(=C/C(=O)NCCC(N)C(=O)O)c1ccc(OC)cc1,0.3909,GRIK1_44,487
COC(=O)C(N)CC(=O)O,0.3258,GRIK1_47,485
C=CCC(N)C(=O)NC(CC(C)C)C(=O)OC,0.3624,GRIK1_555,173
NC(CCC(=O)NCC(=O)O)C(=O)O,0.412,GRIK1_430,3
CC(C)(CN)CC(CC(=O)O)C(=O)O,0.391,GRIK1_301,334
N#CCCC(NC(=O)C(N)CC(N)=O)C(=O)O,0.3122,GRIK1_567,169
CC(=O)NC1CCCN(C)N(Cc2ccccc2)C(=O)N(CC(N)C(=O)O)C1=O,0.397,GRIK1_246,360
NC(=O)C(CCc1cc(=O)[nH]c(=O)s1)CC(N)C(=O)O,0.3053,GRIK1_64,475
NC(=O)CC(CNC(=O)c1ccccc1)C(=O)O,0.364,GRIK1_52,481
CC(C)C(C)C(=O)NC(CO)C(=O)O,0.3271,GRIK1_397,276
NC(=O)C(=O)CCC(N)C(=O)O,0.484,GRIK1_725,74
O=C1CCC(C(=O)O)C(C(=O)O)N1,0.4525,GRIK1_262,353
C/C(=C/C=C/C(=O)O)[C@H]1CC[C@@H](/C=C/C(N)=O)CC1,0.2888,GRIK1_670,107
O=C(O)CC(C(=O)O)[C@@H]1Cc2cc(-c3ccsc3)ccc21,0.3312,GRIK1_195,392
CC(C)(C)OC(=O)c1cc(C(F)(F)F)ccc1C(=O)/C=C/CC(N)C(=O)O,0.3258,GRIK1_250,358
CC(C)=CC#CC(CC(N)C(=O)O)C(N)=O,0.411,GRIK1_174,408
NC(Cc1csc2[nH]c(=O)[nH]c(=O)c12)C(=O)O,0.3738,GRIK1_167,412
O=C(O)CNC(=O)CCC(CC(=O)O)C(=O)O,0.3547,GRIK1_416,268
NCCNC(=O)C(N)CC(CC(=O)O)C(N)=O,0.359,GRIK1_231,371
Cc1ccc(-c2ccccc2)c2c(CC(=O)O)c[nH]c(=O)c12,0.3645,GRIK1_323,323
CC(C)C(N)C(C(=O)O)C(=O)O,0.3455,GRIK1_484,225
NC(=O)CNCC(CC(N)=O)C(=O)O,0.266,GRIK1_10,509
NC(CC(C(=O)N/N=C/c1ccccc1)c1ccccc1)C(=O)O,0.2943,GRIK1_469,232
CC(=O)NC(CCN)C(CC(C)C)C(=O)O,0.3494,GRIK1_369,295
NC(=O)CC1(C(=O)O)CCC1,0.388,GRIK1_458,240
O=C(O)CCC(NC(CCc1ccccc1)C(=O)O)C(=O)O,0.4046,GRIK1_194,393
Cc1scc2nc([C@@H]3[C@@H]4CC[C@H]3C(C(=O)O)N4)[nH]c(=O)c12,0.4556,GRIK1_354,305
O=C(O)C(CC(O)OO)NNC1CCCCC1,0.2077,GRIK1_754,61
O=C(O)C(CCn1c(=O)cc(-c2ccccc2)[nH]c1=O)Nc1ccc(C(F)(F)F)cc1,0.4194,GRIK1_224,375
NC(=O)CCC(CC(N)=O)C(=O)O,0.4885,GRIK1_239,365
CC(C)CC(NC(=O)C1CCN(C(=O)CCCCNC(=O)C(N)CCN)CC1)C(=O)O,0.4076,GRIK1_581,161
CC(CCC(N)C(=O)O)C(N)=O,0.452,GRIK1_61,478
