SMILES,Tanimoto,drug_id,cluster
C[C@@H]1CCCN1CCc1ncc(-c2ccccc2NC2CC2)nc1-c1ccc(C(F)(F)F)cc1,0.4711,HCRTR1_308,31
COc1ccc(OCC2CC3CCC2C3COc2ncccc2-c2ncccn2)nc1,0.4221,HCRTR1_210,42
COc1cc(C)nc([C@@H]2CC[C@H](Oc3cccc(NC(=O)c4ccccc4)c3OC)C2)n1,0.4632,HCRTR1_532,11
C[C@H]1CN(C(=O)C#Cc2nc3ccccc3s2)CCC[C@@H]1c1nc2cc(F)ccc2[nH]1,0.4642,HCRTR1_401,24
CCN(Cc1cccc(-c2noc(-c3ccccc3)c2C)c1)C(=O)c1cccc2ccccc12,0.4945,HCRTR1_292,33
CC(C)c1ccc(OCC2CCc3ccc4ccccc4c3C2)nc1,0.391,HCRTR1_136,51
COc1nc2ccccc2nc1C(=O)Nc1noc(-c2ccc(C(F)(F)F)cc2)n1,0.4943,HCRTR1_352,28
Cc1nc(N[C@H]2CCN(c3nc4ccc(F)cc4n3C)[C@H](C)C2)ncc1Br,0.4776,HCRTR1_0,60
C[C@@H]1CCC[C@H](NC(=O)c2ccccc2)[C@@H]1c1csc(-c2ccccc2)n1,0.4949,HCRTR1_73,55
C[C@@H]1CC[C@H](NS(=O)(=O)N2CCC[C@@H]2COc2nccc3ccccc23)C[C@@H]1C,0.4377,HCRTR1_106,54
Cc1cccc(CNC(=O)C2C[C@@H](Nc3nc(C)c(C)o3)C[C@H]2Nc2ncc(F)cn2)c1C,0.4785,HCRTR1_161,47
CCOc1ccccc1NC(=O)CNC(CCc1ccc(C(F)(F)F)cc1)C(=O)NCc1c[nH]cn1,0.4639,HCRTR1_517,13
COc1cc(C)nc(N2CC3CC(Nc4nc(C)cc(OCCO)n4)CC3C2)n1,0.4815,HCRTR1_312,30
CCC(=O)N(c1ccc(-c2ncco2)cc1)[C@H](C)COc1ccc(C(C)C)cc1,0.4088,HCRTR1_559,8
C[C@@H]1CCN(S(=O)(=O)c2ccccc2)[C@H]1[C@@H]1CC[C@@H]1C1CCCCC1,0.4797,HCRTR1_184,44
CC(C)[C@H](Nc1nc2c(N3CCC3)cccc2[nH]1)c1cccc(-n2nccn2)c1,0.4905,HCRTR1_368,26
CC1CCN(c2ncc(C(F)(F)F)cn2)C(=O)N1CCc1ccccc1-c1ccc(F)cc1,0.4914,HCRTR1_50,56
COc1cccc(CS(=O)(=O)N2CC3CCCC2C3CNc2ncc(C(F)(F)F)cn2)c1F,0.4854,HCRTR1_697,0
COc1ccc(NC(=O)c2sc3cccc(C)c3c2Cc2ccc(C)c(C)c2)cc1,0.4809,HCRTR1_142,49
O=C(Nc1ccc(C(F)(F)F)cc1)N(c1ccccc1)C1CCCC1,0.3527,HCRTR1_526,12
C[C@H]1C(NC(=O)C(C)(C)C)C(=O)CC[C@H]1COc1ccc2cc(F)ccc2n1,0.4928,HCRTR1_515,14
CCOc1c(OC)c(OC)cc(CNCCOc2cc(C)cc(OC(C)(C)C)c2)c1C(C)=O,0.4897,HCRTR1_233,40
COc1ccc(C(c2ccccc2F)C(Cc2c[nH]c3ccccc23)C(N)=O)cc1F,0.4401,HCRTR1_424,23
COc1ccccc1N1CC2(CCN(C(=O)c3ccc4ccccc4c3)CC2)C1=O,0.4771,HCRTR1_595,6
CCN(Cc1ccccc1)C(=O)c1c(NC(=O)NCCc2cccc(Cl)c2)ccc(F)c1C,0.4647,HCRTR1_1,59
Cc1ccc(OC[C@@H](C)CC2Oc3ccccc3N(Cc3cccc(C)c3)C(=O)C2C)cc1,0.4874,HCRTR1_600,5
COc1cc(CC2(C)C(=O)N(c3ccccc3)C2c2ccc(F)cc2)cc(OC)c1OC,0.4923,HCRTR1_359,27
COc1cc2c(cc1OC)C(=O)CCN(CCOc1ccc(-n3nccn3)cc1)CC2,0.4739,HCRTR1_547,9
COc1ccc(N2CCN(c3cccc(-c4nc5ccccc5s4)c3)CCC2=O)cc1,0.4556,HCRTR1_178,46
COc1cccc(OC)c1CN(CCSc1nc(C)cs1)C(=O)c1cccc(F)c1,0.478,HCRTR1_112,53
COc1ccc(OCC(=O)N[C@@H](C)c2ccc(C(F)(F)F)cc2)c(-c2nnc(-c3ccccc3)o2)c1,0.4874,HCRTR1_442,22
CN1C(CCOc2nsc(C(F)(F)F)n2)CC2CN(c3ncc(OC(F)(F)F)cn3)CC21,0.4804,HCRTR1_508,15
C[C@H]1[C@@H](Nc2ncc(Cl)cn2)CN(S(C)(=O)=O)[C@@H]1COc1ccccc1,0.4532,HCRTR1_267,35
Cc1cc(C)cc(-c2nc(C)c3c(n2)CCC[C@H]3COc2nc(C)cc(C(F)(F)F)n2)c1,0.4839,HCRTR1_614,3
COc1cccnc1N1CC2CC(Nc3ncc(Br)cn3)CC2C1,0.4521,HCRTR1_14,58
CC1CC(c2ccccc2)C(Cc2ccccn2)CN1C(=O)CCc1c[nH]c2ccccc12,0.4987,HCRTR1_140,50
Cc1cc(C)nc(N[C@H]2C[C@@H](c3nc(-c4cccc(Cl)c4)c[nH]3)C2)n1,0.4312,HCRTR1_469,21
COc1ccccc1C(=O)N1C[C@H](C)CN1C(=O)OCc1ccc(-c2ccc(F)cc2)cc1,0.4924,HCRTR1_214,41
Cc1cc(C#N)cc2[nH]c([C@H]3CC[C@@H](C)[C@H]3CCOc3cc(C(F)(F)F)ccn3)nc12,0.4954,HCRTR1_480,19
CO[C@@H]1C[C@@H](Cc2nc(-c3ccc(F)cc3)no2)CN(C(=O)Nc2ccc(Cl)cc2)C1,0.4866,HCRTR1_684,1
CC1(C)Cc2cccc(C#N)c2CCC(=O)CN1CCOc1ccc(F)c(C(F)(F)F)c1,0.4421,HCRTR1_200,43
Cc1cc(C)nc(OC[C@@H]2CC[C@@H](C)N2c2cccc(N3CC[C@@H](O)C3)n2)n1,0.4006,HCRTR1_281,34
O=S(=O)(Cc1ccccc1Cl)N1CCC[C@@H]1Nc1nc2cc(Cl)ccc2[nH]1,0.4472,HCRTR1_502,16
COc1ccc(-c2nc(-c3ccc(F)cc3)n(CCCC(=O)N3C[C@H](C)C[C@@H](OC)C3)n2)cc1,0.4544,HCRTR1_545,10
CN(C(=O)C(N)Cc1cccc(C(F)(F)F)c1)c1cccc2ccccc12,0.3714,HCRTR1_649,2
COc1cccc(OC[C@@H](C)NC(=O)N2CC[C@H](COc3ccc(C(F)(F)F)cn3)C[C@H]2C)c1,0.4947,HCRTR1_605,4
Cc1ccc(NC(=O)C(=O)N2CCC[C@H]2CNc2nc(C(C)(O)CC(C)C)cs2)c(C)c1,0.4914,HCRTR1_474,20
O=C1C(OCc2ccccc2)CCCN1C[C@H]1CCC[C@@H]1Nc1ncc(Cl)cn1,0.4235,HCRTR1_118,52
Cc1cc(-c2ccc(F)cc2)nc(N[C@H]2CCC[C@@H]2Nc2ncc(C(F)(F)F)cn2)n1,0.474,HCRTR1_342,29
Cc1cccc(NC(=O)C2CCCC[C@H]2Nc2nc(-c3ccc(C)c(C)c3)cs2)c1,0.4438,HCRTR1_260,37
COc1cccc([C@H]2CC2C(=O)N2CCC[C@@H]2Nc2nc(C)cc(C)n2)c1,0.4568,HCRTR1_263,36
O=C1C(Cc2cccc(-c3ccccc3)c2)CCCN1c1ccc(C(F)(F)F)cc1,0.3966,HCRTR1_236,39
CC(C)(C)C(=O)N[C@H]1CCCN1C(=O)c1ccccc1C(=O)c1ccccc1,0.4463,HCRTR1_481,18
O=C1CC2(CCC(OCc3ncccc3C(F)(F)F)C2)CCN1C(=O)c1ccc(F)cc1,0.4838,HCRTR1_43,57
Cn1c(NCC2CC(Nc3ccc(C(F)(F)F)cn3)CCC2=O)nc2ccccc21,0.4676,HCRTR1_382,25
COc1nc(N[C@@H]2CCCN(c3nc(OC)c4ccccc4n3)CC2)c2ccccc2n1,0.4928,HCRTR1_257,38
O=C1CCC(c2cccc(-c3ccccc3)c2)CN1CCc1ccc(F)cc1,0.406,HCRTR1_590,7
Cc1ccc(NC(=O)N2CCC(C)(CNc3ncc(C(F)(F)F)cn3)CC2)c(-c2ncccn2)c1,0.4964,HCRTR1_302,32
C[C@@H]1CCN(C(=O)Nc2ccccc2Br)CC[C@@H]1Oc1ccc2ccccc2n1,0.4695,HCRTR1_153,48
Cc1cc(C)cc(CCNC(=O)c2nn(-c3ccccc3)c3c(C)cc(C)cc23)c1,0.498,HCRTR1_497,17
Cc1ccnc(NC2CCCCC2Cc2ccccc2-c2ccccc2NC(=O)N2CCCC2)n1,0.4648,HCRTR1_179,45
