SMILES,Tanimoto,drug_id,cluster
C[C@H](Nc1ncc(C(C)(C)C)cn1)c1nn(C)c2ccccc12,0.4202,IDH1_619,48
CC(C)(C)Nc1ccnc(NC(c2cccc(Cl)c2)n2cccn2)n1,0.4556,IDH1_715,20
C[C@H](Nc1ccnc(NCC2CC2)n1)c1cc(C2CC2)ccc1F,0.4885,IDH1_161,185
C[C@H](Nc1nccc(C(F)(F)F)n1)c1cc(F)cc(OCC2CCOCC2)c1,0.4592,IDH1_8,223
N#Cc1cccc(-c2nccc(N[C@H](Cc3ccccc3C(F)(F)F)[C@H](O)[C@H]3CC[C@@H](O)CC3)n2)c1,0.4719,IDH1_187,177
CC(C)(C)Nc1nc(Nc2ccc(OC(F)(F)F)cc2)nc(N2CCOCC2)n1,0.3784,IDH1_524,79
c1ccc(-c2ccnc(NC3CCCC3Nc3nccc(C4CC4)n3)n2)cc1,0.4158,IDH1_505,84
Cn1nc(Nc2nc(NCC(F)(F)F)nc(-c3cnc(C(F)(F)F)nc3)n2)cc1N1CCC(O)C1,0.4755,IDH1_15,221
CCNc1cc2c(C)cc(C)c(C)c2[nH]c1=O,0.4752,IDH1_300,147
C[C@H](Nc1ncc(CC=C2C(=O)OC2(C)C)cn1)c1ccc(C(C)(C)C)cc1,0.3753,IDH1_734,14
C=CCC1CCCC(C2CCc3c2c(CC2CCCCC2)n(CCC(C)(C)C(=O)O)c3C)CC1,0.4981,IDH1_526,78
CC(C)C(C)(C)Nc1ccnc(Nc2nc(-c3ccccc3C#N)cs2)n1,0.4802,IDH1_415,107
Cn1c(=O)n(CC(=O)N2CCOCC2)c2ccccc2[nH]c2ncccc21,0.4477,IDH1_311,142
CC(C)(O)Cc1cn(-c2nc(NCc3cc(C(F)(F)F)ccn3)nc(Nc3ccc(F)cc3F)n2)cn1,0.4855,IDH1_338,133
CC[C@H]1CCC[C@H](C(C)C)N1c1nc(Nc2ccc(C(=O)O)cc2)nc(N2C(=O)OC[C@@H]2C)n1,0.4783,IDH1_559,67
CC(C)C1CCC(Nc2nc(NC3CCCCC3)ncc2F)CC1,0.3719,IDH1_722,19
C[C@@H](Nc1c(C(=O)NCCCn2cccn2)cc(F)c2ccc(Cl)cc12)c1ccc(C(=O)O)cc1,0.4834,IDH1_543,71
N#CCC1CCN(c2ccnc(Nc3ccc4ccc(Cl)cc4c3)n2)CC1,0.4215,IDH1_501,87
Cc1ccnc2[nH]c3cccnc3n(C3CCC(C(C)C)CC3)c(=O)ccc12,0.4623,IDH1_412,108
COc1cc2c(N(C)c3ccc(OC4CC4)c(F)c3)nccc2[nH]c1=O,0.4848,IDH1_26,219
COc1cccc(Nc2nc(Nc3cccc(C(=O)O)c3)nc(-c3cccc(C(F)(F)F)c3)n2)c1,0.492,IDH1_304,144
Cc1ccc(Cc2c(C)c3ccccc3[nH]c2=O)cc1,0.4972,IDH1_87,205
CN(C)CCOc1cc(C(=O)Nc2nccc(C3(C)COC3)n2)ccc1-c1ccccc1Cl,0.4547,IDH1_281,151
CN(C(=O)c1ccccc1)c1ccc2c(c1)C(C)(C)CN(C1CCCCC1)C2=O,0.4881,IDH1_482,93
CCC(C)(C)n1c(=O)[nH]c2ccc(Cl)cc21,0.4772,IDH1_420,104
O=C(O)CCc1cccc(Nc2nc(-c3ccc(C(F)(F)F)cc3)nc(C3CC3)n2)c1,0.4612,IDH1_125,195
FC(F)(F)c1ccc(Nc2nc(-c3cnc(N4CCC4)nc3)nc(C3(C(F)(F)F)CC3)n2)cn1,0.4743,IDH1_740,13
Cc1ccc(NCc2nc(-c3cc(C)ccc3C)sc2C(=O)NCc2ccccc2)cc1,0.4863,IDH1_727,17
C[C@H]1CC(Cn2c(-c3ccc(Cl)cc3)cc(-c3ccccc3)cc2=O)C(=O)N1CC1CC1,0.4845,IDH1_484,92
