SMILES,Tanimoto,drug_id,cluster
O=C(Nc1cc(-c2ccccc2)c(-c2ccccc2)s1)Nc1cnn2cccnc12,0.4876,JAK1_503,24
COc1cccc(CNc2scnc2Cn2cnc3[nH]ccc3c2=O)c1,0.4922,JAK1_54,77
CC[C@H]1C[C@H](O)CN1C(=O)c1ccccc1-c1cnc(N)nc1,0.4644,JAK1_409,35
Cn1cc(Nc2nccn3cc(-c4ccccc4)nc23)cn1,0.4662,JAK1_648,3
FC(F)(F)c1ccccc1Nc1nc2[nH]ccc2c2ncnn12,0.4937,JAK1_535,18
CN(Cc1cccs1)c1cnc2[nH]ccc2n1,0.4567,JAK1_574,9
O=c1[nH]c2ccccc2c2cc(O)c(CO)cc12,0.4192,JAK1_89,73
N#Cc1ccc(C(=O)Nc2nccs2)cc1NC1CC1,0.3725,JAK1_329,44
CC(=O)Nc1cccc(-c2nc(Nc3ccc(CN4CCN(CCCC#N)CC4)cc3)nn2C)c1,0.4757,JAK1_564,12
CN(C)C(=O)Nc1ccc(CN2CCN(c3ncc(Cl)c(N4CCOCC4)n3)CC2)cc1,0.4758,JAK1_506,23
COc1ccccc1-c1oc(Nc2ccc(S(C)(=O)=O)cc2)nc1C,0.4698,JAK1_414,34
CC(N[C@@H]1C[C@H](CC#N)C[C@@H]1C)c1ncnc2[nH]ccc12,0.4622,JAK1_604,7
N#CC[C@H]1CC[C@H](n2ccc3nc(Nc4ccc(-c5ccccc5)cc4)ncc32)CC1,0.488,JAK1_568,11
N#Cc1ccc(CNc2ncc3nccn([C@@H]4CCN(CCO)C4)c2-3)cc1,0.4866,JAK1_563,13
CC(C)(C)C[C@H](COc1ccc2nc(Nc3ccc(NC(=O)C4C[C@@H]4F)cc3)ncc2c1)NCC(F)(F)F,0.488,JAK1_383,43
NC(=O)c1cc(N2CCN(C3(O)CCCCC3)CC2)cc2c(=O)c3cc(F)ccc3ncc12,0.4864,JAK1_311,45
CN(C(=O)OCC(F)(F)F)c1ccc(-c2cn3c(n2)C(=O)NCC3)cc1,0.4629,JAK1_296,49
N#CC1CCCC(c2nc3c4cc[nH]c4ncn3n2)C1,0.4468,JAK1_402,39
CCOc1ccc(Nc2ncc3c(NCc4cccc(C(=O)OC)c4)cc(N4CCOCC4)cc3n2)cc1OC,0.4909,JAK1_112,72
CN(CCOC1CCCCC2COCCN2C1)c1ncc2c(n1)N(C)CC(=O)Nc1cccc(c1)CN2,0.49,JAK1_153,64
O=C(NCC1CCN(C(=O)C(F)(F)F)CC1)c1ncnc2[nH]ccc12,0.4608,JAK1_396,41
Cc1cc(C(=O)NC[C@H]2CC[C@H](Cn3cc(C(=O)Nc4ccc(F)cc4)cn3)CC2)ccn1,0.4795,JAK1_280,52
O=C(/C=C/c1ccc2nc(N3CCNCC3)ncc2c1)N1CCCCC1,0.4622,JAK1_136,66
O=C1NCC2CCCC1CC2,0.2034,JAK1_495,26
O=c1[nH][nH]c2cnc3ccsc3c12,0.3974,JAK1_480,30
CC(=O)NCc1ccc(-c2c[nH]c3ncc(N4CCCCCC4)nc23)o1,0.4954,JAK1_246,55
Cn1nc2ccc(N3CCC(C)(C#N)CC3)cc2c1NC(=O)C1CC1,0.4673,JAK1_490,28
CN(C(=O)c1ncnc2[nH]ccc12)C1CC2CCC(C1)C2CC#N,0.4809,JAK1_403,38
CNS(=O)(=O)n1ccc(-c2cc(-c3ncnc4[nH]ccc34)on2)c1,0.4967,JAK1_290,50
CC(C)(C)C(=O)N1CC[C@@H](NC(=O)c2nc3[nH]ccn3n2)C1,0.3907,JAK1_508,22
c1cc2c(ncn3nc(CC4CCC(N5CCOCC5)CC4)nc23)[nH]1,0.4653,JAK1_191,59
COC(=O)N1CCC(c2cnc(Nc3ccc(CNS(C)(=O)=O)cc3)[nH]c2=O)CC1,0.4351,JAK1_14,82
C[C@H]1C[C@@H](Nc2ccc(OC(F)(F)F)cc2)CN(c2cc(S(=O)(=O)N(C)C)n(C)n2)C1,0.4921,JAK1_404,37
CNC(=O)c1cnc2cc(-c3ccc(-c4ccccc4)cc3)c(=O)[nH]c2c1,0.4496,JAK1_501,25
Clc1ccccc1-c1nc2c(C#Cc3ccccc3)cccn2n1,0.4732,JAK1_618,5
COCC(=O)N(C)[C@@H]1CC[C@H](Nc2nc3cc[nH]c3nc2NCc2ccccc2)C1,0.4807,JAK1_65,76
Cc1[nH]c(C2(C)CC2)nc1C1CCC1C=CC(=O)NCc1cnn(C)c1,0.3913,JAK1_391,42
C[C@@]12C[C@@H]1C[C@H]2n1cc(C(N)=O)c2ccccc21,0.488,JAK1_164,61
COc1ccc(N2CCC(c3cnc4[nH]ccc4n3)CC2)c(F)c1,0.4745,JAK1_278,53
CNC(=O)Nc1cc(Cl)ccc1Nc1ccc2ncccc2c1,0.348,JAK1_125,69
CNC(=O)c1nc(NCC(C)(C)O)ncc1N1CCCC(CCS(=O)(=O)c2ccc(F)cc2)C1,0.4816,JAK1_540,17
O=C1N=C(c2ccc(C(F)(F)F)cc2)c2ccc(N3CCOCC3)cc21,0.416,JAK1_437,33
N#Cc1cc(CO)sc1-c1ncnc2[nH]ccc12,0.4989,JAK1_578,8
Clc1ccccc1-c1nnnn1CNc1cnn2ccccc12,0.4517,JAK1_30,78
O=C(c1ccc(-c2ncnc3ccc(C4=CCOCC4)cc23)cc1)C1CC1,0.4694,JAK1_310,46
N#CCNC(=O)CN1CCC(c2nc(N3CC3)nc3cc[nH]c(=O)c23)CC1,0.4962,JAK1_688,0
O=C(N[C@H]1CCN(c2ncc3[nH]ccc3n2)C1)c1cccc(C(F)(F)F)c1,0.4587,JAK1_113,71
C[C@H](NCc1cc(Cl)ccc1Nc1ncn2ccc(C(=O)N(C)C)c2n1)C(F)(F)F,0.4899,JAK1_515,21
Cc1cn(CCc2ccc3nc(Nc4ccc(N5CCN(C6COC6)CC5)cc4)ncc3c2)nc1C,0.4896,JAK1_562,14
C=CC(=O)N1CCN(c2cnc(Nc3ccccc3)nc2C)CC1,0.4317,JAK1_157,62
COc1cccc(N2CCN(Cc3ncnc4[nH]ccc34)C(=O)C2)c1,0.4515,JAK1_547,16
Cc1ccc2n[nH]c(-c3cc(C)[nH]c(=O)c3)c2c1,0.4761,JAK1_654,1
Cc1nccc(NC(=O)CN(C)[C@H]2CCC[C@H](N3CCc4[nH]ncc4C3)CC2)n1,0.4361,JAK1_26,81
Cc1cnc(N2CCC(CNC(=O)c3cncn3C)CC2)n1C1CCCC1,0.4581,JAK1_493,27
O=c1[nH]cccc2c1cnc1[nH]cc12,0.4218,JAK1_652,2
CO[C@H]1CCC[C@H]1Cn1cc(C(N)=O)c(C2C[C@H]3CC[C@H](C2)N3C)n1,0.4985,JAK1_131,68
C=C1CC1COCNC(=O)c1ccc(Cl)cc1C1(C(=O)N2CCCC2)CC1,0.4601,JAK1_69,75
COC1CCN(C(=O)Cc2cccc(-c3cnc(NC#N)nc3NS(C)(=O)=O)c2)CC1,0.4474,JAK1_282,51
CCOC(=O)c1nn(CC[C@@H](CC#N)n2ccnc2)nc1Nc1ccccc1Cl,0.4694,JAK1_573,10
c1csc(-c2[nH]nc3ccccc23)c1,0.402,JAK1_235,57
COC1CC(n2cc(CN(C)c3cnn4ccccc34)cn2)C1,0.481,JAK1_303,48
O=C(Nc1cccc(-c2ccc(N3CCOCC3)cc2)c1)c1ccnc2[nH]ccc12,0.4834,JAK1_646,4
CC(C)(C)c1cc(-n2[nH]c(Nc3ccc(N4CC(NC(=O)C5CC5)C4)cc3)nc2=O)ccc1O,0.4946,JAK1_259,54
CC(C)(C)OC(=O)c1ccc(C2(CC#N)CN(CC3CCCCC3)C2)s1,0.3773,JAK1_473,31
O=C(Nc1cc(-n2cnc3cccnc32)c2ccccc2n1)C1CC1,0.4852,JAK1_28,80
CS(=O)(=O)NC[C@H]1CC[C@H](n2ccc(C(C(=O)NCC3CC3)C3CC3)n2)CC1,0.4438,JAK1_224,58
CC(C)c1cc(NC(=O)C2C[C@H]2Nc2nc(N3CCCC3)ncc2Cl)c2ccncc2c1,0.4988,JAK1_155,63
CN(CC1CCN(C(=O)N2CCCCC2)CC1)S(=O)(=O)c1ccnc2[nH]ccc12,0.4689,JAK1_240,56
CN(c1ccccc1)[C@H]1CCCN(C(=O)Nc2ccnc(C#N)c2)C1,0.4689,JAK1_151,65
COc1ncc(-c2cc(NC(=O)C3C[C@H]3C)cc(NC(=O)C3CC3)n2)cn1,0.4854,JAK1_120,70
CCN1CCN(C(=O)c2ccc([C@H](C)Nc3cnc4[nH]c(=O)ccc4c3)cc2)CC1,0.4743,JAK1_406,36
COc1ccc(Nc2ncnc(Nc3ccc(S(=O)(=O)N4CC4CC#N)cc3)n2)cc1N1CCC(C)(O)CC1,0.4973,JAK1_462,32
CC(=O)Nc1cccc(Nc2nc3cccc(-c4cnn(C)c4)c3s2)c1,0.4942,JAK1_29,79
C[C@H]1CC1C(=O)Nc1c[nH]c(=O)c(-c2ccc(-c3ncn(C)n3)cc2)c1,0.4534,JAK1_83,74
CC=C(Cc1cccc2c1ncc1[nH]ccc12)c1ccc(OC)cc1,0.4116,JAK1_516,20
COc1ccc(-c2ncc(C)nc2Nc2ccc(CCO)c(F)c2)c(O)c1,0.4781,JAK1_533,19
O=C1CCN(C[C@@H]2CCCN(Nc3ncc(F)c(C(=O)N4CCCC4)n3)C2)CC1,0.4454,JAK1_397,40
N#Cc1ccc2[nH]cc(-c3cc(O)ccc3-c3ccc(O)cc3)c2c1,0.4386,JAK1_561,15
N#CCNC(=O)N1CCC(Nc2ncc(Cl)c(NCC3=CCN(S(=O)(=O)CC4COCCO4)CC=CC3)n2)CC1,0.4996,JAK1_309,47
NC(=O)n1cnc2c1N=C2NCC1CCN(c2ccccc2)CC1,0.4578,JAK1_183,60
O=C(c1ccnc(NCc2ccc(OC(F)(F)F)cc2)c1)c1ccnc2cccnc12,0.4561,JAK1_482,29
O=C(Nc1cccc(Cl)c1)c1ncnc2[nH]ccc12,0.4072,JAK1_606,6
